epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.116,2.367,0.221,0.570,0.221,0.136,0.193,"[0.021, 0.0, 0.174, 0.486, 0.034, 0.316, 0.0, 0.331, 0.0, 0.0]"
01,1.998,1.844,0.368,0.809,0.368,0.153,0.273,"[0.0, 0.398, 0.381, 0.195, 0.0, 0.0, 0.493, 0.0, 0.0, 0.062]"
02,1.979,2.914,0.224,0.629,0.224,0.205,0.211,"[0.191, 0.465, 0.376, 0.266, 0.033, 0.149, 0.0, 0.574, 0.0, 0.0]"
03,2.133,2.158,0.410,0.858,0.410,0.211,0.301,"[0.081, 0.495, 0.258, 0.0, 0.0, 0.0, 0.603, 0.55, 0.013, 0.113]"
04,1.822,2.578,0.232,0.819,0.232,0.216,0.268,"[0.261, 0.027, 0.162, 0.228, 0.037, 0.382, 0.376, 0.598, 0.092, 0.0]"
05,1.926,2.759,0.343,0.744,0.343,0.271,0.320,"[0.29, 0.628, 0.345, 0.563, 0.059, 0.065, 0.0, 0.585, 0.139, 0.037]"
06,1.651,2.224,0.330,0.894,0.330,0.233,0.341,"[0.0, 0.35, 0.525, 0.49, 0.071, 0.245, 0.314, 0.34, 0.0, 0.0]"
07,1.697,1.946,0.426,0.844,0.426,0.316,0.476,"[0.0, 0.621, 0.182, 0.544, 0.186, 0.422, 0.429, 0.588, 0.126, 0.066]"
08,1.522,2.585,0.286,0.795,0.286,0.301,0.292,"[0.172, 0.607, 0.485, 0.175, 0.213, 0.422, 0.156, 0.547, 0.092, 0.14]"
09,1.302,1.930,0.422,0.908,0.422,0.345,0.427,"[0.298, 0.569, 0.596, 0.522, 0.228, 0.0, 0.467, 0.471, 0.09, 0.211]"
10,1.362,2.213,0.410,0.846,0.410,0.286,0.387,"[0.224, 0.628, 0.191, 0.523, 0.0, 0.451, 0.14, 0.563, 0.014, 0.125]"
11,1.354,1.976,0.479,0.883,0.479,0.359,0.488,"[0.251, 0.636, 0.615, 0.538, 0.116, 0.446, 0.509, 0.192, 0.107, 0.176]"
12,1.486,2.268,0.391,0.897,0.391,0.334,0.358,"[0.27, 0.639, 0.571, 0.533, 0.214, 0.454, 0.032, 0.377, 0.142, 0.108]"
13,1.260,1.922,0.455,0.904,0.455,0.373,0.468,"[0.284, 0.547, 0.649, 0.579, 0.142, 0.379, 0.424, 0.492, 0.068, 0.167]"
14,1.130,1.959,0.471,0.893,0.471,0.344,0.456,"[0.239, 0.59, 0.462, 0.392, 0.168, 0.209, 0.585, 0.611, 0.014, 0.171]"
15,1.363,2.355,0.377,0.860,0.377,0.319,0.407,"[0.249, 0.583, 0.208, 0.421, 0.192, 0.478, 0.307, 0.534, 0.105, 0.112]"
16,1.297,1.901,0.504,0.926,0.504,0.366,0.505,"[0.233, 0.623, 0.345, 0.548, 0.205, 0.471, 0.501, 0.539, 0.0, 0.198]"
17,1.297,3.400,0.296,0.773,0.296,0.292,0.297,"[0.24, 0.543, 0.35, 0.0, 0.162, 0.473, 0.358, 0.501, 0.1, 0.196]"
18,1.334,1.743,0.491,0.946,0.491,0.367,0.496,"[0.211, 0.537, 0.41, 0.555, 0.0, 0.514, 0.472, 0.61, 0.137, 0.222]"
19,1.085,3.427,0.312,0.816,0.312,0.270,0.316,"[0.092, 0.559, 0.345, 0.0, 0.136, 0.189, 0.519, 0.597, 0.046, 0.217]"
20,1.441,1.975,0.470,0.945,0.470,0.328,0.431,"[0.0, 0.554, 0.667, 0.585, 0.183, 0.134, 0.393, 0.499, 0.143, 0.123]"
21,1.073,2.943,0.267,0.841,0.267,0.238,0.257,"[0.105, 0.582, 0.162, 0.083, 0.146, 0.475, 0.142, 0.503, 0.1, 0.078]"
22,1.032,2.023,0.479,0.943,0.479,0.390,0.454,"[0.42, 0.615, 0.345, 0.272, 0.19, 0.514, 0.536, 0.588, 0.138, 0.279]"
23,1.176,2.835,0.394,0.901,0.394,0.302,0.344,"[0.358, 0.533, 0.286, 0.605, 0.134, 0.379, 0.008, 0.355, 0.156, 0.202]"
24,1.438,2.785,0.403,0.836,0.403,0.306,0.369,"[0.318, 0.587, 0.111, 0.084, 0.159, 0.459, 0.505, 0.455, 0.131, 0.247]"
25,1.038,2.653,0.425,0.949,0.425,0.320,0.364,"[0.319, 0.473, 0.345, 0.559, 0.179, 0.415, 0.118, 0.45, 0.16, 0.182]"
26,1.081,1.841,0.507,0.951,0.507,0.432,0.517,"[0.295, 0.575, 0.558, 0.53, 0.237, 0.512, 0.534, 0.553, 0.164, 0.362]"
27,1.065,2.277,0.356,0.894,0.356,0.313,0.377,"[0.336, 0.391, 0.319, 0.476, 0.197, 0.44, 0.285, 0.459, 0.106, 0.128]"
28,0.758,1.889,0.486,0.960,0.486,0.412,0.480,"[0.321, 0.592, 0.667, 0.614, 0.293, 0.361, 0.392, 0.511, 0.129, 0.243]"
29,0.757,2.304,0.390,0.919,0.390,0.329,0.364,"[0.187, 0.575, 0.438, 0.175, 0.158, 0.45, 0.405, 0.487, 0.162, 0.25]"
30,0.759,2.306,0.404,0.954,0.404,0.308,0.339,"[0.022, 0.453, 0.632, 0.612, 0.179, 0.37, 0.029, 0.466, 0.173, 0.149]"
31,0.734,2.134,0.409,0.928,0.409,0.322,0.386,"[0.173, 0.559, 0.595, 0.283, 0.149, 0.031, 0.548, 0.495, 0.14, 0.25]"
32,0.840,1.996,0.430,0.948,0.430,0.356,0.451,"[0.254, 0.551, 0.571, 0.549, 0.22, 0.386, 0.427, 0.257, 0.137, 0.206]"
33,0.638,2.069,0.408,0.948,0.408,0.340,0.378,"[0.406, 0.582, 0.696, 0.584, 0.185, 0.223, 0.178, 0.317, 0.071, 0.155]"
34,0.854,2.122,0.379,0.931,0.379,0.336,0.400,"[0.337, 0.295, 0.667, 0.411, 0.054, 0.411, 0.509, 0.309, 0.108, 0.263]"
35,0.776,2.037,0.451,0.948,0.451,0.335,0.439,"[0.363, 0.585, 0.4, 0.604, 0.136, 0.202, 0.352, 0.419, 0.142, 0.149]"
36,0.782,1.997,0.394,0.931,0.394,0.364,0.392,"[0.295, 0.569, 0.627, 0.328, 0.152, 0.428, 0.358, 0.488, 0.143, 0.253]"
37,0.656,2.007,0.447,0.950,0.447,0.311,0.444,"[0.286, 0.56, 0.181, 0.588, 0.098, 0.28, 0.367, 0.501, 0.149, 0.096]"
38,0.817,2.210,0.364,0.957,0.364,0.300,0.349,"[0.217, 0.576, 0.387, 0.455, 0.111, 0.426, 0.127, 0.381, 0.155, 0.169]"
39,0.678,1.674,0.526,0.970,0.526,0.318,0.509,"[0.328, 0.565, 0.08, 0.593, 0.182, 0.468, 0.583, 0.069, 0.154, 0.159]"
40,0.717,2.152,0.380,0.918,0.380,0.338,0.391,"[0.338, 0.515, 0.571, 0.565, 0.123, 0.362, 0.196, 0.491, 0.117, 0.101]"
41,0.908,1.947,0.478,0.932,0.478,0.340,0.467,"[0.338, 0.503, 0.156, 0.503, 0.237, 0.197, 0.566, 0.57, 0.1, 0.235]"
42,0.808,2.240,0.441,0.936,0.441,0.357,0.408,"[0.327, 0.588, 0.609, 0.581, 0.0, 0.439, 0.153, 0.542, 0.144, 0.188]"
43,0.786,2.039,0.396,0.936,0.396,0.344,0.427,"[0.337, 0.521, 0.611, 0.462, 0.203, 0.384, 0.453, 0.212, 0.146, 0.108]"
44,0.869,3.056,0.378,0.844,0.378,0.289,0.312,"[0.389, 0.583, 0.452, 0.571, 0.128, 0.124, 0.003, 0.316, 0.177, 0.148]"
45,0.976,2.706,0.311,0.946,0.311,0.283,0.299,"[0.311, 0.518, 0.438, 0.338, 0.16, 0.329, 0.145, 0.316, 0.145, 0.133]"
46,0.961,2.873,0.378,0.850,0.378,0.268,0.379,"[0.176, 0.564, 0.121, 0.39, 0.185, 0.016, 0.43, 0.553, 0.124, 0.118]"
