epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,11.581,7.778,0.242,0.817,0.242,0.170,0.267,"[0.526, 0.262, 0.0, 0.455, 0.056, 0.0, 0.253, 0.147, 0.0, 0.0]"
01,6.677,8.477,0.385,0.936,0.385,0.307,0.390,"[0.412, 0.598, 0.077, 0.582, 0.0, 0.509, 0.099, 0.264, 0.326, 0.203]"
02,3.401,5.176,0.514,0.947,0.514,0.402,0.528,"[0.299, 0.648, 0.154, 0.476, 0.16, 0.461, 0.593, 0.513, 0.365, 0.353]"
03,1.296,5.867,0.488,0.975,0.488,0.427,0.484,"[0.576, 0.558, 0.6, 0.659, 0.0, 0.484, 0.328, 0.324, 0.361, 0.379]"
04,1.435,6.089,0.437,0.946,0.437,0.402,0.398,"[0.528, 0.536, 0.619, 0.38, 0.0, 0.472, 0.288, 0.488, 0.412, 0.296]"
05,1.073,3.814,0.564,0.977,0.564,0.450,0.568,"[0.5, 0.58, 0.533, 0.657, 0.143, 0.495, 0.586, 0.436, 0.336, 0.234]"
06,1.078,3.595,0.592,0.973,0.592,0.473,0.596,"[0.5, 0.62, 0.632, 0.651, 0.054, 0.512, 0.65, 0.477, 0.318, 0.322]"
07,0.756,4.383,0.531,0.973,0.531,0.429,0.535,"[0.505, 0.679, 0.611, 0.516, 0.0, 0.42, 0.583, 0.438, 0.34, 0.2]"
08,0.468,3.547,0.583,0.973,0.583,0.476,0.588,"[0.457, 0.658, 0.611, 0.647, 0.158, 0.48, 0.614, 0.475, 0.358, 0.297]"
09,0.583,3.973,0.582,0.978,0.582,0.471,0.573,"[0.457, 0.563, 0.649, 0.649, 0.111, 0.494, 0.606, 0.478, 0.388, 0.319]"
10,0.609,4.539,0.580,0.965,0.580,0.444,0.561,"[0.59, 0.65, 0.611, 0.636, 0.054, 0.325, 0.599, 0.463, 0.364, 0.145]"
11,0.687,4.498,0.554,0.973,0.554,0.476,0.533,"[0.576, 0.671, 0.611, 0.639, 0.167, 0.509, 0.404, 0.472, 0.39, 0.316]"
12,0.564,3.561,0.613,0.979,0.613,0.496,0.609,"[0.533, 0.629, 0.649, 0.655, 0.158, 0.522, 0.681, 0.416, 0.341, 0.373]"
13,0.429,4.877,0.530,0.962,0.530,0.452,0.519,"[0.442, 0.657, 0.632, 0.4, 0.154, 0.452, 0.626, 0.472, 0.317, 0.367]"
14,0.599,4.053,0.604,0.976,0.604,0.446,0.591,"[0.565, 0.603, 0.611, 0.667, 0.0, 0.5, 0.676, 0.227, 0.36, 0.247]"
15,0.634,4.714,0.549,0.976,0.549,0.471,0.536,"[0.563, 0.622, 0.632, 0.671, 0.114, 0.501, 0.425, 0.412, 0.409, 0.364]"
16,0.510,4.546,0.538,0.974,0.538,0.452,0.541,"[0.524, 0.604, 0.611, 0.658, 0.061, 0.478, 0.477, 0.491, 0.291, 0.33]"
17,0.358,4.036,0.587,0.977,0.587,0.477,0.589,"[0.555, 0.657, 0.611, 0.684, 0.0, 0.47, 0.578, 0.479, 0.376, 0.356]"
18,0.153,3.734,0.605,0.979,0.605,0.495,0.604,"[0.545, 0.624, 0.649, 0.666, 0.111, 0.487, 0.657, 0.47, 0.365, 0.373]"
19,0.424,3.831,0.608,0.979,0.608,0.496,0.603,"[0.568, 0.673, 0.611, 0.659, 0.167, 0.483, 0.63, 0.48, 0.379, 0.312]"
20,0.304,4.368,0.590,0.976,0.590,0.453,0.581,"[0.54, 0.62, 0.611, 0.619, 0.057, 0.48, 0.647, 0.421, 0.383, 0.149]"
21,0.395,4.192,0.567,0.978,0.567,0.479,0.573,"[0.553, 0.622, 0.649, 0.667, 0.154, 0.478, 0.572, 0.389, 0.373, 0.337]"
22,0.521,4.414,0.562,0.974,0.562,0.463,0.569,"[0.538, 0.67, 0.611, 0.576, 0.0, 0.46, 0.613, 0.493, 0.338, 0.33]"
23,0.445,4.516,0.566,0.978,0.566,0.469,0.568,"[0.556, 0.652, 0.629, 0.675, 0.0, 0.452, 0.522, 0.495, 0.398, 0.312]"
24,0.385,4.055,0.585,0.978,0.585,0.487,0.591,"[0.554, 0.666, 0.649, 0.632, 0.192, 0.477, 0.632, 0.467, 0.343, 0.256]"
25,0.432,5.447,0.537,0.975,0.537,0.454,0.514,"[0.55, 0.36, 0.611, 0.617, 0.178, 0.461, 0.553, 0.499, 0.42, 0.293]"
26,0.396,4.489,0.571,0.977,0.571,0.486,0.561,"[0.539, 0.621, 0.649, 0.648, 0.171, 0.502, 0.519, 0.487, 0.4, 0.325]"
27,0.240,4.125,0.601,0.978,0.601,0.470,0.596,"[0.489, 0.647, 0.632, 0.666, 0.0, 0.458, 0.637, 0.451, 0.387, 0.337]"
28,0.167,4.120,0.585,0.972,0.585,0.487,0.588,"[0.53, 0.654, 0.632, 0.602, 0.157, 0.476, 0.66, 0.446, 0.313, 0.396]"
29,0.198,4.185,0.591,0.975,0.591,0.503,0.586,"[0.587, 0.657, 0.611, 0.638, 0.174, 0.515, 0.583, 0.464, 0.414, 0.388]"
30,0.150,4.415,0.552,0.970,0.552,0.472,0.565,"[0.531, 0.663, 0.611, 0.59, 0.125, 0.47, 0.594, 0.437, 0.304, 0.397]"
31,0.165,4.073,0.598,0.976,0.598,0.483,0.591,"[0.544, 0.632, 0.632, 0.664, 0.154, 0.503, 0.631, 0.312, 0.38, 0.379]"
32,0.255,6.235,0.524,0.968,0.524,0.442,0.491,"[0.519, 0.257, 0.611, 0.605, 0.167, 0.406, 0.571, 0.494, 0.408, 0.38]"
33,0.704,6.403,0.498,0.962,0.498,0.443,0.466,"[0.614, 0.592, 0.611, 0.594, 0.158, 0.411, 0.306, 0.467, 0.364, 0.316]"
