epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.783,2.142,0.274,0.879,0.274,0.191,0.195,"[0.041, 0.454, 0.159, 0.002, 0.149, 0.337, 0.174, 0.311, 0.099, 0.188]"
01,1.369,1.726,0.321,0.930,0.321,0.310,0.335,"[0.149, 0.328, 0.7, 0.412, 0.095, 0.458, 0.258, 0.391, 0.0, 0.306]"
02,1.174,2.032,0.346,0.936,0.346,0.262,0.354,"[0.126, 0.503, 0.127, 0.257, 0.089, 0.356, 0.406, 0.418, 0.11, 0.225]"
03,1.216,3.262,0.308,0.915,0.308,0.287,0.330,"[0.243, 0.34, 0.053, 0.101, 0.085, 0.485, 0.461, 0.613, 0.151, 0.337]"
04,1.073,2.132,0.290,0.938,0.290,0.247,0.342,"[0.225, 0.21, 0.154, 0.52, 0.143, 0.262, 0.316, 0.439, 0.122, 0.073]"
05,0.946,1.928,0.332,0.950,0.332,0.315,0.373,"[0.37, 0.497, 0.4, 0.427, 0.126, 0.412, 0.27, 0.416, 0.163, 0.068]"
06,0.934,1.846,0.348,0.954,0.348,0.297,0.351,"[0.182, 0.215, 0.284, 0.498, 0.117, 0.443, 0.271, 0.467, 0.228, 0.261]"
07,0.854,1.446,0.490,0.963,0.490,0.383,0.487,"[0.273, 0.535, 0.429, 0.605, 0.164, 0.473, 0.411, 0.547, 0.171, 0.22]"
08,0.632,1.307,0.500,0.976,0.500,0.462,0.491,"[0.482, 0.61, 0.681, 0.506, 0.333, 0.528, 0.435, 0.458, 0.257, 0.333]"
09,0.622,2.303,0.337,0.879,0.337,0.335,0.309,"[0.295, 0.559, 0.684, 0.352, 0.291, 0.425, 0.08, 0.417, 0.153, 0.092]"
10,0.509,1.383,0.477,0.971,0.477,0.418,0.467,"[0.435, 0.596, 0.436, 0.478, 0.218, 0.51, 0.4, 0.506, 0.213, 0.386]"
11,0.452,1.187,0.587,0.970,0.587,0.500,0.583,"[0.487, 0.609, 0.667, 0.618, 0.2, 0.489, 0.642, 0.501, 0.24, 0.547]"
12,0.490,1.984,0.448,0.961,0.448,0.351,0.459,"[0.392, 0.372, 0.529, 0.629, 0.194, 0.465, 0.449, 0.244, 0.176, 0.06]"
13,0.425,1.380,0.511,0.972,0.511,0.437,0.511,"[0.414, 0.626, 0.536, 0.402, 0.262, 0.565, 0.571, 0.545, 0.285, 0.159]"
14,0.432,1.191,0.608,0.971,0.608,0.488,0.596,"[0.481, 0.613, 0.68, 0.636, 0.105, 0.459, 0.666, 0.624, 0.192, 0.426]"
15,0.330,1.533,0.511,0.973,0.511,0.397,0.508,"[0.475, 0.59, 0.4, 0.588, 0.089, 0.508, 0.469, 0.417, 0.116, 0.317]"
16,0.369,1.672,0.484,0.967,0.484,0.412,0.457,"[0.408, 0.633, 0.69, 0.521, 0.0, 0.538, 0.306, 0.428, 0.254, 0.342]"
17,0.303,1.294,0.525,0.973,0.525,0.465,0.521,"[0.433, 0.654, 0.708, 0.634, 0.087, 0.455, 0.403, 0.542, 0.27, 0.462]"
18,0.241,1.213,0.598,0.974,0.598,0.485,0.580,"[0.476, 0.64, 0.732, 0.521, 0.15, 0.526, 0.684, 0.605, 0.228, 0.293]"
19,0.246,1.238,0.584,0.962,0.584,0.478,0.573,"[0.296, 0.613, 0.667, 0.559, 0.219, 0.509, 0.66, 0.528, 0.293, 0.436]"
20,0.255,1.414,0.548,0.969,0.548,0.405,0.540,"[0.286, 0.582, 0.08, 0.614, 0.115, 0.504, 0.519, 0.61, 0.254, 0.486]"
21,0.180,1.951,0.509,0.956,0.509,0.417,0.468,"[0.397, 0.537, 0.653, 0.589, 0.0, 0.553, 0.313, 0.586, 0.12, 0.426]"
22,0.211,1.574,0.566,0.959,0.566,0.405,0.550,"[0.0, 0.595, 0.635, 0.603, 0.091, 0.407, 0.627, 0.521, 0.206, 0.368]"
23,0.193,1.792,0.472,0.967,0.472,0.396,0.450,"[0.346, 0.536, 0.681, 0.373, 0.0, 0.504, 0.474, 0.596, 0.16, 0.293]"
24,0.145,1.399,0.605,0.972,0.605,0.448,0.585,"[0.14, 0.624, 0.72, 0.631, 0.098, 0.426, 0.685, 0.499, 0.22, 0.435]"
25,0.161,2.108,0.476,0.926,0.476,0.355,0.450,"[0.294, 0.571, 0.154, 0.296, 0.111, 0.467, 0.57, 0.473, 0.171, 0.44]"
26,0.120,1.936,0.517,0.952,0.517,0.428,0.487,"[0.245, 0.618, 0.679, 0.558, 0.192, 0.538, 0.365, 0.604, 0.166, 0.317]"
27,0.102,1.661,0.560,0.963,0.560,0.460,0.557,"[0.462, 0.546, 0.611, 0.629, 0.163, 0.503, 0.587, 0.482, 0.278, 0.338]"
28,0.061,1.525,0.601,0.969,0.601,0.485,0.593,"[0.336, 0.64, 0.762, 0.633, 0.053, 0.54, 0.624, 0.577, 0.251, 0.436]"
29,0.036,1.794,0.534,0.960,0.534,0.429,0.504,"[0.259, 0.578, 0.75, 0.336, 0.0, 0.555, 0.643, 0.582, 0.254, 0.333]"
30,0.059,1.667,0.562,0.959,0.562,0.474,0.551,"[0.355, 0.612, 0.711, 0.516, 0.214, 0.497, 0.621, 0.589, 0.242, 0.381]"
31,0.057,1.774,0.574,0.964,0.574,0.486,0.568,"[0.406, 0.605, 0.756, 0.611, 0.136, 0.495, 0.588, 0.606, 0.235, 0.427]"
32,0.047,2.283,0.538,0.944,0.538,0.438,0.525,"[0.425, 0.501, 0.692, 0.617, 0.0, 0.389, 0.548, 0.547, 0.308, 0.356]"
33,0.039,1.952,0.600,0.964,0.600,0.469,0.575,"[0.464, 0.593, 0.723, 0.625, 0.15, 0.484, 0.674, 0.243, 0.211, 0.518]"
34,0.036,1.786,0.573,0.962,0.573,0.470,0.565,"[0.422, 0.608, 0.667, 0.588, 0.1, 0.534, 0.6, 0.539, 0.233, 0.411]"
35,0.017,1.744,0.587,0.961,0.587,0.468,0.576,"[0.342, 0.642, 0.642, 0.602, 0.0, 0.468, 0.628, 0.509, 0.328, 0.517]"
36,0.018,1.757,0.578,0.952,0.578,0.463,0.570,"[0.455, 0.593, 0.623, 0.586, 0.082, 0.511, 0.643, 0.495, 0.215, 0.424]"
37,0.019,1.912,0.586,0.960,0.586,0.454,0.572,"[0.301, 0.645, 0.727, 0.554, 0.0, 0.527, 0.641, 0.557, 0.238, 0.351]"
38,0.024,2.121,0.583,0.962,0.583,0.440,0.554,"[0.446, 0.618, 0.72, 0.571, 0.0, 0.357, 0.674, 0.346, 0.274, 0.39]"
39,0.020,1.796,0.590,0.964,0.590,0.447,0.584,"[0.448, 0.639, 0.276, 0.607, 0.082, 0.516, 0.64, 0.498, 0.293, 0.477]"
40,0.014,2.012,0.586,0.960,0.586,0.470,0.567,"[0.441, 0.628, 0.762, 0.592, 0.136, 0.424, 0.652, 0.439, 0.189, 0.434]"
41,0.007,1.885,0.595,0.957,0.595,0.463,0.579,"[0.4, 0.631, 0.727, 0.597, 0.047, 0.432, 0.668, 0.516, 0.257, 0.352]"
42,0.011,2.042,0.601,0.958,0.601,0.474,0.590,"[0.394, 0.6, 0.632, 0.641, 0.093, 0.545, 0.641, 0.526, 0.211, 0.458]"
43,0.007,1.917,0.611,0.960,0.611,0.481,0.601,"[0.437, 0.645, 0.694, 0.63, 0.0, 0.548, 0.654, 0.524, 0.256, 0.421]"
44,0.005,1.872,0.604,0.960,0.604,0.487,0.594,"[0.412, 0.635, 0.739, 0.595, 0.0, 0.522, 0.67, 0.531, 0.322, 0.439]"
45,0.003,1.867,0.610,0.959,0.610,0.491,0.599,"[0.434, 0.637, 0.727, 0.626, 0.056, 0.497, 0.67, 0.495, 0.331, 0.434]"
46,0.002,1.899,0.611,0.964,0.611,0.486,0.600,"[0.44, 0.644, 0.727, 0.626, 0.0, 0.521, 0.661, 0.513, 0.305, 0.421]"
47,0.002,1.946,0.607,0.959,0.607,0.471,0.591,"[0.43, 0.632, 0.711, 0.616, 0.0, 0.482, 0.676, 0.466, 0.291, 0.41]"
48,0.002,1.881,0.611,0.960,0.611,0.482,0.596,"[0.435, 0.639, 0.711, 0.621, 0.0, 0.473, 0.673, 0.517, 0.309, 0.436]"
49,0.001,1.845,0.616,0.963,0.616,0.489,0.604,"[0.483, 0.648, 0.708, 0.63, 0.0, 0.485, 0.674, 0.531, 0.315, 0.42]"
50,0.001,1.860,0.614,0.963,0.614,0.492,0.603,"[0.46, 0.648, 0.739, 0.626, 0.0, 0.519, 0.666, 0.514, 0.326, 0.427]"
51,0.001,1.885,0.615,0.964,0.615,0.499,0.604,"[0.443, 0.653, 0.762, 0.631, 0.053, 0.492, 0.666, 0.546, 0.309, 0.436]"
52,0.001,1.887,0.615,0.962,0.615,0.495,0.604,"[0.446, 0.646, 0.762, 0.627, 0.0, 0.519, 0.67, 0.513, 0.326, 0.439]"
53,0.001,1.916,0.615,0.960,0.615,0.487,0.601,"[0.455, 0.644, 0.727, 0.629, 0.0, 0.48, 0.676, 0.502, 0.315, 0.439]"
54,0.001,1.954,0.619,0.962,0.619,0.485,0.604,"[0.476, 0.645, 0.714, 0.636, 0.0, 0.482, 0.68, 0.501, 0.309, 0.41]"
55,0.001,1.962,0.611,0.961,0.611,0.489,0.599,"[0.464, 0.64, 0.773, 0.631, 0.0, 0.519, 0.666, 0.411, 0.362, 0.42]"
56,0.001,1.887,0.608,0.960,0.608,0.492,0.596,"[0.477, 0.643, 0.711, 0.608, 0.056, 0.504, 0.67, 0.481, 0.361, 0.405]"
57,0.001,1.911,0.611,0.961,0.611,0.486,0.599,"[0.449, 0.645, 0.723, 0.624, 0.0, 0.498, 0.669, 0.487, 0.348, 0.42]"
58,0.001,1.928,0.615,0.962,0.615,0.484,0.603,"[0.47, 0.651, 0.739, 0.637, 0.0, 0.52, 0.665, 0.473, 0.323, 0.361]"
59,0.001,1.946,0.615,0.961,0.615,0.489,0.603,"[0.464, 0.644, 0.739, 0.626, 0.0, 0.531, 0.672, 0.466, 0.328, 0.425]"
60,0.001,1.946,0.611,0.962,0.611,0.489,0.599,"[0.456, 0.639, 0.75, 0.62, 0.0, 0.519, 0.67, 0.478, 0.324, 0.43]"
61,0.001,1.972,0.617,0.961,0.617,0.488,0.604,"[0.455, 0.642, 0.75, 0.638, 0.0, 0.499, 0.674, 0.488, 0.331, 0.4]"
62,0.001,1.922,0.615,0.962,0.615,0.487,0.602,"[0.455, 0.64, 0.75, 0.633, 0.0, 0.505, 0.674, 0.484, 0.33, 0.4]"
63,0.001,1.880,0.611,0.961,0.611,0.484,0.599,"[0.453, 0.627, 0.727, 0.619, 0.0, 0.502, 0.68, 0.49, 0.339, 0.405]"
64,0.001,1.890,0.609,0.960,0.609,0.481,0.596,"[0.452, 0.63, 0.727, 0.62, 0.0, 0.498, 0.675, 0.485, 0.328, 0.395]"
65,0.000,1.922,0.613,0.961,0.613,0.479,0.600,"[0.449, 0.632, 0.711, 0.632, 0.0, 0.509, 0.676, 0.46, 0.316, 0.405]"
66,0.001,1.929,0.612,0.962,0.612,0.479,0.599,"[0.437, 0.64, 0.727, 0.618, 0.0, 0.532, 0.674, 0.459, 0.323, 0.378]"
67,0.000,1.926,0.613,0.962,0.613,0.485,0.601,"[0.455, 0.634, 0.714, 0.625, 0.0, 0.517, 0.673, 0.486, 0.332, 0.41]"
68,0.000,1.949,0.612,0.961,0.612,0.485,0.599,"[0.456, 0.632, 0.727, 0.628, 0.0, 0.507, 0.673, 0.479, 0.328, 0.421]"
69,0.000,1.911,0.612,0.961,0.612,0.484,0.600,"[0.455, 0.644, 0.711, 0.62, 0.0, 0.516, 0.675, 0.453, 0.328, 0.439]"
70,0.001,1.921,0.611,0.958,0.611,0.487,0.599,"[0.447, 0.641, 0.739, 0.617, 0.0, 0.52, 0.674, 0.478, 0.3, 0.456]"
71,0.002,2.023,0.620,0.959,0.620,0.501,0.608,"[0.479, 0.625, 0.727, 0.648, 0.0, 0.509, 0.678, 0.502, 0.32, 0.516]"
72,0.001,2.045,0.608,0.960,0.608,0.481,0.592,"[0.503, 0.623, 0.694, 0.624, 0.0, 0.479, 0.675, 0.433, 0.292, 0.482]"
73,0.001,1.990,0.608,0.962,0.608,0.468,0.593,"[0.39, 0.632, 0.694, 0.621, 0.0, 0.503, 0.672, 0.466, 0.273, 0.425]"
74,0.001,2.009,0.608,0.959,0.608,0.486,0.594,"[0.441, 0.629, 0.739, 0.627, 0.059, 0.493, 0.668, 0.446, 0.333, 0.43]"
75,0.001,2.011,0.609,0.956,0.609,0.491,0.598,"[0.449, 0.617, 0.744, 0.635, 0.0, 0.506, 0.662, 0.5, 0.348, 0.45]"
76,0.001,1.959,0.613,0.961,0.613,0.482,0.599,"[0.457, 0.632, 0.727, 0.629, 0.0, 0.484, 0.679, 0.5, 0.303, 0.405]"
77,0.000,1.991,0.608,0.958,0.608,0.492,0.596,"[0.46, 0.624, 0.711, 0.629, 0.108, 0.488, 0.669, 0.484, 0.326, 0.421]"
78,0.000,2.040,0.608,0.959,0.608,0.483,0.595,"[0.464, 0.622, 0.714, 0.624, 0.0, 0.488, 0.672, 0.489, 0.337, 0.425]"
79,0.001,2.021,0.606,0.958,0.606,0.481,0.594,"[0.468, 0.629, 0.744, 0.63, 0.0, 0.497, 0.661, 0.47, 0.297, 0.416]"
80,0.000,2.007,0.609,0.960,0.609,0.479,0.596,"[0.454, 0.635, 0.711, 0.626, 0.0, 0.493, 0.669, 0.471, 0.317, 0.416]"
81,0.000,2.008,0.610,0.962,0.610,0.471,0.597,"[0.446, 0.637, 0.682, 0.626, 0.0, 0.496, 0.675, 0.463, 0.308, 0.378]"
82,0.000,1.990,0.610,0.960,0.610,0.487,0.599,"[0.451, 0.633, 0.732, 0.62, 0.0, 0.526, 0.672, 0.476, 0.331, 0.425]"
83,0.000,1.978,0.614,0.960,0.614,0.483,0.602,"[0.457, 0.637, 0.696, 0.63, 0.0, 0.513, 0.674, 0.489, 0.332, 0.405]"
84,0.000,1.999,0.615,0.961,0.615,0.483,0.601,"[0.468, 0.639, 0.711, 0.636, 0.0, 0.49, 0.675, 0.479, 0.324, 0.405]"
85,0.000,1.978,0.613,0.961,0.613,0.490,0.603,"[0.448, 0.632, 0.732, 0.633, 0.0, 0.521, 0.668, 0.513, 0.332, 0.42]"
86,0.000,1.954,0.615,0.958,0.615,0.497,0.605,"[0.462, 0.632, 0.766, 0.63, 0.0, 0.515, 0.672, 0.533, 0.34, 0.425]"
87,0.000,2.018,0.614,0.961,0.614,0.488,0.601,"[0.467, 0.638, 0.756, 0.629, 0.0, 0.487, 0.678, 0.483, 0.328, 0.415]"
88,0.000,2.012,0.613,0.959,0.613,0.481,0.599,"[0.451, 0.639, 0.727, 0.63, 0.0, 0.5, 0.677, 0.443, 0.326, 0.416]"
89,0.001,2.053,0.615,0.960,0.615,0.483,0.601,"[0.468, 0.635, 0.744, 0.631, 0.0, 0.504, 0.68, 0.451, 0.351, 0.368]"
90,0.000,2.004,0.617,0.962,0.617,0.491,0.605,"[0.46, 0.645, 0.756, 0.63, 0.053, 0.516, 0.678, 0.474, 0.33, 0.373]"
91,0.000,2.064,0.615,0.960,0.615,0.490,0.604,"[0.446, 0.647, 0.732, 0.633, 0.089, 0.53, 0.671, 0.465, 0.315, 0.373]"
92,0.000,2.020,0.615,0.960,0.615,0.489,0.602,"[0.476, 0.648, 0.732, 0.619, 0.049, 0.518, 0.68, 0.471, 0.326, 0.368]"
93,0.000,2.047,0.614,0.959,0.614,0.473,0.600,"[0.469, 0.645, 0.714, 0.627, 0.0, 0.503, 0.678, 0.461, 0.32, 0.31]"
94,0.000,2.005,0.611,0.961,0.611,0.486,0.601,"[0.458, 0.641, 0.732, 0.622, 0.0, 0.517, 0.672, 0.49, 0.335, 0.39]"
95,0.000,1.982,0.617,0.962,0.617,0.496,0.605,"[0.467, 0.647, 0.756, 0.628, 0.049, 0.515, 0.677, 0.494, 0.33, 0.395]"
96,0.000,2.006,0.616,0.960,0.616,0.494,0.604,"[0.473, 0.641, 0.744, 0.633, 0.051, 0.508, 0.675, 0.49, 0.331, 0.39]"
97,0.000,1.960,0.616,0.961,0.616,0.490,0.604,"[0.476, 0.641, 0.756, 0.626, 0.0, 0.504, 0.681, 0.5, 0.33, 0.385]"
98,0.000,2.013,0.613,0.960,0.613,0.483,0.600,"[0.433, 0.646, 0.732, 0.62, 0.0, 0.499, 0.679, 0.489, 0.302, 0.43]"
99,0.000,1.993,0.613,0.962,0.613,0.485,0.601,"[0.443, 0.642, 0.732, 0.619, 0.0, 0.521, 0.677, 0.481, 0.333, 0.4]"
