epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.168,0.971,0.642,0.979,0.642,0.616,0.647,"[0.574, 0.739, 0.769, 0.671, 0.564, 0.622, 0.631, 0.539, 0.457, 0.59]"
01,0.546,0.820,0.678,0.991,0.678,0.650,0.681,"[0.641, 0.731, 0.766, 0.736, 0.55, 0.638, 0.661, 0.566, 0.536, 0.671]"
02,0.420,0.768,0.692,0.992,0.692,0.666,0.692,"[0.704, 0.782, 0.766, 0.745, 0.543, 0.656, 0.648, 0.573, 0.516, 0.726]"
03,0.325,0.720,0.712,0.993,0.712,0.680,0.715,"[0.673, 0.799, 0.766, 0.778, 0.571, 0.646, 0.68, 0.584, 0.579, 0.72]"
04,0.247,0.746,0.707,0.995,0.707,0.670,0.713,"[0.679, 0.802, 0.766, 0.784, 0.533, 0.635, 0.677, 0.565, 0.538, 0.724]"
05,0.217,0.684,0.732,0.994,0.732,0.691,0.735,"[0.702, 0.807, 0.792, 0.796, 0.562, 0.642, 0.722, 0.601, 0.558, 0.727]"
06,0.178,0.720,0.718,0.994,0.718,0.683,0.720,"[0.709, 0.792, 0.776, 0.779, 0.525, 0.643, 0.698, 0.595, 0.576, 0.735]"
07,0.148,0.676,0.750,0.994,0.750,0.693,0.750,"[0.704, 0.795, 0.766, 0.787, 0.491, 0.682, 0.768, 0.615, 0.595, 0.724]"
08,0.120,0.672,0.751,0.995,0.751,0.695,0.750,"[0.707, 0.806, 0.792, 0.802, 0.552, 0.662, 0.761, 0.617, 0.537, 0.718]"
09,0.095,0.705,0.747,0.994,0.747,0.691,0.746,"[0.721, 0.806, 0.792, 0.798, 0.475, 0.666, 0.747, 0.627, 0.541, 0.733]"
10,0.079,0.755,0.732,0.994,0.732,0.682,0.732,"[0.677, 0.798, 0.783, 0.793, 0.5, 0.669, 0.718, 0.596, 0.536, 0.746]"
11,0.073,0.734,0.753,0.994,0.753,0.699,0.752,"[0.715, 0.81, 0.783, 0.806, 0.508, 0.674, 0.753, 0.622, 0.561, 0.759]"
12,0.053,0.756,0.743,0.994,0.743,0.689,0.745,"[0.689, 0.813, 0.766, 0.802, 0.5, 0.685, 0.736, 0.579, 0.579, 0.739]"
13,0.046,0.780,0.743,0.993,0.743,0.689,0.744,"[0.705, 0.808, 0.766, 0.796, 0.5, 0.671, 0.742, 0.601, 0.55, 0.746]"
14,0.040,0.775,0.749,0.994,0.749,0.689,0.748,"[0.69, 0.8, 0.783, 0.8, 0.475, 0.681, 0.753, 0.616, 0.552, 0.739]"
15,0.030,0.797,0.754,0.993,0.754,0.692,0.751,"[0.709, 0.808, 0.792, 0.801, 0.464, 0.678, 0.76, 0.601, 0.564, 0.746]"
16,0.024,0.779,0.763,0.994,0.763,0.697,0.762,"[0.693, 0.813, 0.766, 0.812, 0.491, 0.684, 0.775, 0.623, 0.576, 0.733]"
17,0.023,0.800,0.754,0.993,0.754,0.686,0.752,"[0.697, 0.813, 0.766, 0.801, 0.475, 0.668, 0.767, 0.59, 0.554, 0.73]"
18,0.022,0.794,0.752,0.993,0.752,0.691,0.751,"[0.722, 0.809, 0.766, 0.802, 0.464, 0.674, 0.756, 0.604, 0.567, 0.741]"
19,0.016,0.808,0.760,0.992,0.760,0.688,0.758,"[0.702, 0.81, 0.75, 0.807, 0.473, 0.674, 0.777, 0.61, 0.57, 0.707]"
20,0.015,0.828,0.759,0.993,0.759,0.689,0.757,"[0.713, 0.805, 0.766, 0.805, 0.456, 0.675, 0.779, 0.592, 0.571, 0.73]"
21,0.011,0.846,0.752,0.992,0.752,0.691,0.750,"[0.717, 0.813, 0.783, 0.805, 0.481, 0.672, 0.752, 0.616, 0.549, 0.723]"
22,0.010,0.864,0.755,0.992,0.755,0.692,0.753,"[0.705, 0.812, 0.766, 0.807, 0.483, 0.667, 0.76, 0.623, 0.555, 0.741]"
23,0.009,0.877,0.758,0.992,0.758,0.691,0.756,"[0.721, 0.81, 0.766, 0.806, 0.5, 0.674, 0.774, 0.598, 0.537, 0.723]"
24,0.008,0.874,0.760,0.993,0.760,0.693,0.757,"[0.705, 0.811, 0.766, 0.808, 0.473, 0.674, 0.771, 0.609, 0.575, 0.741]"
25,0.008,0.906,0.756,0.992,0.756,0.694,0.754,"[0.713, 0.804, 0.766, 0.805, 0.526, 0.663, 0.774, 0.586, 0.57, 0.733]"
26,0.007,0.886,0.753,0.992,0.753,0.693,0.752,"[0.702, 0.811, 0.766, 0.806, 0.473, 0.669, 0.755, 0.617, 0.581, 0.746]"
27,0.005,0.895,0.758,0.992,0.758,0.696,0.756,"[0.714, 0.805, 0.783, 0.807, 0.491, 0.673, 0.772, 0.608, 0.575, 0.733]"
