epoch,train_loss,val_loss,rmse,mae
0,0.473+-0.032,0.29+-0.004,0.161+-0.002,0.113+-0.003
1,0.279+-0.018,0.318+-0.02,0.161+-0.014,0.101+-0.008
2,0.299+-0.03,0.326+-0.027,0.155+-0.004,0.094+-0.002
3,0.279+-0.019,0.35+-0.041,0.143+-0.003,0.086+-0.002
4,0.26+-0.023,0.321+-0.042,0.141+-0.006,0.084+-0.005
5,0.235+-0.027,0.315+-0.024,0.141+-0.003,0.081+-0.001
6,0.222+-0.015,0.304+-0.016,0.144+-0.004,0.082+-0.003
7,0.206+-0.015,0.285+-0.016,0.135+-0.004,0.077+-0.003
8,0.195+-0.021,0.276+-0.012,0.13+-0.004,0.075+-0.004
9,0.189+-0.015,0.275+-0.015,0.13+-0.005,0.075+-0.005
10,0.177+-0.014,0.283+-0.02,0.133+-0.008,0.077+-0.006
11,0.174+-0.018,0.286+-0.023,0.133+-0.009,0.076+-0.006
12,0.171+-0.008,0.276+-0.022,0.128+-0.01,0.073+-0.005
13,0.167+-0.004,0.265+-0.017,0.123+-0.009,0.07+-0.004
14,0.165+-0.011,0.261+-0.013,0.121+-0.005,0.069+-0.003
15,0.162+-0.006,0.26+-0.013,0.121+-0.003,0.068+-0.002
16,0.16+-0.008,0.261+-0.013,0.121+-0.0,0.069+-0.002
17,0.159+-0.006,0.258+-0.014,0.118+-0.002,0.067+-0.001
18,0.156+-0.005,0.252+-0.015,0.115+-0.001,0.065+-0.001
19,0.154+-0.005,0.25+-0.015,0.115+-0.001,0.065+-0.001
20,0.155+-0.009,0.25+-0.016,0.116+-0.002,0.066+-0.0
21,0.152+-0.009,0.249+-0.016,0.116+-0.001,0.066+-0.001
22,0.151+-0.004,0.248+-0.015,0.115+-0.001,0.066+-0.002
23,0.151+-0.007,0.246+-0.016,0.115+-0.001,0.066+-0.002
24,0.151+-0.004,0.244+-0.016,0.114+-0.002,0.066+-0.001
25,0.151+-0.007,0.244+-0.015,0.114+-0.001,0.065+-0.001
26,0.147+-0.005,0.244+-0.013,0.114+-0.001,0.066+-0.002
27,0.147+-0.006,0.245+-0.012,0.114+-0.001,0.066+-0.001
28,0.149+-0.006,0.245+-0.013,0.115+-0.002,0.066+-0.001
29,0.147+-0.006,0.243+-0.013,0.115+-0.002,0.066+-0.001
30,0.151+-0.005,0.243+-0.013,0.115+-0.001,0.066+-0.001
31,0.147+-0.006,0.241+-0.012,0.114+-0.001,0.065+-0.001
32,0.147+-0.004,0.242+-0.011,0.114+-0.001,0.066+-0.001
33,0.147+-0.005,0.242+-0.01,0.115+-0.001,0.066+-0.001
34,0.147+-0.006,0.242+-0.011,0.114+-0.001,0.065+-0.001
35,0.147+-0.005,0.242+-0.013,0.113+-0.001,0.065+-0.001
36,0.146+-0.005,0.241+-0.011,0.113+-0.001,0.065+-0.001
37,0.146+-0.004,0.241+-0.011,0.113+-0.002,0.065+-0.002
38,0.147+-0.005,0.241+-0.01,0.114+-0.001,0.065+-0.001
39,0.145+-0.003,0.241+-0.011,0.114+-0.001,0.065+-0.001
40,0.145+-0.005,0.241+-0.012,0.114+-0.002,0.065+-0.001
41,0.144+-0.005,0.239+-0.01,0.113+-0.002,0.065+-0.002
42,0.145+-0.005,0.239+-0.011,0.113+-0.003,0.065+-0.002
43,0.145+-0.006,0.239+-0.011,0.113+-0.002,0.065+-0.002
44,0.145+-0.003,0.24+-0.01,0.114+-0.0,0.065+-0.002
45,0.144+-0.004,0.239+-0.01,0.114+-0.001,0.065+-0.001
46,0.146+-0.005,0.239+-0.009,0.113+-0.001,0.065+-0.001
47,0.142+-0.003,0.238+-0.009,0.113+-0.001,0.065+-0.001
48,0.143+-0.004,0.238+-0.009,0.114+-0.001,0.065+-0.001
49,0.144+-0.004,0.239+-0.009,0.114+-0.001,0.065+-0.002
50,0.145+-0.005,0.239+-0.01,0.114+-0.001,0.065+-0.002
51,0.146+-0.004,0.24+-0.011,0.114+-0.002,0.065+-0.002
52,0.145+-0.004,0.239+-0.009,0.113+-0.002,0.065+-0.002
53,0.145+-0.004,0.24+-0.007,0.113+-0.002,0.065+-0.002
54,0.145+-0.006,0.239+-0.006,0.114+-0.002,0.065+-0.001
55,0.144+-0.003,0.238+-0.009,0.113+-0.001,0.064+-0.002
56,0.145+-0.007,0.238+-0.012,0.114+-0.003,0.065+-0.002
57,0.146+-0.005,0.237+-0.01,0.113+-0.002,0.064+-0.002
58,0.144+-0.004,0.238+-0.008,0.113+-0.002,0.065+-0.002
59,0.143+-0.006,0.238+-0.007,0.113+-0.001,0.065+-0.001
60,0.145+-0.006,0.238+-0.009,0.113+-0.001,0.065+-0.002
61,0.144+-0.004,0.24+-0.012,0.114+-0.003,0.065+-0.002
62,0.144+-0.004,0.238+-0.01,0.114+-0.002,0.065+-0.002
63,0.142+-0.006,0.236+-0.008,0.113+-0.001,0.064+-0.002
64,0.143+-0.007,0.238+-0.007,0.113+-0.002,0.065+-0.002
65,0.147+-0.005,0.24+-0.006,0.113+-0.002,0.065+-0.002
66,0.146+-0.002,0.241+-0.007,0.114+-0.001,0.065+-0.001
67,0.146+-0.004,0.239+-0.01,0.114+-0.002,0.065+-0.002
68,0.145+-0.006,0.236+-0.009,0.113+-0.001,0.064+-0.002
69,0.143+-0.003,0.236+-0.007,0.113+-0.001,0.064+-0.002
70,0.144+-0.006,0.237+-0.006,0.112+-0.001,0.064+-0.002
71,0.143+-0.004,0.24+-0.007,0.114+-0.002,0.065+-0.002
72,0.144+-0.004,0.24+-0.008,0.115+-0.002,0.065+-0.003
73,0.146+-0.003,0.237+-0.008,0.114+-0.001,0.065+-0.002
74,0.144+-0.003,0.236+-0.008,0.113+-0.001,0.064+-0.002
75,0.144+-0.005,0.237+-0.007,0.112+-0.001,0.064+-0.002
76,0.145+-0.001,0.24+-0.006,0.114+-0.001,0.064+-0.002
77,0.144+-0.004,0.24+-0.007,0.114+-0.002,0.065+-0.002
78,0.144+-0.005,0.238+-0.008,0.114+-0.001,0.064+-0.002
79,0.144+-0.003,0.237+-0.008,0.113+-0.001,0.064+-0.002
80,0.143+-0.004,0.236+-0.007,0.113+-0.002,0.064+-0.002
81,0.142+-0.007,0.237+-0.007,0.113+-0.002,0.064+-0.002
82,0.143+-0.002,0.238+-0.007,0.113+-0.001,0.064+-0.002
83,0.144+-0.006,0.238+-0.007,0.113+-0.001,0.064+-0.002
84,0.145+-0.003,0.238+-0.008,0.113+-0.001,0.064+-0.002
85,0.144+-0.004,0.237+-0.007,0.113+-0.002,0.064+-0.002
86,0.145+-0.003,0.237+-0.006,0.113+-0.002,0.064+-0.002
87,0.144+-0.005,0.237+-0.007,0.114+-0.001,0.064+-0.002
88,0.142+-0.005,0.238+-0.007,0.114+-0.001,0.064+-0.002
89,0.147+-0.004,0.238+-0.007,0.113+-0.002,0.065+-0.002
90,0.142+-0.004,0.238+-0.006,0.114+-0.002,0.064+-0.002
91,0.144+-0.007,0.238+-0.005,0.113+-0.002,0.064+-0.002
92,0.145+-0.005,0.237+-0.007,0.113+-0.001,0.064+-0.002
93,0.146+-0.007,0.238+-0.008,0.114+-0.001,0.064+-0.002
94,0.143+-0.004,0.238+-0.008,0.114+-0.001,0.064+-0.002
95,0.146+-0.002,0.238+-0.007,0.113+-0.002,0.064+-0.002
96,0.144+-0.003,0.238+-0.005,0.113+-0.001,0.064+-0.002
97,0.143+-0.005,0.237+-0.006,0.113+-0.001,0.064+-0.002
98,0.146+-0.005,0.237+-0.007,0.113+-0.001,0.064+-0.001
99,0.144+-0.008,0.237+-0.008,0.114+-0.001,0.064+-0.002
