epoch,train_loss,val_loss,rmse,mae
0,0.492+-0.021,0.443+-0.029,0.175+-0.002,0.128+-0.002
1,0.281+-0.01,0.352+-0.018,0.168+-0.003,0.122+-0.003
2,0.325+-0.027,0.302+-0.006,0.16+-0.003,0.111+-0.003
3,0.326+-0.019,0.302+-0.006,0.158+-0.001,0.107+-0.001
4,0.316+-0.027,0.315+-0.009,0.162+-0.003,0.109+-0.002
5,0.329+-0.019,0.31+-0.011,0.166+-0.003,0.111+-0.003
6,0.315+-0.026,0.303+-0.007,0.164+-0.006,0.109+-0.003
7,0.298+-0.015,0.299+-0.003,0.159+-0.006,0.106+-0.004
8,0.286+-0.018,0.313+-0.014,0.163+-0.003,0.109+-0.003
9,0.283+-0.027,0.315+-0.011,0.164+-0.003,0.111+-0.002
10,0.266+-0.018,0.297+-0.003,0.156+-0.006,0.106+-0.004
11,0.25+-0.016,0.294+-0.003,0.154+-0.003,0.104+-0.005
12,0.251+-0.012,0.294+-0.006,0.153+-0.003,0.104+-0.003
13,0.25+-0.008,0.302+-0.007,0.156+-0.001,0.106+-0.002
14,0.255+-0.009,0.295+-0.01,0.153+-0.006,0.103+-0.006
15,0.243+-0.008,0.286+-0.008,0.148+-0.004,0.099+-0.005
16,0.236+-0.006,0.284+-0.007,0.147+-0.001,0.097+-0.001
17,0.239+-0.006,0.284+-0.008,0.147+-0.001,0.097+-0.001
18,0.23+-0.005,0.281+-0.011,0.145+-0.004,0.095+-0.004
19,0.228+-0.004,0.28+-0.012,0.145+-0.003,0.093+-0.005
20,0.227+-0.002,0.279+-0.013,0.144+-0.003,0.093+-0.004
21,0.226+-0.002,0.277+-0.012,0.144+-0.003,0.093+-0.002
22,0.223+-0.003,0.276+-0.012,0.143+-0.003,0.093+-0.001
23,0.219+-0.003,0.275+-0.014,0.142+-0.003,0.092+-0.002
24,0.218+-0.006,0.272+-0.015,0.141+-0.003,0.091+-0.003
25,0.217+-0.003,0.271+-0.016,0.141+-0.004,0.091+-0.004
26,0.213+-0.005,0.271+-0.017,0.141+-0.003,0.09+-0.004
27,0.212+-0.003,0.27+-0.016,0.141+-0.002,0.09+-0.003
28,0.213+-0.005,0.267+-0.017,0.14+-0.003,0.09+-0.004
29,0.209+-0.004,0.268+-0.018,0.141+-0.003,0.09+-0.003
30,0.213+-0.006,0.268+-0.017,0.14+-0.003,0.089+-0.003
31,0.21+-0.005,0.266+-0.018,0.139+-0.004,0.089+-0.003
32,0.209+-0.005,0.266+-0.019,0.139+-0.004,0.089+-0.003
33,0.208+-0.003,0.265+-0.017,0.14+-0.002,0.089+-0.002
34,0.209+-0.004,0.265+-0.018,0.14+-0.003,0.089+-0.003
35,0.209+-0.006,0.264+-0.018,0.14+-0.004,0.09+-0.003
36,0.206+-0.003,0.263+-0.019,0.139+-0.003,0.089+-0.002
37,0.205+-0.003,0.263+-0.017,0.139+-0.002,0.088+-0.002
38,0.207+-0.004,0.261+-0.018,0.138+-0.002,0.088+-0.002
39,0.204+-0.003,0.262+-0.018,0.138+-0.003,0.089+-0.003
40,0.206+-0.002,0.261+-0.017,0.138+-0.003,0.088+-0.003
41,0.203+-0.003,0.26+-0.018,0.138+-0.003,0.088+-0.003
42,0.204+-0.007,0.26+-0.018,0.138+-0.002,0.088+-0.003
43,0.203+-0.007,0.26+-0.017,0.138+-0.003,0.088+-0.003
44,0.203+-0.005,0.261+-0.016,0.138+-0.003,0.088+-0.003
45,0.201+-0.006,0.259+-0.017,0.137+-0.003,0.087+-0.003
46,0.203+-0.006,0.258+-0.016,0.137+-0.002,0.086+-0.003
47,0.202+-0.005,0.258+-0.016,0.136+-0.003,0.087+-0.003
48,0.202+-0.005,0.259+-0.014,0.137+-0.002,0.088+-0.003
49,0.201+-0.005,0.258+-0.015,0.137+-0.003,0.086+-0.003
50,0.202+-0.005,0.27+-0.019,0.143+-0.009,0.09+-0.009
51,0.203+-0.003,0.286+-0.02,0.149+-0.015,0.094+-0.012
52,0.202+-0.003,0.297+-0.028,0.153+-0.014,0.097+-0.011
53,0.202+-0.002,0.288+-0.032,0.15+-0.007,0.094+-0.004
54,0.2+-0.005,0.315+-0.062,0.157+-0.008,0.1+-0.006
55,0.193+-0.004,0.303+-0.033,0.155+-0.001,0.096+-0.004
56,0.194+-0.009,0.289+-0.038,0.146+-0.004,0.091+-0.005
57,0.192+-0.005,0.308+-0.047,0.15+-0.01,0.094+-0.006
58,0.187+-0.005,0.304+-0.035,0.152+-0.006,0.093+-0.003
59,0.186+-0.004,0.307+-0.022,0.155+-0.006,0.094+-0.005
60,0.185+-0.008,0.295+-0.02,0.147+-0.005,0.09+-0.008
61,0.181+-0.007,0.282+-0.033,0.144+-0.006,0.087+-0.005
62,0.183+-0.004,0.28+-0.015,0.142+-0.008,0.085+-0.006
63,0.177+-0.003,0.278+-0.015,0.142+-0.007,0.086+-0.007
64,0.175+-0.006,0.271+-0.024,0.14+-0.004,0.084+-0.007
65,0.175+-0.004,0.276+-0.003,0.142+-0.006,0.085+-0.005
66,0.172+-0.001,0.274+-0.016,0.142+-0.01,0.084+-0.007
67,0.17+-0.004,0.272+-0.004,0.139+-0.008,0.082+-0.007
68,0.168+-0.006,0.263+-0.014,0.137+-0.005,0.081+-0.004
69,0.165+-0.001,0.26+-0.016,0.137+-0.005,0.08+-0.003
70,0.165+-0.007,0.263+-0.01,0.14+-0.001,0.081+-0.003
71,0.162+-0.006,0.254+-0.008,0.132+-0.006,0.078+-0.003
72,0.162+-0.003,0.253+-0.009,0.133+-0.003,0.078+-0.003
73,0.161+-0.004,0.257+-0.009,0.135+-0.003,0.078+-0.004
74,0.159+-0.004,0.257+-0.005,0.137+-0.005,0.079+-0.004
75,0.158+-0.006,0.253+-0.01,0.134+-0.002,0.078+-0.002
76,0.16+-0.002,0.253+-0.001,0.134+-0.005,0.077+-0.002
77,0.157+-0.004,0.261+-0.007,0.138+-0.006,0.08+-0.003
78,0.156+-0.006,0.252+-0.007,0.132+-0.008,0.077+-0.003
79,0.155+-0.003,0.252+-0.005,0.132+-0.006,0.077+-0.002
80,0.154+-0.006,0.252+-0.005,0.131+-0.001,0.077+-0.001
81,0.152+-0.007,0.256+-0.009,0.132+-0.007,0.078+-0.005
82,0.153+-0.002,0.25+-0.005,0.131+-0.006,0.075+-0.003
83,0.153+-0.006,0.249+-0.008,0.131+-0.005,0.074+-0.002
84,0.153+-0.004,0.25+-0.011,0.13+-0.005,0.074+-0.002
85,0.151+-0.004,0.25+-0.007,0.13+-0.001,0.074+-0.001
86,0.153+-0.004,0.25+-0.005,0.131+-0.002,0.076+-0.002
87,0.151+-0.004,0.253+-0.008,0.134+-0.004,0.077+-0.001
88,0.149+-0.005,0.249+-0.009,0.13+-0.001,0.074+-0.002
89,0.153+-0.005,0.248+-0.006,0.128+-0.003,0.073+-0.002
90,0.148+-0.005,0.252+-0.005,0.13+-0.003,0.075+-0.002
91,0.15+-0.006,0.249+-0.007,0.13+-0.002,0.074+-0.001
92,0.151+-0.004,0.248+-0.005,0.129+-0.004,0.073+-0.002
93,0.152+-0.007,0.249+-0.007,0.13+-0.004,0.074+-0.002
94,0.148+-0.005,0.251+-0.006,0.131+-0.006,0.075+-0.003
95,0.153+-0.002,0.25+-0.006,0.129+-0.003,0.074+-0.001
96,0.15+-0.003,0.25+-0.01,0.129+-0.004,0.074+-0.001
97,0.148+-0.005,0.251+-0.008,0.131+-0.001,0.075+-0.001
98,0.152+-0.004,0.249+-0.006,0.13+-0.001,0.074+-0.001
99,0.149+-0.008,0.247+-0.007,0.129+-0.001,0.073+-0.001
