epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.462,0.3,0.167,0.12,
1,0.27,0.314,0.168,0.111,
2,0.311,0.329,0.173,0.109,
3,0.311,0.333,0.165,0.104,
4,0.304,0.309,0.151,0.095,
5,0.278,0.313,0.158,0.101,
6,0.276,0.297,0.15,0.095,
7,0.253,0.297,0.15,0.093,
8,0.244,0.297,0.149,0.092,
9,0.239,0.282,0.14,0.086,
10,0.233,0.277,0.139,0.087,
11,0.23,0.279,0.141,0.088,
12,0.227,0.276,0.138,0.085,
13,0.218,0.27,0.135,0.081,
14,0.216,0.268,0.134,0.08,
15,0.214,0.266,0.133,0.08,
16,0.208,0.264,0.132,0.079,
17,0.207,0.262,0.132,0.079,
18,0.202,0.259,0.13,0.078,
19,0.204,0.258,0.13,0.078,
20,0.201,0.256,0.129,0.077,
21,0.201,0.255,0.128,0.077,
22,0.197,0.255,0.129,0.078,
23,0.194,0.252,0.128,0.077,
24,0.194,0.252,0.129,0.077,
25,0.19,0.25,0.128,0.076,
26,0.191,0.248,0.127,0.076,
27,0.191,0.248,0.128,0.076,
28,0.189,0.248,0.128,0.077,
29,0.185,0.247,0.127,0.076,
30,0.184,0.246,0.127,0.076,
31,0.186,0.245,0.127,0.076,
32,0.185,0.244,0.127,0.075,
33,0.184,0.245,0.127,0.076,
34,0.183,0.243,0.126,0.076,
35,0.186,0.242,0.126,0.076,
36,0.183,0.242,0.127,0.076,
37,0.182,0.242,0.127,0.076,
38,0.181,0.242,0.127,0.076,
39,0.181,0.241,0.126,0.076,
40,0.178,0.241,0.126,0.075,
41,0.179,0.24,0.126,0.075,
42,0.179,0.24,0.126,0.075,
43,0.178,0.24,0.126,0.075,
44,0.18,0.239,0.126,0.075,
45,0.18,0.239,0.126,0.075,
46,0.178,0.239,0.126,0.075,
47,0.177,0.239,0.126,0.075,
48,0.179,0.239,0.126,0.075,
49,0.177,0.239,0.126,0.076,
50,0.179,0.239,0.126,0.075,
51,0.177,0.239,0.126,0.075,
52,0.178,0.238,0.125,0.074,
53,0.176,0.238,0.125,0.074,
54,0.175,0.238,0.125,0.074,
55,0.173,0.238,0.125,0.074,
56,0.174,0.238,0.125,0.074,
57,0.173,0.238,0.125,0.074,
58,0.17,0.237,0.124,0.074,
59,0.171,0.237,0.124,0.073,
60,0.17,0.237,0.123,0.073,
61,0.17,0.236,0.123,0.072,
62,0.169,0.236,0.123,0.072,
63,0.166,0.236,0.122,0.072,
64,0.168,0.235,0.123,0.072,
65,0.166,0.235,0.122,0.072,
66,0.167,0.235,0.122,0.072,
67,0.165,0.235,0.122,0.071,
68,0.164,0.235,0.122,0.071,
69,0.163,0.235,0.122,0.071,
70,0.163,0.235,0.122,0.071,
71,0.163,0.236,0.122,0.071,
72,0.162,0.236,0.122,0.071,
73,0.164,0.236,0.122,0.071,
74,0.16,0.235,0.121,0.071,
75,0.162,0.235,0.121,0.071,
76,0.161,0.235,0.121,0.07,
77,0.161,0.235,0.121,0.07,
78,0.161,0.235,0.121,0.071,
79,0.158,0.235,0.122,0.071,
80,0.16,0.235,0.122,0.07,
81,0.159,0.236,0.122,0.07,
82,0.16,0.235,0.122,0.07,
83,0.158,0.235,0.121,0.07,
84,0.158,0.235,0.121,0.07,
85,0.159,0.235,0.121,0.07,
86,0.158,0.235,0.121,0.07,
87,0.16,0.236,0.121,0.07,
88,0.158,0.236,0.122,0.07,
89,0.159,0.236,0.122,0.07,
90,0.159,0.235,0.122,0.07,
91,0.155,0.235,0.121,0.07,
92,0.156,0.235,0.121,0.07,
93,0.157,0.235,0.121,0.07,
94,0.155,0.235,0.121,0.07,
95,0.156,0.235,0.121,0.07,
96,0.154,0.235,0.121,0.07,
97,0.156,0.235,0.121,0.07,
98,0.156,0.235,0.122,0.07,
99,0.156,0.235,0.122,0.07,"[0.067, 0.178, 0.042, 0.235, 0.053, 0.141, 0.184, 0.105, 0.122, 0.089]"
