epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.473,0.29,0.161,0.113,
1,0.279,0.318,0.161,0.101,
2,0.299,0.326,0.155,0.094,
3,0.279,0.35,0.143,0.086,
4,0.26,0.321,0.141,0.084,
5,0.235,0.315,0.141,0.081,
6,0.222,0.304,0.144,0.082,
7,0.206,0.285,0.135,0.077,
8,0.195,0.276,0.13,0.075,
9,0.189,0.275,0.13,0.075,
10,0.177,0.283,0.133,0.077,
11,0.174,0.286,0.133,0.076,
12,0.171,0.276,0.128,0.073,
13,0.167,0.265,0.123,0.07,
14,0.165,0.261,0.121,0.069,
15,0.162,0.26,0.121,0.068,
16,0.16,0.261,0.121,0.069,
17,0.159,0.258,0.118,0.067,
18,0.156,0.252,0.115,0.065,
19,0.154,0.25,0.115,0.065,
20,0.155,0.25,0.116,0.066,
21,0.152,0.249,0.116,0.066,
22,0.151,0.248,0.115,0.066,
23,0.151,0.246,0.115,0.066,
24,0.151,0.244,0.114,0.066,
25,0.151,0.244,0.114,0.065,
26,0.147,0.244,0.114,0.066,
27,0.147,0.245,0.114,0.066,
28,0.149,0.245,0.115,0.066,
29,0.147,0.243,0.115,0.066,
30,0.151,0.243,0.115,0.066,
31,0.147,0.241,0.114,0.065,
32,0.147,0.242,0.114,0.066,
33,0.147,0.242,0.115,0.066,
34,0.147,0.242,0.114,0.065,
35,0.147,0.242,0.113,0.065,
36,0.146,0.241,0.113,0.065,
37,0.146,0.241,0.113,0.065,
38,0.147,0.241,0.114,0.065,
39,0.145,0.241,0.114,0.065,
40,0.145,0.241,0.114,0.065,
41,0.144,0.239,0.113,0.065,
42,0.145,0.239,0.113,0.065,
43,0.145,0.239,0.113,0.065,
44,0.145,0.24,0.114,0.065,
45,0.144,0.239,0.114,0.065,
46,0.146,0.239,0.113,0.065,
47,0.142,0.238,0.113,0.065,
48,0.143,0.238,0.114,0.065,
49,0.144,0.239,0.114,0.065,
50,0.145,0.239,0.114,0.065,
51,0.146,0.24,0.114,0.065,
52,0.145,0.239,0.113,0.065,
53,0.145,0.24,0.113,0.065,
54,0.145,0.239,0.114,0.065,
55,0.144,0.238,0.113,0.064,
56,0.145,0.238,0.114,0.065,
57,0.146,0.237,0.113,0.064,
58,0.144,0.238,0.113,0.065,
59,0.143,0.238,0.113,0.065,
60,0.145,0.238,0.113,0.065,
61,0.144,0.24,0.114,0.065,
62,0.144,0.238,0.114,0.065,
63,0.142,0.236,0.113,0.064,
64,0.143,0.238,0.113,0.065,
65,0.147,0.24,0.113,0.065,
66,0.146,0.241,0.114,0.065,
67,0.146,0.239,0.114,0.065,
68,0.145,0.236,0.113,0.064,
69,0.143,0.236,0.113,0.064,
70,0.144,0.237,0.112,0.064,
71,0.143,0.24,0.114,0.065,
72,0.144,0.24,0.115,0.065,
73,0.146,0.237,0.114,0.065,
74,0.144,0.236,0.113,0.064,
75,0.144,0.237,0.112,0.064,
76,0.145,0.24,0.114,0.064,
77,0.144,0.24,0.114,0.065,
78,0.144,0.238,0.114,0.064,
79,0.144,0.237,0.113,0.064,
80,0.143,0.236,0.113,0.064,
81,0.142,0.237,0.113,0.064,
82,0.143,0.238,0.113,0.064,
83,0.144,0.238,0.113,0.064,
84,0.145,0.238,0.113,0.064,
85,0.144,0.237,0.113,0.064,
86,0.145,0.237,0.113,0.064,
87,0.144,0.237,0.114,0.064,
88,0.142,0.238,0.114,0.064,
89,0.147,0.238,0.113,0.065,
90,0.142,0.238,0.114,0.064,
91,0.144,0.238,0.113,0.064,
92,0.145,0.237,0.113,0.064,
93,0.146,0.238,0.114,0.064,
94,0.143,0.238,0.114,0.064,
95,0.146,0.238,0.113,0.064,
96,0.144,0.238,0.113,0.064,
97,0.143,0.237,0.113,0.064,
98,0.146,0.237,0.113,0.064,
99,0.144,0.237,0.114,0.064,"[0.068, 0.161, 0.044, 0.213, 0.055, 0.131, 0.174, 0.098, 0.111, 0.083]"
