epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.492,0.443,0.175,0.128,
1,0.281,0.352,0.168,0.122,
2,0.325,0.302,0.16,0.111,
3,0.326,0.302,0.158,0.107,
4,0.316,0.315,0.162,0.109,
5,0.329,0.31,0.166,0.111,
6,0.315,0.303,0.164,0.109,
7,0.298,0.299,0.159,0.106,
8,0.286,0.313,0.163,0.109,
9,0.283,0.315,0.164,0.111,
10,0.266,0.297,0.156,0.106,
11,0.25,0.294,0.154,0.104,
12,0.251,0.294,0.153,0.104,
13,0.25,0.302,0.156,0.106,
14,0.255,0.295,0.153,0.103,
15,0.243,0.286,0.148,0.099,
16,0.236,0.284,0.147,0.097,
17,0.239,0.284,0.147,0.097,
18,0.23,0.281,0.145,0.095,
19,0.228,0.28,0.145,0.093,
20,0.227,0.279,0.144,0.093,
21,0.226,0.277,0.144,0.093,
22,0.223,0.276,0.143,0.093,
23,0.219,0.275,0.142,0.092,
24,0.218,0.272,0.141,0.091,
25,0.217,0.271,0.141,0.091,
26,0.213,0.271,0.141,0.09,
27,0.212,0.27,0.141,0.09,
28,0.213,0.267,0.14,0.09,
29,0.209,0.268,0.141,0.09,
30,0.213,0.268,0.14,0.089,
31,0.21,0.266,0.139,0.089,
32,0.209,0.266,0.139,0.089,
33,0.208,0.265,0.14,0.089,
34,0.209,0.265,0.14,0.089,
35,0.209,0.264,0.14,0.09,
36,0.206,0.263,0.139,0.089,
37,0.205,0.263,0.139,0.088,
38,0.207,0.261,0.138,0.088,
39,0.204,0.262,0.138,0.089,
40,0.206,0.261,0.138,0.088,
41,0.203,0.26,0.138,0.088,
42,0.204,0.26,0.138,0.088,
43,0.203,0.26,0.138,0.088,
44,0.203,0.261,0.138,0.088,
45,0.201,0.259,0.137,0.087,
46,0.203,0.258,0.137,0.086,
47,0.202,0.258,0.136,0.087,
48,0.202,0.259,0.137,0.088,
49,0.201,0.258,0.137,0.086,
50,0.202,0.27,0.143,0.09,
51,0.203,0.286,0.149,0.094,
52,0.202,0.297,0.153,0.097,
53,0.202,0.288,0.15,0.094,
54,0.2,0.315,0.157,0.1,
55,0.193,0.303,0.155,0.096,
56,0.194,0.289,0.146,0.091,
57,0.192,0.308,0.15,0.094,
58,0.187,0.304,0.152,0.093,
59,0.186,0.307,0.155,0.094,
60,0.185,0.295,0.147,0.09,
61,0.181,0.282,0.144,0.087,
62,0.183,0.28,0.142,0.085,
63,0.177,0.278,0.142,0.086,
64,0.175,0.271,0.14,0.084,
65,0.175,0.276,0.142,0.085,
66,0.172,0.274,0.142,0.084,
67,0.17,0.272,0.139,0.082,
68,0.168,0.263,0.137,0.081,
69,0.165,0.26,0.137,0.08,
70,0.165,0.263,0.14,0.081,
71,0.162,0.254,0.132,0.078,
72,0.162,0.253,0.133,0.078,
73,0.161,0.257,0.135,0.078,
74,0.159,0.257,0.137,0.079,
75,0.158,0.253,0.134,0.078,
76,0.16,0.253,0.134,0.077,
77,0.157,0.261,0.138,0.08,
78,0.156,0.252,0.132,0.077,
79,0.155,0.252,0.132,0.077,
80,0.154,0.252,0.131,0.077,
81,0.152,0.256,0.132,0.078,
82,0.153,0.25,0.131,0.075,
83,0.153,0.249,0.131,0.074,
84,0.153,0.25,0.13,0.074,
85,0.151,0.25,0.13,0.074,
86,0.153,0.25,0.131,0.076,
87,0.151,0.253,0.134,0.077,
88,0.149,0.249,0.13,0.074,
89,0.153,0.248,0.128,0.073,
90,0.148,0.252,0.13,0.075,
91,0.15,0.249,0.13,0.074,
92,0.151,0.248,0.129,0.073,
93,0.152,0.249,0.13,0.074,
94,0.148,0.251,0.131,0.075,
95,0.153,0.25,0.129,0.074,
96,0.15,0.25,0.129,0.074,
97,0.148,0.251,0.131,0.075,
98,0.152,0.249,0.13,0.074,
99,0.149,0.247,0.129,0.073,"[0.091, 0.179, 0.041, 0.264, 0.051, 0.14, 0.206, 0.097, 0.135, 0.088]"
