epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.031,0.006,0.002,0.003,
1,0.018,0.024,0.015,0.009,
2,0.031,0.019,0.009,0.005,
3,0.019,0.034,0.002,0.001,
4,0.025,0.042,0.005,0.003,
5,0.032,0.036,0.007,0.003,
6,0.028,0.024,0.005,0.005,
7,0.02,0.042,0.009,0.005,
8,0.038,0.038,0.007,0.004,
9,0.029,0.02,0.006,0.006,
10,0.023,0.015,0.001,0.004,
11,0.024,0.02,0.007,0.003,
12,0.016,0.01,0.002,0.002,
13,0.008,0.009,0.001,0.001,
14,0.009,0.009,0.002,0.003,
15,0.005,0.009,0.003,0.002,
16,0.007,0.008,0.002,0.001,
17,0.001,0.011,0.002,0.003,
18,0.005,0.012,0.002,0.002,
19,0.002,0.01,0.002,0.001,
20,0.003,0.011,0.002,0.001,
21,0.004,0.013,0.001,0.001,
22,0.003,0.012,0.002,0.001,
23,0.004,0.012,0.001,0.001,
24,0.004,0.012,0.002,0.0,
25,0.006,0.014,0.001,0.001,
26,0.006,0.015,0.001,0.001,
27,0.004,0.015,0.002,0.001,
28,0.005,0.015,0.002,0.001,
29,0.005,0.015,0.001,0.001,
30,0.005,0.015,0.001,0.001,
31,0.007,0.015,0.001,0.001,
32,0.005,0.014,0.001,0.001,
33,0.004,0.014,0.002,0.001,
34,0.004,0.014,0.001,0.001,
35,0.007,0.013,0.002,0.001,
36,0.003,0.013,0.001,0.001,
37,0.004,0.012,0.001,0.001,
38,0.004,0.012,0.002,0.0,
39,0.003,0.012,0.002,0.001,
40,0.004,0.011,0.001,0.0,
41,0.003,0.011,0.001,0.001,
42,0.005,0.011,0.001,0.001,
43,0.007,0.011,0.001,0.0,
44,0.003,0.01,0.002,0.0,
45,0.004,0.009,0.001,0.001,
46,0.004,0.01,0.001,0.001,
47,0.004,0.009,0.001,0.0,
48,0.003,0.008,0.002,0.001,
49,0.004,0.008,0.001,0.001,
50,0.005,0.008,0.001,0.001,
51,0.003,0.007,0.001,0.001,
52,0.004,0.007,0.001,0.0,
53,0.004,0.008,0.002,0.001,
54,0.008,0.007,0.001,0.0,
55,0.003,0.006,0.002,0.001,
56,0.008,0.006,0.002,0.0,
57,0.004,0.009,0.003,0.002,
58,0.005,0.007,0.002,0.002,
59,0.005,0.005,0.002,0.001,
60,0.005,0.005,0.002,0.001,
61,0.004,0.005,0.001,0.001,
62,0.003,0.005,0.001,0.001,
63,0.006,0.004,0.001,0.001,
64,0.008,0.004,0.001,0.001,
65,0.006,0.004,0.002,0.001,
66,0.002,0.005,0.003,0.001,
67,0.004,0.005,0.001,0.001,
68,0.006,0.005,0.001,0.0,
69,0.004,0.006,0.002,0.001,
70,0.006,0.005,0.001,0.0,
71,0.004,0.003,0.001,0.001,
72,0.003,0.004,0.001,0.001,
73,0.003,0.007,0.002,0.001,
74,0.003,0.007,0.002,0.001,
75,0.005,0.006,0.002,0.001,
76,0.002,0.004,0.001,0.001,
77,0.002,0.006,0.001,0.001,
78,0.005,0.007,0.001,0.001,
79,0.002,0.006,0.001,0.001,
80,0.004,0.004,0.002,0.002,
81,0.006,0.004,0.002,0.002,
82,0.001,0.004,0.001,0.001,
83,0.005,0.005,0.001,0.0,
84,0.003,0.005,0.001,0.001,
85,0.003,0.005,0.001,0.001,
86,0.004,0.004,0.001,0.001,
87,0.005,0.005,0.001,0.001,
88,0.005,0.006,0.0,0.0,
89,0.004,0.006,0.001,0.001,
90,0.004,0.004,0.001,0.001,
91,0.007,0.003,0.001,0.001,
92,0.005,0.004,0.001,0.001,
93,0.007,0.006,0.001,0.001,
94,0.004,0.006,0.002,0.0,
95,0.003,0.005,0.001,0.0,
96,0.003,0.006,0.002,0.001,
97,0.005,0.004,0.002,0.0,
98,0.003,0.007,0.002,0.001,
99,0.007,0.005,0.002,0.0,"[0.001, 0.005, 0.001, 0.004, 0.001, 0.006, 0.005, 0.004, 0.005, 0.004]"
