epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.021,0.029,0.002,0.002,
1,0.01,0.018,0.003,0.003,
2,0.027,0.006,0.003,0.003,
3,0.019,0.006,0.001,0.001,
4,0.027,0.009,0.003,0.002,
5,0.019,0.011,0.003,0.003,
6,0.026,0.007,0.006,0.003,
7,0.015,0.003,0.006,0.004,
8,0.018,0.014,0.003,0.003,
9,0.027,0.011,0.003,0.002,
10,0.018,0.003,0.006,0.004,
11,0.016,0.003,0.003,0.005,
12,0.012,0.006,0.003,0.003,
13,0.008,0.007,0.001,0.002,
14,0.009,0.01,0.006,0.006,
15,0.008,0.008,0.004,0.005,
16,0.006,0.007,0.001,0.001,
17,0.006,0.008,0.001,0.001,
18,0.005,0.011,0.004,0.004,
19,0.004,0.012,0.003,0.005,
20,0.002,0.013,0.003,0.004,
21,0.002,0.012,0.003,0.002,
22,0.003,0.012,0.003,0.001,
23,0.003,0.014,0.003,0.002,
24,0.006,0.015,0.003,0.003,
25,0.003,0.016,0.004,0.004,
26,0.005,0.017,0.003,0.004,
27,0.003,0.016,0.002,0.003,
28,0.005,0.017,0.003,0.004,
29,0.004,0.018,0.003,0.003,
30,0.006,0.017,0.003,0.003,
31,0.005,0.018,0.004,0.003,
32,0.005,0.019,0.004,0.003,
33,0.003,0.017,0.002,0.002,
34,0.004,0.018,0.003,0.003,
35,0.006,0.018,0.004,0.003,
36,0.003,0.019,0.003,0.002,
37,0.003,0.017,0.002,0.002,
38,0.004,0.018,0.002,0.002,
39,0.003,0.018,0.003,0.003,
40,0.002,0.017,0.003,0.003,
41,0.003,0.018,0.003,0.003,
42,0.007,0.018,0.002,0.003,
43,0.007,0.017,0.003,0.003,
44,0.005,0.016,0.003,0.003,
45,0.006,0.017,0.003,0.003,
46,0.006,0.016,0.002,0.003,
47,0.005,0.016,0.003,0.003,
48,0.005,0.014,0.002,0.003,
49,0.005,0.015,0.003,0.003,
50,0.005,0.019,0.009,0.009,
51,0.003,0.02,0.015,0.012,
52,0.003,0.028,0.014,0.011,
53,0.002,0.032,0.007,0.004,
54,0.005,0.062,0.008,0.006,
55,0.004,0.033,0.001,0.004,
56,0.009,0.038,0.004,0.005,
57,0.005,0.047,0.01,0.006,
58,0.005,0.035,0.006,0.003,
59,0.004,0.022,0.006,0.005,
60,0.008,0.02,0.005,0.008,
61,0.007,0.033,0.006,0.005,
62,0.004,0.015,0.008,0.006,
63,0.003,0.015,0.007,0.007,
64,0.006,0.024,0.004,0.007,
65,0.004,0.003,0.006,0.005,
66,0.001,0.016,0.01,0.007,
67,0.004,0.004,0.008,0.007,
68,0.006,0.014,0.005,0.004,
69,0.001,0.016,0.005,0.003,
70,0.007,0.01,0.001,0.003,
71,0.006,0.008,0.006,0.003,
72,0.003,0.009,0.003,0.003,
73,0.004,0.009,0.003,0.004,
74,0.004,0.005,0.005,0.004,
75,0.006,0.01,0.002,0.002,
76,0.002,0.001,0.005,0.002,
77,0.004,0.007,0.006,0.003,
78,0.006,0.007,0.008,0.003,
79,0.003,0.005,0.006,0.002,
80,0.006,0.005,0.001,0.001,
81,0.007,0.009,0.007,0.005,
82,0.002,0.005,0.006,0.003,
83,0.006,0.008,0.005,0.002,
84,0.004,0.011,0.005,0.002,
85,0.004,0.007,0.001,0.001,
86,0.004,0.005,0.002,0.002,
87,0.004,0.008,0.004,0.001,
88,0.005,0.009,0.001,0.002,
89,0.005,0.006,0.003,0.002,
90,0.005,0.005,0.003,0.002,
91,0.006,0.007,0.002,0.001,
92,0.004,0.005,0.004,0.002,
93,0.007,0.007,0.004,0.002,
94,0.005,0.006,0.006,0.003,
95,0.002,0.006,0.003,0.001,
96,0.003,0.01,0.004,0.001,
97,0.005,0.008,0.001,0.001,
98,0.004,0.006,0.001,0.001,
99,0.008,0.007,0.001,0.001,"[0.011, 0.001, 0.004, 0.004, 0.0, 0.003, 0.004, 0.004, 0.017, 0.004]"
