epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.007,0.008,0.004,0.003,
1,0.009,0.004,0.003,0.003,
2,0.006,0.012,0.007,0.005,
3,0.006,0.002,0.003,0.002,
4,0.006,0.004,0.004,0.003,
5,0.005,0.002,0.002,0.001,
6,0.003,0.001,0.001,0.002,
7,0.003,0.014,0.01,0.006,
8,0.002,0.01,0.007,0.005,
9,0.005,0.007,0.008,0.007,
10,0.004,0.005,0.002,0.001,
11,0.004,0.003,0.002,0.002,
12,0.004,0.003,0.007,0.005,
13,0.003,0.004,0.006,0.003,
14,0.004,0.004,0.004,0.002,
15,0.002,0.006,0.006,0.004,
16,0.003,0.005,0.005,0.003,
17,0.003,0.009,0.005,0.006,
18,0.003,0.004,0.005,0.004,
19,0.002,0.003,0.004,0.003,
20,0.002,0.006,0.008,0.005,
21,0.002,0.02,0.012,0.006,
22,0.002,0.007,0.004,0.004,
23,0.001,0.005,0.004,0.003,
24,0.002,0.007,0.009,0.006,
25,0.003,0.002,0.002,0.002,
26,0.003,0.009,0.009,0.006,
27,0.003,0.001,0.002,0.001,
28,0.002,0.001,0.002,0.003,
29,0.002,0.001,0.001,0.002,
30,0.002,0.003,0.002,0.003,
31,0.002,0.007,0.005,0.002,
32,0.003,0.002,0.002,0.001,
33,0.003,0.002,0.002,0.002,
34,0.003,0.003,0.002,0.002,
35,0.004,0.002,0.002,0.001,
36,0.004,0.005,0.005,0.003,
37,0.003,0.007,0.005,0.002,
38,0.004,0.002,0.001,0.002,
39,0.003,0.004,0.003,0.001,
40,0.003,0.002,0.003,0.003,
41,0.003,0.002,0.001,0.002,
42,0.004,0.005,0.006,0.005,
43,0.002,0.004,0.005,0.003,
44,0.003,0.002,0.001,0.002,
45,0.003,0.007,0.004,0.002,
46,0.002,0.002,0.001,0.002,
47,0.003,0.004,0.004,0.004,
48,0.002,0.002,0.001,0.001,
49,0.002,0.001,0.003,0.002,
50,0.002,0.003,0.002,0.002,
51,0.003,0.002,0.002,0.002,
52,0.003,0.002,0.001,0.002,
53,0.004,0.003,0.004,0.001,
54,0.003,0.002,0.002,0.001,
55,0.003,0.003,0.003,0.002,
56,0.002,0.003,0.002,0.001,
57,0.002,0.007,0.005,0.003,
58,0.003,0.004,0.005,0.004,
59,0.002,0.003,0.003,0.001,
60,0.002,0.001,0.002,0.001,
61,0.001,0.004,0.004,0.003,
62,0.003,0.002,0.001,0.001,
63,0.002,0.002,0.003,0.001,
64,0.002,0.002,0.002,0.001,
65,0.003,0.001,0.002,0.003,
66,0.003,0.002,0.001,0.001,
67,0.002,0.001,0.002,0.002,
68,0.003,0.01,0.006,0.003,
69,0.002,0.002,0.003,0.002,
70,0.002,0.003,0.002,0.002,
71,0.003,0.001,0.001,0.002,
72,0.003,0.001,0.002,0.001,
73,0.002,0.003,0.003,0.002,
74,0.003,0.002,0.002,0.002,
75,0.002,0.002,0.001,0.001,
76,0.002,0.004,0.002,0.002,
77,0.002,0.002,0.002,0.001,
78,0.003,0.001,0.002,0.001,
79,0.003,0.003,0.002,0.002,
80,0.003,0.002,0.002,0.001,
81,0.003,0.001,0.002,0.001,
82,0.002,0.002,0.002,0.002,
83,0.003,0.003,0.003,0.002,
84,0.003,0.002,0.002,0.002,
85,0.003,0.002,0.004,0.002,
86,0.003,0.002,0.003,0.002,
87,0.003,0.0,0.003,0.001,
88,0.003,0.001,0.001,0.001,
89,0.003,0.008,0.007,0.006,
90,0.003,0.001,0.001,0.001,
91,0.003,0.001,0.002,0.001,
92,0.003,0.001,0.002,0.001,
93,0.003,0.007,0.005,0.004,
94,0.002,0.003,0.002,0.001,
95,0.002,0.002,0.002,0.001,
96,0.002,0.001,0.001,0.002,
97,0.002,0.003,0.005,0.003,
98,0.003,0.006,0.008,0.004,
99,0.002,0.004,0.004,0.004,"[0.002, 0.007, 0.002, 0.018, 0.003, 0.004, 0.002, 0.001, 0.001, 0.005]"
