epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.028,0.036,0.008,0.005,
1,0.032,0.021,0.007,0.007,
2,0.01,0.006,0.004,0.004,
3,0.008,0.008,0.002,0.001,
4,0.006,0.009,0.002,0.0,
5,0.004,0.006,0.002,0.001,
6,0.004,0.005,0.002,0.001,
7,0.002,0.003,0.001,0.001,
8,0.001,0.005,0.002,0.002,
9,0.001,0.003,0.002,0.001,
10,0.002,0.002,0.003,0.001,
11,0.004,0.003,0.003,0.001,
12,0.003,0.001,0.002,0.001,
13,0.004,0.002,0.002,0.001,
14,0.005,0.004,0.004,0.003,
15,0.007,0.003,0.005,0.002,
16,0.004,0.002,0.002,0.001,
17,0.003,0.003,0.001,0.001,
18,0.003,0.003,0.002,0.001,
19,0.004,0.002,0.0,0.001,
20,0.002,0.002,0.003,0.002,
21,0.004,0.002,0.002,0.002,
22,0.002,0.002,0.001,0.001,
23,0.002,0.001,0.001,0.001,
24,0.002,0.007,0.004,0.002,
25,0.002,0.002,0.002,0.002,
26,0.005,0.003,0.001,0.002,
27,0.003,0.001,0.002,0.001,
28,0.004,0.002,0.003,0.001,
29,0.005,0.001,0.002,0.001,
30,0.001,0.003,0.002,0.001,
31,0.003,0.004,0.004,0.002,
32,0.005,0.003,0.001,0.001,
33,0.003,0.006,0.003,0.002,
34,0.002,0.005,0.002,0.002,
35,0.002,0.002,0.002,0.001,
36,0.004,0.001,0.001,0.001,
37,0.003,0.005,0.002,0.002,
38,0.004,0.004,0.002,0.002,
39,0.004,0.003,0.003,0.001,
40,0.003,0.003,0.002,0.001,
41,0.005,0.003,0.002,0.001,
42,0.002,0.003,0.002,0.002,
43,0.005,0.001,0.001,0.001,
44,0.006,0.003,0.002,0.001,
45,0.003,0.002,0.003,0.001,
46,0.005,0.001,0.002,0.001,
47,0.002,0.002,0.002,0.001,
48,0.005,0.001,0.002,0.001,
49,0.003,0.001,0.002,0.001,
50,0.002,0.002,0.002,0.001,
51,0.003,0.001,0.001,0.001,
52,0.003,0.002,0.002,0.001,
53,0.003,0.001,0.002,0.001,
54,0.005,0.002,0.001,0.001,
55,0.003,0.001,0.001,0.001,
56,0.001,0.001,0.001,0.001,
57,0.003,0.001,0.003,0.002,
58,0.004,0.001,0.002,0.002,
59,0.004,0.003,0.003,0.002,
60,0.001,0.001,0.001,0.001,
61,0.002,0.003,0.001,0.001,
62,0.003,0.003,0.002,0.001,
63,0.003,0.001,0.002,0.001,
64,0.0,0.003,0.0,0.001,
65,0.002,0.003,0.002,0.001,
66,0.003,0.001,0.001,0.0,
67,0.004,0.002,0.001,0.001,
68,0.003,0.001,0.002,0.001,
69,0.003,0.002,0.001,0.001,
70,0.002,0.001,0.001,0.001,
71,0.004,0.001,0.002,0.001,
72,0.001,0.004,0.002,0.002,
73,0.004,0.004,0.003,0.002,
74,0.004,0.001,0.001,0.001,
75,0.003,0.003,0.002,0.001,
76,0.003,0.003,0.0,0.001,
77,0.005,0.005,0.003,0.002,
78,0.005,0.002,0.001,0.001,
79,0.003,0.004,0.002,0.001,
80,0.001,0.003,0.002,0.001,
81,0.003,0.003,0.001,0.001,
82,0.002,0.006,0.003,0.002,
83,0.002,0.001,0.002,0.001,
84,0.002,0.004,0.002,0.001,
85,0.003,0.005,0.002,0.001,
86,0.003,0.002,0.003,0.002,
87,0.006,0.002,0.003,0.001,
88,0.003,0.003,0.001,0.0,
89,0.005,0.002,0.001,0.001,
90,0.004,0.003,0.002,0.001,
91,0.003,0.002,0.0,0.001,
92,0.003,0.001,0.002,0.001,
93,0.006,0.003,0.002,0.001,
94,0.004,0.004,0.002,0.001,
95,0.001,0.003,0.002,0.001,
96,0.004,0.002,0.002,0.001,
97,0.003,0.004,0.002,0.001,
98,0.003,0.004,0.003,0.001,
99,0.002,0.002,0.002,0.001,"[0.001, 0.006, 0.002, 0.007, 0.001, 0.002, 0.008, 0.002, 0.003, 0.005]"
