epoch,train_loss,val_loss,rmse,mae
0,0.313+-0.003,0.303+-0.071,0.143+-0.013,0.084+-0.008
1,0.233+-0.003,0.227+-0.004,0.118+-0.004,0.068+-0.003
2,0.219+-0.003,0.219+-0.001,0.11+-0.002,0.066+-0.002
3,0.211+-0.003,0.226+-0.006,0.118+-0.008,0.072+-0.004
4,0.207+-0.002,0.213+-0.004,0.103+-0.004,0.059+-0.002
5,0.204+-0.003,0.213+-0.005,0.104+-0.007,0.06+-0.005
6,0.202+-0.002,0.219+-0.009,0.106+-0.007,0.06+-0.005
7,0.199+-0.002,0.21+-0.002,0.1+-0.005,0.056+-0.003
8,0.196+-0.003,0.213+-0.006,0.103+-0.006,0.059+-0.005
9,0.194+-0.003,0.211+-0.001,0.101+-0.003,0.057+-0.001
10,0.194+-0.001,0.212+-0.002,0.1+-0.004,0.057+-0.001
11,0.191+-0.002,0.211+-0.001,0.1+-0.001,0.057+-0.003
12,0.191+-0.001,0.211+-0.001,0.1+-0.001,0.056+-0.001
13,0.19+-0.001,0.221+-0.011,0.107+-0.009,0.061+-0.006
14,0.188+-0.001,0.217+-0.003,0.104+-0.002,0.059+-0.002
15,0.187+-0.002,0.216+-0.009,0.105+-0.011,0.059+-0.004
16,0.187+-0.003,0.215+-0.014,0.101+-0.011,0.056+-0.005
17,0.185+-0.002,0.208+-0.002,0.095+-0.002,0.054+-0.002
18,0.184+-0.001,0.21+-0.003,0.099+-0.004,0.055+-0.004
19,0.183+-0.001,0.209+-0.001,0.096+-0.002,0.054+-0.002
20,0.182+-0.002,0.211+-0.002,0.098+-0.004,0.055+-0.002
21,0.18+-0.002,0.211+-0.007,0.098+-0.006,0.055+-0.005
22,0.18+-0.001,0.211+-0.01,0.1+-0.01,0.057+-0.007
23,0.18+-0.001,0.21+-0.005,0.095+-0.005,0.052+-0.002
24,0.18+-0.002,0.214+-0.014,0.1+-0.009,0.055+-0.005
25,0.178+-0.001,0.206+-0.005,0.094+-0.005,0.053+-0.003
26,0.178+-0.002,0.21+-0.005,0.096+-0.005,0.053+-0.003
27,0.178+-0.001,0.21+-0.002,0.097+-0.004,0.054+-0.003
28,0.177+-0.003,0.211+-0.005,0.098+-0.005,0.055+-0.002
29,0.176+-0.001,0.207+-0.002,0.094+-0.003,0.053+-0.001
30,0.176+-0.0,0.214+-0.011,0.1+-0.01,0.056+-0.004
31,0.176+-0.001,0.208+-0.002,0.095+-0.003,0.053+-0.003
32,0.176+-0.001,0.209+-0.005,0.096+-0.004,0.053+-0.002
33,0.175+-0.001,0.207+-0.004,0.095+-0.004,0.053+-0.003
34,0.175+-0.001,0.209+-0.004,0.096+-0.005,0.053+-0.004
35,0.175+-0.002,0.209+-0.004,0.097+-0.004,0.054+-0.003
36,0.174+-0.001,0.209+-0.005,0.095+-0.005,0.053+-0.004
37,0.175+-0.002,0.215+-0.01,0.102+-0.012,0.057+-0.007
38,0.174+-0.001,0.207+-0.003,0.094+-0.002,0.052+-0.001
39,0.173+-0.001,0.207+-0.003,0.095+-0.005,0.053+-0.003
40,0.173+-0.002,0.206+-0.001,0.093+-0.003,0.052+-0.002
41,0.174+-0.001,0.211+-0.007,0.098+-0.006,0.054+-0.005
42,0.174+-0.001,0.206+-0.001,0.095+-0.001,0.052+-0.001
43,0.172+-0.001,0.206+-0.003,0.092+-0.003,0.051+-0.001
44,0.173+-0.001,0.206+-0.001,0.093+-0.003,0.051+-0.002
45,0.173+-0.001,0.208+-0.004,0.095+-0.004,0.053+-0.003
46,0.173+-0.001,0.213+-0.012,0.098+-0.007,0.053+-0.003
47,0.173+-0.001,0.209+-0.003,0.096+-0.002,0.052+-0.001
48,0.172+-0.001,0.206+-0.002,0.094+-0.002,0.052+-0.002
49,0.172+-0.001,0.207+-0.001,0.094+-0.003,0.052+-0.003
50,0.172+-0.0,0.207+-0.001,0.094+-0.001,0.052+-0.001
51,0.171+-0.001,0.205+-0.003,0.091+-0.003,0.05+-0.001
52,0.171+-0.001,0.208+-0.003,0.096+-0.004,0.053+-0.002
53,0.172+-0.001,0.208+-0.004,0.094+-0.004,0.052+-0.003
54,0.172+-0.001,0.206+-0.002,0.093+-0.002,0.051+-0.001
55,0.171+-0.0,0.204+-0.002,0.091+-0.001,0.05+-0.0
56,0.171+-0.001,0.206+-0.003,0.092+-0.003,0.051+-0.002
57,0.171+-0.001,0.206+-0.002,0.093+-0.003,0.051+-0.003
58,0.171+-0.0,0.205+-0.001,0.092+-0.002,0.05+-0.002
59,0.171+-0.001,0.208+-0.006,0.093+-0.005,0.051+-0.002
60,0.171+-0.001,0.207+-0.003,0.094+-0.004,0.052+-0.002
61,0.17+-0.001,0.206+-0.003,0.093+-0.003,0.052+-0.002
62,0.171+-0.001,0.207+-0.002,0.094+-0.003,0.052+-0.002
63,0.171+-0.001,0.205+-0.002,0.091+-0.001,0.05+-0.001
64,0.171+-0.001,0.206+-0.002,0.092+-0.002,0.05+-0.002
65,0.17+-0.002,0.206+-0.001,0.093+-0.003,0.051+-0.001
66,0.17+-0.001,0.206+-0.001,0.093+-0.002,0.051+-0.0
67,0.17+-0.001,0.205+-0.002,0.092+-0.003,0.05+-0.001
68,0.171+-0.001,0.204+-0.001,0.091+-0.001,0.05+-0.0
69,0.17+-0.001,0.204+-0.002,0.091+-0.001,0.05+-0.001
70,0.17+-0.0,0.204+-0.002,0.091+-0.004,0.051+-0.002
71,0.17+-0.0,0.211+-0.009,0.097+-0.009,0.054+-0.005
72,0.17+-0.001,0.207+-0.003,0.093+-0.002,0.052+-0.002
73,0.17+-0.001,0.204+-0.001,0.09+-0.001,0.05+-0.001
74,0.17+-0.001,0.206+-0.001,0.091+-0.001,0.049+-0.0
75,0.169+-0.001,0.206+-0.003,0.093+-0.004,0.05+-0.002
76,0.169+-0.001,0.206+-0.003,0.093+-0.004,0.05+-0.003
77,0.169+-0.001,0.206+-0.001,0.092+-0.001,0.05+-0.0
78,0.17+-0.001,0.206+-0.0,0.092+-0.001,0.051+-0.001
79,0.17+-0.001,0.208+-0.008,0.093+-0.005,0.051+-0.002
80,0.169+-0.001,0.211+-0.009,0.098+-0.011,0.054+-0.007
81,0.17+-0.001,0.208+-0.003,0.093+-0.003,0.052+-0.003
82,0.169+-0.001,0.206+-0.002,0.094+-0.003,0.052+-0.002
83,0.169+-0.001,0.21+-0.006,0.095+-0.005,0.052+-0.004
84,0.169+-0.0,0.206+-0.002,0.092+-0.003,0.051+-0.003
85,0.169+-0.001,0.209+-0.003,0.094+-0.003,0.051+-0.001
86,0.17+-0.001,0.206+-0.001,0.093+-0.002,0.051+-0.002
87,0.169+-0.001,0.206+-0.001,0.093+-0.002,0.051+-0.002
88,0.169+-0.001,0.206+-0.002,0.092+-0.003,0.051+-0.001
89,0.17+-0.001,0.207+-0.003,0.093+-0.005,0.051+-0.003
90,0.169+-0.001,0.205+-0.001,0.091+-0.002,0.05+-0.001
91,0.169+-0.0,0.206+-0.002,0.092+-0.001,0.051+-0.002
92,0.169+-0.001,0.207+-0.003,0.093+-0.002,0.05+-0.001
93,0.169+-0.001,0.206+-0.001,0.093+-0.002,0.051+-0.002
94,0.169+-0.001,0.205+-0.001,0.09+-0.001,0.05+-0.001
95,0.169+-0.0,0.209+-0.007,0.094+-0.005,0.05+-0.002
96,0.169+-0.001,0.207+-0.001,0.092+-0.002,0.051+-0.001
97,0.169+-0.001,0.207+-0.001,0.093+-0.002,0.051+-0.001
98,0.169+-0.001,0.21+-0.004,0.094+-0.003,0.051+-0.001
99,0.169+-0.001,0.206+-0.002,0.091+-0.002,0.051+-0.001
