epoch,train_loss,val_loss,rmse,mae
0,0.376+-0.017,0.296+-0.01,0.156+-0.002,0.108+-0.002
1,0.287+-0.004,0.264+-0.006,0.143+-0.002,0.092+-0.003
2,0.258+-0.006,0.252+-0.006,0.139+-0.004,0.09+-0.004
3,0.251+-0.004,0.246+-0.002,0.135+-0.002,0.087+-0.003
4,0.247+-0.003,0.244+-0.002,0.133+-0.002,0.086+-0.003
5,0.246+-0.002,0.247+-0.005,0.135+-0.002,0.085+-0.001
6,0.245+-0.002,0.245+-0.003,0.133+-0.002,0.085+-0.003
7,0.244+-0.003,0.242+-0.003,0.132+-0.003,0.083+-0.002
8,0.243+-0.003,0.244+-0.004,0.132+-0.003,0.083+-0.002
9,0.243+-0.002,0.242+-0.001,0.131+-0.002,0.083+-0.001
10,0.245+-0.003,0.242+-0.002,0.132+-0.001,0.083+-0.001
11,0.244+-0.005,0.246+-0.012,0.132+-0.006,0.084+-0.006
12,0.241+-0.004,0.24+-0.002,0.129+-0.001,0.082+-0.002
13,0.24+-0.002,0.239+-0.001,0.127+-0.001,0.08+-0.001
14,0.238+-0.002,0.24+-0.003,0.13+-0.002,0.081+-0.003
15,0.238+-0.001,0.238+-0.002,0.127+-0.002,0.079+-0.002
16,0.238+-0.002,0.239+-0.002,0.129+-0.002,0.08+-0.001
17,0.239+-0.002,0.241+-0.004,0.129+-0.002,0.081+-0.003
18,0.238+-0.003,0.24+-0.003,0.128+-0.002,0.08+-0.002
19,0.237+-0.002,0.242+-0.003,0.129+-0.001,0.081+-0.001
20,0.237+-0.004,0.242+-0.004,0.129+-0.002,0.081+-0.002
21,0.236+-0.002,0.238+-0.002,0.127+-0.001,0.079+-0.001
22,0.236+-0.003,0.238+-0.002,0.127+-0.001,0.079+-0.0
23,0.236+-0.001,0.238+-0.002,0.127+-0.001,0.08+-0.001
24,0.236+-0.001,0.238+-0.002,0.126+-0.001,0.079+-0.001
25,0.235+-0.001,0.238+-0.001,0.127+-0.001,0.079+-0.001
26,0.235+-0.002,0.238+-0.003,0.126+-0.001,0.079+-0.001
27,0.234+-0.001,0.24+-0.007,0.127+-0.003,0.08+-0.002
28,0.234+-0.001,0.238+-0.003,0.127+-0.002,0.079+-0.0
29,0.234+-0.003,0.237+-0.003,0.127+-0.002,0.079+-0.002
30,0.234+-0.003,0.239+-0.001,0.126+-0.002,0.079+-0.001
31,0.234+-0.002,0.237+-0.001,0.126+-0.001,0.078+-0.001
32,0.233+-0.002,0.238+-0.005,0.126+-0.003,0.08+-0.002
33,0.233+-0.001,0.237+-0.003,0.125+-0.003,0.078+-0.002
34,0.232+-0.001,0.237+-0.003,0.126+-0.002,0.078+-0.002
35,0.233+-0.001,0.237+-0.003,0.126+-0.002,0.078+-0.002
36,0.233+-0.002,0.239+-0.002,0.126+-0.002,0.078+-0.001
37,0.232+-0.001,0.236+-0.002,0.125+-0.002,0.079+-0.001
38,0.232+-0.001,0.236+-0.001,0.125+-0.001,0.078+-0.001
39,0.231+-0.001,0.237+-0.003,0.126+-0.002,0.078+-0.002
40,0.232+-0.001,0.236+-0.003,0.125+-0.002,0.078+-0.002
41,0.231+-0.003,0.237+-0.005,0.125+-0.004,0.078+-0.003
42,0.23+-0.002,0.237+-0.002,0.126+-0.002,0.078+-0.002
43,0.23+-0.002,0.237+-0.002,0.126+-0.002,0.079+-0.002
44,0.231+-0.001,0.239+-0.004,0.127+-0.002,0.079+-0.002
45,0.23+-0.002,0.239+-0.005,0.127+-0.004,0.079+-0.002
46,0.231+-0.002,0.237+-0.003,0.124+-0.002,0.077+-0.002
47,0.23+-0.001,0.237+-0.002,0.125+-0.002,0.077+-0.002
48,0.231+-0.002,0.238+-0.001,0.126+-0.001,0.079+-0.001
49,0.231+-0.0,0.237+-0.002,0.125+-0.002,0.078+-0.002
50,0.23+-0.001,0.236+-0.002,0.124+-0.002,0.077+-0.002
51,0.23+-0.002,0.236+-0.002,0.124+-0.002,0.077+-0.001
52,0.229+-0.002,0.238+-0.004,0.125+-0.003,0.078+-0.002
53,0.232+-0.002,0.237+-0.003,0.124+-0.002,0.077+-0.002
54,0.229+-0.001,0.236+-0.001,0.124+-0.001,0.078+-0.001
55,0.228+-0.001,0.237+-0.004,0.125+-0.003,0.078+-0.003
56,0.229+-0.0,0.238+-0.003,0.125+-0.001,0.078+-0.001
57,0.228+-0.001,0.237+-0.004,0.125+-0.003,0.078+-0.002
58,0.229+-0.003,0.239+-0.001,0.126+-0.0,0.078+-0.001
59,0.229+-0.002,0.236+-0.001,0.125+-0.002,0.078+-0.001
60,0.229+-0.002,0.238+-0.004,0.126+-0.002,0.078+-0.001
61,0.229+-0.002,0.237+-0.002,0.125+-0.001,0.077+-0.001
62,0.227+-0.001,0.235+-0.001,0.124+-0.001,0.076+-0.001
63,0.228+-0.002,0.236+-0.002,0.124+-0.002,0.078+-0.001
64,0.229+-0.003,0.238+-0.005,0.125+-0.003,0.077+-0.002
65,0.228+-0.002,0.237+-0.002,0.124+-0.002,0.078+-0.002
66,0.228+-0.003,0.237+-0.001,0.125+-0.001,0.078+-0.001
67,0.227+-0.001,0.235+-0.001,0.124+-0.002,0.078+-0.001
68,0.227+-0.001,0.236+-0.002,0.124+-0.001,0.077+-0.001
69,0.228+-0.002,0.236+-0.001,0.123+-0.001,0.076+-0.001
70,0.228+-0.001,0.236+-0.003,0.125+-0.002,0.077+-0.002
