epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.313,0.303,0.143,0.084,
1,0.233,0.227,0.118,0.068,
2,0.219,0.219,0.11,0.066,
3,0.211,0.226,0.118,0.072,
4,0.207,0.213,0.103,0.059,
5,0.204,0.213,0.104,0.06,
6,0.202,0.219,0.106,0.06,
7,0.199,0.21,0.1,0.056,
8,0.196,0.213,0.103,0.059,
9,0.194,0.211,0.101,0.057,
10,0.194,0.212,0.1,0.057,
11,0.191,0.211,0.1,0.057,
12,0.191,0.211,0.1,0.056,
13,0.19,0.221,0.107,0.061,
14,0.188,0.217,0.104,0.059,
15,0.187,0.216,0.105,0.059,
16,0.187,0.215,0.101,0.056,
17,0.185,0.208,0.095,0.054,
18,0.184,0.21,0.099,0.055,
19,0.183,0.209,0.096,0.054,
20,0.182,0.211,0.098,0.055,
21,0.18,0.211,0.098,0.055,
22,0.18,0.211,0.1,0.057,
23,0.18,0.21,0.095,0.052,
24,0.18,0.214,0.1,0.055,
25,0.178,0.206,0.094,0.053,
26,0.178,0.21,0.096,0.053,
27,0.178,0.21,0.097,0.054,
28,0.177,0.211,0.098,0.055,
29,0.176,0.207,0.094,0.053,
30,0.176,0.214,0.1,0.056,
31,0.176,0.208,0.095,0.053,
32,0.176,0.209,0.096,0.053,
33,0.175,0.207,0.095,0.053,
34,0.175,0.209,0.096,0.053,
35,0.175,0.209,0.097,0.054,
36,0.174,0.209,0.095,0.053,
37,0.175,0.215,0.102,0.057,
38,0.174,0.207,0.094,0.052,
39,0.173,0.207,0.095,0.053,
40,0.173,0.206,0.093,0.052,
41,0.174,0.211,0.098,0.054,
42,0.174,0.206,0.095,0.052,
43,0.172,0.206,0.092,0.051,
44,0.173,0.206,0.093,0.051,
45,0.173,0.208,0.095,0.053,
46,0.173,0.213,0.098,0.053,
47,0.173,0.209,0.096,0.052,
48,0.172,0.206,0.094,0.052,
49,0.172,0.207,0.094,0.052,
50,0.172,0.207,0.094,0.052,
51,0.171,0.205,0.091,0.05,
52,0.171,0.208,0.096,0.053,
53,0.172,0.208,0.094,0.052,
54,0.172,0.206,0.093,0.051,
55,0.171,0.204,0.091,0.05,
56,0.171,0.206,0.092,0.051,
57,0.171,0.206,0.093,0.051,
58,0.171,0.205,0.092,0.05,
59,0.171,0.208,0.093,0.051,
60,0.171,0.207,0.094,0.052,
61,0.17,0.206,0.093,0.052,
62,0.171,0.207,0.094,0.052,
63,0.171,0.205,0.091,0.05,
64,0.171,0.206,0.092,0.05,
65,0.17,0.206,0.093,0.051,
66,0.17,0.206,0.093,0.051,
67,0.17,0.205,0.092,0.05,
68,0.171,0.204,0.091,0.05,
69,0.17,0.204,0.091,0.05,
70,0.17,0.204,0.091,0.051,
71,0.17,0.211,0.097,0.054,
72,0.17,0.207,0.093,0.052,
73,0.17,0.204,0.09,0.05,
74,0.17,0.206,0.091,0.049,
75,0.169,0.206,0.093,0.05,
76,0.169,0.206,0.093,0.05,
77,0.169,0.206,0.092,0.05,
78,0.17,0.206,0.092,0.051,
79,0.17,0.208,0.093,0.051,
80,0.169,0.211,0.098,0.054,
81,0.17,0.208,0.093,0.052,
82,0.169,0.206,0.094,0.052,
83,0.169,0.21,0.095,0.052,
84,0.169,0.206,0.092,0.051,
85,0.169,0.209,0.094,0.051,
86,0.17,0.206,0.093,0.051,
87,0.169,0.206,0.093,0.051,
88,0.169,0.206,0.092,0.051,
89,0.17,0.207,0.093,0.051,
90,0.169,0.205,0.091,0.05,
91,0.169,0.206,0.092,0.051,
92,0.169,0.207,0.093,0.05,
93,0.169,0.206,0.093,0.051,
94,0.169,0.205,0.09,0.05,
95,0.169,0.209,0.094,0.05,
96,0.169,0.207,0.092,0.051,
97,0.169,0.207,0.093,0.051,
98,0.169,0.21,0.094,0.051,
99,0.169,0.206,0.091,0.051,"[0.05, 0.122, 0.024, 0.165, 0.041, 0.117, 0.151, 0.085, 0.099, 0.059]"
