epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.363,0.28,0.133,0.08,
1,0.256,0.242,0.116,0.068,
2,0.23,0.225,0.11,0.066,
3,0.22,0.219,0.108,0.064,
4,0.213,0.22,0.108,0.065,
5,0.212,0.222,0.109,0.065,
6,0.211,0.218,0.105,0.063,
7,0.209,0.215,0.103,0.062,
8,0.208,0.216,0.104,0.063,
9,0.207,0.218,0.104,0.062,
10,0.21,0.218,0.104,0.062,
11,0.209,0.22,0.106,0.063,
12,0.205,0.216,0.103,0.061,
13,0.204,0.215,0.102,0.061,
14,0.203,0.217,0.103,0.061,
15,0.204,0.217,0.103,0.06,
16,0.204,0.217,0.103,0.061,
17,0.204,0.22,0.105,0.062,
18,0.204,0.217,0.103,0.06,
19,0.202,0.219,0.103,0.061,
20,0.203,0.218,0.103,0.061,
21,0.203,0.218,0.104,0.061,
22,0.202,0.217,0.102,0.061,
23,0.203,0.217,0.103,0.061,
24,0.204,0.22,0.105,0.062,
25,0.202,0.216,0.102,0.06,
26,0.202,0.218,0.103,0.061,
27,0.201,0.218,0.104,0.061,
28,0.201,0.218,0.103,0.06,
29,0.201,0.219,0.104,0.061,
30,0.202,0.223,0.107,0.063,
31,0.201,0.219,0.104,0.06,
32,0.2,0.218,0.104,0.061,
33,0.199,0.218,0.103,0.061,
34,0.199,0.22,0.104,0.061,
35,0.2,0.221,0.104,0.061,
36,0.2,0.219,0.103,0.06,
37,0.2,0.222,0.105,0.061,
38,0.201,0.219,0.103,0.061,
39,0.199,0.224,0.107,0.063,
40,0.201,0.219,0.104,0.06,
41,0.199,0.217,0.103,0.06,
42,0.198,0.219,0.104,0.061,
43,0.198,0.221,0.105,0.062,
44,0.199,0.219,0.104,0.061,
45,0.198,0.218,0.103,0.06,
46,0.198,0.221,0.105,0.061,
47,0.198,0.22,0.104,0.061,
48,0.199,0.22,0.104,0.061,
49,0.199,0.222,0.106,0.061,
50,0.203,0.234,0.114,0.067,
51,0.194,0.218,0.102,0.059,
52,0.187,0.217,0.101,0.057,
53,0.183,0.212,0.094,0.053,
54,0.18,0.21,0.096,0.053,
55,0.177,0.209,0.094,0.051,
56,0.177,0.21,0.093,0.051,
57,0.175,0.206,0.091,0.05,
58,0.176,0.211,0.094,0.052,
59,0.175,0.206,0.092,0.05,
60,0.174,0.207,0.091,0.05,
61,0.173,0.208,0.091,0.05,
62,0.172,0.207,0.09,0.05,
63,0.172,0.205,0.09,0.049,
64,0.172,0.206,0.09,0.049,
65,0.172,0.207,0.091,0.05,
66,0.172,0.205,0.09,0.049,
67,0.172,0.206,0.09,0.049,
68,0.171,0.207,0.092,0.05,
69,0.171,0.208,0.09,0.049,
70,0.171,0.206,0.092,0.049,
71,0.171,0.207,0.09,0.049,
72,0.172,0.207,0.091,0.05,
73,0.171,0.207,0.091,0.049,
74,0.171,0.207,0.091,0.05,
75,0.171,0.208,0.091,0.05,
76,0.17,0.208,0.091,0.049,
77,0.17,0.204,0.089,0.048,
78,0.17,0.208,0.092,0.05,
79,0.17,0.209,0.091,0.049,
80,0.17,0.207,0.091,0.049,
81,0.171,0.206,0.091,0.049,
82,0.17,0.205,0.09,0.048,
83,0.169,0.206,0.09,0.049,
84,0.17,0.206,0.09,0.049,
85,0.17,0.207,0.091,0.049,
86,0.169,0.206,0.09,0.049,
87,0.17,0.206,0.09,0.049,
88,0.17,0.207,0.09,0.049,
89,0.17,0.205,0.09,0.049,
90,0.169,0.206,0.089,0.049,
91,0.169,0.206,0.09,0.049,
92,0.17,0.205,0.091,0.049,
93,0.169,0.207,0.09,0.049,
94,0.169,0.206,0.09,0.049,
95,0.168,0.206,0.089,0.048,
96,0.169,0.205,0.091,0.049,
97,0.169,0.206,0.089,0.048,
98,0.169,0.206,0.091,0.049,
99,0.169,0.206,0.09,0.049,"[0.051, 0.119, 0.024, 0.154, 0.042, 0.114, 0.145, 0.088, 0.093, 0.068]"
