epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.376,0.296,0.156,0.108,
1,0.287,0.264,0.143,0.092,
2,0.258,0.252,0.139,0.09,
3,0.251,0.246,0.135,0.087,
4,0.247,0.244,0.133,0.086,
5,0.246,0.247,0.135,0.085,
6,0.245,0.245,0.133,0.085,
7,0.244,0.242,0.132,0.083,
8,0.243,0.244,0.132,0.083,
9,0.243,0.242,0.131,0.083,
10,0.245,0.242,0.132,0.083,
11,0.244,0.246,0.132,0.084,
12,0.241,0.24,0.129,0.082,
13,0.24,0.239,0.127,0.08,
14,0.238,0.24,0.13,0.081,
15,0.238,0.238,0.127,0.079,
16,0.238,0.239,0.129,0.08,
17,0.239,0.241,0.129,0.081,
18,0.238,0.24,0.128,0.08,
19,0.237,0.242,0.129,0.081,
20,0.237,0.242,0.129,0.081,
21,0.236,0.238,0.127,0.079,
22,0.236,0.238,0.127,0.079,
23,0.236,0.238,0.127,0.08,
24,0.236,0.238,0.126,0.079,
25,0.235,0.238,0.127,0.079,
26,0.235,0.238,0.126,0.079,
27,0.234,0.24,0.127,0.08,
28,0.234,0.238,0.127,0.079,
29,0.234,0.237,0.127,0.079,
30,0.234,0.239,0.126,0.079,
31,0.234,0.237,0.126,0.078,
32,0.233,0.238,0.126,0.08,
33,0.233,0.237,0.125,0.078,
34,0.232,0.237,0.126,0.078,
35,0.233,0.237,0.126,0.078,
36,0.233,0.239,0.126,0.078,
37,0.232,0.236,0.125,0.079,
38,0.232,0.236,0.125,0.078,
39,0.231,0.237,0.126,0.078,
40,0.232,0.236,0.125,0.078,
41,0.231,0.237,0.125,0.078,
42,0.23,0.237,0.126,0.078,
43,0.23,0.237,0.126,0.079,
44,0.231,0.239,0.127,0.079,
45,0.23,0.239,0.127,0.079,
46,0.231,0.237,0.124,0.077,
47,0.23,0.237,0.125,0.077,
48,0.231,0.238,0.126,0.079,
49,0.231,0.237,0.125,0.078,
50,0.23,0.236,0.124,0.077,
51,0.23,0.236,0.124,0.077,
52,0.229,0.238,0.125,0.078,
53,0.232,0.237,0.124,0.077,
54,0.229,0.236,0.124,0.078,
55,0.228,0.237,0.125,0.078,
56,0.229,0.238,0.125,0.078,
57,0.228,0.237,0.125,0.078,
58,0.229,0.239,0.126,0.078,
59,0.229,0.236,0.125,0.078,
60,0.229,0.238,0.126,0.078,
61,0.229,0.237,0.125,0.077,
62,0.227,0.235,0.124,0.076,
63,0.228,0.236,0.124,0.078,
64,0.229,0.238,0.125,0.077,
65,0.228,0.237,0.124,0.078,
66,0.228,0.237,0.125,0.078,
67,0.227,0.235,0.124,0.078,
68,0.227,0.236,0.124,0.077,
69,0.228,0.236,0.123,0.076,
70,0.228,0.236,0.125,0.077,
71,0.227,0.237,0.124,0.077,
72,0.228,0.236,0.124,0.077,
73,0.227,0.239,0.126,0.079,
74,0.227,0.235,0.123,0.077,
75,0.226,0.237,0.124,0.077,
76,0.227,0.236,0.124,0.077,
77,0.227,0.237,0.124,0.077,
78,0.228,0.237,0.125,0.078,
79,0.227,0.236,0.124,0.077,
80,0.225,0.235,0.124,0.077,
81,0.228,0.239,0.126,0.079,
82,0.227,0.238,0.126,0.077,
83,0.226,0.235,0.123,0.077,
84,0.227,0.237,0.124,0.078,
85,0.227,0.238,0.125,0.077,
86,0.228,0.236,0.124,0.077,
87,0.226,0.235,0.123,0.076,
88,0.226,0.235,0.123,0.076,
89,0.225,0.236,0.124,0.077,
90,0.225,0.236,0.123,0.077,
91,0.225,0.236,0.124,0.077,
92,0.226,0.236,0.124,0.077,
93,0.225,0.235,0.123,0.077,
94,0.225,0.236,0.123,0.076,
95,0.226,0.237,0.123,0.076,
96,0.225,0.236,0.123,0.076,
97,0.225,0.236,0.123,0.077,
98,0.225,0.236,0.124,0.077,
99,0.224,0.235,0.124,0.077,"[0.083, 0.177, 0.03, 0.249, 0.05, 0.144, 0.207, 0.088, 0.124, 0.087]"
