epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.008,0.005,0.006,0.007,
1,0.005,0.003,0.002,0.003,
2,0.003,0.001,0.001,0.002,
3,0.002,0.003,0.002,0.002,
4,0.003,0.001,0.001,0.001,
5,0.001,0.004,0.003,0.001,
6,0.002,0.002,0.001,0.001,
7,0.002,0.002,0.001,0.001,
8,0.002,0.004,0.001,0.001,
9,0.003,0.002,0.001,0.001,
10,0.002,0.001,0.001,0.001,
11,0.002,0.002,0.001,0.001,
12,0.001,0.001,0.001,0.001,
13,0.002,0.001,0.001,0.001,
14,0.001,0.001,0.001,0.001,
15,0.002,0.001,0.001,0.001,
16,0.002,0.002,0.001,0.002,
17,0.001,0.003,0.002,0.001,
18,0.003,0.005,0.003,0.003,
19,0.002,0.002,0.002,0.001,
20,0.003,0.001,0.0,0.0,
21,0.001,0.001,0.001,0.001,
22,0.002,0.001,0.001,0.001,
23,0.001,0.001,0.001,0.001,
24,0.001,0.004,0.002,0.002,
25,0.002,0.0,0.001,0.001,
26,0.001,0.002,0.002,0.002,
27,0.002,0.002,0.002,0.002,
28,0.001,0.003,0.002,0.001,
29,0.002,0.004,0.003,0.002,
30,0.001,0.001,0.001,0.001,
31,0.002,0.001,0.002,0.001,
32,0.002,0.002,0.002,0.002,
33,0.0,0.002,0.002,0.001,
34,0.0,0.001,0.001,0.001,
35,0.002,0.001,0.001,0.002,
36,0.001,0.002,0.001,0.001,
37,0.002,0.003,0.002,0.0,
38,0.001,0.001,0.002,0.001,
39,0.002,0.001,0.001,0.001,
40,0.001,0.001,0.001,0.001,
41,0.001,0.001,0.001,0.0,
42,0.001,0.001,0.001,0.001,
43,0.002,0.003,0.002,0.002,
44,0.001,0.001,0.001,0.001,
45,0.002,0.001,0.001,0.001,
46,0.001,0.002,0.001,0.001,
47,0.0,0.001,0.001,0.001,
48,0.001,0.001,0.001,0.001,
49,0.002,0.002,0.001,0.0,
50,0.001,0.004,0.005,0.002,
51,0.001,0.014,0.008,0.006,
52,0.002,0.003,0.004,0.002,
53,0.002,0.004,0.002,0.001,
54,0.002,0.006,0.006,0.006,
55,0.001,0.012,0.008,0.003,
56,0.001,0.002,0.003,0.002,
57,0.002,0.003,0.003,0.002,
58,0.001,0.003,0.003,0.002,
59,0.001,0.005,0.003,0.001,
60,0.001,0.003,0.004,0.002,
61,0.001,0.004,0.004,0.003,
62,0.002,0.003,0.001,0.001,
63,0.0,0.002,0.002,0.003,
64,0.001,0.002,0.002,0.001,
65,0.001,0.003,0.002,0.002,
66,0.002,0.001,0.002,0.002,
67,0.002,0.005,0.005,0.003,
68,0.002,0.005,0.006,0.004,
69,0.001,0.007,0.005,0.002,
70,0.002,0.005,0.005,0.003,
71,0.002,0.004,0.002,0.002,
72,0.002,0.003,0.003,0.002,
73,0.002,0.004,0.003,0.001,
74,0.001,0.002,0.002,0.001,
75,0.002,0.002,0.001,0.001,
76,0.001,0.001,0.0,0.002,
77,0.001,0.001,0.001,0.001,
78,0.001,0.001,0.001,0.0,
79,0.001,0.001,0.002,0.001,
80,0.001,0.001,0.001,0.001,
81,0.001,0.003,0.001,0.002,
82,0.001,0.003,0.004,0.001,
83,0.001,0.002,0.003,0.002,
84,0.001,0.002,0.003,0.001,
85,0.002,0.001,0.001,0.001,
86,0.001,0.003,0.004,0.001,
87,0.001,0.003,0.003,0.002,
88,0.002,0.002,0.002,0.001,
89,0.002,0.004,0.003,0.001,
90,0.002,0.001,0.003,0.002,
91,0.001,0.002,0.001,0.001,
92,0.001,0.002,0.002,0.001,
93,0.001,0.003,0.003,0.001,
94,0.001,0.002,0.001,0.001,
95,0.001,0.001,0.001,0.001,
96,0.001,0.004,0.005,0.003,
97,0.002,0.002,0.003,0.001,
98,0.001,0.002,0.002,0.001,
99,0.001,0.001,0.001,0.0,"[0.005, 0.004, 0.0, 0.0, 0.001, 0.001, 0.004, 0.002, 0.002, 0.003]"
