epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.017,0.01,0.002,0.002,
1,0.004,0.006,0.002,0.003,
2,0.006,0.006,0.004,0.004,
3,0.004,0.002,0.002,0.003,
4,0.003,0.002,0.002,0.003,
5,0.002,0.005,0.002,0.001,
6,0.002,0.003,0.002,0.003,
7,0.003,0.003,0.003,0.002,
8,0.003,0.004,0.003,0.002,
9,0.002,0.001,0.002,0.001,
10,0.003,0.002,0.001,0.001,
11,0.005,0.012,0.006,0.006,
12,0.004,0.002,0.001,0.002,
13,0.002,0.001,0.001,0.001,
14,0.002,0.003,0.002,0.003,
15,0.001,0.002,0.002,0.002,
16,0.002,0.002,0.002,0.001,
17,0.002,0.004,0.002,0.003,
18,0.003,0.003,0.002,0.002,
19,0.002,0.003,0.001,0.001,
20,0.004,0.004,0.002,0.002,
21,0.002,0.002,0.001,0.001,
22,0.003,0.002,0.001,0.0,
23,0.001,0.002,0.001,0.001,
24,0.001,0.002,0.001,0.001,
25,0.001,0.001,0.001,0.001,
26,0.002,0.003,0.001,0.001,
27,0.001,0.007,0.003,0.002,
28,0.001,0.003,0.002,0.0,
29,0.003,0.003,0.002,0.002,
30,0.003,0.001,0.002,0.001,
31,0.002,0.001,0.001,0.001,
32,0.002,0.005,0.003,0.002,
33,0.001,0.003,0.003,0.002,
34,0.001,0.003,0.002,0.002,
35,0.001,0.003,0.002,0.002,
36,0.002,0.002,0.002,0.001,
37,0.001,0.002,0.002,0.001,
38,0.001,0.001,0.001,0.001,
39,0.001,0.003,0.002,0.002,
40,0.001,0.003,0.002,0.002,
41,0.003,0.005,0.004,0.003,
42,0.002,0.002,0.002,0.002,
43,0.002,0.002,0.002,0.002,
44,0.001,0.004,0.002,0.002,
45,0.002,0.005,0.004,0.002,
46,0.002,0.003,0.002,0.002,
47,0.001,0.002,0.002,0.002,
48,0.002,0.001,0.001,0.001,
49,0.0,0.002,0.002,0.002,
50,0.001,0.002,0.002,0.002,
51,0.002,0.002,0.002,0.001,
52,0.002,0.004,0.003,0.002,
53,0.002,0.003,0.002,0.002,
54,0.001,0.001,0.001,0.001,
55,0.001,0.004,0.003,0.003,
56,0.0,0.003,0.001,0.001,
57,0.001,0.004,0.003,0.002,
58,0.003,0.001,0.0,0.001,
59,0.002,0.001,0.002,0.001,
60,0.002,0.004,0.002,0.001,
61,0.002,0.002,0.001,0.001,
62,0.001,0.001,0.001,0.001,
63,0.002,0.002,0.002,0.001,
64,0.003,0.005,0.003,0.002,
65,0.002,0.002,0.002,0.002,
66,0.003,0.001,0.001,0.001,
67,0.001,0.001,0.002,0.001,
68,0.001,0.002,0.001,0.001,
69,0.002,0.001,0.001,0.001,
70,0.001,0.003,0.002,0.002,
71,0.002,0.002,0.001,0.001,
72,0.003,0.002,0.001,0.002,
73,0.002,0.002,0.001,0.001,
74,0.002,0.001,0.001,0.001,
75,0.001,0.001,0.002,0.002,
76,0.001,0.003,0.003,0.003,
77,0.001,0.003,0.002,0.002,
78,0.003,0.002,0.002,0.003,
79,0.002,0.004,0.003,0.002,
80,0.001,0.002,0.002,0.002,
81,0.001,0.004,0.002,0.003,
82,0.003,0.004,0.003,0.002,
83,0.002,0.001,0.001,0.001,
84,0.001,0.001,0.002,0.001,
85,0.002,0.004,0.003,0.002,
86,0.002,0.001,0.001,0.001,
87,0.001,0.002,0.002,0.001,
88,0.002,0.002,0.002,0.002,
89,0.001,0.003,0.002,0.001,
90,0.003,0.001,0.001,0.002,
91,0.001,0.001,0.002,0.001,
92,0.001,0.002,0.002,0.002,
93,0.001,0.001,0.001,0.001,
94,0.002,0.001,0.001,0.001,
95,0.002,0.003,0.001,0.001,
96,0.001,0.002,0.002,0.002,
97,0.002,0.001,0.001,0.001,
98,0.001,0.001,0.001,0.0,
99,0.001,0.002,0.002,0.002,"[0.003, 0.002, 0.0, 0.004, 0.0, 0.002, 0.005, 0.003, 0.003, 0.001]"
