epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.294,0.235,0.123,0.075,
1,0.233,0.225,0.115,0.071,
2,0.229,0.228,0.116,0.072,
3,0.227,0.222,0.112,0.069,
4,0.226,0.222,0.111,0.068,
5,0.224,0.22,0.109,0.067,
6,0.223,0.223,0.111,0.068,
7,0.223,0.221,0.11,0.067,
8,0.223,0.222,0.111,0.068,
9,0.222,0.22,0.108,0.066,
10,0.221,0.219,0.108,0.066,
11,0.22,0.219,0.107,0.065,
12,0.22,0.22,0.108,0.066,
13,0.22,0.22,0.108,0.066,
14,0.22,0.221,0.108,0.066,
15,0.219,0.218,0.107,0.065,
16,0.219,0.219,0.108,0.066,
17,0.219,0.218,0.106,0.065,
18,0.219,0.218,0.106,0.064,
19,0.219,0.218,0.107,0.064,
20,0.218,0.219,0.107,0.064,
21,0.217,0.22,0.108,0.065,
22,0.219,0.217,0.105,0.063,
23,0.217,0.217,0.106,0.064,
24,0.217,0.218,0.105,0.064,
25,0.217,0.217,0.105,0.063,
26,0.216,0.217,0.105,0.063,
27,0.216,0.216,0.104,0.063,
28,0.217,0.216,0.104,0.062,
29,0.216,0.217,0.104,0.063,
30,0.216,0.216,0.104,0.063,
31,0.216,0.216,0.105,0.063,
32,0.216,0.217,0.105,0.064,
33,0.215,0.216,0.104,0.063,
34,0.215,0.218,0.105,0.064,
35,0.216,0.217,0.105,0.063,
36,0.215,0.215,0.103,0.062,
37,0.216,0.215,0.103,0.062,
38,0.214,0.215,0.103,0.062,
39,0.215,0.217,0.105,0.063,
40,0.215,0.217,0.104,0.063,
41,0.215,0.216,0.105,0.062,
42,0.215,0.216,0.104,0.062,
43,0.215,0.217,0.105,0.063,
44,0.215,0.216,0.103,0.062,
45,0.215,0.217,0.104,0.062,
46,0.215,0.217,0.104,0.063,
47,0.214,0.215,0.103,0.061,
48,0.214,0.217,0.105,0.062,
49,0.213,0.215,0.103,0.062,
50,0.213,0.215,0.103,0.062,
51,0.214,0.215,0.103,0.062,
52,0.214,0.217,0.105,0.064,
53,0.214,0.216,0.103,0.062,
54,0.213,0.215,0.104,0.062,
55,0.214,0.216,0.103,0.062,
56,0.213,0.217,0.105,0.062,
57,0.214,0.217,0.104,0.062,
58,0.214,0.216,0.104,0.062,
59,0.212,0.216,0.103,0.062,
60,0.213,0.217,0.104,0.063,
61,0.213,0.215,0.102,0.062,
62,0.213,0.217,0.103,0.062,
63,0.212,0.216,0.103,0.062,
64,0.212,0.214,0.102,0.061,
65,0.213,0.218,0.104,0.063,
66,0.213,0.218,0.106,0.063,
67,0.214,0.216,0.104,0.062,
68,0.212,0.217,0.104,0.062,
69,0.213,0.217,0.104,0.062,
70,0.212,0.216,0.104,0.062,
71,0.213,0.217,0.104,0.063,
72,0.213,0.216,0.104,0.061,
73,0.212,0.216,0.104,0.062,
74,0.212,0.215,0.102,0.061,
75,0.212,0.216,0.104,0.062,
76,0.213,0.215,0.102,0.062,
77,0.212,0.217,0.105,0.063,
78,0.212,0.217,0.104,0.063,
79,0.212,0.217,0.104,0.063,
80,0.212,0.216,0.104,0.062,
81,0.212,0.215,0.103,0.062,
82,0.212,0.215,0.102,0.061,
83,0.212,0.215,0.103,0.062,
84,0.212,0.215,0.103,0.061,
85,0.212,0.215,0.103,0.061,
86,0.211,0.216,0.103,0.062,
87,0.212,0.215,0.103,0.062,
88,0.211,0.218,0.105,0.063,
89,0.212,0.214,0.102,0.061,
90,0.212,0.217,0.104,0.062,
91,0.212,0.216,0.103,0.061,
92,0.212,0.217,0.103,0.062,
93,0.212,0.216,0.103,0.062,
94,0.211,0.215,0.102,0.061,
95,0.211,0.216,0.103,0.061,
96,0.212,0.217,0.104,0.062,
97,0.212,0.216,0.104,0.062,
98,0.212,0.216,0.104,0.062,
99,0.211,0.216,0.104,0.062,"[0.055, 0.146, 0.026, 0.21, 0.043, 0.124, 0.174, 0.087, 0.106, 0.067]"
