epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.005,0.017,0.01,0.002,
1,0.002,0.011,0.009,0.008,
2,0.001,0.012,0.011,0.006,
3,0.001,0.008,0.008,0.007,
4,0.001,0.033,0.018,0.012,
5,0.002,0.002,0.003,0.003,
6,0.002,0.016,0.014,0.008,
7,0.0,0.008,0.008,0.004,
8,0.001,0.003,0.006,0.002,
9,0.001,0.01,0.009,0.008,
10,0.001,0.004,0.005,0.001,
11,0.002,0.003,0.005,0.004,
12,0.001,0.003,0.003,0.003,
13,0.001,0.004,0.006,0.003,
14,0.001,0.006,0.006,0.004,
15,0.001,0.003,0.005,0.002,
16,0.001,0.004,0.003,0.002,
17,0.001,0.012,0.014,0.007,
18,0.002,0.006,0.005,0.003,
19,0.001,0.008,0.011,0.005,
20,0.001,0.002,0.003,0.002,
21,0.001,0.003,0.004,0.002,
22,0.002,0.015,0.018,0.008,
23,0.001,0.003,0.003,0.002,
24,0.002,0.004,0.003,0.002,
25,0.001,0.003,0.003,0.002,
26,0.0,0.001,0.001,0.002,
27,0.001,0.002,0.002,0.002,
28,0.001,0.002,0.001,0.001,
29,0.001,0.002,0.002,0.001,
30,0.0,0.001,0.002,0.001,
31,0.0,0.003,0.006,0.003,
32,0.001,0.003,0.003,0.001,
33,0.0,0.003,0.004,0.003,
34,0.001,0.004,0.006,0.003,
35,0.001,0.001,0.001,0.0,
36,0.001,0.002,0.002,0.001,
37,0.001,0.001,0.001,0.001,
38,0.001,0.002,0.001,0.002,
39,0.001,0.0,0.001,0.001,
40,0.001,0.001,0.002,0.002,
41,0.0,0.002,0.001,0.001,
42,0.001,0.001,0.002,0.001,
43,0.0,0.0,0.001,0.0,
44,0.0,0.001,0.001,0.001,
45,0.0,0.003,0.003,0.002,
46,0.0,0.003,0.003,0.002,
47,0.0,0.001,0.001,0.001,
48,0.0,0.001,0.001,0.001,
49,0.001,0.002,0.002,0.001,
50,0.0,0.002,0.002,0.0,
51,0.0,0.001,0.002,0.001,
52,0.001,0.001,0.002,0.001,
53,0.0,0.001,0.001,0.001,
54,0.001,0.001,0.001,0.001,
55,0.001,0.002,0.001,0.001,
56,0.001,0.002,0.003,0.001,
57,0.001,0.001,0.002,0.001,
58,0.001,0.001,0.001,0.0,
59,0.001,0.001,0.001,0.001,
60,0.001,0.001,0.002,0.001,
61,0.001,0.0,0.001,0.002,
62,0.0,0.002,0.002,0.002,
63,0.0,0.001,0.001,0.001,
64,0.0,0.0,0.001,0.001,
65,0.001,0.002,0.003,0.002,
66,0.0,0.001,0.001,0.0,
67,0.0,0.001,0.002,0.001,
68,0.0,0.0,0.001,0.001,
69,0.0,0.001,0.001,0.001,
70,0.001,0.002,0.003,0.002,
71,0.001,0.0,0.001,0.001,
72,0.001,0.001,0.001,0.001,
73,0.001,0.001,0.0,0.0,
74,0.001,0.001,0.001,0.0,
75,0.001,0.001,0.001,0.001,
76,0.001,0.002,0.003,0.002,
77,0.001,0.001,0.002,0.001,
78,0.001,0.0,0.001,0.001,
79,0.001,0.002,0.002,0.001,
80,0.001,0.001,0.001,0.001,
81,0.001,0.001,0.002,0.001,
82,0.0,0.001,0.002,0.001,
83,0.001,0.001,0.001,0.001,
84,0.0,0.001,0.002,0.001,
85,0.0,0.001,0.001,0.001,
86,0.0,0.001,0.001,0.001,
87,0.0,0.001,0.002,0.001,
88,0.0,0.001,0.002,0.001,
89,0.001,0.001,0.001,0.001,
90,0.0,0.001,0.001,0.001,
91,0.0,0.001,0.002,0.001,
92,0.001,0.001,0.001,0.001,
93,0.001,0.001,0.001,0.001,
94,0.0,0.0,0.0,0.001,
95,0.001,0.001,0.001,0.001,
96,0.0,0.001,0.001,0.001,
97,0.0,0.001,0.0,0.001,
98,0.0,0.001,0.001,0.001,
99,0.001,0.001,0.001,0.0,"[0.001, 0.001, 0.0, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001]"
