epoch,train_loss,val_loss,rmse,mae
0,0.345+-0.017,0.255+-0.015,0.124+-0.005,0.074+-0.003
1,0.242+-0.006,0.224+-0.003,0.111+-0.002,0.067+-0.002
2,0.225+-0.001,0.219+-0.002,0.108+-0.001,0.065+-0.001
3,0.222+-0.001,0.217+-0.001,0.105+-0.002,0.064+-0.002
4,0.22+-0.001,0.216+-0.001,0.105+-0.002,0.063+-0.001
5,0.221+-0.002,0.217+-0.003,0.105+-0.002,0.063+-0.001
6,0.22+-0.001,0.215+-0.001,0.104+-0.001,0.063+-0.001
7,0.22+-0.0,0.216+-0.001,0.104+-0.001,0.063+-0.001
8,0.219+-0.001,0.217+-0.002,0.103+-0.001,0.062+-0.001
9,0.219+-0.001,0.215+-0.002,0.102+-0.001,0.061+-0.001
10,0.217+-0.001,0.214+-0.001,0.102+-0.001,0.061+-0.0
11,0.218+-0.0,0.215+-0.001,0.102+-0.001,0.061+-0.0
12,0.218+-0.001,0.213+-0.001,0.101+-0.001,0.06+-0.001
13,0.218+-0.001,0.214+-0.002,0.102+-0.002,0.06+-0.001
14,0.218+-0.001,0.216+-0.004,0.103+-0.003,0.062+-0.001
15,0.217+-0.002,0.215+-0.002,0.102+-0.001,0.061+-0.001
16,0.217+-0.0,0.213+-0.001,0.1+-0.001,0.06+-0.001
17,0.215+-0.001,0.212+-0.0,0.101+-0.001,0.061+-0.001
18,0.216+-0.001,0.213+-0.002,0.101+-0.001,0.061+-0.001
19,0.216+-0.001,0.213+-0.001,0.1+-0.001,0.06+-0.0
20,0.216+-0.001,0.213+-0.001,0.1+-0.001,0.059+-0.001
21,0.216+-0.001,0.213+-0.001,0.1+-0.002,0.061+-0.001
22,0.216+-0.001,0.213+-0.002,0.1+-0.001,0.06+-0.001
23,0.216+-0.001,0.212+-0.001,0.1+-0.001,0.06+-0.001
24,0.216+-0.001,0.212+-0.001,0.099+-0.001,0.059+-0.0
25,0.215+-0.001,0.212+-0.001,0.1+-0.001,0.059+-0.001
26,0.216+-0.001,0.214+-0.003,0.101+-0.003,0.06+-0.002
27,0.217+-0.001,0.214+-0.002,0.101+-0.003,0.061+-0.002
28,0.218+-0.001,0.214+-0.001,0.101+-0.002,0.061+-0.001
29,0.216+-0.001,0.212+-0.0,0.099+-0.0,0.059+-0.001
30,0.215+-0.0,0.213+-0.001,0.1+-0.001,0.06+-0.001
31,0.215+-0.001,0.213+-0.001,0.1+-0.001,0.06+-0.0
32,0.216+-0.001,0.213+-0.002,0.101+-0.002,0.061+-0.001
33,0.215+-0.002,0.212+-0.002,0.1+-0.001,0.059+-0.001
34,0.215+-0.002,0.214+-0.004,0.101+-0.003,0.06+-0.002
35,0.215+-0.001,0.212+-0.001,0.099+-0.001,0.059+-0.001
36,0.216+-0.001,0.213+-0.001,0.1+-0.001,0.059+-0.001
37,0.216+-0.001,0.213+-0.001,0.1+-0.001,0.06+-0.001
38,0.215+-0.001,0.212+-0.001,0.099+-0.001,0.059+-0.001
39,0.215+-0.0,0.211+-0.001,0.099+-0.001,0.06+-0.001
40,0.215+-0.001,0.212+-0.0,0.099+-0.001,0.06+-0.0
41,0.214+-0.001,0.213+-0.001,0.1+-0.0,0.06+-0.001
42,0.216+-0.001,0.212+-0.001,0.099+-0.0,0.059+-0.0
43,0.215+-0.001,0.212+-0.0,0.099+-0.001,0.059+-0.0
44,0.215+-0.001,0.213+-0.001,0.099+-0.001,0.059+-0.001
45,0.216+-0.001,0.213+-0.002,0.1+-0.001,0.06+-0.001
46,0.215+-0.001,0.213+-0.002,0.1+-0.001,0.06+-0.001
47,0.215+-0.001,0.213+-0.001,0.1+-0.001,0.06+-0.001
48,0.214+-0.001,0.213+-0.001,0.1+-0.001,0.06+-0.0
49,0.215+-0.001,0.213+-0.001,0.1+-0.001,0.06+-0.002
50,0.229+-0.0,0.214+-0.01,0.102+-0.009,0.06+-0.007
51,0.205+-0.001,0.212+-0.021,0.094+-0.012,0.054+-0.008
52,0.198+-0.001,0.201+-0.006,0.086+-0.007,0.049+-0.004
53,0.194+-0.001,0.2+-0.001,0.085+-0.002,0.047+-0.001
54,0.191+-0.001,0.195+-0.001,0.078+-0.001,0.044+-0.001
55,0.188+-0.002,0.198+-0.006,0.083+-0.006,0.046+-0.003
56,0.185+-0.002,0.197+-0.002,0.081+-0.002,0.045+-0.001
57,0.182+-0.002,0.195+-0.001,0.079+-0.001,0.045+-0.002
58,0.181+-0.002,0.199+-0.005,0.084+-0.008,0.046+-0.005
59,0.179+-0.002,0.198+-0.004,0.084+-0.005,0.046+-0.002
60,0.177+-0.002,0.198+-0.002,0.082+-0.003,0.046+-0.002
61,0.176+-0.001,0.197+-0.003,0.081+-0.003,0.044+-0.002
62,0.175+-0.001,0.199+-0.003,0.084+-0.005,0.046+-0.003
63,0.174+-0.001,0.198+-0.001,0.083+-0.001,0.045+-0.0
64,0.174+-0.001,0.197+-0.002,0.081+-0.002,0.044+-0.001
65,0.173+-0.001,0.195+-0.002,0.078+-0.002,0.043+-0.001
66,0.173+-0.001,0.196+-0.001,0.08+-0.002,0.044+-0.001
67,0.173+-0.001,0.197+-0.003,0.08+-0.003,0.044+-0.002
68,0.172+-0.001,0.196+-0.002,0.08+-0.003,0.043+-0.002
69,0.172+-0.0,0.197+-0.002,0.08+-0.004,0.044+-0.003
70,0.172+-0.001,0.195+-0.001,0.078+-0.001,0.043+-0.001
71,0.171+-0.001,0.196+-0.002,0.079+-0.002,0.043+-0.001
72,0.171+-0.001,0.196+-0.001,0.078+-0.002,0.042+-0.001
73,0.171+-0.0,0.197+-0.002,0.08+-0.003,0.043+-0.001
74,0.171+-0.001,0.199+-0.002,0.082+-0.002,0.045+-0.001
75,0.171+-0.001,0.196+-0.002,0.079+-0.002,0.043+-0.001
76,0.171+-0.001,0.196+-0.002,0.079+-0.002,0.043+-0.001
77,0.17+-0.001,0.196+-0.0,0.079+-0.001,0.043+-0.001
78,0.17+-0.001,0.197+-0.001,0.08+-0.001,0.044+-0.001
79,0.17+-0.0,0.196+-0.001,0.08+-0.001,0.043+-0.001
80,0.17+-0.0,0.196+-0.001,0.08+-0.001,0.043+-0.0
81,0.17+-0.0,0.196+-0.001,0.078+-0.001,0.043+-0.001
82,0.17+-0.0,0.196+-0.0,0.079+-0.001,0.042+-0.001
83,0.17+-0.0,0.197+-0.002,0.08+-0.002,0.043+-0.001
84,0.17+-0.0,0.196+-0.001,0.079+-0.002,0.042+-0.001
85,0.169+-0.001,0.197+-0.002,0.08+-0.003,0.043+-0.002
86,0.169+-0.001,0.196+-0.001,0.08+-0.002,0.043+-0.001
87,0.169+-0.001,0.197+-0.001,0.08+-0.001,0.044+-0.001
88,0.169+-0.0,0.196+-0.002,0.079+-0.003,0.043+-0.001
89,0.169+-0.0,0.196+-0.001,0.079+-0.001,0.043+-0.001
90,0.169+-0.0,0.195+-0.001,0.078+-0.003,0.042+-0.002
91,0.169+-0.0,0.196+-0.001,0.079+-0.002,0.043+-0.001
92,0.169+-0.0,0.196+-0.0,0.079+-0.001,0.043+-0.001
93,0.169+-0.0,0.196+-0.001,0.079+-0.002,0.042+-0.001
94,0.169+-0.0,0.196+-0.001,0.079+-0.002,0.042+-0.001
95,0.169+-0.0,0.196+-0.002,0.079+-0.002,0.043+-0.001
96,0.169+-0.0,0.195+-0.001,0.078+-0.001,0.042+-0.0
97,0.169+-0.0,0.196+-0.001,0.079+-0.001,0.043+-0.001
98,0.169+-0.0,0.197+-0.002,0.08+-0.002,0.043+-0.002
99,0.168+-0.001,0.197+-0.001,0.08+-0.001,0.043+-0.001
