epoch,train_loss,val_loss,rmse,mae
0,0.25+-0.002,0.251+-0.014,0.133+-0.008,0.079+-0.002
1,0.223+-0.001,0.232+-0.016,0.114+-0.008,0.065+-0.004
2,0.217+-0.0,0.231+-0.019,0.117+-0.02,0.068+-0.015
3,0.213+-0.001,0.222+-0.003,0.116+-0.005,0.067+-0.004
4,0.209+-0.001,0.211+-0.006,0.1+-0.005,0.056+-0.003
5,0.207+-0.001,0.209+-0.0,0.099+-0.001,0.057+-0.001
6,0.205+-0.001,0.205+-0.008,0.094+-0.011,0.054+-0.006
7,0.203+-0.001,0.217+-0.009,0.11+-0.012,0.062+-0.006
8,0.201+-0.0,0.205+-0.006,0.094+-0.01,0.053+-0.005
9,0.2+-0.001,0.211+-0.011,0.098+-0.013,0.054+-0.007
10,0.198+-0.001,0.202+-0.002,0.089+-0.002,0.05+-0.0
11,0.197+-0.001,0.21+-0.016,0.097+-0.019,0.055+-0.011
12,0.196+-0.001,0.202+-0.005,0.088+-0.004,0.05+-0.003
13,0.194+-0.001,0.202+-0.004,0.087+-0.004,0.05+-0.003
14,0.192+-0.0,0.2+-0.005,0.085+-0.007,0.048+-0.004
15,0.191+-0.001,0.204+-0.011,0.092+-0.014,0.051+-0.008
16,0.189+-0.0,0.199+-0.003,0.085+-0.005,0.047+-0.004
17,0.188+-0.001,0.2+-0.006,0.086+-0.008,0.048+-0.004
18,0.186+-0.001,0.199+-0.003,0.085+-0.004,0.047+-0.003
19,0.185+-0.001,0.204+-0.003,0.089+-0.005,0.05+-0.003
20,0.183+-0.0,0.2+-0.002,0.087+-0.002,0.047+-0.002
21,0.182+-0.001,0.2+-0.002,0.085+-0.003,0.047+-0.002
22,0.181+-0.001,0.2+-0.004,0.084+-0.004,0.047+-0.003
23,0.179+-0.001,0.2+-0.002,0.085+-0.003,0.047+-0.002
24,0.178+-0.0,0.2+-0.002,0.085+-0.003,0.047+-0.002
25,0.177+-0.001,0.203+-0.005,0.089+-0.008,0.049+-0.005
26,0.176+-0.001,0.199+-0.002,0.083+-0.001,0.046+-0.001
27,0.176+-0.0,0.2+-0.001,0.085+-0.002,0.046+-0.002
28,0.176+-0.001,0.2+-0.001,0.084+-0.002,0.046+-0.002
29,0.175+-0.001,0.198+-0.001,0.081+-0.002,0.045+-0.001
30,0.174+-0.0,0.201+-0.002,0.085+-0.004,0.046+-0.003
31,0.174+-0.001,0.2+-0.003,0.083+-0.003,0.046+-0.002
32,0.173+-0.001,0.2+-0.002,0.085+-0.002,0.046+-0.001
33,0.173+-0.0,0.198+-0.003,0.083+-0.003,0.045+-0.003
34,0.173+-0.0,0.199+-0.002,0.082+-0.002,0.045+-0.001
35,0.173+-0.0,0.197+-0.001,0.081+-0.002,0.044+-0.001
36,0.172+-0.001,0.198+-0.0,0.082+-0.001,0.045+-0.0
37,0.172+-0.001,0.2+-0.002,0.084+-0.004,0.047+-0.002
38,0.172+-0.001,0.198+-0.001,0.082+-0.001,0.045+-0.0
39,0.172+-0.0,0.201+-0.001,0.085+-0.003,0.046+-0.001
40,0.172+-0.0,0.198+-0.002,0.082+-0.002,0.045+-0.001
41,0.171+-0.0,0.199+-0.001,0.083+-0.002,0.045+-0.001
