epoch,train_loss,val_loss,rmse,mae
0,0.242+-0.002,0.215+-0.006,0.101+-0.004,0.061+-0.003
1,0.217+-0.0,0.213+-0.001,0.098+-0.001,0.058+-0.0
2,0.216+-0.001,0.213+-0.002,0.097+-0.002,0.058+-0.001
3,0.215+-0.001,0.213+-0.004,0.096+-0.002,0.057+-0.001
4,0.214+-0.001,0.215+-0.005,0.097+-0.004,0.058+-0.002
5,0.214+-0.001,0.21+-0.001,0.094+-0.001,0.055+-0.001
6,0.213+-0.001,0.21+-0.002,0.095+-0.001,0.056+-0.001
7,0.213+-0.0,0.212+-0.002,0.096+-0.001,0.057+-0.001
8,0.213+-0.001,0.21+-0.002,0.094+-0.002,0.056+-0.001
9,0.214+-0.0,0.213+-0.004,0.096+-0.002,0.057+-0.002
10,0.213+-0.001,0.213+-0.005,0.096+-0.004,0.057+-0.003
11,0.213+-0.001,0.21+-0.001,0.094+-0.001,0.056+-0.001
12,0.213+-0.001,0.211+-0.003,0.095+-0.003,0.056+-0.001
13,0.214+-0.002,0.212+-0.002,0.095+-0.001,0.056+-0.001
14,0.213+-0.001,0.21+-0.001,0.093+-0.001,0.055+-0.001
15,0.213+-0.001,0.212+-0.001,0.095+-0.001,0.056+-0.001
16,0.212+-0.0,0.21+-0.0,0.093+-0.001,0.055+-0.0
17,0.213+-0.001,0.211+-0.001,0.094+-0.001,0.056+-0.002
18,0.212+-0.001,0.211+-0.002,0.094+-0.002,0.056+-0.002
19,0.212+-0.001,0.212+-0.001,0.095+-0.001,0.056+-0.001
20,0.213+-0.001,0.212+-0.002,0.095+-0.002,0.056+-0.001
21,0.212+-0.001,0.21+-0.001,0.093+-0.001,0.054+-0.001
22,0.213+-0.001,0.212+-0.003,0.095+-0.002,0.057+-0.002
23,0.212+-0.001,0.212+-0.003,0.094+-0.001,0.055+-0.001
24,0.212+-0.001,0.213+-0.004,0.095+-0.003,0.056+-0.002
25,0.214+-0.001,0.214+-0.001,0.096+-0.002,0.057+-0.001
26,0.213+-0.001,0.211+-0.002,0.094+-0.002,0.056+-0.001
27,0.213+-0.001,0.212+-0.004,0.095+-0.003,0.056+-0.002
28,0.212+-0.001,0.209+-0.001,0.093+-0.001,0.055+-0.001
29,0.212+-0.001,0.214+-0.003,0.097+-0.003,0.057+-0.002
30,0.212+-0.001,0.215+-0.003,0.097+-0.001,0.057+-0.0
31,0.212+-0.0,0.214+-0.003,0.096+-0.002,0.057+-0.002
32,0.213+-0.001,0.212+-0.003,0.095+-0.003,0.056+-0.002
33,0.213+-0.001,0.215+-0.006,0.097+-0.003,0.057+-0.002
34,0.213+-0.001,0.214+-0.006,0.096+-0.005,0.057+-0.003
