epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.345,0.255,0.124,0.074,
1,0.242,0.224,0.111,0.067,
2,0.225,0.219,0.108,0.065,
3,0.222,0.217,0.105,0.064,
4,0.22,0.216,0.105,0.063,
5,0.221,0.217,0.105,0.063,
6,0.22,0.215,0.104,0.063,
7,0.22,0.216,0.104,0.063,
8,0.219,0.217,0.103,0.062,
9,0.219,0.215,0.102,0.061,
10,0.217,0.214,0.102,0.061,
11,0.218,0.215,0.102,0.061,
12,0.218,0.213,0.101,0.06,
13,0.218,0.214,0.102,0.06,
14,0.218,0.216,0.103,0.062,
15,0.217,0.215,0.102,0.061,
16,0.217,0.213,0.1,0.06,
17,0.215,0.212,0.101,0.061,
18,0.216,0.213,0.101,0.061,
19,0.216,0.213,0.1,0.06,
20,0.216,0.213,0.1,0.059,
21,0.216,0.213,0.1,0.061,
22,0.216,0.213,0.1,0.06,
23,0.216,0.212,0.1,0.06,
24,0.216,0.212,0.099,0.059,
25,0.215,0.212,0.1,0.059,
26,0.216,0.214,0.101,0.06,
27,0.217,0.214,0.101,0.061,
28,0.218,0.214,0.101,0.061,
29,0.216,0.212,0.099,0.059,
30,0.215,0.213,0.1,0.06,
31,0.215,0.213,0.1,0.06,
32,0.216,0.213,0.101,0.061,
33,0.215,0.212,0.1,0.059,
34,0.215,0.214,0.101,0.06,
35,0.215,0.212,0.099,0.059,
36,0.216,0.213,0.1,0.059,
37,0.216,0.213,0.1,0.06,
38,0.215,0.212,0.099,0.059,
39,0.215,0.211,0.099,0.06,
40,0.215,0.212,0.099,0.06,
41,0.214,0.213,0.1,0.06,
42,0.216,0.212,0.099,0.059,
43,0.215,0.212,0.099,0.059,
44,0.215,0.213,0.099,0.059,
45,0.216,0.213,0.1,0.06,
46,0.215,0.213,0.1,0.06,
47,0.215,0.213,0.1,0.06,
48,0.214,0.213,0.1,0.06,
49,0.215,0.213,0.1,0.06,
50,0.229,0.214,0.102,0.06,
51,0.205,0.212,0.094,0.054,
52,0.198,0.201,0.086,0.049,
53,0.194,0.2,0.085,0.047,
54,0.191,0.195,0.078,0.044,
55,0.188,0.198,0.083,0.046,
56,0.185,0.197,0.081,0.045,
57,0.182,0.195,0.079,0.045,
58,0.181,0.199,0.084,0.046,
59,0.179,0.198,0.084,0.046,
60,0.177,0.198,0.082,0.046,
61,0.176,0.197,0.081,0.044,
62,0.175,0.199,0.084,0.046,
63,0.174,0.198,0.083,0.045,
64,0.174,0.197,0.081,0.044,
65,0.173,0.195,0.078,0.043,
66,0.173,0.196,0.08,0.044,
67,0.173,0.197,0.08,0.044,
68,0.172,0.196,0.08,0.043,
69,0.172,0.197,0.08,0.044,
70,0.172,0.195,0.078,0.043,
71,0.171,0.196,0.079,0.043,
72,0.171,0.196,0.078,0.042,
73,0.171,0.197,0.08,0.043,
74,0.171,0.199,0.082,0.045,
75,0.171,0.196,0.079,0.043,
76,0.171,0.196,0.079,0.043,
77,0.17,0.196,0.079,0.043,
78,0.17,0.197,0.08,0.044,
79,0.17,0.196,0.08,0.043,
80,0.17,0.196,0.08,0.043,
81,0.17,0.196,0.078,0.043,
82,0.17,0.196,0.079,0.042,
83,0.17,0.197,0.08,0.043,
84,0.17,0.196,0.079,0.042,
85,0.169,0.197,0.08,0.043,
86,0.169,0.196,0.08,0.043,
87,0.169,0.197,0.08,0.044,
88,0.169,0.196,0.079,0.043,
89,0.169,0.196,0.079,0.043,
90,0.169,0.195,0.078,0.042,
91,0.169,0.196,0.079,0.043,
92,0.169,0.196,0.079,0.043,
93,0.169,0.196,0.079,0.042,
94,0.169,0.196,0.079,0.042,
95,0.169,0.196,0.079,0.043,
96,0.169,0.195,0.078,0.042,
97,0.169,0.196,0.079,0.043,
98,0.169,0.197,0.08,0.043,
99,0.168,0.197,0.08,0.043,"[0.049, 0.105, 0.019, 0.138, 0.038, 0.108, 0.135, 0.077, 0.085, 0.046]"
