epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.017,0.015,0.005,0.003,
1,0.006,0.003,0.002,0.002,
2,0.001,0.002,0.001,0.001,
3,0.001,0.001,0.002,0.002,
4,0.001,0.001,0.002,0.001,
5,0.002,0.003,0.002,0.001,
6,0.001,0.001,0.001,0.001,
7,0.0,0.001,0.001,0.001,
8,0.001,0.002,0.001,0.001,
9,0.001,0.002,0.001,0.001,
10,0.001,0.001,0.001,0.0,
11,0.0,0.001,0.001,0.0,
12,0.001,0.001,0.001,0.001,
13,0.001,0.002,0.002,0.001,
14,0.001,0.004,0.003,0.001,
15,0.002,0.002,0.001,0.001,
16,0.0,0.001,0.001,0.001,
17,0.001,0.0,0.001,0.001,
18,0.001,0.002,0.001,0.001,
19,0.001,0.001,0.001,0.0,
20,0.001,0.001,0.001,0.001,
21,0.001,0.001,0.002,0.001,
22,0.001,0.002,0.001,0.001,
23,0.001,0.001,0.001,0.001,
24,0.001,0.001,0.001,0.0,
25,0.001,0.001,0.001,0.001,
26,0.001,0.003,0.003,0.002,
27,0.001,0.001,0.003,0.002,
28,0.001,0.002,0.002,0.001,
29,0.001,0.0,0.001,0.001,
30,0.0,0.001,0.001,0.0,
31,0.001,0.001,0.0,0.001,
32,0.0,0.001,0.001,0.001,
33,0.001,0.001,0.001,0.001,
34,0.001,0.002,0.001,0.001,
35,0.001,0.001,0.001,0.001,
36,0.0,0.001,0.001,0.001,
37,0.001,0.002,0.001,0.001,
38,0.001,0.002,0.002,0.001,
39,0.001,0.001,0.0,0.001,
40,0.001,0.001,0.001,0.001,
41,0.002,0.002,0.002,0.001,
42,0.0,0.001,0.0,0.0,
43,0.0,0.0,0.001,0.0,
44,0.001,0.002,0.001,0.001,
45,0.001,0.002,0.001,0.001,
46,0.001,0.002,0.001,0.001,
47,0.001,0.0,0.0,0.001,
48,0.001,0.001,0.001,0.0,
49,0.001,0.001,0.001,0.001,
50,0.003,0.002,0.001,0.001,
51,0.001,0.003,0.002,0.001,
52,0.001,0.002,0.001,0.0,
53,0.001,0.002,0.002,0.001,
54,0.001,0.001,0.001,0.001,
55,0.002,0.001,0.0,0.001,
56,0.001,0.001,0.001,0.0,
57,0.001,0.001,0.002,0.0,
58,0.001,0.001,0.001,0.001,
59,0.001,0.002,0.002,0.002,
60,0.001,0.001,0.0,0.001,
61,0.001,0.002,0.002,0.002,
62,0.001,0.002,0.001,0.001,
63,0.002,0.002,0.001,0.001,
64,0.001,0.002,0.001,0.001,
65,0.001,0.001,0.001,0.001,
66,0.001,0.001,0.001,0.0,
67,0.001,0.003,0.003,0.002,
68,0.001,0.002,0.002,0.002,
69,0.001,0.002,0.001,0.001,
70,0.001,0.0,0.001,0.001,
71,0.001,0.002,0.002,0.001,
72,0.001,0.002,0.001,0.001,
73,0.001,0.002,0.001,0.001,
74,0.001,0.001,0.0,0.001,
75,0.0,0.001,0.001,0.001,
76,0.001,0.001,0.0,0.001,
77,0.001,0.001,0.001,0.001,
78,0.001,0.002,0.001,0.001,
79,0.001,0.002,0.001,0.001,
80,0.001,0.002,0.002,0.001,
81,0.0,0.003,0.002,0.001,
82,0.001,0.001,0.001,0.001,
83,0.001,0.001,0.001,0.0,
84,0.001,0.0,0.001,0.001,
85,0.001,0.002,0.002,0.001,
86,0.001,0.001,0.001,0.002,
87,0.001,0.001,0.001,0.001,
88,0.0,0.001,0.001,0.0,
89,0.001,0.001,0.002,0.002,
90,0.001,0.002,0.002,0.001,
91,0.001,0.002,0.002,0.001,
92,0.001,0.001,0.001,0.001,
93,0.001,0.001,0.001,0.0,
94,0.001,0.004,0.002,0.002,
95,0.003,0.003,0.003,0.002,
96,0.001,0.001,0.001,0.001,
97,0.001,0.002,0.002,0.001,
98,0.001,0.002,0.001,0.001,
99,0.001,0.002,0.002,0.002,
100,,,,,"[0.0, 0.002, 0.0, 0.004, 0.0, 0.001, 0.003, 0.001, 0.001, 0.001]"
