epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.460,0.296,0.165,0.117,"[0.103, 0.269, 0.074, 0.31, 0.065, 0.186, 0.273, 0.147, 0.129, 0.096]"
01,0.264,0.307,0.165,0.108,"[0.101, 0.262, 0.046, 0.326, 0.054, 0.202, 0.282, 0.146, 0.131, 0.097]"
02,0.307,0.324,0.169,0.107,"[0.106, 0.251, 0.044, 0.327, 0.055, 0.215, 0.306, 0.155, 0.134, 0.101]"
03,0.299,0.346,0.163,0.104,"[0.107, 0.233, 0.044, 0.292, 0.055, 0.209, 0.296, 0.156, 0.135, 0.101]"
04,0.302,0.315,0.150,0.095,"[0.107, 0.222, 0.044, 0.266, 0.055, 0.162, 0.256, 0.148, 0.135, 0.101]"
05,0.272,0.327,0.161,0.104,"[0.107, 0.224, 0.044, 0.275, 0.055, 0.318, 0.225, 0.129, 0.135, 0.101]"
06,0.287,0.320,0.152,0.097,"[0.106, 0.233, 0.044, 0.265, 0.055, 0.216, 0.22, 0.148, 0.135, 0.101]"
07,0.274,0.314,0.149,0.092,"[0.105, 0.217, 0.044, 0.263, 0.055, 0.173, 0.235, 0.162, 0.135, 0.101]"
08,0.258,0.305,0.146,0.088,"[0.1, 0.2, 0.044, 0.256, 0.055, 0.189, 0.255, 0.122, 0.135, 0.101]"
09,0.257,0.292,0.141,0.084,"[0.085, 0.214, 0.044, 0.253, 0.055, 0.167, 0.233, 0.118, 0.135, 0.101]"
10,0.253,0.286,0.140,0.085,"[0.123, 0.198, 0.044, 0.258, 0.055, 0.149, 0.209, 0.125, 0.134, 0.101]"
11,0.235,0.287,0.144,0.089,"[0.138, 0.21, 0.044, 0.259, 0.055, 0.176, 0.2, 0.126, 0.133, 0.101]"
12,0.240,0.276,0.136,0.082,"[0.087, 0.207, 0.044, 0.256, 0.055, 0.162, 0.201, 0.113, 0.131, 0.101]"
13,0.226,0.266,0.131,0.079,"[0.076, 0.194, 0.044, 0.25, 0.055, 0.15, 0.202, 0.114, 0.125, 0.101]"
14,0.223,0.266,0.134,0.082,"[0.086, 0.193, 0.044, 0.249, 0.055, 0.161, 0.193, 0.128, 0.135, 0.1]"
15,0.220,0.264,0.134,0.083,"[0.089, 0.191, 0.044, 0.249, 0.055, 0.153, 0.192, 0.115, 0.157, 0.097]"
16,0.213,0.257,0.130,0.080,"[0.086, 0.191, 0.044, 0.248, 0.055, 0.148, 0.194, 0.106, 0.134, 0.093]"
17,0.207,0.257,0.130,0.079,"[0.081, 0.189, 0.044, 0.248, 0.055, 0.153, 0.195, 0.11, 0.125, 0.093]"
18,0.206,0.256,0.128,0.078,"[0.073, 0.188, 0.044, 0.248, 0.055, 0.149, 0.193, 0.108, 0.128, 0.096]"
19,0.204,0.253,0.127,0.076,"[0.069, 0.187, 0.044, 0.247, 0.055, 0.146, 0.19, 0.105, 0.129, 0.094]"
20,0.206,0.253,0.127,0.076,"[0.073, 0.188, 0.044, 0.247, 0.055, 0.147, 0.189, 0.108, 0.13, 0.093]"
21,0.206,0.251,0.127,0.076,"[0.072, 0.187, 0.044, 0.248, 0.055, 0.147, 0.191, 0.106, 0.129, 0.094]"
