epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.342,0.260,0.132,0.081,"[0.073, 0.202, 0.044, 0.248, 0.055, 0.151, 0.202, 0.117, 0.131, 0.095]"
01,0.260,0.243,0.123,0.075,"[0.064, 0.191, 0.044, 0.238, 0.055, 0.145, 0.182, 0.106, 0.12, 0.089]"
02,0.238,0.232,0.119,0.073,"[0.062, 0.18, 0.044, 0.23, 0.051, 0.14, 0.186, 0.102, 0.118, 0.08]"
03,0.228,0.225,0.117,0.072,"[0.064, 0.173, 0.041, 0.23, 0.052, 0.137, 0.178, 0.099, 0.117, 0.079]"
04,0.226,0.227,0.117,0.072,"[0.062, 0.179, 0.04, 0.228, 0.05, 0.136, 0.177, 0.099, 0.116, 0.08]"
05,0.225,0.225,0.115,0.071,"[0.06, 0.177, 0.037, 0.227, 0.049, 0.136, 0.177, 0.096, 0.115, 0.079]"
06,0.224,0.225,0.116,0.071,"[0.062, 0.175, 0.038, 0.232, 0.049, 0.134, 0.18, 0.096, 0.115, 0.08]"
07,0.222,0.224,0.115,0.070,"[0.064, 0.171, 0.035, 0.229, 0.049, 0.131, 0.176, 0.096, 0.115, 0.08]"
08,0.221,0.222,0.113,0.069,"[0.059, 0.167, 0.036, 0.224, 0.049, 0.131, 0.175, 0.099, 0.113, 0.077]"
09,0.219,0.222,0.113,0.069,"[0.06, 0.167, 0.036, 0.224, 0.048, 0.132, 0.177, 0.094, 0.113, 0.077]"
10,0.219,0.222,0.113,0.068,"[0.06, 0.165, 0.035, 0.223, 0.048, 0.129, 0.174, 0.099, 0.114, 0.077]"
11,0.219,0.221,0.112,0.068,"[0.059, 0.165, 0.034, 0.222, 0.048, 0.129, 0.171, 0.101, 0.113, 0.075]"
12,0.219,0.222,0.112,0.068,"[0.059, 0.167, 0.034, 0.221, 0.048, 0.132, 0.171, 0.096, 0.113, 0.075]"
13,0.218,0.224,0.113,0.069,"[0.059, 0.168, 0.033, 0.233, 0.048, 0.135, 0.172, 0.093, 0.114, 0.075]"
14,0.219,0.224,0.113,0.069,"[0.059, 0.165, 0.036, 0.229, 0.048, 0.129, 0.181, 0.094, 0.111, 0.075]"
15,0.218,0.221,0.111,0.067,"[0.059, 0.164, 0.034, 0.221, 0.048, 0.128, 0.171, 0.095, 0.111, 0.075]"
16,0.218,0.222,0.111,0.067,"[0.058, 0.165, 0.034, 0.224, 0.047, 0.13, 0.173, 0.096, 0.111, 0.075]"
17,0.220,0.223,0.113,0.067,"[0.059, 0.171, 0.032, 0.224, 0.048, 0.128, 0.176, 0.099, 0.114, 0.077]"
18,0.215,0.220,0.109,0.066,"[0.057, 0.161, 0.033, 0.222, 0.047, 0.126, 0.169, 0.093, 0.11, 0.075]"
