epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.259,0.222,0.112,0.068,"[0.062, 0.15, 0.042, 0.217, 0.052, 0.129, 0.172, 0.095, 0.118, 0.08]"
01,0.221,0.212,0.101,0.061,"[0.057, 0.13, 0.034, 0.197, 0.049, 0.124, 0.159, 0.084, 0.108, 0.072]"
02,0.214,0.207,0.096,0.057,"[0.054, 0.125, 0.03, 0.179, 0.048, 0.12, 0.151, 0.081, 0.102, 0.068]"
03,0.210,0.205,0.092,0.054,"[0.053, 0.117, 0.028, 0.171, 0.045, 0.118, 0.149, 0.08, 0.099, 0.065]"
04,0.207,0.204,0.093,0.055,"[0.052, 0.126, 0.027, 0.169, 0.044, 0.118, 0.153, 0.079, 0.097, 0.062]"
05,0.205,0.201,0.087,0.051,"[0.051, 0.108, 0.026, 0.154, 0.043, 0.115, 0.139, 0.078, 0.094, 0.06]"
06,0.203,0.207,0.093,0.053,"[0.05, 0.127, 0.026, 0.195, 0.042, 0.114, 0.144, 0.077, 0.093, 0.057]"
07,0.202,0.199,0.084,0.049,"[0.05, 0.108, 0.025, 0.149, 0.041, 0.11, 0.135, 0.078, 0.091, 0.056]"
08,0.201,0.198,0.084,0.048,"[0.05, 0.103, 0.025, 0.145, 0.041, 0.109, 0.14, 0.077, 0.09, 0.055]"
09,0.200,0.199,0.085,0.049,"[0.05, 0.104, 0.025, 0.157, 0.041, 0.112, 0.134, 0.075, 0.091, 0.056]"
10,0.198,0.198,0.082,0.047,"[0.049, 0.102, 0.025, 0.146, 0.039, 0.11, 0.133, 0.076, 0.089, 0.054]"
11,0.198,0.197,0.082,0.047,"[0.048, 0.105, 0.025, 0.143, 0.039, 0.107, 0.133, 0.078, 0.088, 0.054]"
12,0.197,0.196,0.081,0.047,"[0.047, 0.1, 0.024, 0.142, 0.039, 0.107, 0.133, 0.077, 0.088, 0.052]"
13,0.196,0.196,0.081,0.046,"[0.047, 0.101, 0.024, 0.142, 0.039, 0.107, 0.132, 0.076, 0.087, 0.052]"
14,0.195,0.196,0.080,0.045,"[0.047, 0.099, 0.025, 0.138, 0.038, 0.106, 0.132, 0.079, 0.088, 0.05]"
15,0.195,0.195,0.079,0.045,"[0.047, 0.099, 0.024, 0.136, 0.039, 0.105, 0.129, 0.074, 0.086, 0.05]"
16,0.195,0.196,0.080,0.046,"[0.046, 0.098, 0.023, 0.137, 0.038, 0.111, 0.135, 0.076, 0.087, 0.051]"
17,0.194,0.199,0.084,0.049,"[0.046, 0.11, 0.024, 0.167, 0.038, 0.106, 0.134, 0.077, 0.086, 0.05]"
18,0.193,0.196,0.080,0.045,"[0.046, 0.102, 0.023, 0.137, 0.038, 0.105, 0.133, 0.08, 0.087, 0.049]"
19,0.193,0.197,0.082,0.046,"[0.046, 0.111, 0.023, 0.151, 0.038, 0.107, 0.13, 0.079, 0.086, 0.048]"
