epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.384,0.362,0.162,0.091,"[0.099, 0.239, 0.044, 0.274, 0.055, 0.175, 0.227, 0.27, 0.132, 0.098]"
01,0.309,0.261,0.125,0.076,"[0.084, 0.184, 0.044, 0.236, 0.055, 0.141, 0.189, 0.111, 0.119, 0.084]"
02,0.248,0.237,0.122,0.072,"[0.089, 0.161, 0.077, 0.231, 0.055, 0.151, 0.179, 0.091, 0.112, 0.075]"
03,0.235,0.225,0.113,0.066,"[0.059, 0.162, 0.04, 0.216, 0.051, 0.13, 0.174, 0.102, 0.115, 0.083]"
04,0.227,0.221,0.109,0.064,"[0.06, 0.154, 0.033, 0.215, 0.047, 0.126, 0.175, 0.095, 0.112, 0.072]"
05,0.225,0.223,0.111,0.069,"[0.057, 0.178, 0.03, 0.216, 0.046, 0.128, 0.183, 0.089, 0.114, 0.071]"
06,0.222,0.217,0.105,0.064,"[0.055, 0.15, 0.028, 0.213, 0.047, 0.123, 0.168, 0.09, 0.108, 0.07]"
07,0.221,0.218,0.106,0.064,"[0.057, 0.153, 0.028, 0.212, 0.046, 0.122, 0.167, 0.102, 0.107, 0.07]"
08,0.221,0.218,0.106,0.065,"[0.057, 0.165, 0.028, 0.21, 0.046, 0.122, 0.167, 0.09, 0.112, 0.069]"
09,0.219,0.217,0.106,0.064,"[0.055, 0.15, 0.029, 0.209, 0.045, 0.122, 0.172, 0.096, 0.108, 0.069]"
10,0.219,0.215,0.104,0.063,"[0.058, 0.147, 0.028, 0.208, 0.045, 0.121, 0.168, 0.087, 0.108, 0.069]"
11,0.218,0.216,0.104,0.063,"[0.055, 0.148, 0.029, 0.209, 0.045, 0.125, 0.17, 0.088, 0.105, 0.068]"
12,0.219,0.216,0.104,0.063,"[0.055, 0.154, 0.027, 0.212, 0.045, 0.124, 0.162, 0.088, 0.106, 0.068]"
13,0.218,0.216,0.104,0.063,"[0.056, 0.148, 0.027, 0.21, 0.044, 0.121, 0.165, 0.093, 0.107, 0.068]"
14,0.217,0.218,0.106,0.064,"[0.054, 0.16, 0.028, 0.22, 0.044, 0.126, 0.17, 0.088, 0.105, 0.067]"
15,0.217,0.215,0.103,0.062,"[0.055, 0.152, 0.029, 0.212, 0.044, 0.119, 0.162, 0.087, 0.107, 0.067]"
16,0.217,0.214,0.102,0.062,"[0.054, 0.144, 0.028, 0.205, 0.044, 0.121, 0.167, 0.086, 0.105, 0.067]"
17,0.216,0.214,0.102,0.062,"[0.055, 0.144, 0.027, 0.205, 0.046, 0.122, 0.161, 0.086, 0.106, 0.067]"
18,0.216,0.217,0.105,0.062,"[0.054, 0.154, 0.028, 0.211, 0.045, 0.121, 0.175, 0.085, 0.107, 0.067]"
19,0.218,0.214,0.102,0.061,"[0.053, 0.143, 0.027, 0.206, 0.044, 0.121, 0.164, 0.087, 0.105, 0.067]"
20,0.217,0.215,0.103,0.063,"[0.055, 0.145, 0.027, 0.204, 0.044, 0.119, 0.171, 0.093, 0.105, 0.066]"
21,0.216,0.216,0.103,0.062,"[0.053, 0.151, 0.027, 0.215, 0.043, 0.124, 0.163, 0.087, 0.105, 0.066]"
22,0.216,0.214,0.102,0.061,"[0.053, 0.144, 0.026, 0.211, 0.045, 0.119, 0.165, 0.086, 0.104, 0.066]"
23,0.216,0.213,0.101,0.062,"[0.054, 0.144, 0.028, 0.205, 0.044, 0.118, 0.162, 0.086, 0.107, 0.066]"
24,0.215,0.214,0.102,0.061,"[0.054, 0.145, 0.027, 0.206, 0.044, 0.122, 0.162, 0.085, 0.105, 0.07]"
25,0.216,0.213,0.101,0.061,"[0.053, 0.143, 0.026, 0.203, 0.044, 0.12, 0.161, 0.086, 0.106, 0.068]"
26,0.215,0.214,0.101,0.061,"[0.053, 0.142, 0.026, 0.206, 0.043, 0.118, 0.16, 0.088, 0.106, 0.066]"
27,0.215,0.213,0.101,0.061,"[0.055, 0.144, 0.027, 0.204, 0.044, 0.118, 0.161, 0.085, 0.106, 0.066]"
28,0.215,0.212,0.100,0.060,"[0.053, 0.143, 0.026, 0.204, 0.043, 0.118, 0.16, 0.086, 0.104, 0.066]"
29,0.214,0.213,0.101,0.061,"[0.054, 0.143, 0.026, 0.204, 0.043, 0.121, 0.165, 0.085, 0.104, 0.067]"
30,0.215,0.214,0.102,0.061,"[0.054, 0.146, 0.028, 0.208, 0.043, 0.118, 0.162, 0.086, 0.107, 0.067]"
31,0.214,0.213,0.100,0.060,"[0.054, 0.141, 0.027, 0.204, 0.043, 0.118, 0.16, 0.089, 0.104, 0.065]"
32,0.214,0.214,0.101,0.061,"[0.054, 0.149, 0.026, 0.202, 0.043, 0.118, 0.159, 0.085, 0.105, 0.067]"
33,0.215,0.214,0.101,0.061,"[0.053, 0.144, 0.027, 0.204, 0.043, 0.126, 0.161, 0.086, 0.105, 0.065]"
34,0.214,0.213,0.100,0.060,"[0.053, 0.143, 0.025, 0.202, 0.042, 0.122, 0.16, 0.085, 0.103, 0.065]"
35,0.216,0.213,0.100,0.060,"[0.054, 0.143, 0.025, 0.203, 0.043, 0.117, 0.16, 0.086, 0.103, 0.065]"
36,0.216,0.217,0.102,0.061,"[0.053, 0.145, 0.026, 0.217, 0.043, 0.123, 0.16, 0.086, 0.103, 0.066]"
37,0.215,0.212,0.100,0.060,"[0.053, 0.142, 0.025, 0.203, 0.044, 0.118, 0.16, 0.087, 0.103, 0.065]"
38,0.213,0.212,0.100,0.060,"[0.053, 0.142, 0.026, 0.203, 0.043, 0.118, 0.16, 0.085, 0.104, 0.066]"
39,0.213,0.213,0.100,0.060,"[0.053, 0.143, 0.027, 0.204, 0.043, 0.118, 0.159, 0.085, 0.106, 0.065]"
40,0.213,0.214,0.101,0.060,"[0.053, 0.148, 0.025, 0.208, 0.044, 0.118, 0.159, 0.085, 0.103, 0.065]"
41,0.214,0.213,0.100,0.060,"[0.054, 0.143, 0.025, 0.207, 0.043, 0.117, 0.163, 0.085, 0.103, 0.064]"
42,0.215,0.214,0.101,0.060,"[0.053, 0.146, 0.027, 0.203, 0.042, 0.121, 0.164, 0.086, 0.104, 0.064]"
43,0.214,0.215,0.103,0.062,"[0.053, 0.147, 0.025, 0.21, 0.043, 0.117, 0.176, 0.09, 0.103, 0.065]"
44,0.214,0.214,0.100,0.060,"[0.053, 0.142, 0.025, 0.202, 0.042, 0.118, 0.168, 0.085, 0.103, 0.065]"
45,0.214,0.214,0.102,0.061,"[0.054, 0.152, 0.026, 0.203, 0.043, 0.118, 0.162, 0.086, 0.104, 0.067]"
46,0.214,0.212,0.100,0.060,"[0.053, 0.143, 0.026, 0.204, 0.043, 0.117, 0.16, 0.086, 0.104, 0.065]"
47,0.213,0.213,0.100,0.060,"[0.053, 0.149, 0.025, 0.204, 0.042, 0.118, 0.159, 0.085, 0.105, 0.065]"
48,0.214,0.212,0.100,0.060,"[0.053, 0.142, 0.025, 0.202, 0.044, 0.118, 0.16, 0.085, 0.106, 0.065]"
49,0.214,0.213,0.100,0.060,"[0.053, 0.14, 0.026, 0.201, 0.044, 0.12, 0.16, 0.088, 0.104, 0.065]"
50,0.214,0.212,0.099,0.060,"[0.053, 0.143, 0.024, 0.202, 0.043, 0.117, 0.163, 0.084, 0.102, 0.064]"
51,0.214,0.213,0.100,0.059,"[0.056, 0.14, 0.024, 0.201, 0.042, 0.121, 0.16, 0.085, 0.104, 0.064]"
52,0.214,0.215,0.102,0.061,"[0.054, 0.152, 0.025, 0.208, 0.042, 0.121, 0.164, 0.088, 0.103, 0.064]"
53,0.213,0.215,0.102,0.062,"[0.055, 0.141, 0.026, 0.213, 0.042, 0.119, 0.166, 0.089, 0.105, 0.065]"
54,0.214,0.215,0.102,0.061,"[0.053, 0.144, 0.027, 0.209, 0.044, 0.119, 0.164, 0.094, 0.103, 0.065]"
55,0.214,0.215,0.101,0.061,"[0.053, 0.141, 0.024, 0.208, 0.042, 0.118, 0.171, 0.086, 0.106, 0.065]"
56,0.214,0.212,0.099,0.060,"[0.053, 0.14, 0.024, 0.202, 0.042, 0.117, 0.16, 0.085, 0.104, 0.065]"
57,0.214,0.215,0.102,0.061,"[0.052, 0.14, 0.025, 0.203, 0.042, 0.119, 0.175, 0.09, 0.104, 0.065]"
58,0.213,0.213,0.101,0.060,"[0.053, 0.14, 0.025, 0.203, 0.042, 0.119, 0.169, 0.089, 0.102, 0.064]"
59,0.213,0.213,0.100,0.059,"[0.052, 0.142, 0.024, 0.201, 0.042, 0.117, 0.165, 0.085, 0.103, 0.064]"
60,0.213,0.212,0.099,0.059,"[0.052, 0.14, 0.025, 0.202, 0.042, 0.118, 0.159, 0.085, 0.102, 0.064]"
61,0.213,0.214,0.100,0.060,"[0.054, 0.143, 0.024, 0.207, 0.042, 0.119, 0.158, 0.087, 0.103, 0.065]"
62,0.213,0.212,0.099,0.059,"[0.053, 0.142, 0.025, 0.203, 0.042, 0.119, 0.158, 0.085, 0.103, 0.064]"
63,0.213,0.213,0.100,0.059,"[0.053, 0.141, 0.025, 0.202, 0.042, 0.121, 0.159, 0.085, 0.102, 0.064]"
64,0.214,0.215,0.102,0.061,"[0.053, 0.157, 0.024, 0.211, 0.042, 0.118, 0.158, 0.087, 0.103, 0.065]"
65,0.214,0.213,0.099,0.059,"[0.054, 0.139, 0.025, 0.203, 0.041, 0.118, 0.159, 0.085, 0.103, 0.064]"
66,0.214,0.214,0.100,0.059,"[0.052, 0.145, 0.026, 0.205, 0.042, 0.119, 0.161, 0.085, 0.103, 0.064]"
67,0.215,0.216,0.101,0.060,"[0.053, 0.14, 0.024, 0.201, 0.042, 0.121, 0.17, 0.092, 0.103, 0.063]"
68,0.214,0.214,0.101,0.060,"[0.058, 0.143, 0.025, 0.209, 0.042, 0.118, 0.159, 0.087, 0.104, 0.066]"
69,0.214,0.212,0.099,0.059,"[0.052, 0.14, 0.025, 0.202, 0.042, 0.121, 0.16, 0.084, 0.103, 0.066]"
70,0.214,0.215,0.101,0.060,"[0.052, 0.147, 0.024, 0.213, 0.042, 0.12, 0.159, 0.087, 0.102, 0.065]"
71,0.213,0.214,0.101,0.060,"[0.053, 0.154, 0.024, 0.205, 0.042, 0.118, 0.159, 0.085, 0.102, 0.065]"
72,0.214,0.212,0.099,0.059,"[0.052, 0.141, 0.025, 0.202, 0.043, 0.117, 0.159, 0.086, 0.102, 0.064]"
73,0.214,0.215,0.101,0.061,"[0.056, 0.139, 0.024, 0.21, 0.042, 0.124, 0.159, 0.085, 0.103, 0.064]"
74,0.215,0.219,0.104,0.061,"[0.054, 0.157, 0.026, 0.229, 0.042, 0.118, 0.162, 0.085, 0.103, 0.064]"
75,0.215,0.215,0.100,0.060,"[0.053, 0.141, 0.024, 0.205, 0.041, 0.121, 0.159, 0.084, 0.105, 0.066]"
76,0.213,0.213,0.101,0.060,"[0.052, 0.153, 0.025, 0.205, 0.042, 0.117, 0.159, 0.085, 0.102, 0.066]"
77,0.212,0.213,0.100,0.060,"[0.052, 0.144, 0.025, 0.204, 0.041, 0.121, 0.16, 0.085, 0.102, 0.065]"
78,0.213,0.212,0.099,0.060,"[0.052, 0.141, 0.024, 0.203, 0.041, 0.117, 0.161, 0.084, 0.105, 0.064]"
79,0.212,0.214,0.101,0.061,"[0.052, 0.145, 0.024, 0.211, 0.042, 0.126, 0.16, 0.085, 0.102, 0.065]"
80,0.213,0.213,0.101,0.061,"[0.053, 0.143, 0.025, 0.202, 0.042, 0.119, 0.168, 0.086, 0.103, 0.064]"
81,0.214,0.214,0.100,0.060,"[0.056, 0.142, 0.024, 0.202, 0.041, 0.117, 0.167, 0.088, 0.102, 0.063]"
82,0.213,0.212,0.099,0.059,"[0.056, 0.14, 0.024, 0.201, 0.041, 0.117, 0.159, 0.085, 0.102, 0.064]"
83,0.212,0.212,0.100,0.060,"[0.052, 0.146, 0.024, 0.205, 0.041, 0.117, 0.16, 0.084, 0.105, 0.065]"
84,0.213,0.215,0.102,0.061,"[0.054, 0.155, 0.024, 0.212, 0.041, 0.119, 0.16, 0.093, 0.102, 0.064]"
85,0.213,0.214,0.101,0.060,"[0.057, 0.144, 0.024, 0.207, 0.041, 0.118, 0.16, 0.085, 0.102, 0.066]"
86,0.213,0.214,0.100,0.060,"[0.052, 0.142, 0.024, 0.204, 0.041, 0.122, 0.158, 0.088, 0.105, 0.065]"
87,0.214,0.217,0.104,0.062,"[0.052, 0.153, 0.024, 0.219, 0.041, 0.117, 0.174, 0.093, 0.103, 0.064]"
88,0.214,0.214,0.100,0.059,"[0.052, 0.145, 0.024, 0.205, 0.041, 0.118, 0.16, 0.084, 0.104, 0.064]"
89,0.212,0.212,0.099,0.059,"[0.052, 0.143, 0.024, 0.202, 0.041, 0.117, 0.159, 0.084, 0.101, 0.064]"
90,0.212,0.212,0.099,0.059,"[0.052, 0.144, 0.023, 0.203, 0.041, 0.117, 0.159, 0.084, 0.102, 0.064]"
91,0.212,0.214,0.101,0.060,"[0.054, 0.155, 0.024, 0.206, 0.041, 0.118, 0.159, 0.085, 0.103, 0.064]"
92,0.212,0.213,0.099,0.059,"[0.053, 0.142, 0.024, 0.202, 0.041, 0.118, 0.16, 0.085, 0.104, 0.065]"
93,0.213,0.213,0.100,0.059,"[0.052, 0.142, 0.023, 0.206, 0.042, 0.12, 0.158, 0.085, 0.101, 0.065]"
94,0.213,0.214,0.101,0.061,"[0.054, 0.146, 0.024, 0.207, 0.043, 0.118, 0.16, 0.086, 0.106, 0.066]"
95,0.212,0.214,0.101,0.061,"[0.054, 0.146, 0.028, 0.205, 0.042, 0.119, 0.16, 0.085, 0.105, 0.067]"
96,0.212,0.214,0.101,0.061,"[0.06, 0.146, 0.024, 0.202, 0.041, 0.12, 0.168, 0.085, 0.103, 0.064]"
97,0.213,0.214,0.100,0.060,"[0.058, 0.14, 0.023, 0.202, 0.041, 0.122, 0.162, 0.085, 0.102, 0.064]"
98,0.214,0.216,0.102,0.060,"[0.053, 0.144, 0.026, 0.212, 0.042, 0.123, 0.159, 0.087, 0.103, 0.067]"
99,0.213,0.213,0.099,0.060,"[0.052, 0.14, 0.024, 0.201, 0.043, 0.12, 0.158, 0.088, 0.103, 0.064]"
