epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.227,0.215,0.104,0.059,"[0.061, 0.177, 0.026, 0.227, 0.041, 0.113, 0.145, 0.085, 0.092, 0.072]"
01,0.204,0.209,0.096,0.052,"[0.05, 0.148, 0.023, 0.201, 0.039, 0.121, 0.142, 0.075, 0.097, 0.062]"
02,0.201,0.195,0.080,0.046,"[0.047, 0.1, 0.021, 0.14, 0.037, 0.103, 0.136, 0.075, 0.088, 0.055]"
03,0.198,0.206,0.094,0.053,"[0.047, 0.182, 0.022, 0.188, 0.04, 0.108, 0.137, 0.075, 0.086, 0.051]"
04,0.195,0.201,0.088,0.050,"[0.044, 0.1, 0.018, 0.143, 0.042, 0.127, 0.173, 0.087, 0.091, 0.051]"
05,0.193,0.196,0.083,0.045,"[0.049, 0.098, 0.019, 0.134, 0.037, 0.104, 0.157, 0.09, 0.083, 0.057]"
06,0.192,0.204,0.093,0.052,"[0.054, 0.1, 0.025, 0.137, 0.036, 0.147, 0.191, 0.093, 0.088, 0.058]"
07,0.191,0.198,0.084,0.048,"[0.042, 0.119, 0.019, 0.147, 0.034, 0.115, 0.156, 0.072, 0.085, 0.047]"
08,0.189,0.202,0.090,0.050,"[0.048, 0.097, 0.019, 0.13, 0.04, 0.104, 0.176, 0.145, 0.086, 0.05]"
09,0.188,0.199,0.085,0.049,"[0.05, 0.133, 0.022, 0.182, 0.037, 0.097, 0.123, 0.075, 0.086, 0.047]"
10,0.187,0.197,0.082,0.046,"[0.043, 0.096, 0.019, 0.127, 0.035, 0.101, 0.153, 0.111, 0.083, 0.048]"
11,0.186,0.190,0.072,0.039,"[0.042, 0.09, 0.018, 0.117, 0.036, 0.096, 0.12, 0.079, 0.08, 0.044]"
12,0.184,0.201,0.086,0.048,"[0.042, 0.123, 0.017, 0.175, 0.034, 0.104, 0.131, 0.088, 0.097, 0.047]"
13,0.183,0.191,0.074,0.041,"[0.04, 0.097, 0.024, 0.12, 0.036, 0.098, 0.125, 0.078, 0.081, 0.043]"
14,0.181,0.192,0.074,0.041,"[0.042, 0.096, 0.016, 0.127, 0.035, 0.096, 0.127, 0.071, 0.084, 0.044]"
15,0.180,0.193,0.076,0.042,"[0.045, 0.104, 0.019, 0.122, 0.037, 0.107, 0.133, 0.071, 0.082, 0.042]"
16,0.179,0.193,0.077,0.043,"[0.051, 0.108, 0.02, 0.127, 0.034, 0.098, 0.123, 0.071, 0.093, 0.048]"
17,0.178,0.194,0.078,0.043,"[0.05, 0.105, 0.018, 0.137, 0.037, 0.101, 0.134, 0.076, 0.083, 0.044]"
18,0.177,0.193,0.076,0.041,"[0.04, 0.1, 0.017, 0.13, 0.035, 0.103, 0.131, 0.077, 0.089, 0.044]"
19,0.176,0.194,0.077,0.042,"[0.041, 0.106, 0.018, 0.125, 0.038, 0.101, 0.132, 0.08, 0.087, 0.044]"
20,0.175,0.198,0.083,0.046,"[0.047, 0.104, 0.017, 0.132, 0.035, 0.126, 0.159, 0.088, 0.083, 0.043]"
21,0.175,0.193,0.075,0.040,"[0.042, 0.104, 0.022, 0.121, 0.037, 0.101, 0.124, 0.075, 0.082, 0.043]"
22,0.175,0.196,0.081,0.043,"[0.044, 0.122, 0.017, 0.148, 0.037, 0.101, 0.133, 0.076, 0.087, 0.041]"
23,0.174,0.191,0.074,0.040,"[0.045, 0.094, 0.017, 0.119, 0.036, 0.099, 0.127, 0.081, 0.083, 0.042]"
24,0.173,0.194,0.078,0.041,"[0.045, 0.117, 0.018, 0.129, 0.037, 0.101, 0.126, 0.077, 0.083, 0.044]"
25,0.173,0.192,0.075,0.040,"[0.055, 0.093, 0.019, 0.118, 0.037, 0.1, 0.126, 0.074, 0.083, 0.046]"
26,0.172,0.192,0.076,0.041,"[0.042, 0.097, 0.017, 0.124, 0.035, 0.098, 0.131, 0.091, 0.081, 0.043]"
27,0.172,0.191,0.074,0.040,"[0.047, 0.092, 0.019, 0.118, 0.036, 0.099, 0.123, 0.074, 0.084, 0.043]"
28,0.173,0.192,0.075,0.040,"[0.047, 0.094, 0.017, 0.119, 0.038, 0.101, 0.127, 0.081, 0.083, 0.042]"
29,0.172,0.192,0.074,0.040,"[0.042, 0.094, 0.022, 0.125, 0.036, 0.098, 0.124, 0.077, 0.082, 0.043]"
30,0.172,0.192,0.075,0.041,"[0.042, 0.102, 0.017, 0.126, 0.036, 0.101, 0.124, 0.077, 0.083, 0.042]"
31,0.171,0.192,0.074,0.040,"[0.043, 0.092, 0.018, 0.118, 0.038, 0.101, 0.127, 0.08, 0.083, 0.041]"
32,0.171,0.193,0.077,0.042,"[0.047, 0.094, 0.018, 0.12, 0.036, 0.102, 0.134, 0.093, 0.082, 0.042]"
33,0.171,0.191,0.073,0.039,"[0.042, 0.093, 0.017, 0.118, 0.036, 0.1, 0.123, 0.075, 0.083, 0.043]"
34,0.170,0.195,0.079,0.043,"[0.051, 0.107, 0.022, 0.142, 0.036, 0.102, 0.127, 0.074, 0.083, 0.042]"
35,0.170,0.191,0.074,0.040,"[0.048, 0.095, 0.018, 0.119, 0.036, 0.099, 0.124, 0.075, 0.082, 0.043]"
36,0.171,0.196,0.080,0.042,"[0.044, 0.099, 0.018, 0.131, 0.036, 0.106, 0.127, 0.088, 0.086, 0.061]"
37,0.171,0.195,0.079,0.042,"[0.049, 0.098, 0.019, 0.131, 0.039, 0.101, 0.144, 0.076, 0.083, 0.052]"
38,0.170,0.192,0.074,0.040,"[0.045, 0.091, 0.017, 0.117, 0.037, 0.1, 0.126, 0.082, 0.082, 0.043]"
39,0.170,0.192,0.074,0.040,"[0.042, 0.092, 0.018, 0.121, 0.036, 0.099, 0.13, 0.075, 0.082, 0.045]"
40,0.170,0.192,0.074,0.040,"[0.045, 0.093, 0.018, 0.119, 0.038, 0.1, 0.127, 0.077, 0.085, 0.043]"
41,0.170,0.191,0.073,0.040,"[0.042, 0.094, 0.017, 0.121, 0.036, 0.1, 0.124, 0.076, 0.082, 0.041]"
42,0.170,0.192,0.074,0.039,"[0.043, 0.096, 0.018, 0.12, 0.036, 0.1, 0.125, 0.076, 0.084, 0.043]"
43,0.169,0.192,0.074,0.040,"[0.047, 0.092, 0.018, 0.121, 0.036, 0.102, 0.126, 0.076, 0.082, 0.042]"
44,0.169,0.192,0.075,0.041,"[0.05, 0.095, 0.019, 0.122, 0.036, 0.099, 0.124, 0.075, 0.082, 0.044]"
45,0.170,0.199,0.082,0.044,"[0.043, 0.121, 0.017, 0.161, 0.036, 0.1, 0.129, 0.088, 0.083, 0.044]"
46,0.169,0.193,0.076,0.041,"[0.042, 0.101, 0.018, 0.126, 0.036, 0.101, 0.133, 0.077, 0.083, 0.041]"
47,0.169,0.193,0.075,0.040,"[0.043, 0.104, 0.019, 0.121, 0.038, 0.101, 0.125, 0.075, 0.083, 0.044]"
48,0.169,0.192,0.074,0.041,"[0.043, 0.094, 0.017, 0.122, 0.036, 0.1, 0.123, 0.077, 0.083, 0.04]"
49,0.169,0.193,0.075,0.040,"[0.046, 0.091, 0.017, 0.122, 0.038, 0.099, 0.13, 0.079, 0.087, 0.041]"
50,0.169,0.192,0.075,0.040,"[0.042, 0.097, 0.017, 0.119, 0.037, 0.1, 0.128, 0.076, 0.085, 0.046]"
51,0.169,0.192,0.074,0.040,"[0.044, 0.091, 0.016, 0.119, 0.037, 0.1, 0.129, 0.075, 0.083, 0.044]"
52,0.169,0.195,0.078,0.042,"[0.042, 0.11, 0.017, 0.146, 0.037, 0.101, 0.13, 0.076, 0.082, 0.043]"
53,0.169,0.193,0.075,0.040,"[0.044, 0.097, 0.02, 0.122, 0.038, 0.1, 0.126, 0.076, 0.082, 0.043]"
54,0.169,0.192,0.074,0.040,"[0.044, 0.093, 0.019, 0.119, 0.037, 0.102, 0.124, 0.075, 0.084, 0.043]"
55,0.169,0.192,0.074,0.040,"[0.043, 0.092, 0.017, 0.121, 0.037, 0.1, 0.129, 0.074, 0.084, 0.044]"
56,0.169,0.193,0.075,0.041,"[0.043, 0.097, 0.017, 0.124, 0.036, 0.101, 0.134, 0.075, 0.083, 0.042]"
57,0.169,0.191,0.073,0.039,"[0.047, 0.091, 0.018, 0.116, 0.036, 0.099, 0.123, 0.076, 0.082, 0.042]"
58,0.168,0.192,0.075,0.040,"[0.043, 0.097, 0.017, 0.12, 0.038, 0.102, 0.125, 0.077, 0.083, 0.044]"
59,0.168,0.193,0.075,0.041,"[0.043, 0.093, 0.016, 0.121, 0.037, 0.103, 0.13, 0.082, 0.084, 0.044]"
60,0.168,0.191,0.073,0.039,"[0.042, 0.091, 0.018, 0.117, 0.036, 0.1, 0.125, 0.074, 0.082, 0.043]"
61,0.168,0.193,0.075,0.041,"[0.045, 0.094, 0.018, 0.12, 0.037, 0.102, 0.132, 0.079, 0.082, 0.045]"
