epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.327,0.244,0.126,0.076,"[0.107, 0.183, 0.044, 0.227, 0.056, 0.159, 0.189, 0.104, 0.119, 0.076]"
01,0.237,0.222,0.111,0.068,"[0.058, 0.162, 0.034, 0.216, 0.054, 0.13, 0.173, 0.093, 0.11, 0.077]"
02,0.225,0.217,0.107,0.065,"[0.057, 0.152, 0.031, 0.214, 0.046, 0.125, 0.174, 0.089, 0.11, 0.072]"
03,0.221,0.218,0.107,0.066,"[0.056, 0.149, 0.028, 0.21, 0.048, 0.129, 0.181, 0.092, 0.109, 0.071]"
04,0.221,0.217,0.105,0.062,"[0.057, 0.148, 0.028, 0.215, 0.045, 0.126, 0.166, 0.089, 0.107, 0.067]"
05,0.221,0.220,0.106,0.063,"[0.057, 0.15, 0.028, 0.214, 0.046, 0.127, 0.167, 0.088, 0.109, 0.07]"
06,0.221,0.214,0.103,0.062,"[0.055, 0.145, 0.029, 0.208, 0.045, 0.121, 0.165, 0.087, 0.108, 0.067]"
07,0.220,0.215,0.103,0.063,"[0.055, 0.147, 0.027, 0.206, 0.044, 0.126, 0.166, 0.086, 0.105, 0.068]"
08,0.220,0.219,0.104,0.063,"[0.056, 0.152, 0.026, 0.208, 0.044, 0.12, 0.172, 0.088, 0.11, 0.068]"
09,0.219,0.213,0.101,0.061,"[0.054, 0.145, 0.027, 0.205, 0.044, 0.12, 0.162, 0.086, 0.104, 0.066]"
10,0.217,0.214,0.101,0.061,"[0.054, 0.143, 0.028, 0.206, 0.044, 0.119, 0.161, 0.087, 0.108, 0.065]"
11,0.218,0.214,0.102,0.061,"[0.054, 0.146, 0.026, 0.206, 0.044, 0.119, 0.164, 0.09, 0.105, 0.067]"
12,0.217,0.212,0.100,0.060,"[0.053, 0.143, 0.026, 0.204, 0.043, 0.119, 0.162, 0.085, 0.104, 0.065]"
13,0.217,0.216,0.103,0.061,"[0.055, 0.143, 0.025, 0.216, 0.043, 0.118, 0.167, 0.086, 0.107, 0.064]"
14,0.218,0.213,0.101,0.061,"[0.053, 0.146, 0.026, 0.207, 0.043, 0.118, 0.163, 0.085, 0.106, 0.065]"
15,0.217,0.217,0.102,0.062,"[0.056, 0.143, 0.025, 0.205, 0.043, 0.123, 0.168, 0.091, 0.104, 0.065]"
16,0.217,0.213,0.101,0.060,"[0.055, 0.143, 0.025, 0.209, 0.043, 0.118, 0.161, 0.085, 0.103, 0.064]"
17,0.215,0.212,0.100,0.060,"[0.054, 0.142, 0.026, 0.203, 0.043, 0.118, 0.161, 0.086, 0.104, 0.065]"
18,0.216,0.215,0.102,0.062,"[0.056, 0.142, 0.025, 0.204, 0.043, 0.13, 0.165, 0.09, 0.105, 0.064]"
19,0.216,0.212,0.100,0.060,"[0.053, 0.143, 0.025, 0.205, 0.042, 0.118, 0.159, 0.087, 0.103, 0.064]"
20,0.216,0.212,0.099,0.059,"[0.053, 0.141, 0.025, 0.203, 0.042, 0.118, 0.16, 0.085, 0.103, 0.064]"
21,0.215,0.212,0.099,0.060,"[0.053, 0.14, 0.025, 0.201, 0.043, 0.12, 0.159, 0.085, 0.104, 0.065]"
22,0.216,0.212,0.100,0.060,"[0.053, 0.14, 0.024, 0.203, 0.042, 0.122, 0.16, 0.085, 0.103, 0.064]"
23,0.215,0.212,0.099,0.060,"[0.053, 0.141, 0.025, 0.203, 0.042, 0.118, 0.159, 0.085, 0.105, 0.064]"
24,0.215,0.212,0.099,0.059,"[0.054, 0.142, 0.025, 0.204, 0.042, 0.117, 0.16, 0.085, 0.102, 0.063]"
25,0.215,0.212,0.100,0.060,"[0.052, 0.145, 0.025, 0.205, 0.042, 0.12, 0.159, 0.085, 0.103, 0.063]"
26,0.216,0.217,0.104,0.062,"[0.054, 0.159, 0.026, 0.221, 0.043, 0.123, 0.161, 0.087, 0.105, 0.064]"
27,0.217,0.214,0.099,0.060,"[0.052, 0.141, 0.025, 0.204, 0.042, 0.117, 0.158, 0.09, 0.102, 0.063]"
