epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.361,0.304,0.137,0.080,"[0.107, 0.171, 0.044, 0.269, 0.055, 0.195, 0.196, 0.104, 0.133, 0.1]"
01,0.258,0.284,0.133,0.076,"[0.08, 0.226, 0.044, 0.216, 0.055, 0.15, 0.181, 0.103, 0.118, 0.156]"
02,0.217,0.255,0.124,0.072,"[0.067, 0.164, 0.044, 0.253, 0.055, 0.166, 0.209, 0.094, 0.105, 0.081]"
03,0.199,0.235,0.111,0.067,"[0.075, 0.134, 0.044, 0.177, 0.055, 0.139, 0.188, 0.096, 0.121, 0.079]"
04,0.186,0.226,0.102,0.057,"[0.06, 0.147, 0.041, 0.174, 0.055, 0.121, 0.16, 0.087, 0.098, 0.077]"
05,0.181,0.220,0.098,0.054,"[0.058, 0.124, 0.04, 0.172, 0.054, 0.12, 0.162, 0.082, 0.093, 0.072]"
06,0.177,0.222,0.100,0.055,"[0.069, 0.14, 0.033, 0.168, 0.053, 0.12, 0.155, 0.083, 0.09, 0.087]"
07,0.173,0.217,0.099,0.054,"[0.056, 0.128, 0.03, 0.17, 0.052, 0.122, 0.17, 0.095, 0.091, 0.078]"
08,0.170,0.212,0.094,0.053,"[0.057, 0.122, 0.029, 0.169, 0.049, 0.127, 0.147, 0.085, 0.091, 0.065]"
09,0.170,0.213,0.095,0.053,"[0.054, 0.139, 0.03, 0.174, 0.048, 0.121, 0.147, 0.083, 0.091, 0.064]"
10,0.167,0.210,0.092,0.052,"[0.056, 0.12, 0.029, 0.163, 0.048, 0.121, 0.146, 0.084, 0.091, 0.065]"
11,0.168,0.211,0.093,0.052,"[0.058, 0.126, 0.029, 0.165, 0.047, 0.121, 0.148, 0.085, 0.091, 0.065]"
12,0.168,0.213,0.095,0.053,"[0.055, 0.131, 0.028, 0.164, 0.047, 0.122, 0.154, 0.095, 0.091, 0.063]"
13,0.169,0.213,0.096,0.054,"[0.055, 0.137, 0.028, 0.182, 0.047, 0.12, 0.15, 0.086, 0.092, 0.064]"
14,0.166,0.210,0.093,0.052,"[0.055, 0.121, 0.028, 0.162, 0.046, 0.124, 0.149, 0.086, 0.092, 0.067]"
15,0.165,0.210,0.093,0.053,"[0.055, 0.126, 0.028, 0.165, 0.047, 0.121, 0.15, 0.087, 0.092, 0.064]"
16,0.164,0.216,0.101,0.056,"[0.055, 0.163, 0.03, 0.192, 0.047, 0.127, 0.148, 0.085, 0.092, 0.066]"
17,0.167,0.213,0.095,0.053,"[0.055, 0.126, 0.029, 0.176, 0.047, 0.126, 0.151, 0.087, 0.092, 0.063]"
18,0.166,0.211,0.094,0.053,"[0.057, 0.121, 0.028, 0.171, 0.048, 0.129, 0.149, 0.086, 0.091, 0.064]"
19,0.165,0.210,0.093,0.052,"[0.054, 0.123, 0.029, 0.166, 0.046, 0.123, 0.149, 0.085, 0.092, 0.063]"
20,0.166,0.212,0.096,0.053,"[0.054, 0.131, 0.03, 0.182, 0.046, 0.122, 0.151, 0.089, 0.093, 0.067]"
21,0.165,0.213,0.097,0.054,"[0.054, 0.125, 0.028, 0.167, 0.047, 0.133, 0.164, 0.091, 0.095, 0.063]"
22,0.166,0.211,0.095,0.053,"[0.055, 0.12, 0.029, 0.163, 0.047, 0.133, 0.158, 0.09, 0.093, 0.064]"
23,0.163,0.209,0.093,0.052,"[0.053, 0.123, 0.029, 0.167, 0.046, 0.123, 0.149, 0.085, 0.093, 0.065]"
24,0.162,0.210,0.094,0.053,"[0.059, 0.125, 0.028, 0.168, 0.046, 0.123, 0.149, 0.087, 0.092, 0.064]"
25,0.162,0.209,0.094,0.052,"[0.053, 0.122, 0.029, 0.168, 0.047, 0.124, 0.15, 0.087, 0.093, 0.066]"
26,0.165,0.214,0.095,0.053,"[0.054, 0.136, 0.031, 0.166, 0.045, 0.121, 0.151, 0.09, 0.093, 0.066]"
27,0.164,0.210,0.095,0.052,"[0.053, 0.135, 0.029, 0.167, 0.047, 0.12, 0.149, 0.087, 0.093, 0.069]"
28,0.163,0.210,0.094,0.052,"[0.054, 0.126, 0.029, 0.174, 0.046, 0.121, 0.152, 0.085, 0.093, 0.065]"
29,0.163,0.208,0.092,0.051,"[0.053, 0.124, 0.031, 0.163, 0.047, 0.119, 0.146, 0.085, 0.092, 0.064]"
30,0.163,0.210,0.094,0.052,"[0.055, 0.131, 0.029, 0.168, 0.046, 0.12, 0.148, 0.084, 0.092, 0.065]"
31,0.162,0.211,0.095,0.052,"[0.054, 0.128, 0.029, 0.169, 0.046, 0.121, 0.155, 0.085, 0.093, 0.066]"
32,0.163,0.211,0.093,0.052,"[0.056, 0.119, 0.029, 0.164, 0.046, 0.121, 0.148, 0.086, 0.093, 0.064]"
33,0.161,0.210,0.094,0.052,"[0.057, 0.124, 0.029, 0.167, 0.047, 0.12, 0.15, 0.087, 0.092, 0.065]"
34,0.162,0.209,0.092,0.051,"[0.053, 0.122, 0.029, 0.164, 0.045, 0.12, 0.148, 0.087, 0.092, 0.064]"
35,0.161,0.208,0.093,0.052,"[0.055, 0.123, 0.03, 0.164, 0.046, 0.119, 0.15, 0.086, 0.092, 0.066]"
36,0.162,0.210,0.094,0.051,"[0.053, 0.122, 0.029, 0.165, 0.047, 0.12, 0.157, 0.087, 0.093, 0.064]"
37,0.161,0.212,0.096,0.053,"[0.057, 0.122, 0.029, 0.169, 0.047, 0.12, 0.169, 0.093, 0.093, 0.065]"
38,0.163,0.210,0.094,0.052,"[0.056, 0.124, 0.029, 0.167, 0.045, 0.12, 0.153, 0.087, 0.092, 0.065]"
39,0.163,0.210,0.094,0.052,"[0.053, 0.128, 0.029, 0.169, 0.046, 0.122, 0.149, 0.088, 0.092, 0.067]"
40,0.163,0.210,0.093,0.052,"[0.061, 0.122, 0.029, 0.161, 0.046, 0.121, 0.146, 0.087, 0.093, 0.064]"
41,0.162,0.209,0.093,0.052,"[0.053, 0.124, 0.029, 0.169, 0.045, 0.119, 0.148, 0.087, 0.094, 0.065]"
42,0.162,0.209,0.093,0.052,"[0.056, 0.125, 0.029, 0.166, 0.047, 0.121, 0.145, 0.087, 0.092, 0.066]"
