epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.328,0.265,0.123,0.077,"[0.079, 0.169, 0.044, 0.211, 0.055, 0.17, 0.174, 0.092, 0.138, 0.102]"
01,0.225,0.227,0.112,0.070,"[0.104, 0.147, 0.039, 0.197, 0.053, 0.135, 0.173, 0.09, 0.101, 0.082]"
02,0.203,0.215,0.093,0.053,"[0.07, 0.114, 0.028, 0.171, 0.043, 0.118, 0.144, 0.084, 0.091, 0.067]"
03,0.191,0.206,0.090,0.051,"[0.053, 0.126, 0.028, 0.163, 0.042, 0.111, 0.141, 0.087, 0.089, 0.064]"
04,0.184,0.209,0.094,0.053,"[0.05, 0.157, 0.027, 0.171, 0.041, 0.115, 0.143, 0.083, 0.087, 0.063]"
05,0.182,0.209,0.093,0.052,"[0.05, 0.128, 0.026, 0.173, 0.041, 0.113, 0.156, 0.084, 0.088, 0.067]"
06,0.180,0.203,0.087,0.048,"[0.051, 0.115, 0.027, 0.151, 0.04, 0.111, 0.145, 0.084, 0.086, 0.06]"
07,0.176,0.202,0.086,0.048,"[0.048, 0.108, 0.028, 0.147, 0.04, 0.113, 0.142, 0.087, 0.087, 0.06]"
08,0.176,0.202,0.086,0.048,"[0.049, 0.11, 0.028, 0.146, 0.041, 0.111, 0.147, 0.086, 0.087, 0.059]"
09,0.176,0.205,0.088,0.048,"[0.05, 0.112, 0.031, 0.149, 0.04, 0.112, 0.157, 0.085, 0.088, 0.058]"
10,0.176,0.203,0.088,0.048,"[0.049, 0.113, 0.03, 0.151, 0.039, 0.115, 0.143, 0.098, 0.087, 0.059]"
11,0.175,0.203,0.087,0.048,"[0.048, 0.12, 0.027, 0.159, 0.04, 0.114, 0.141, 0.081, 0.087, 0.058]"
12,0.173,0.202,0.087,0.047,"[0.05, 0.112, 0.029, 0.152, 0.039, 0.111, 0.142, 0.086, 0.088, 0.059]"
13,0.173,0.203,0.087,0.047,"[0.054, 0.11, 0.026, 0.146, 0.04, 0.122, 0.143, 0.083, 0.086, 0.059]"
14,0.172,0.203,0.087,0.048,"[0.049, 0.116, 0.026, 0.15, 0.04, 0.112, 0.143, 0.088, 0.087, 0.058]"
15,0.172,0.201,0.085,0.047,"[0.048, 0.111, 0.026, 0.147, 0.04, 0.111, 0.14, 0.082, 0.087, 0.06]"
16,0.172,0.205,0.089,0.049,"[0.048, 0.124, 0.028, 0.168, 0.04, 0.112, 0.144, 0.085, 0.087, 0.058]"
17,0.171,0.203,0.087,0.048,"[0.048, 0.111, 0.029, 0.151, 0.039, 0.112, 0.146, 0.09, 0.087, 0.059]"
18,0.171,0.203,0.086,0.047,"[0.049, 0.109, 0.026, 0.147, 0.04, 0.112, 0.143, 0.088, 0.087, 0.058]"
19,0.172,0.203,0.087,0.047,"[0.048, 0.113, 0.027, 0.151, 0.039, 0.112, 0.146, 0.085, 0.086, 0.059]"
20,0.170,0.206,0.090,0.049,"[0.049, 0.129, 0.026, 0.169, 0.039, 0.115, 0.142, 0.083, 0.088, 0.059]"
21,0.171,0.203,0.087,0.047,"[0.048, 0.113, 0.028, 0.146, 0.04, 0.111, 0.144, 0.091, 0.087, 0.061]"
22,0.171,0.202,0.085,0.046,"[0.048, 0.11, 0.025, 0.145, 0.04, 0.113, 0.141, 0.083, 0.088, 0.058]"
23,0.172,0.204,0.090,0.048,"[0.049, 0.114, 0.025, 0.155, 0.04, 0.113, 0.159, 0.093, 0.089, 0.062]"
24,0.172,0.208,0.091,0.050,"[0.056, 0.116, 0.027, 0.158, 0.04, 0.13, 0.147, 0.085, 0.088, 0.058]"
25,0.172,0.203,0.086,0.047,"[0.048, 0.11, 0.025, 0.148, 0.04, 0.114, 0.142, 0.087, 0.089, 0.058]"
26,0.171,0.203,0.087,0.048,"[0.049, 0.114, 0.026, 0.152, 0.039, 0.114, 0.142, 0.087, 0.087, 0.058]"
27,0.170,0.203,0.087,0.048,"[0.048, 0.115, 0.026, 0.162, 0.039, 0.111, 0.142, 0.085, 0.088, 0.057]"
28,0.171,0.203,0.087,0.048,"[0.049, 0.115, 0.026, 0.153, 0.04, 0.113, 0.143, 0.086, 0.088, 0.059]"
29,0.171,0.206,0.090,0.049,"[0.05, 0.131, 0.028, 0.163, 0.039, 0.113, 0.145, 0.086, 0.088, 0.061]"
30,0.170,0.204,0.088,0.048,"[0.049, 0.122, 0.025, 0.152, 0.041, 0.113, 0.143, 0.087, 0.088, 0.061]"
31,0.169,0.203,0.086,0.047,"[0.049, 0.112, 0.027, 0.151, 0.039, 0.112, 0.144, 0.083, 0.088, 0.058]"
32,0.170,0.204,0.087,0.047,"[0.051, 0.11, 0.025, 0.15, 0.04, 0.114, 0.148, 0.085, 0.088, 0.061]"
33,0.169,0.204,0.088,0.048,"[0.051, 0.114, 0.026, 0.15, 0.04, 0.113, 0.15, 0.085, 0.087, 0.061]"
34,0.169,0.203,0.087,0.047,"[0.048, 0.109, 0.026, 0.147, 0.039, 0.112, 0.152, 0.085, 0.088, 0.061]"
35,0.169,0.204,0.088,0.048,"[0.048, 0.124, 0.026, 0.163, 0.039, 0.114, 0.141, 0.083, 0.088, 0.058]"
36,0.169,0.203,0.088,0.048,"[0.052, 0.115, 0.025, 0.153, 0.04, 0.111, 0.144, 0.084, 0.088, 0.062]"
37,0.170,0.202,0.087,0.047,"[0.049, 0.116, 0.025, 0.147, 0.04, 0.112, 0.142, 0.086, 0.088, 0.063]"
38,0.170,0.203,0.088,0.048,"[0.048, 0.121, 0.026, 0.151, 0.042, 0.12, 0.141, 0.083, 0.088, 0.06]"
39,0.170,0.202,0.087,0.047,"[0.049, 0.113, 0.025, 0.151, 0.041, 0.112, 0.143, 0.085, 0.088, 0.062]"
40,0.169,0.202,0.086,0.047,"[0.048, 0.109, 0.026, 0.15, 0.039, 0.111, 0.142, 0.083, 0.088, 0.061]"
41,0.169,0.203,0.086,0.047,"[0.05, 0.112, 0.025, 0.149, 0.038, 0.112, 0.146, 0.084, 0.089, 0.06]"
42,0.168,0.203,0.087,0.047,"[0.049, 0.113, 0.026, 0.149, 0.04, 0.111, 0.148, 0.087, 0.088, 0.063]"
43,0.169,0.203,0.086,0.047,"[0.049, 0.109, 0.024, 0.148, 0.04, 0.111, 0.143, 0.084, 0.088, 0.06]"
44,0.169,0.203,0.086,0.047,"[0.049, 0.11, 0.026, 0.147, 0.04, 0.116, 0.141, 0.084, 0.087, 0.061]"
45,0.169,0.204,0.088,0.048,"[0.054, 0.115, 0.025, 0.15, 0.04, 0.112, 0.147, 0.088, 0.088, 0.059]"
46,0.169,0.204,0.088,0.048,"[0.049, 0.112, 0.025, 0.158, 0.039, 0.115, 0.144, 0.085, 0.088, 0.061]"
47,0.169,0.202,0.086,0.047,"[0.05, 0.111, 0.025, 0.151, 0.039, 0.111, 0.144, 0.083, 0.087, 0.06]"
48,0.170,0.204,0.086,0.047,"[0.05, 0.112, 0.025, 0.147, 0.04, 0.118, 0.141, 0.083, 0.088, 0.058]"
49,0.168,0.203,0.086,0.047,"[0.049, 0.113, 0.025, 0.147, 0.04, 0.112, 0.141, 0.083, 0.089, 0.062]"
50,0.169,0.202,0.087,0.047,"[0.049, 0.111, 0.025, 0.148, 0.04, 0.111, 0.145, 0.084, 0.089, 0.063]"
51,0.169,0.204,0.087,0.047,"[0.05, 0.113, 0.026, 0.155, 0.04, 0.111, 0.142, 0.09, 0.088, 0.06]"
52,0.169,0.205,0.088,0.048,"[0.05, 0.122, 0.025, 0.156, 0.04, 0.112, 0.142, 0.085, 0.088, 0.062]"
53,0.169,0.205,0.087,0.047,"[0.052, 0.112, 0.025, 0.148, 0.04, 0.115, 0.143, 0.086, 0.088, 0.06]"
54,0.170,0.204,0.087,0.048,"[0.049, 0.117, 0.025, 0.153, 0.04, 0.114, 0.14, 0.084, 0.089, 0.06]"
55,0.169,0.203,0.087,0.047,"[0.048, 0.114, 0.024, 0.153, 0.039, 0.113, 0.148, 0.083, 0.089, 0.059]"
56,0.169,0.204,0.087,0.047,"[0.052, 0.113, 0.025, 0.148, 0.041, 0.112, 0.142, 0.085, 0.088, 0.059]"
57,0.168,0.205,0.088,0.048,"[0.054, 0.115, 0.025, 0.151, 0.041, 0.113, 0.146, 0.084, 0.088, 0.06]"
58,0.168,0.209,0.091,0.051,"[0.051, 0.119, 0.025, 0.171, 0.04, 0.112, 0.164, 0.085, 0.088, 0.06]"
59,0.170,0.204,0.089,0.048,"[0.049, 0.119, 0.026, 0.154, 0.042, 0.113, 0.148, 0.087, 0.088, 0.062]"
60,0.169,0.204,0.087,0.047,"[0.049, 0.117, 0.025, 0.15, 0.039, 0.114, 0.145, 0.084, 0.09, 0.059]"
61,0.168,0.202,0.087,0.047,"[0.049, 0.112, 0.024, 0.147, 0.041, 0.113, 0.143, 0.088, 0.088, 0.059]"
62,0.168,0.205,0.087,0.048,"[0.049, 0.114, 0.025, 0.15, 0.04, 0.117, 0.142, 0.083, 0.088, 0.06]"
63,0.168,0.203,0.086,0.047,"[0.05, 0.111, 0.024, 0.147, 0.04, 0.112, 0.147, 0.084, 0.088, 0.06]"
64,0.168,0.204,0.088,0.048,"[0.05, 0.117, 0.025, 0.153, 0.04, 0.111, 0.152, 0.085, 0.089, 0.061]"
65,0.169,0.204,0.086,0.047,"[0.05, 0.112, 0.024, 0.147, 0.04, 0.114, 0.143, 0.087, 0.088, 0.059]"
66,0.169,0.204,0.088,0.047,"[0.05, 0.112, 0.025, 0.148, 0.041, 0.111, 0.153, 0.087, 0.088, 0.062]"
67,0.168,0.203,0.087,0.048,"[0.05, 0.114, 0.025, 0.15, 0.04, 0.114, 0.142, 0.086, 0.088, 0.059]"
68,0.169,0.204,0.089,0.048,"[0.049, 0.113, 0.025, 0.15, 0.04, 0.114, 0.16, 0.085, 0.089, 0.064]"
69,0.168,0.203,0.086,0.047,"[0.049, 0.113, 0.025, 0.151, 0.04, 0.111, 0.141, 0.084, 0.088, 0.059]"
70,0.168,0.203,0.088,0.048,"[0.049, 0.117, 0.025, 0.155, 0.04, 0.113, 0.15, 0.084, 0.088, 0.063]"
71,0.169,0.202,0.086,0.047,"[0.049, 0.114, 0.025, 0.147, 0.039, 0.111, 0.144, 0.084, 0.088, 0.063]"
72,0.169,0.204,0.088,0.048,"[0.05, 0.115, 0.025, 0.149, 0.041, 0.112, 0.149, 0.09, 0.089, 0.061]"
73,0.168,0.206,0.090,0.049,"[0.049, 0.124, 0.024, 0.158, 0.04, 0.112, 0.152, 0.086, 0.089, 0.061]"
74,0.168,0.204,0.088,0.047,"[0.05, 0.113, 0.025, 0.149, 0.04, 0.113, 0.156, 0.087, 0.09, 0.062]"
75,0.168,0.205,0.087,0.048,"[0.05, 0.112, 0.025, 0.148, 0.039, 0.111, 0.143, 0.09, 0.089, 0.06]"
76,0.169,0.204,0.088,0.048,"[0.05, 0.118, 0.025, 0.157, 0.041, 0.111, 0.143, 0.084, 0.091, 0.062]"
77,0.168,0.203,0.088,0.047,"[0.05, 0.114, 0.024, 0.152, 0.041, 0.11, 0.149, 0.088, 0.089, 0.061]"
78,0.168,0.204,0.088,0.047,"[0.05, 0.115, 0.025, 0.153, 0.041, 0.111, 0.145, 0.084, 0.09, 0.063]"
79,0.168,0.203,0.087,0.048,"[0.052, 0.112, 0.024, 0.149, 0.04, 0.111, 0.146, 0.084, 0.089, 0.062]"
80,0.168,0.203,0.087,0.047,"[0.05, 0.114, 0.026, 0.149, 0.041, 0.113, 0.141, 0.085, 0.089, 0.061]"
81,0.168,0.204,0.088,0.048,"[0.05, 0.114, 0.024, 0.15, 0.041, 0.113, 0.151, 0.088, 0.089, 0.064]"
82,0.168,0.203,0.087,0.047,"[0.049, 0.113, 0.025, 0.149, 0.04, 0.116, 0.141, 0.083, 0.089, 0.065]"
83,0.167,0.204,0.087,0.047,"[0.05, 0.112, 0.025, 0.148, 0.041, 0.111, 0.146, 0.084, 0.089, 0.062]"
84,0.168,0.204,0.087,0.048,"[0.052, 0.114, 0.024, 0.151, 0.041, 0.112, 0.147, 0.083, 0.089, 0.061]"
85,0.168,0.204,0.088,0.048,"[0.049, 0.118, 0.025, 0.161, 0.04, 0.111, 0.142, 0.083, 0.089, 0.061]"
