epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.371,0.294,0.156,0.108,"[0.106, 0.251, 0.044, 0.281, 0.055, 0.197, 0.264, 0.135, 0.129, 0.099]"
01,0.291,0.268,0.142,0.093,"[0.095, 0.221, 0.044, 0.262, 0.055, 0.175, 0.223, 0.12, 0.128, 0.097]"
02,0.263,0.250,0.138,0.089,"[0.092, 0.205, 0.04, 0.26, 0.055, 0.165, 0.22, 0.117, 0.131, 0.094]"
03,0.253,0.247,0.134,0.086,"[0.089, 0.201, 0.037, 0.256, 0.053, 0.16, 0.218, 0.105, 0.128, 0.095]"
04,0.247,0.245,0.134,0.088,"[0.088, 0.196, 0.038, 0.256, 0.053, 0.162, 0.224, 0.1, 0.132, 0.093]"
05,0.248,0.244,0.134,0.084,"[0.087, 0.197, 0.039, 0.265, 0.053, 0.155, 0.215, 0.104, 0.127, 0.093]"
06,0.245,0.243,0.133,0.085,"[0.088, 0.19, 0.038, 0.262, 0.053, 0.158, 0.216, 0.096, 0.131, 0.093]"
07,0.243,0.240,0.130,0.082,"[0.09, 0.19, 0.034, 0.252, 0.053, 0.152, 0.212, 0.094, 0.128, 0.093]"
08,0.243,0.248,0.135,0.085,"[0.098, 0.193, 0.035, 0.279, 0.053, 0.154, 0.224, 0.093, 0.128, 0.092]"
09,0.244,0.243,0.133,0.083,"[0.092, 0.185, 0.037, 0.264, 0.053, 0.157, 0.226, 0.094, 0.127, 0.092]"
10,0.246,0.244,0.133,0.083,"[0.112, 0.193, 0.04, 0.253, 0.052, 0.151, 0.207, 0.098, 0.126, 0.092]"
11,0.248,0.240,0.129,0.080,"[0.085, 0.188, 0.036, 0.258, 0.053, 0.151, 0.208, 0.093, 0.127, 0.092]"
12,0.238,0.238,0.128,0.080,"[0.088, 0.184, 0.035, 0.249, 0.052, 0.151, 0.211, 0.09, 0.127, 0.092]"
13,0.240,0.239,0.127,0.079,"[0.091, 0.182, 0.031, 0.25, 0.053, 0.151, 0.212, 0.088, 0.126, 0.091]"
14,0.237,0.244,0.132,0.084,"[0.086, 0.208, 0.036, 0.271, 0.053, 0.148, 0.208, 0.088, 0.128, 0.092]"
15,0.237,0.236,0.126,0.079,"[0.083, 0.183, 0.032, 0.247, 0.053, 0.147, 0.206, 0.088, 0.126, 0.091]"
16,0.238,0.237,0.127,0.079,"[0.083, 0.187, 0.031, 0.251, 0.053, 0.148, 0.207, 0.089, 0.126, 0.091]"
17,0.239,0.243,0.129,0.080,"[0.092, 0.183, 0.032, 0.26, 0.052, 0.148, 0.218, 0.089, 0.126, 0.091]"
18,0.236,0.236,0.126,0.079,"[0.084, 0.179, 0.032, 0.249, 0.052, 0.149, 0.205, 0.088, 0.133, 0.09]"
19,0.236,0.239,0.128,0.080,"[0.086, 0.185, 0.034, 0.254, 0.053, 0.146, 0.207, 0.089, 0.131, 0.09]"
20,0.234,0.241,0.128,0.080,"[0.085, 0.184, 0.032, 0.263, 0.052, 0.147, 0.219, 0.087, 0.125, 0.09]"
21,0.235,0.240,0.127,0.079,"[0.087, 0.18, 0.031, 0.253, 0.052, 0.146, 0.218, 0.092, 0.126, 0.09]"
22,0.237,0.239,0.127,0.079,"[0.084, 0.185, 0.031, 0.246, 0.052, 0.155, 0.206, 0.096, 0.126, 0.09]"
23,0.236,0.236,0.126,0.079,"[0.082, 0.188, 0.031, 0.247, 0.052, 0.151, 0.203, 0.088, 0.125, 0.091]"
24,0.236,0.236,0.125,0.078,"[0.082, 0.178, 0.03, 0.245, 0.052, 0.152, 0.207, 0.087, 0.125, 0.09]"
25,0.234,0.238,0.126,0.078,"[0.086, 0.183, 0.033, 0.253, 0.052, 0.147, 0.202, 0.086, 0.127, 0.091]"
26,0.234,0.236,0.125,0.078,"[0.087, 0.181, 0.029, 0.25, 0.052, 0.148, 0.204, 0.088, 0.125, 0.089]"
27,0.233,0.237,0.126,0.078,"[0.088, 0.19, 0.03, 0.249, 0.052, 0.147, 0.203, 0.086, 0.126, 0.089]"
28,0.234,0.241,0.128,0.079,"[0.082, 0.182, 0.032, 0.267, 0.052, 0.146, 0.206, 0.098, 0.125, 0.09]"
29,0.234,0.235,0.125,0.078,"[0.091, 0.177, 0.031, 0.247, 0.052, 0.144, 0.204, 0.089, 0.124, 0.09]"
30,0.233,0.239,0.125,0.078,"[0.081, 0.191, 0.031, 0.251, 0.052, 0.144, 0.203, 0.085, 0.124, 0.089]"
31,0.234,0.237,0.126,0.078,"[0.089, 0.185, 0.03, 0.253, 0.052, 0.147, 0.202, 0.087, 0.124, 0.09]"
32,0.233,0.235,0.124,0.079,"[0.082, 0.177, 0.03, 0.249, 0.052, 0.145, 0.202, 0.085, 0.13, 0.089]"
33,0.232,0.234,0.123,0.077,"[0.081, 0.176, 0.031, 0.247, 0.052, 0.144, 0.202, 0.087, 0.125, 0.089]"
34,0.232,0.234,0.124,0.076,"[0.083, 0.177, 0.03, 0.245, 0.052, 0.147, 0.203, 0.086, 0.124, 0.089]"
35,0.232,0.235,0.124,0.076,"[0.085, 0.176, 0.031, 0.251, 0.052, 0.143, 0.202, 0.088, 0.124, 0.088]"
36,0.232,0.237,0.124,0.077,"[0.083, 0.177, 0.031, 0.249, 0.052, 0.143, 0.202, 0.089, 0.124, 0.09]"
37,0.231,0.236,0.125,0.079,"[0.084, 0.182, 0.03, 0.244, 0.052, 0.145, 0.203, 0.087, 0.131, 0.09]"
38,0.232,0.235,0.124,0.077,"[0.084, 0.177, 0.031, 0.245, 0.052, 0.144, 0.204, 0.088, 0.124, 0.089]"
39,0.230,0.235,0.124,0.076,"[0.083, 0.183, 0.03, 0.245, 0.052, 0.143, 0.201, 0.087, 0.124, 0.089]"
40,0.231,0.234,0.123,0.077,"[0.081, 0.176, 0.031, 0.245, 0.051, 0.144, 0.204, 0.085, 0.124, 0.088]"
41,0.229,0.233,0.122,0.076,"[0.081, 0.175, 0.031, 0.243, 0.051, 0.144, 0.201, 0.086, 0.124, 0.088]"
42,0.230,0.235,0.124,0.077,"[0.087, 0.177, 0.031, 0.248, 0.052, 0.146, 0.201, 0.085, 0.124, 0.088]"
43,0.230,0.237,0.126,0.078,"[0.081, 0.175, 0.031, 0.26, 0.052, 0.144, 0.216, 0.086, 0.124, 0.088]"
44,0.230,0.235,0.124,0.077,"[0.081, 0.175, 0.03, 0.245, 0.051, 0.157, 0.202, 0.088, 0.124, 0.088]"
45,0.229,0.234,0.123,0.077,"[0.082, 0.179, 0.031, 0.243, 0.051, 0.143, 0.202, 0.085, 0.124, 0.088]"
46,0.229,0.234,0.122,0.076,"[0.08, 0.175, 0.031, 0.243, 0.051, 0.146, 0.201, 0.087, 0.124, 0.087]"
47,0.229,0.234,0.122,0.075,"[0.08, 0.175, 0.029, 0.243, 0.051, 0.146, 0.202, 0.088, 0.124, 0.087]"
48,0.232,0.238,0.125,0.078,"[0.086, 0.178, 0.032, 0.252, 0.052, 0.146, 0.211, 0.085, 0.125, 0.088]"
49,0.231,0.234,0.123,0.076,"[0.083, 0.176, 0.029, 0.246, 0.051, 0.146, 0.205, 0.084, 0.124, 0.087]"
50,0.265,0.314,0.165,0.103,"[0.1, 0.242, 0.037, 0.324, 0.053, 0.171, 0.392, 0.107, 0.133, 0.096]"
51,0.249,0.254,0.137,0.085,"[0.097, 0.196, 0.043, 0.266, 0.052, 0.18, 0.207, 0.102, 0.126, 0.102]"
52,0.239,0.240,0.128,0.078,"[0.089, 0.175, 0.03, 0.242, 0.051, 0.182, 0.198, 0.105, 0.124, 0.087]"
53,0.231,0.276,0.145,0.086,"[0.08, 0.199, 0.029, 0.322, 0.052, 0.195, 0.232, 0.134, 0.129, 0.083]"
54,0.225,0.253,0.128,0.077,"[0.082, 0.187, 0.035, 0.241, 0.051, 0.151, 0.227, 0.095, 0.127, 0.086]"
55,0.215,0.232,0.122,0.072,"[0.072, 0.179, 0.037, 0.229, 0.049, 0.145, 0.216, 0.084, 0.123, 0.085]"
56,0.208,0.241,0.125,0.073,"[0.069, 0.205, 0.032, 0.25, 0.049, 0.164, 0.193, 0.09, 0.124, 0.077]"
57,0.204,0.227,0.114,0.069,"[0.069, 0.168, 0.027, 0.228, 0.049, 0.136, 0.18, 0.085, 0.119, 0.081]"
