epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.361,0.288,0.158,0.109,"[0.1, 0.249, 0.044, 0.296, 0.055, 0.188, 0.254, 0.152, 0.144, 0.095]"
01,0.286,0.266,0.145,0.094,"[0.099, 0.232, 0.044, 0.271, 0.054, 0.168, 0.229, 0.126, 0.128, 0.095]"
02,0.260,0.258,0.143,0.094,"[0.087, 0.211, 0.035, 0.291, 0.054, 0.164, 0.242, 0.12, 0.128, 0.095]"
03,0.254,0.248,0.138,0.090,"[0.093, 0.207, 0.039, 0.258, 0.053, 0.16, 0.227, 0.115, 0.128, 0.094]"
04,0.250,0.246,0.134,0.087,"[0.088, 0.201, 0.032, 0.256, 0.053, 0.158, 0.224, 0.108, 0.127, 0.094]"
05,0.246,0.244,0.133,0.086,"[0.085, 0.196, 0.032, 0.256, 0.053, 0.157, 0.217, 0.109, 0.131, 0.094]"
06,0.247,0.249,0.135,0.087,"[0.098, 0.196, 0.038, 0.255, 0.053, 0.154, 0.233, 0.103, 0.127, 0.094]"
07,0.247,0.246,0.135,0.086,"[0.114, 0.191, 0.033, 0.265, 0.053, 0.156, 0.216, 0.102, 0.127, 0.093]"
08,0.246,0.243,0.132,0.084,"[0.095, 0.191, 0.034, 0.254, 0.053, 0.156, 0.217, 0.104, 0.127, 0.093]"
09,0.244,0.242,0.131,0.084,"[0.094, 0.188, 0.031, 0.256, 0.053, 0.153, 0.216, 0.099, 0.127, 0.094]"
10,0.247,0.241,0.131,0.083,"[0.085, 0.195, 0.031, 0.251, 0.053, 0.157, 0.214, 0.101, 0.127, 0.093]"
11,0.246,0.259,0.139,0.090,"[0.087, 0.22, 0.037, 0.275, 0.053, 0.155, 0.246, 0.095, 0.126, 0.093]"
12,0.246,0.241,0.129,0.083,"[0.084, 0.187, 0.031, 0.254, 0.053, 0.152, 0.214, 0.098, 0.127, 0.093]"
13,0.241,0.239,0.128,0.081,"[0.083, 0.185, 0.032, 0.25, 0.053, 0.151, 0.213, 0.097, 0.129, 0.093]"
14,0.240,0.239,0.129,0.081,"[0.083, 0.191, 0.03, 0.251, 0.053, 0.151, 0.212, 0.095, 0.127, 0.093]"
15,0.239,0.240,0.129,0.081,"[0.088, 0.184, 0.03, 0.251, 0.053, 0.156, 0.212, 0.095, 0.127, 0.092]"
16,0.240,0.241,0.130,0.081,"[0.086, 0.189, 0.032, 0.254, 0.053, 0.156, 0.213, 0.094, 0.127, 0.092]"
17,0.241,0.244,0.131,0.084,"[0.082, 0.181, 0.032, 0.254, 0.053, 0.15, 0.219, 0.097, 0.152, 0.093]"
18,0.242,0.242,0.130,0.083,"[0.097, 0.184, 0.03, 0.254, 0.053, 0.149, 0.222, 0.092, 0.129, 0.092]"
19,0.239,0.244,0.130,0.081,"[0.081, 0.198, 0.032, 0.253, 0.052, 0.15, 0.214, 0.1, 0.127, 0.092]"
20,0.241,0.246,0.131,0.083,"[0.086, 0.181, 0.037, 0.256, 0.053, 0.152, 0.211, 0.092, 0.15, 0.091]"
21,0.238,0.239,0.127,0.080,"[0.083, 0.185, 0.03, 0.248, 0.052, 0.15, 0.21, 0.094, 0.128, 0.093]"
22,0.238,0.239,0.128,0.079,"[0.085, 0.182, 0.03, 0.258, 0.052, 0.148, 0.212, 0.091, 0.126, 0.091]"
23,0.236,0.237,0.127,0.081,"[0.081, 0.183, 0.03, 0.251, 0.052, 0.15, 0.209, 0.092, 0.135, 0.091]"
24,0.236,0.239,0.127,0.079,"[0.083, 0.185, 0.03, 0.254, 0.052, 0.148, 0.211, 0.091, 0.128, 0.091]"
25,0.236,0.239,0.128,0.080,"[0.082, 0.185, 0.034, 0.248, 0.052, 0.152, 0.214, 0.092, 0.127, 0.091]"
26,0.237,0.237,0.127,0.079,"[0.082, 0.182, 0.035, 0.247, 0.052, 0.148, 0.209, 0.093, 0.128, 0.091]"
27,0.234,0.236,0.125,0.079,"[0.082, 0.18, 0.03, 0.247, 0.052, 0.148, 0.21, 0.09, 0.126, 0.09]"
28,0.234,0.238,0.127,0.079,"[0.087, 0.182, 0.03, 0.25, 0.052, 0.147, 0.209, 0.091, 0.126, 0.09]"
29,0.237,0.240,0.129,0.081,"[0.093, 0.18, 0.032, 0.265, 0.052, 0.149, 0.21, 0.091, 0.128, 0.091]"
30,0.237,0.238,0.126,0.079,"[0.083, 0.186, 0.03, 0.247, 0.052, 0.147, 0.214, 0.089, 0.126, 0.09]"
31,0.236,0.237,0.127,0.079,"[0.081, 0.191, 0.029, 0.248, 0.052, 0.149, 0.208, 0.09, 0.127, 0.091]"
32,0.235,0.243,0.130,0.083,"[0.081, 0.188, 0.031, 0.274, 0.052, 0.147, 0.206, 0.092, 0.138, 0.09]"
33,0.234,0.240,0.128,0.080,"[0.086, 0.192, 0.03, 0.26, 0.052, 0.148, 0.206, 0.092, 0.126, 0.09]"
34,0.233,0.239,0.127,0.080,"[0.081, 0.179, 0.03, 0.263, 0.052, 0.149, 0.212, 0.09, 0.126, 0.091]"
35,0.234,0.237,0.127,0.079,"[0.083, 0.178, 0.033, 0.25, 0.052, 0.147, 0.213, 0.095, 0.126, 0.09]"
36,0.232,0.239,0.127,0.079,"[0.084, 0.19, 0.029, 0.247, 0.052, 0.148, 0.212, 0.09, 0.125, 0.09]"
37,0.233,0.238,0.127,0.079,"[0.082, 0.177, 0.036, 0.253, 0.052, 0.148, 0.214, 0.092, 0.125, 0.09]"
38,0.233,0.237,0.126,0.079,"[0.084, 0.179, 0.03, 0.249, 0.052, 0.147, 0.213, 0.089, 0.126, 0.09]"
39,0.232,0.237,0.126,0.079,"[0.082, 0.18, 0.032, 0.249, 0.052, 0.147, 0.211, 0.091, 0.126, 0.09]"
40,0.233,0.239,0.127,0.080,"[0.081, 0.193, 0.03, 0.247, 0.052, 0.153, 0.206, 0.09, 0.126, 0.093]"
