epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.291,0.244,0.130,0.076,"[0.089, 0.177, 0.043, 0.247, 0.055, 0.159, 0.201, 0.104, 0.13, 0.091]"
01,0.236,0.244,0.133,0.086,"[0.093, 0.179, 0.042, 0.275, 0.052, 0.16, 0.204, 0.104, 0.126, 0.09]"
02,0.228,0.227,0.119,0.071,"[0.075, 0.169, 0.027, 0.232, 0.05, 0.146, 0.185, 0.108, 0.12, 0.081]"
03,0.223,0.226,0.118,0.070,"[0.085, 0.162, 0.031, 0.223, 0.05, 0.156, 0.172, 0.095, 0.115, 0.089]"
04,0.220,0.238,0.123,0.076,"[0.092, 0.169, 0.03, 0.289, 0.049, 0.152, 0.179, 0.088, 0.109, 0.078]"
05,0.217,0.223,0.115,0.069,"[0.062, 0.143, 0.026, 0.216, 0.047, 0.138, 0.179, 0.113, 0.136, 0.094]"
06,0.215,0.226,0.117,0.070,"[0.124, 0.155, 0.038, 0.24, 0.047, 0.123, 0.171, 0.092, 0.102, 0.073]"
07,0.213,0.233,0.122,0.072,"[0.055, 0.178, 0.029, 0.234, 0.048, 0.176, 0.182, 0.124, 0.121, 0.073]"
08,0.211,0.228,0.120,0.067,"[0.053, 0.144, 0.029, 0.204, 0.047, 0.142, 0.185, 0.108, 0.165, 0.125]"
09,0.212,0.247,0.129,0.073,"[0.237, 0.157, 0.038, 0.229, 0.045, 0.136, 0.179, 0.093, 0.102, 0.076]"
10,0.208,0.211,0.098,0.057,"[0.054, 0.139, 0.027, 0.19, 0.042, 0.129, 0.163, 0.081, 0.093, 0.062]"
11,0.207,0.232,0.126,0.074,"[0.134, 0.162, 0.029, 0.238, 0.046, 0.149, 0.185, 0.085, 0.111, 0.122]"
12,0.205,0.212,0.100,0.058,"[0.055, 0.152, 0.026, 0.195, 0.044, 0.119, 0.157, 0.082, 0.105, 0.063]"
13,0.201,0.210,0.099,0.058,"[0.058, 0.143, 0.028, 0.191, 0.042, 0.123, 0.159, 0.082, 0.102, 0.06]"
14,0.198,0.210,0.098,0.057,"[0.052, 0.141, 0.025, 0.2, 0.043, 0.115, 0.159, 0.083, 0.1, 0.067]"
15,0.198,0.212,0.099,0.057,"[0.051, 0.149, 0.026, 0.206, 0.042, 0.114, 0.168, 0.086, 0.093, 0.058]"
16,0.196,0.231,0.117,0.070,"[0.052, 0.168, 0.03, 0.245, 0.043, 0.153, 0.231, 0.083, 0.099, 0.069]"
17,0.192,0.211,0.098,0.057,"[0.056, 0.138, 0.031, 0.198, 0.042, 0.118, 0.157, 0.085, 0.096, 0.061]"
18,0.191,0.225,0.111,0.064,"[0.056, 0.234, 0.027, 0.252, 0.041, 0.114, 0.157, 0.079, 0.09, 0.06]"
19,0.190,0.211,0.097,0.054,"[0.05, 0.139, 0.028, 0.204, 0.041, 0.119, 0.156, 0.084, 0.091, 0.061]"
20,0.187,0.212,0.100,0.057,"[0.051, 0.155, 0.027, 0.2, 0.041, 0.119, 0.159, 0.081, 0.099, 0.066]"
21,0.186,0.215,0.103,0.059,"[0.052, 0.151, 0.031, 0.198, 0.041, 0.124, 0.179, 0.1, 0.091, 0.061]"
22,0.185,0.215,0.102,0.058,"[0.053, 0.145, 0.027, 0.202, 0.04, 0.12, 0.176, 0.103, 0.094, 0.063]"
23,0.182,0.213,0.101,0.056,"[0.055, 0.14, 0.026, 0.217, 0.041, 0.118, 0.168, 0.091, 0.094, 0.059]"
24,0.181,0.215,0.103,0.058,"[0.056, 0.14, 0.028, 0.198, 0.043, 0.132, 0.175, 0.104, 0.092, 0.063]"
25,0.181,0.217,0.103,0.058,"[0.055, 0.142, 0.025, 0.197, 0.04, 0.156, 0.179, 0.084, 0.098, 0.057]"
26,0.181,0.211,0.100,0.057,"[0.054, 0.146, 0.034, 0.2, 0.042, 0.118, 0.169, 0.082, 0.094, 0.06]"
27,0.179,0.216,0.103,0.059,"[0.058, 0.141, 0.026, 0.217, 0.04, 0.121, 0.179, 0.1, 0.094, 0.058]"
28,0.178,0.213,0.102,0.058,"[0.073, 0.147, 0.027, 0.202, 0.04, 0.12, 0.169, 0.094, 0.092, 0.06]"
29,0.178,0.211,0.099,0.057,"[0.062, 0.143, 0.025, 0.203, 0.04, 0.119, 0.162, 0.085, 0.092, 0.057]"
30,0.178,0.216,0.106,0.060,"[0.061, 0.177, 0.024, 0.219, 0.041, 0.12, 0.172, 0.087, 0.092, 0.069]"
31,0.177,0.216,0.107,0.060,"[0.051, 0.146, 0.025, 0.201, 0.043, 0.144, 0.179, 0.093, 0.099, 0.09]"
32,0.176,0.212,0.100,0.056,"[0.052, 0.138, 0.024, 0.199, 0.042, 0.121, 0.178, 0.091, 0.096, 0.057]"
33,0.176,0.210,0.097,0.055,"[0.05, 0.137, 0.024, 0.194, 0.042, 0.123, 0.162, 0.084, 0.095, 0.059]"
34,0.175,0.210,0.098,0.056,"[0.07, 0.138, 0.025, 0.198, 0.039, 0.118, 0.158, 0.089, 0.093, 0.055]"
35,0.175,0.211,0.097,0.054,"[0.05, 0.141, 0.025, 0.195, 0.041, 0.119, 0.164, 0.084, 0.096, 0.058]"
36,0.175,0.212,0.100,0.056,"[0.058, 0.144, 0.025, 0.202, 0.042, 0.122, 0.161, 0.088, 0.096, 0.058]"
37,0.174,0.217,0.102,0.056,"[0.055, 0.144, 0.026, 0.226, 0.043, 0.121, 0.163, 0.085, 0.097, 0.055]"
38,0.174,0.214,0.101,0.056,"[0.051, 0.143, 0.026, 0.202, 0.041, 0.127, 0.166, 0.088, 0.099, 0.065]"
39,0.175,0.214,0.103,0.058,"[0.097, 0.141, 0.024, 0.201, 0.043, 0.121, 0.16, 0.086, 0.094, 0.059]"
40,0.174,0.212,0.099,0.055,"[0.052, 0.145, 0.026, 0.21, 0.04, 0.119, 0.163, 0.084, 0.093, 0.057]"
41,0.173,0.212,0.098,0.055,"[0.053, 0.139, 0.026, 0.199, 0.043, 0.121, 0.162, 0.09, 0.094, 0.058]"
42,0.174,0.213,0.099,0.056,"[0.055, 0.141, 0.024, 0.201, 0.044, 0.125, 0.163, 0.088, 0.092, 0.061]"
43,0.172,0.212,0.099,0.055,"[0.053, 0.144, 0.026, 0.201, 0.042, 0.125, 0.165, 0.085, 0.093, 0.061]"
44,0.173,0.211,0.101,0.056,"[0.052, 0.142, 0.026, 0.199, 0.044, 0.127, 0.165, 0.09, 0.094, 0.07]"
45,0.172,0.213,0.101,0.056,"[0.053, 0.151, 0.025, 0.206, 0.042, 0.122, 0.168, 0.088, 0.093, 0.059]"
46,0.171,0.212,0.099,0.055,"[0.051, 0.142, 0.026, 0.205, 0.041, 0.121, 0.164, 0.086, 0.093, 0.059]"
47,0.172,0.218,0.107,0.060,"[0.051, 0.188, 0.03, 0.232, 0.041, 0.121, 0.165, 0.087, 0.093, 0.059]"
48,0.173,0.215,0.102,0.056,"[0.054, 0.144, 0.026, 0.22, 0.043, 0.123, 0.166, 0.087, 0.095, 0.057]"
49,0.172,0.210,0.098,0.056,"[0.052, 0.138, 0.024, 0.198, 0.041, 0.124, 0.162, 0.087, 0.099, 0.056]"
50,0.172,0.215,0.103,0.057,"[0.051, 0.154, 0.023, 0.208, 0.041, 0.12, 0.182, 0.091, 0.097, 0.061]"
51,0.172,0.221,0.105,0.058,"[0.061, 0.148, 0.024, 0.243, 0.042, 0.123, 0.168, 0.089, 0.095, 0.058]"
52,0.172,0.212,0.100,0.055,"[0.055, 0.141, 0.026, 0.201, 0.042, 0.124, 0.163, 0.088, 0.096, 0.059]"
53,0.171,0.212,0.099,0.056,"[0.054, 0.137, 0.025, 0.202, 0.043, 0.121, 0.173, 0.086, 0.094, 0.058]"
54,0.171,0.212,0.099,0.056,"[0.053, 0.14, 0.027, 0.198, 0.042, 0.124, 0.162, 0.087, 0.095, 0.065]"
55,0.171,0.211,0.099,0.055,"[0.054, 0.14, 0.024, 0.195, 0.042, 0.123, 0.164, 0.087, 0.098, 0.058]"
56,0.171,0.211,0.099,0.055,"[0.053, 0.141, 0.025, 0.198, 0.044, 0.12, 0.167, 0.089, 0.094, 0.06]"
57,0.171,0.210,0.098,0.055,"[0.051, 0.139, 0.025, 0.2, 0.043, 0.119, 0.161, 0.087, 0.095, 0.059]"
58,0.171,0.214,0.099,0.055,"[0.053, 0.141, 0.025, 0.201, 0.043, 0.125, 0.163, 0.085, 0.099, 0.061]"
59,0.170,0.213,0.099,0.055,"[0.053, 0.142, 0.025, 0.201, 0.042, 0.12, 0.164, 0.085, 0.099, 0.058]"
60,0.170,0.212,0.099,0.056,"[0.057, 0.141, 0.025, 0.197, 0.043, 0.122, 0.162, 0.084, 0.093, 0.064]"
61,0.170,0.212,0.098,0.054,"[0.053, 0.139, 0.026, 0.199, 0.041, 0.121, 0.161, 0.085, 0.096, 0.059]"
62,0.171,0.215,0.102,0.058,"[0.055, 0.147, 0.025, 0.206, 0.045, 0.126, 0.168, 0.089, 0.1, 0.061]"
63,0.171,0.211,0.098,0.055,"[0.052, 0.139, 0.025, 0.196, 0.041, 0.121, 0.162, 0.089, 0.094, 0.059]"
64,0.171,0.213,0.099,0.056,"[0.057, 0.142, 0.025, 0.196, 0.043, 0.12, 0.163, 0.087, 0.094, 0.059]"
65,0.169,0.210,0.098,0.054,"[0.051, 0.14, 0.025, 0.196, 0.042, 0.12, 0.166, 0.086, 0.093, 0.061]"
66,0.170,0.212,0.099,0.056,"[0.054, 0.149, 0.024, 0.199, 0.041, 0.119, 0.164, 0.085, 0.096, 0.059]"
67,0.170,0.214,0.101,0.057,"[0.051, 0.141, 0.025, 0.209, 0.044, 0.122, 0.179, 0.086, 0.096, 0.059]"
68,0.170,0.212,0.099,0.055,"[0.054, 0.138, 0.025, 0.205, 0.043, 0.125, 0.163, 0.085, 0.095, 0.061]"
69,0.170,0.214,0.101,0.056,"[0.054, 0.154, 0.024, 0.202, 0.042, 0.127, 0.164, 0.087, 0.094, 0.059]"
70,0.170,0.212,0.100,0.057,"[0.055, 0.142, 0.024, 0.207, 0.043, 0.126, 0.166, 0.087, 0.095, 0.058]"
71,0.169,0.214,0.101,0.057,"[0.057, 0.149, 0.026, 0.205, 0.043, 0.131, 0.162, 0.085, 0.093, 0.059]"
72,0.170,0.214,0.101,0.056,"[0.052, 0.149, 0.027, 0.211, 0.044, 0.121, 0.167, 0.084, 0.094, 0.061]"
73,0.170,0.213,0.099,0.056,"[0.054, 0.142, 0.025, 0.198, 0.042, 0.123, 0.165, 0.092, 0.094, 0.059]"
74,0.170,0.213,0.099,0.056,"[0.052, 0.139, 0.025, 0.2, 0.042, 0.12, 0.179, 0.085, 0.095, 0.058]"
75,0.169,0.212,0.098,0.055,"[0.053, 0.141, 0.025, 0.2, 0.044, 0.12, 0.161, 0.086, 0.095, 0.059]"
76,0.170,0.213,0.100,0.056,"[0.066, 0.14, 0.025, 0.197, 0.043, 0.121, 0.169, 0.084, 0.097, 0.061]"
77,0.170,0.213,0.100,0.056,"[0.06, 0.14, 0.025, 0.199, 0.043, 0.125, 0.162, 0.085, 0.096, 0.061]"
78,0.170,0.216,0.102,0.057,"[0.052, 0.143, 0.026, 0.207, 0.044, 0.125, 0.169, 0.085, 0.099, 0.068]"
79,0.169,0.212,0.098,0.055,"[0.053, 0.144, 0.025, 0.197, 0.041, 0.12, 0.167, 0.084, 0.097, 0.058]"
80,0.169,0.213,0.099,0.056,"[0.053, 0.139, 0.027, 0.202, 0.041, 0.123, 0.167, 0.086, 0.094, 0.06]"
81,0.169,0.212,0.098,0.055,"[0.054, 0.145, 0.025, 0.199, 0.042, 0.119, 0.16, 0.085, 0.096, 0.06]"
