epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.391,0.359,0.132,0.069,"[0.104, 0.204, 0.044, 0.236, 0.055, 0.138, 0.21, 0.108, 0.126, 0.099]"
01,0.311,0.253,0.117,0.064,"[0.111, 0.147, 0.044, 0.194, 0.046, 0.138, 0.197, 0.105, 0.103, 0.082]"
02,0.248,0.231,0.112,0.065,"[0.074, 0.132, 0.036, 0.184, 0.054, 0.149, 0.19, 0.123, 0.098, 0.078]"
03,0.225,0.219,0.101,0.057,"[0.053, 0.131, 0.037, 0.196, 0.05, 0.122, 0.159, 0.096, 0.098, 0.07]"
04,0.217,0.214,0.099,0.058,"[0.059, 0.133, 0.033, 0.176, 0.041, 0.131, 0.168, 0.088, 0.096, 0.066]"
05,0.217,0.218,0.102,0.059,"[0.052, 0.136, 0.03, 0.193, 0.042, 0.127, 0.186, 0.087, 0.096, 0.066]"
06,0.217,0.214,0.098,0.058,"[0.05, 0.134, 0.03, 0.192, 0.043, 0.127, 0.155, 0.087, 0.095, 0.068]"
07,0.212,0.211,0.096,0.056,"[0.05, 0.132, 0.028, 0.176, 0.043, 0.119, 0.155, 0.09, 0.099, 0.066]"
08,0.211,0.211,0.096,0.057,"[0.051, 0.129, 0.028, 0.177, 0.041, 0.124, 0.157, 0.088, 0.096, 0.065]"
09,0.211,0.214,0.099,0.059,"[0.051, 0.143, 0.026, 0.197, 0.04, 0.119, 0.164, 0.086, 0.098, 0.065]"
10,0.211,0.213,0.097,0.057,"[0.056, 0.135, 0.027, 0.184, 0.041, 0.119, 0.165, 0.089, 0.095, 0.063]"
11,0.210,0.209,0.094,0.056,"[0.05, 0.128, 0.028, 0.173, 0.04, 0.119, 0.154, 0.087, 0.098, 0.064]"
12,0.209,0.210,0.095,0.056,"[0.049, 0.127, 0.028, 0.174, 0.041, 0.121, 0.154, 0.091, 0.097, 0.067]"
13,0.212,0.214,0.096,0.057,"[0.052, 0.135, 0.028, 0.179, 0.041, 0.119, 0.155, 0.086, 0.095, 0.07]"
14,0.214,0.213,0.097,0.058,"[0.051, 0.139, 0.027, 0.184, 0.041, 0.119, 0.162, 0.086, 0.099, 0.064]"
15,0.213,0.214,0.096,0.057,"[0.055, 0.133, 0.026, 0.175, 0.041, 0.119, 0.158, 0.087, 0.101, 0.069]"
16,0.214,0.211,0.095,0.056,"[0.05, 0.129, 0.027, 0.178, 0.041, 0.121, 0.154, 0.088, 0.095, 0.064]"
17,0.210,0.214,0.096,0.057,"[0.05, 0.146, 0.027, 0.176, 0.042, 0.12, 0.155, 0.086, 0.096, 0.067]"
18,0.211,0.216,0.098,0.059,"[0.052, 0.133, 0.027, 0.18, 0.041, 0.122, 0.179, 0.087, 0.095, 0.065]"
19,0.211,0.214,0.097,0.058,"[0.051, 0.14, 0.027, 0.174, 0.041, 0.122, 0.162, 0.086, 0.099, 0.071]"
20,0.211,0.217,0.097,0.058,"[0.051, 0.133, 0.027, 0.19, 0.041, 0.12, 0.159, 0.087, 0.097, 0.064]"
21,0.211,0.212,0.096,0.057,"[0.051, 0.128, 0.027, 0.18, 0.042, 0.122, 0.161, 0.088, 0.1, 0.063]"
22,0.211,0.216,0.098,0.059,"[0.053, 0.141, 0.027, 0.177, 0.041, 0.127, 0.158, 0.087, 0.1, 0.072]"
23,0.213,0.213,0.096,0.057,"[0.054, 0.129, 0.027, 0.182, 0.043, 0.122, 0.156, 0.088, 0.095, 0.068]"
24,0.210,0.214,0.097,0.057,"[0.051, 0.15, 0.027, 0.174, 0.041, 0.119, 0.159, 0.087, 0.096, 0.065]"
25,0.211,0.217,0.098,0.058,"[0.053, 0.144, 0.026, 0.182, 0.04, 0.129, 0.162, 0.087, 0.096, 0.064]"
26,0.211,0.211,0.095,0.056,"[0.054, 0.127, 0.026, 0.172, 0.041, 0.123, 0.156, 0.089, 0.096, 0.063]"
27,0.210,0.213,0.097,0.058,"[0.067, 0.131, 0.029, 0.175, 0.041, 0.122, 0.161, 0.086, 0.097, 0.064]"
28,0.209,0.211,0.096,0.056,"[0.054, 0.127, 0.029, 0.176, 0.042, 0.122, 0.157, 0.086, 0.098, 0.065]"
29,0.209,0.215,0.098,0.058,"[0.051, 0.137, 0.027, 0.182, 0.043, 0.121, 0.167, 0.094, 0.095, 0.064]"
30,0.212,0.211,0.094,0.055,"[0.049, 0.127, 0.026, 0.173, 0.042, 0.12, 0.154, 0.086, 0.096, 0.064]"
31,0.210,0.212,0.095,0.056,"[0.049, 0.124, 0.027, 0.18, 0.041, 0.12, 0.166, 0.087, 0.095, 0.063]"
32,0.210,0.211,0.095,0.055,"[0.05, 0.127, 0.028, 0.173, 0.041, 0.124, 0.154, 0.089, 0.096, 0.064]"
33,0.209,0.210,0.095,0.057,"[0.05, 0.127, 0.028, 0.176, 0.042, 0.121, 0.155, 0.087, 0.101, 0.065]"
34,0.208,0.214,0.097,0.057,"[0.05, 0.134, 0.028, 0.182, 0.041, 0.13, 0.154, 0.091, 0.099, 0.062]"
35,0.209,0.210,0.094,0.055,"[0.05, 0.124, 0.028, 0.172, 0.042, 0.119, 0.157, 0.087, 0.096, 0.063]"
36,0.209,0.211,0.094,0.055,"[0.05, 0.126, 0.027, 0.173, 0.043, 0.119, 0.155, 0.087, 0.095, 0.062]"
37,0.209,0.211,0.095,0.056,"[0.051, 0.126, 0.028, 0.172, 0.042, 0.12, 0.154, 0.099, 0.095, 0.064]"
38,0.210,0.210,0.094,0.055,"[0.05, 0.125, 0.027, 0.172, 0.042, 0.122, 0.155, 0.087, 0.095, 0.063]"
39,0.210,0.215,0.098,0.057,"[0.049, 0.124, 0.027, 0.182, 0.041, 0.122, 0.185, 0.088, 0.095, 0.063]"
40,0.208,0.211,0.095,0.055,"[0.049, 0.127, 0.027, 0.172, 0.042, 0.124, 0.156, 0.089, 0.095, 0.064]"
41,0.208,0.210,0.094,0.055,"[0.05, 0.124, 0.026, 0.173, 0.042, 0.121, 0.154, 0.088, 0.096, 0.062]"
42,0.207,0.210,0.094,0.055,"[0.05, 0.129, 0.029, 0.172, 0.042, 0.119, 0.154, 0.086, 0.097, 0.064]"
43,0.207,0.211,0.094,0.056,"[0.05, 0.126, 0.028, 0.173, 0.042, 0.125, 0.154, 0.087, 0.096, 0.064]"
44,0.210,0.215,0.097,0.057,"[0.053, 0.125, 0.027, 0.188, 0.042, 0.122, 0.168, 0.087, 0.095, 0.065]"
45,0.208,0.211,0.094,0.055,"[0.049, 0.13, 0.026, 0.173, 0.041, 0.12, 0.156, 0.086, 0.095, 0.063]"
46,0.208,0.210,0.094,0.055,"[0.05, 0.127, 0.029, 0.172, 0.042, 0.121, 0.154, 0.087, 0.095, 0.063]"
47,0.207,0.213,0.096,0.056,"[0.05, 0.127, 0.029, 0.178, 0.042, 0.123, 0.155, 0.091, 0.096, 0.066]"
48,0.213,0.228,0.108,0.065,"[0.05, 0.141, 0.027, 0.227, 0.041, 0.135, 0.21, 0.088, 0.096, 0.062]"
49,0.215,0.219,0.100,0.059,"[0.051, 0.128, 0.028, 0.203, 0.042, 0.123, 0.171, 0.092, 0.096, 0.063]"
50,0.215,0.208,0.091,0.051,"[0.049, 0.112, 0.021, 0.154, 0.037, 0.111, 0.142, 0.085, 0.129, 0.068]"
51,0.195,0.203,0.085,0.049,"[0.045, 0.112, 0.018, 0.15, 0.038, 0.107, 0.152, 0.085, 0.096, 0.048]"
52,0.187,0.205,0.083,0.046,"[0.042, 0.108, 0.019, 0.172, 0.035, 0.103, 0.133, 0.08, 0.088, 0.045]"
53,0.182,0.194,0.076,0.042,"[0.057, 0.092, 0.018, 0.121, 0.035, 0.103, 0.126, 0.079, 0.085, 0.043]"
54,0.179,0.195,0.075,0.041,"[0.043, 0.093, 0.017, 0.131, 0.036, 0.101, 0.127, 0.077, 0.086, 0.042]"
55,0.177,0.195,0.077,0.042,"[0.047, 0.106, 0.017, 0.124, 0.035, 0.101, 0.131, 0.081, 0.086, 0.046]"
56,0.176,0.194,0.075,0.041,"[0.042, 0.092, 0.017, 0.121, 0.035, 0.102, 0.132, 0.079, 0.086, 0.044]"
57,0.175,0.193,0.074,0.040,"[0.041, 0.089, 0.016, 0.116, 0.035, 0.105, 0.126, 0.079, 0.087, 0.044]"
58,0.174,0.195,0.076,0.041,"[0.043, 0.091, 0.017, 0.123, 0.035, 0.106, 0.141, 0.076, 0.084, 0.042]"
59,0.174,0.194,0.076,0.041,"[0.044, 0.094, 0.018, 0.121, 0.036, 0.106, 0.137, 0.078, 0.086, 0.043]"
60,0.175,0.194,0.076,0.041,"[0.043, 0.092, 0.017, 0.125, 0.036, 0.101, 0.139, 0.077, 0.085, 0.043]"
61,0.174,0.192,0.073,0.039,"[0.042, 0.089, 0.016, 0.116, 0.036, 0.1, 0.124, 0.078, 0.086, 0.043]"
62,0.173,0.193,0.075,0.040,"[0.047, 0.091, 0.017, 0.118, 0.036, 0.105, 0.127, 0.077, 0.086, 0.044]"
63,0.172,0.193,0.074,0.040,"[0.044, 0.088, 0.017, 0.116, 0.036, 0.1, 0.133, 0.077, 0.086, 0.042]"
64,0.172,0.192,0.073,0.039,"[0.041, 0.09, 0.016, 0.118, 0.035, 0.101, 0.127, 0.077, 0.086, 0.042]"
65,0.173,0.194,0.075,0.041,"[0.041, 0.097, 0.017, 0.127, 0.034, 0.104, 0.125, 0.077, 0.086, 0.041]"
66,0.172,0.194,0.075,0.041,"[0.04, 0.094, 0.016, 0.127, 0.035, 0.107, 0.127, 0.077, 0.085, 0.042]"
