epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.290,0.249,0.137,0.089,"[0.099, 0.204, 0.035, 0.257, 0.053, 0.161, 0.229, 0.108, 0.127, 0.094]"
01,0.251,0.250,0.137,0.087,"[0.085, 0.219, 0.039, 0.256, 0.053, 0.156, 0.239, 0.104, 0.128, 0.093]"
02,0.247,0.243,0.134,0.084,"[0.129, 0.188, 0.031, 0.259, 0.053, 0.151, 0.211, 0.099, 0.127, 0.093]"
03,0.247,0.244,0.132,0.083,"[0.088, 0.184, 0.031, 0.26, 0.053, 0.163, 0.223, 0.097, 0.126, 0.092]"
04,0.244,0.238,0.128,0.081,"[0.084, 0.191, 0.029, 0.254, 0.052, 0.149, 0.208, 0.09, 0.128, 0.092]"
05,0.243,0.238,0.127,0.080,"[0.086, 0.18, 0.03, 0.253, 0.052, 0.148, 0.214, 0.09, 0.126, 0.091]"
06,0.242,0.235,0.126,0.080,"[0.082, 0.177, 0.034, 0.247, 0.052, 0.147, 0.205, 0.092, 0.131, 0.091]"
07,0.242,0.243,0.128,0.080,"[0.081, 0.183, 0.029, 0.256, 0.052, 0.15, 0.224, 0.088, 0.125, 0.093]"
08,0.242,0.237,0.126,0.078,"[0.094, 0.178, 0.029, 0.246, 0.052, 0.146, 0.207, 0.088, 0.126, 0.091]"
09,0.241,0.235,0.125,0.079,"[0.082, 0.177, 0.029, 0.247, 0.051, 0.147, 0.204, 0.091, 0.128, 0.091]"
10,0.240,0.237,0.125,0.078,"[0.082, 0.181, 0.03, 0.245, 0.051, 0.151, 0.213, 0.088, 0.125, 0.089]"
11,0.239,0.234,0.124,0.077,"[0.085, 0.178, 0.03, 0.242, 0.051, 0.149, 0.203, 0.089, 0.125, 0.089]"
12,0.238,0.233,0.123,0.077,"[0.079, 0.174, 0.029, 0.241, 0.051, 0.145, 0.202, 0.088, 0.128, 0.089]"
13,0.240,0.234,0.123,0.077,"[0.079, 0.174, 0.03, 0.242, 0.051, 0.148, 0.205, 0.089, 0.126, 0.089]"
14,0.238,0.234,0.125,0.076,"[0.081, 0.179, 0.045, 0.242, 0.051, 0.146, 0.203, 0.087, 0.125, 0.089]"
15,0.238,0.243,0.129,0.081,"[0.079, 0.176, 0.029, 0.268, 0.051, 0.147, 0.235, 0.091, 0.125, 0.088]"
16,0.238,0.233,0.123,0.076,"[0.083, 0.173, 0.029, 0.243, 0.051, 0.145, 0.202, 0.087, 0.125, 0.088]"
17,0.238,0.234,0.124,0.077,"[0.082, 0.173, 0.031, 0.243, 0.051, 0.16, 0.203, 0.087, 0.124, 0.089]"
18,0.237,0.234,0.123,0.077,"[0.09, 0.173, 0.031, 0.241, 0.05, 0.146, 0.203, 0.087, 0.126, 0.087]"
19,0.237,0.234,0.123,0.076,"[0.082, 0.174, 0.029, 0.242, 0.05, 0.151, 0.206, 0.088, 0.124, 0.088]"
20,0.237,0.234,0.123,0.076,"[0.082, 0.172, 0.029, 0.243, 0.05, 0.145, 0.203, 0.09, 0.124, 0.088]"
21,0.237,0.236,0.124,0.076,"[0.079, 0.173, 0.028, 0.25, 0.051, 0.144, 0.217, 0.087, 0.126, 0.087]"
22,0.236,0.235,0.124,0.077,"[0.079, 0.188, 0.03, 0.245, 0.051, 0.143, 0.2, 0.088, 0.124, 0.088]"
23,0.237,0.240,0.127,0.079,"[0.09, 0.199, 0.029, 0.252, 0.05, 0.146, 0.202, 0.087, 0.127, 0.087]"
24,0.238,0.235,0.124,0.078,"[0.084, 0.171, 0.028, 0.254, 0.05, 0.143, 0.2, 0.088, 0.132, 0.087]"
25,0.239,0.235,0.124,0.076,"[0.082, 0.174, 0.029, 0.241, 0.051, 0.144, 0.213, 0.09, 0.125, 0.087]"
26,0.238,0.234,0.124,0.077,"[0.094, 0.171, 0.029, 0.241, 0.05, 0.146, 0.206, 0.087, 0.124, 0.088]"
27,0.235,0.233,0.122,0.077,"[0.078, 0.171, 0.029, 0.24, 0.05, 0.143, 0.205, 0.086, 0.132, 0.087]"
28,0.236,0.233,0.122,0.076,"[0.079, 0.177, 0.029, 0.241, 0.05, 0.146, 0.2, 0.087, 0.124, 0.086]"
29,0.237,0.235,0.123,0.076,"[0.088, 0.173, 0.028, 0.25, 0.05, 0.143, 0.201, 0.086, 0.125, 0.086]"
30,0.237,0.236,0.124,0.077,"[0.079, 0.176, 0.029, 0.243, 0.05, 0.146, 0.216, 0.087, 0.124, 0.086]"
31,0.237,0.237,0.124,0.075,"[0.081, 0.174, 0.029, 0.244, 0.05, 0.152, 0.201, 0.093, 0.128, 0.087]"
32,0.235,0.233,0.122,0.076,"[0.084, 0.174, 0.028, 0.242, 0.05, 0.143, 0.204, 0.086, 0.124, 0.085]"
33,0.237,0.236,0.124,0.077,"[0.082, 0.187, 0.029, 0.241, 0.05, 0.153, 0.2, 0.087, 0.124, 0.085]"
34,0.237,0.235,0.123,0.077,"[0.084, 0.177, 0.029, 0.243, 0.05, 0.145, 0.201, 0.087, 0.125, 0.088]"
35,0.236,0.238,0.126,0.079,"[0.091, 0.185, 0.029, 0.249, 0.05, 0.142, 0.215, 0.093, 0.123, 0.086]"
36,0.235,0.232,0.121,0.075,"[0.081, 0.172, 0.028, 0.24, 0.05, 0.144, 0.199, 0.087, 0.124, 0.085]"
37,0.235,0.236,0.123,0.078,"[0.085, 0.17, 0.029, 0.256, 0.05, 0.147, 0.2, 0.086, 0.124, 0.086]"
38,0.236,0.234,0.122,0.077,"[0.082, 0.171, 0.03, 0.243, 0.05, 0.145, 0.207, 0.086, 0.124, 0.086]"
39,0.235,0.232,0.121,0.076,"[0.078, 0.172, 0.029, 0.242, 0.05, 0.142, 0.2, 0.086, 0.127, 0.087]"
40,0.235,0.232,0.121,0.074,"[0.083, 0.17, 0.029, 0.244, 0.05, 0.143, 0.198, 0.086, 0.123, 0.085]"
41,0.235,0.237,0.125,0.077,"[0.08, 0.182, 0.03, 0.259, 0.05, 0.143, 0.208, 0.089, 0.123, 0.087]"
42,0.234,0.234,0.122,0.077,"[0.079, 0.172, 0.028, 0.249, 0.05, 0.142, 0.206, 0.088, 0.125, 0.086]"
43,0.236,0.232,0.121,0.076,"[0.084, 0.17, 0.03, 0.241, 0.05, 0.142, 0.201, 0.086, 0.123, 0.086]"
44,0.234,0.242,0.126,0.079,"[0.08, 0.17, 0.029, 0.274, 0.05, 0.147, 0.208, 0.087, 0.125, 0.086]"
45,0.236,0.234,0.124,0.077,"[0.091, 0.171, 0.029, 0.247, 0.05, 0.147, 0.206, 0.088, 0.124, 0.086]"
46,0.234,0.232,0.121,0.075,"[0.078, 0.173, 0.029, 0.24, 0.05, 0.145, 0.199, 0.088, 0.123, 0.086]"
47,0.235,0.233,0.122,0.076,"[0.088, 0.17, 0.028, 0.246, 0.05, 0.144, 0.201, 0.087, 0.123, 0.085]"
48,0.236,0.233,0.122,0.076,"[0.087, 0.17, 0.03, 0.246, 0.05, 0.145, 0.199, 0.087, 0.125, 0.085]"
49,0.235,0.233,0.122,0.075,"[0.081, 0.17, 0.028, 0.24, 0.05, 0.145, 0.204, 0.089, 0.126, 0.086]"
50,0.234,0.231,0.121,0.075,"[0.082, 0.17, 0.029, 0.241, 0.049, 0.142, 0.198, 0.086, 0.125, 0.085]"
51,0.234,0.233,0.122,0.075,"[0.077, 0.176, 0.032, 0.246, 0.05, 0.143, 0.202, 0.087, 0.123, 0.087]"
52,0.236,0.235,0.122,0.074,"[0.079, 0.172, 0.031, 0.248, 0.05, 0.143, 0.199, 0.087, 0.125, 0.085]"
53,0.234,0.232,0.121,0.076,"[0.077, 0.17, 0.031, 0.24, 0.05, 0.142, 0.202, 0.086, 0.128, 0.086]"
54,0.233,0.235,0.123,0.076,"[0.078, 0.183, 0.028, 0.251, 0.049, 0.142, 0.203, 0.088, 0.124, 0.084]"
55,0.235,0.232,0.122,0.076,"[0.079, 0.177, 0.029, 0.243, 0.05, 0.144, 0.199, 0.088, 0.123, 0.085]"
56,0.234,0.235,0.124,0.077,"[0.078, 0.174, 0.029, 0.24, 0.05, 0.169, 0.202, 0.088, 0.123, 0.086]"
57,0.234,0.234,0.122,0.076,"[0.078, 0.175, 0.03, 0.242, 0.05, 0.144, 0.202, 0.09, 0.125, 0.085]"
58,0.235,0.232,0.122,0.075,"[0.081, 0.171, 0.029, 0.24, 0.05, 0.143, 0.2, 0.095, 0.124, 0.085]"
59,0.233,0.232,0.122,0.076,"[0.079, 0.171, 0.041, 0.24, 0.049, 0.141, 0.202, 0.088, 0.123, 0.085]"
60,0.235,0.235,0.122,0.075,"[0.077, 0.172, 0.029, 0.25, 0.049, 0.144, 0.202, 0.087, 0.125, 0.085]"
61,0.235,0.232,0.121,0.075,"[0.08, 0.171, 0.03, 0.24, 0.049, 0.143, 0.199, 0.087, 0.124, 0.085]"
62,0.235,0.231,0.120,0.074,"[0.078, 0.171, 0.028, 0.24, 0.05, 0.141, 0.198, 0.087, 0.123, 0.085]"
63,0.234,0.234,0.122,0.076,"[0.077, 0.172, 0.028, 0.24, 0.049, 0.143, 0.211, 0.092, 0.123, 0.084]"
64,0.234,0.238,0.125,0.078,"[0.088, 0.171, 0.029, 0.263, 0.049, 0.155, 0.199, 0.087, 0.125, 0.084]"
65,0.233,0.234,0.122,0.075,"[0.079, 0.176, 0.031, 0.248, 0.05, 0.143, 0.2, 0.087, 0.124, 0.085]"
66,0.235,0.233,0.121,0.075,"[0.077, 0.172, 0.03, 0.241, 0.049, 0.141, 0.207, 0.085, 0.124, 0.085]"
67,0.236,0.233,0.121,0.076,"[0.081, 0.178, 0.029, 0.24, 0.049, 0.142, 0.198, 0.086, 0.125, 0.086]"
68,0.235,0.236,0.124,0.077,"[0.086, 0.178, 0.029, 0.262, 0.049, 0.143, 0.2, 0.087, 0.125, 0.085]"
69,0.233,0.234,0.123,0.077,"[0.081, 0.171, 0.035, 0.251, 0.05, 0.142, 0.201, 0.086, 0.129, 0.084]"
70,0.235,0.232,0.121,0.075,"[0.079, 0.174, 0.029, 0.242, 0.05, 0.144, 0.198, 0.086, 0.125, 0.086]"
71,0.233,0.231,0.120,0.075,"[0.077, 0.17, 0.029, 0.24, 0.05, 0.141, 0.199, 0.086, 0.123, 0.086]"
72,0.234,0.231,0.121,0.075,"[0.077, 0.171, 0.03, 0.24, 0.049, 0.144, 0.202, 0.086, 0.123, 0.084]"
73,0.233,0.234,0.122,0.076,"[0.088, 0.171, 0.029, 0.248, 0.049, 0.142, 0.2, 0.087, 0.124, 0.085]"
74,0.234,0.232,0.121,0.075,"[0.079, 0.174, 0.028, 0.24, 0.05, 0.144, 0.201, 0.087, 0.124, 0.084]"
75,0.234,0.234,0.123,0.076,"[0.079, 0.181, 0.031, 0.247, 0.05, 0.142, 0.201, 0.09, 0.123, 0.085]"
76,0.234,0.235,0.124,0.075,"[0.077, 0.18, 0.029, 0.256, 0.05, 0.145, 0.201, 0.09, 0.125, 0.084]"
77,0.233,0.234,0.122,0.077,"[0.08, 0.173, 0.029, 0.241, 0.049, 0.143, 0.2, 0.088, 0.132, 0.085]"
