epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.249,0.241,0.130,0.077,"[0.079, 0.183, 0.026, 0.23, 0.05, 0.151, 0.218, 0.153, 0.124, 0.086]"
01,0.224,0.228,0.113,0.064,"[0.06, 0.157, 0.031, 0.235, 0.047, 0.137, 0.178, 0.089, 0.117, 0.076]"
02,0.217,0.225,0.108,0.062,"[0.058, 0.171, 0.027, 0.236, 0.045, 0.121, 0.168, 0.088, 0.102, 0.068]"
03,0.213,0.225,0.122,0.070,"[0.09, 0.17, 0.029, 0.189, 0.045, 0.149, 0.18, 0.102, 0.107, 0.155]"
04,0.209,0.209,0.099,0.055,"[0.053, 0.132, 0.027, 0.181, 0.043, 0.126, 0.179, 0.092, 0.093, 0.065]"
05,0.207,0.209,0.098,0.058,"[0.052, 0.14, 0.025, 0.189, 0.041, 0.124, 0.165, 0.082, 0.094, 0.065]"
06,0.205,0.202,0.088,0.050,"[0.054, 0.121, 0.024, 0.16, 0.039, 0.111, 0.147, 0.079, 0.089, 0.058]"
07,0.203,0.209,0.100,0.056,"[0.068, 0.137, 0.025, 0.169, 0.042, 0.134, 0.168, 0.085, 0.089, 0.081]"
08,0.201,0.202,0.089,0.050,"[0.05, 0.111, 0.027, 0.164, 0.04, 0.108, 0.149, 0.101, 0.088, 0.053]"
09,0.201,0.199,0.085,0.048,"[0.047, 0.117, 0.022, 0.157, 0.04, 0.114, 0.137, 0.078, 0.086, 0.056]"
10,0.198,0.204,0.091,0.050,"[0.051, 0.119, 0.025, 0.174, 0.039, 0.126, 0.145, 0.078, 0.094, 0.055]"
11,0.197,0.228,0.118,0.067,"[0.055, 0.209, 0.021, 0.214, 0.04, 0.172, 0.209, 0.1, 0.096, 0.06]"
12,0.196,0.199,0.085,0.047,"[0.048, 0.116, 0.021, 0.156, 0.037, 0.113, 0.138, 0.082, 0.088, 0.056]"
13,0.195,0.200,0.085,0.048,"[0.047, 0.107, 0.019, 0.14, 0.037, 0.106, 0.146, 0.098, 0.094, 0.052]"
14,0.192,0.195,0.078,0.044,"[0.046, 0.101, 0.021, 0.135, 0.037, 0.106, 0.131, 0.074, 0.082, 0.054]"
