epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.605,2.351,0.676,0.844,0.676,0.329,0.605,"[0.0, 0.0, 0.0, 0.0, 0.984, 0.0, 0.0, 0.544, 0.0, 0.0, 0.893, 0.0, 0.536, 0.596, 0.973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.715, 0.897, 0.975, 0.873, 0.599, 0.0, 0.0, 0.963, 0.0]"
01,2.076,2.197,0.682,0.815,0.682,0.337,0.619,"[0.0, 0.0, 0.0, 0.0, 0.983, 0.0, 0.0, 0.473, 0.0, 0.0, 0.897, 0.0, 0.603, 0.546, 0.979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.983, 0.897, 0.978, 0.863, 0.624, 0.0, 0.0, 0.955, 0.0]"
02,1.781,1.911,0.683,0.833,0.683,0.337,0.620,"[0.0, 0.0, 0.0, 0.0, 0.986, 0.0, 0.0, 0.51, 0.0, 0.0, 0.889, 0.0, 0.6, 0.557, 0.979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.992, 0.887, 0.974, 0.869, 0.557, 0.0, 0.0, 0.959, 0.0]"
03,1.618,1.805,0.680,0.862,0.680,0.335,0.616,"[0.0, 0.0, 0.0, 0.0, 0.986, 0.0, 0.0, 0.488, 0.0, 0.0, 0.886, 0.0, 0.618, 0.484, 0.981, 0.0, 0.0, 0.0, 0.0, 0.0, 0.997, 0.888, 0.975, 0.87, 0.59, 0.0, 0.0, 0.961, 0.0]"
04,1.489,1.654,0.680,0.871,0.680,0.335,0.615,"[0.0, 0.0, 0.0, 0.0, 0.984, 0.0, 0.0, 0.505, 0.0, 0.0, 0.883, 0.0, 0.622, 0.47, 0.981, 0.0, 0.0, 0.0, 0.0, 0.0, 0.998, 0.889, 0.974, 0.873, 0.567, 0.0, 0.0, 0.963, 0.0]"
05,1.403,1.577,0.685,0.888,0.685,0.339,0.623,"[0.0, 0.0, 0.0, 0.0, 0.985, 0.0, 0.0, 0.497, 0.0, 0.0, 0.885, 0.013, 0.586, 0.589, 0.982, 0.0, 0.0, 0.0, 0.0, 0.0, 0.998, 0.9, 0.974, 0.875, 0.583, 0.0, 0.0, 0.966, 0.0]"
06,1.334,1.527,0.682,0.887,0.682,0.336,0.618,"[0.0, 0.0, 0.0, 0.0, 0.987, 0.0, 0.0, 0.502, 0.0, 0.0, 0.878, 0.013, 0.624, 0.494, 0.982, 0.0, 0.0, 0.0, 0.0, 0.0, 0.999, 0.897, 0.974, 0.871, 0.575, 0.0, 0.0, 0.962, 0.0]"
07,1.277,1.507,0.682,0.891,0.682,0.337,0.618,"[0.0, 0.0, 0.0, 0.0, 0.986, 0.0, 0.0, 0.501, 0.0, 0.0, 0.875, 0.043, 0.625, 0.481, 0.983, 0.0, 0.0, 0.0, 0.0, 0.0, 0.999, 0.9, 0.975, 0.87, 0.58, 0.0, 0.0, 0.966, 0.003]"
08,1.238,1.383,0.686,0.903,0.686,0.341,0.624,"[0.0, 0.0, 0.0, 0.0, 0.985, 0.0, 0.0, 0.5, 0.0, 0.0, 0.883, 0.061, 0.604, 0.547, 0.983, 0.0, 0.0, 0.0, 0.0, 0.0, 0.999, 0.902, 0.974, 0.878, 0.587, 0.0, 0.0, 0.966, 0.015]"
09,1.201,1.433,0.684,0.903,0.684,0.340,0.621,"[0.0, 0.0, 0.0, 0.0, 0.986, 0.0, 0.0, 0.498, 0.0, 0.0, 0.877, 0.061, 0.623, 0.486, 0.984, 0.0, 0.0, 0.0, 0.0, 0.0, 0.998, 0.901, 0.975, 0.874, 0.592, 0.0, 0.0, 0.968, 0.03]"
