epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,2.008+-0.053,2.286+-0.14,0.205+-0.054,0.506+-0.206,0.205+-0.054,0.076+-0.029,0.157+-0.093
1,1.851+-0.039,2.261+-0.058,0.186+-0.069,0.521+-0.065,0.186+-0.069,0.092+-0.002,0.123+-0.041
2,1.694+-0.121,2.133+-0.042,0.255+-0.05,0.605+-0.05,0.255+-0.05,0.131+-0.017,0.156+-0.051
3,1.452+-0.099,1.991+-0.064,0.247+-0.112,0.822+-0.03,0.247+-0.112,0.173+-0.055,0.201+-0.106
4,1.298+-0.044,1.872+-0.11,0.291+-0.105,0.854+-0.043,0.291+-0.105,0.202+-0.064,0.274+-0.083
5,1.164+-0.087,1.789+-0.214,0.322+-0.137,0.852+-0.073,0.322+-0.137,0.21+-0.078,0.281+-0.129
6,1.02+-0.136,1.682+-0.195,0.349+-0.115,0.898+-0.04,0.349+-0.115,0.24+-0.089,0.321+-0.143
7,0.911+-0.074,1.565+-0.089,0.413+-0.03,0.921+-0.024,0.413+-0.03,0.293+-0.035,0.42+-0.035
8,0.785+-0.028,1.555+-0.04,0.4+-0.01,0.933+-0.01,0.4+-0.01,0.299+-0.034,0.403+-0.023
9,0.776+-0.077,1.543+-0.05,0.402+-0.015,0.937+-0.012,0.402+-0.015,0.306+-0.035,0.41+-0.029
10,0.771+-0.095,1.498+-0.132,0.421+-0.069,0.941+-0.011,0.421+-0.069,0.328+-0.058,0.425+-0.067
11,0.68+-0.066,1.469+-0.156,0.44+-0.074,0.939+-0.014,0.44+-0.074,0.339+-0.049,0.451+-0.054
12,0.719+-0.138,1.429+-0.111,0.472+-0.036,0.943+-0.01,0.472+-0.036,0.354+-0.047,0.484+-0.026
13,0.622+-0.01,1.408+-0.083,0.466+-0.022,0.949+-0.014,0.466+-0.022,0.357+-0.03,0.473+-0.01
14,0.567+-0.159,1.451+-0.06,0.453+-0.035,0.947+-0.012,0.453+-0.035,0.345+-0.015,0.436+-0.057
15,0.57+-0.093,1.486+-0.045,0.44+-0.018,0.945+-0.009,0.44+-0.018,0.336+-0.019,0.418+-0.055
16,0.594+-0.035,1.45+-0.075,0.443+-0.03,0.943+-0.015,0.443+-0.03,0.339+-0.038,0.435+-0.017
17,0.514+-0.021,1.424+-0.137,0.458+-0.063,0.946+-0.015,0.458+-0.063,0.346+-0.058,0.469+-0.058
18,0.565+-0.092,1.437+-0.079,0.462+-0.045,0.946+-0.009,0.462+-0.045,0.351+-0.043,0.477+-0.031
19,0.543+-0.073,1.418+-0.089,0.473+-0.033,0.946+-0.006,0.473+-0.033,0.356+-0.022,0.491+-0.025
20,0.521+-0.117,1.408+-0.117,0.468+-0.047,0.95+-0.004,0.468+-0.047,0.354+-0.009,0.477+-0.032
21,0.46+-0.084,1.374+-0.118,0.476+-0.05,0.956+-0.006,0.476+-0.05,0.356+-0.01,0.473+-0.051
22,0.488+-0.059,1.355+-0.096,0.482+-0.026,0.956+-0.009,0.482+-0.026,0.361+-0.033,0.48+-0.031
23,0.55+-0.115,1.358+-0.123,0.483+-0.043,0.956+-0.011,0.483+-0.043,0.364+-0.051,0.494+-0.035
24,0.52+-0.124,1.372+-0.086,0.483+-0.02,0.955+-0.011,0.483+-0.02,0.361+-0.027,0.497+-0.01
25,0.389+-0.09,1.416+-0.133,0.465+-0.041,0.952+-0.015,0.465+-0.041,0.348+-0.048,0.476+-0.034
26,0.462+-0.068,1.422+-0.16,0.462+-0.052,0.95+-0.015,0.462+-0.052,0.348+-0.058,0.475+-0.05
27,0.415+-0.072,1.442+-0.144,0.455+-0.056,0.95+-0.012,0.455+-0.056,0.339+-0.06,0.458+-0.064
28,0.462+-0.121,1.389+-0.127,0.476+-0.05,0.953+-0.01,0.476+-0.05,0.345+-0.057,0.472+-0.059
