epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,2.787+-0.382,5.272+-1.543,0.171+-0.13,0.507+-0.215,0.171+-0.13,0.048+-0.044,0.071+-0.07
1,4.505+-1.425,8.499+-4.253,0.276+-0.026,0.585+-0.156,0.276+-0.026,0.142+-0.038,0.16+-0.025
2,7.769+-6.072,13.064+-8.423,0.226+-0.057,0.683+-0.2,0.226+-0.057,0.156+-0.016,0.171+-0.023
3,9.647+-7.221,11.244+-6.74,0.355+-0.018,0.706+-0.051,0.355+-0.018,0.231+-0.035,0.304+-0.063
4,7.523+-5.062,7.997+-3.972,0.367+-0.072,0.773+-0.07,0.367+-0.072,0.213+-0.091,0.294+-0.118
5,3.69+-2.563,11.593+-7.43,0.307+-0.101,0.872+-0.081,0.307+-0.101,0.213+-0.064,0.274+-0.139
6,4.4+-5.001,15.702+-9.455,0.313+-0.166,0.833+-0.164,0.313+-0.166,0.191+-0.065,0.258+-0.173
7,4.713+-3.083,13.828+-7.343,0.345+-0.143,0.844+-0.165,0.345+-0.143,0.204+-0.039,0.326+-0.091
8,4.671+-4.375,13.3+-6.684,0.458+-0.053,0.833+-0.108,0.458+-0.053,0.263+-0.059,0.398+-0.093
9,4.513+-3.937,13.243+-7.655,0.423+-0.014,0.896+-0.071,0.423+-0.014,0.26+-0.07,0.388+-0.048
10,3.87+-3.212,14.968+-4.586,0.431+-0.027,0.908+-0.039,0.431+-0.027,0.269+-0.052,0.377+-0.02
11,4.908+-3.188,13.699+-4.811,0.472+-0.05,0.927+-0.029,0.472+-0.05,0.31+-0.028,0.424+-0.07
12,2.085+-0.807,11.6+-3.57,0.498+-0.057,0.947+-0.033,0.498+-0.057,0.351+-0.02,0.477+-0.055
13,2.012+-2.035,18.955+-12.818,0.458+-0.156,0.932+-0.034,0.458+-0.156,0.308+-0.08,0.418+-0.166
14,3.687+-3.043,19.948+-12.472,0.455+-0.108,0.92+-0.05,0.455+-0.108,0.305+-0.064,0.424+-0.106
15,3.216+-3.102,16.9+-8.701,0.489+-0.076,0.933+-0.033,0.489+-0.076,0.331+-0.073,0.456+-0.099
16,2.48+-2.049,15.501+-5.623,0.503+-0.065,0.934+-0.029,0.503+-0.065,0.338+-0.07,0.479+-0.06
17,1.5+-0.797,16.853+-6.3,0.516+-0.034,0.927+-0.041,0.516+-0.034,0.33+-0.068,0.493+-0.04
18,1.636+-1.237,18.613+-7.72,0.499+-0.011,0.92+-0.056,0.499+-0.011,0.319+-0.065,0.481+-0.016
19,2.436+-2.789,19.388+-7.717,0.501+-0.065,0.917+-0.062,0.501+-0.065,0.323+-0.045,0.489+-0.062
20,1.597+-1.213,22.259+-7.763,0.469+-0.088,0.915+-0.06,0.469+-0.088,0.299+-0.044,0.457+-0.072
21,4.064+-4.29,22.633+-6.884,0.473+-0.077,0.921+-0.054,0.473+-0.077,0.302+-0.046,0.453+-0.057
22,2.486+-2.39,20.39+-4.771,0.499+-0.059,0.933+-0.036,0.499+-0.059,0.315+-0.044,0.485+-0.036
23,1.116+-1.267,18.883+-3.119,0.512+-0.057,0.946+-0.018,0.512+-0.057,0.334+-0.025,0.511+-0.032
24,1.343+-0.334,19.76+-3.897,0.505+-0.036,0.951+-0.012,0.505+-0.036,0.338+-0.031,0.509+-0.024
25,0.882+-0.313,23.564+-6.703,0.483+-0.061,0.945+-0.018,0.483+-0.061,0.32+-0.051,0.479+-0.053
26,1.997+-1.041,26.48+-9.624,0.469+-0.066,0.935+-0.031,0.469+-0.066,0.309+-0.06,0.458+-0.069
27,2.207+-1.362,27.565+-10.531,0.476+-0.046,0.929+-0.031,0.476+-0.046,0.308+-0.056,0.459+-0.049
28,3.012+-2.276,27.061+-11.042,0.496+-0.028,0.933+-0.025,0.496+-0.028,0.32+-0.044,0.478+-0.013
29,2.05+-1.834,26.581+-10.493,0.513+-0.038,0.937+-0.023,0.513+-0.038,0.325+-0.042,0.498+-0.028
30,1.501+-2.071,26.518+-8.789,0.525+-0.021,0.938+-0.02,0.525+-0.021,0.33+-0.045,0.507+-0.007
31,1.306+-1.088,27.77+-8.057,0.52+-0.027,0.932+-0.022,0.52+-0.027,0.314+-0.035,0.494+-0.019
32,1.434+-1.81,28.87+-7.218,0.521+-0.032,0.929+-0.022,0.521+-0.032,0.312+-0.041,0.49+-0.027
33,1.22+-1.101,28.871+-6.884,0.525+-0.031,0.931+-0.018,0.525+-0.031,0.314+-0.037,0.494+-0.028
34,1.646+-1.554,28.319+-7.079,0.527+-0.018,0.935+-0.015,0.527+-0.018,0.318+-0.04,0.503+-0.014
35,1.266+-1.193,28.689+-8.134,0.527+-0.014,0.936+-0.016,0.527+-0.014,0.324+-0.045,0.511+-0.013
36,0.446+-0.227,30.243+-9.555,0.52+-0.027,0.932+-0.019,0.52+-0.027,0.323+-0.049,0.506+-0.028
