epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.047,0.161,0.0,0.147,0.0,0.0,0.001,
1,0.086,0.51,0.059,0.094,0.059,0.02,0.034,
2,0.108,0.573,0.037,0.152,0.037,0.021,0.043,
3,0.078,0.902,0.124,0.165,0.124,0.065,0.122,
4,0.114,0.767,0.1,0.153,0.1,0.05,0.068,
5,0.112,0.416,0.032,0.052,0.032,0.017,0.023,
6,0.134,0.398,0.063,0.043,0.063,0.039,0.083,
7,0.106,0.398,0.051,0.079,0.051,0.06,0.095,
8,0.129,0.273,0.038,0.063,0.038,0.053,0.057,
9,0.087,0.191,0.024,0.048,0.024,0.035,0.043,
10,0.088,0.365,0.043,0.018,0.043,0.046,0.053,
11,0.14,1.011,0.089,0.021,0.089,0.072,0.116,
12,0.094,0.999,0.066,0.01,0.066,0.037,0.077,
13,0.064,0.687,0.021,0.017,0.021,0.036,0.039,
14,0.178,0.538,0.117,0.06,0.117,0.067,0.137,
15,0.126,0.525,0.099,0.029,0.099,0.059,0.104,
16,0.054,0.658,0.086,0.021,0.086,0.049,0.077,
17,0.043,0.397,0.067,0.017,0.067,0.021,0.036,
18,0.027,0.271,0.09,0.004,0.09,0.031,0.081,
19,0.086,1.082,0.037,0.05,0.037,0.049,0.018,
20,0.04,0.49,0.025,0.007,0.025,0.055,0.025,
21,0.052,0.198,0.006,0.01,0.006,0.044,0.037,
22,0.03,1.284,0.105,0.026,0.105,0.079,0.084,
23,0.087,2.652,0.106,0.018,0.106,0.051,0.105,
24,0.067,1.697,0.079,0.017,0.079,0.058,0.085,
25,0.134,0.922,0.097,0.016,0.097,0.041,0.09,
26,0.07,0.579,0.06,0.014,0.06,0.035,0.05,
27,0.04,0.16,0.004,0.003,0.004,0.061,0.06,
28,0.066,0.165,0.025,0.005,0.025,0.024,0.035,
29,0.048,0.448,0.039,0.002,0.039,0.019,0.023,
30,0.045,0.145,0.02,0.001,0.02,0.016,0.017,
31,0.08,0.149,0.032,0.006,0.032,0.02,0.023,
32,0.043,0.229,0.042,0.005,0.042,0.019,0.046,
33,0.079,0.186,0.02,0.004,0.02,0.015,0.029,
34,0.065,0.283,0.056,0.008,0.056,0.036,0.068,
35,0.125,0.503,0.053,0.011,0.053,0.023,0.061,
36,0.07,0.677,0.061,0.015,0.061,0.046,0.046,
37,0.035,0.219,0.047,0.008,0.047,0.012,0.036,
38,0.086,0.182,0.051,0.024,0.051,0.024,0.06,
39,0.022,0.066,0.063,0.003,0.063,0.024,0.07,
40,0.024,0.344,0.091,0.007,0.091,0.046,0.096,
41,0.153,0.438,0.052,0.007,0.052,0.041,0.059,
42,0.073,0.138,0.017,0.005,0.017,0.014,0.02,
43,0.105,0.363,0.055,0.012,0.055,0.037,0.048,
44,0.099,0.595,0.074,0.012,0.074,0.044,0.078,
45,0.092,0.096,0.036,0.008,0.036,0.012,0.043,
46,0.165,0.277,0.056,0.007,0.056,0.021,0.044,
47,0.022,0.396,0.059,0.01,0.059,0.027,0.053,
48,0.031,0.378,0.06,0.013,0.06,0.038,0.058,
49,0.114,0.121,0.043,0.015,0.043,0.015,0.042,
50,0.036,0.137,0.046,0.009,0.046,0.016,0.054,
51,0.114,0.658,0.021,0.009,0.021,0.025,0.052,
52,0.076,0.69,0.039,0.02,0.039,0.031,0.047,
53,0.044,0.35,0.022,0.011,0.022,0.005,0.023,
54,0.103,0.227,0.034,0.008,0.034,0.065,0.044,
55,0.094,0.026,0.051,0.008,0.051,0.06,0.067,
56,0.122,0.045,0.063,0.008,0.063,0.062,0.054,
57,0.051,0.383,0.046,0.011,0.046,0.045,0.07,
58,0.11,0.325,0.036,0.011,0.036,0.025,0.036,
59,0.083,0.875,0.071,0.024,0.071,0.052,0.047,
60,0.113,0.557,0.041,0.023,0.041,0.023,0.019,
61,0.077,0.415,0.03,0.021,0.03,0.02,0.02,
62,0.084,0.412,0.012,0.019,0.012,0.025,0.016,
63,0.006,0.221,0.036,0.023,0.036,0.006,0.032,
64,0.133,0.142,0.03,0.014,0.03,0.009,0.05,
65,0.113,0.1,0.041,0.005,0.041,0.029,0.032,
66,0.103,0.118,0.063,0.007,0.063,0.017,0.053,
67,0.086,0.094,0.043,0.005,0.043,0.02,0.026,
68,0.246,0.127,0.03,0.001,0.03,0.01,0.037,
69,0.112,0.017,0.035,0.001,0.035,0.014,0.039,
70,0.273,0.114,0.037,0.013,0.037,0.03,0.032,
71,0.114,0.721,0.065,0.031,0.065,0.022,0.038,
72,0.122,0.403,0.075,0.006,0.075,0.04,0.079,
73,0.14,0.234,0.054,0.007,0.054,0.043,0.066,
74,0.118,0.333,0.089,0.004,0.089,0.047,0.089,
75,0.104,0.239,0.056,0.007,0.056,0.028,0.057,
76,0.078,0.19,0.029,0.004,0.029,0.013,0.024,
77,0.108,0.128,0.078,0.014,0.078,0.037,0.069,
78,0.068,0.284,0.093,0.017,0.093,0.068,0.093,
79,0.07,0.277,0.074,0.018,0.074,0.063,0.079,
80,0.126,0.313,0.038,0.019,0.038,0.035,0.036,
81,0.047,0.188,0.039,0.02,0.039,0.036,0.038,
82,0.097,0.101,0.036,0.018,0.036,0.049,0.037,
83,0.071,0.071,0.018,0.016,0.018,0.029,0.017,
84,0.137,0.512,0.032,0.009,0.032,0.017,0.046,
85,0.06,0.613,0.047,0.01,0.047,0.025,0.062,
86,0.062,0.472,0.032,0.012,0.032,0.025,0.05,
87,0.062,0.191,0.042,0.012,0.042,0.045,0.065,
88,0.037,0.555,0.043,0.006,0.043,0.04,0.069,
89,0.107,0.45,0.011,0.011,0.011,0.05,0.007,
90,0.097,0.576,0.035,0.014,0.035,0.034,0.032,
91,0.103,0.477,0.017,0.016,0.017,0.041,0.025,
92,0.071,0.52,0.074,0.007,0.074,0.071,0.071,
93,0.055,0.376,0.006,0.006,0.006,0.031,0.007,
94,0.034,0.263,0.015,0.006,0.015,0.019,0.018,
95,0.077,0.216,0.012,0.008,0.012,0.03,0.007,
96,0.068,0.207,0.009,0.008,0.009,0.039,0.013,
