epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,2.064,2.087,0.251,0.802,0.251,0.157,0.223,
1,1.612,1.88,0.316,0.921,0.316,0.253,0.328,
2,1.269,1.683,0.379,0.931,0.379,0.322,0.382,
3,1.078,1.508,0.454,0.947,0.454,0.388,0.47,
4,0.944,1.446,0.46,0.949,0.46,0.416,0.473,
5,0.863,1.378,0.476,0.965,0.476,0.428,0.48,
6,0.767,1.32,0.49,0.968,0.49,0.444,0.491,
7,0.73,1.259,0.508,0.972,0.508,0.462,0.516,
8,0.673,1.241,0.506,0.975,0.506,0.473,0.513,
9,0.629,1.18,0.538,0.977,0.538,0.493,0.543,
10,0.583,1.195,0.537,0.978,0.537,0.495,0.544,
11,0.555,1.179,0.528,0.979,0.528,0.49,0.532,
12,0.532,1.155,0.538,0.982,0.538,0.493,0.544,
13,0.533,1.088,0.576,0.982,0.576,0.52,0.583,
14,0.509,1.092,0.565,0.982,0.565,0.53,0.568,
15,0.491,1.068,0.569,0.984,0.569,0.53,0.574,
16,0.471,1.066,0.572,0.982,0.572,0.527,0.577,
17,0.436,1.063,0.577,0.985,0.577,0.536,0.581,
18,0.423,1.03,0.585,0.985,0.585,0.55,0.588,
19,0.424,1.027,0.586,0.985,0.586,0.536,0.587,
20,0.409,1.028,0.588,0.984,0.588,0.547,0.591,
21,0.402,1.051,0.575,0.985,0.575,0.54,0.582,
22,0.36,1.032,0.581,0.985,0.581,0.54,0.587,
23,0.352,1.023,0.588,0.986,0.588,0.546,0.59,
24,0.357,0.945,0.626,0.986,0.626,0.579,0.628,
25,0.322,0.991,0.592,0.986,0.592,0.553,0.594,
26,0.327,1.011,0.586,0.986,0.586,0.544,0.586,
27,0.315,0.98,0.6,0.986,0.6,0.557,0.603,
28,0.291,1.009,0.598,0.986,0.598,0.552,0.6,
29,0.302,1.016,0.598,0.983,0.598,0.542,0.599,
30,0.296,0.952,0.627,0.986,0.627,0.569,0.63,
31,0.28,1.003,0.601,0.985,0.601,0.566,0.604,
32,0.272,0.965,0.614,0.984,0.614,0.572,0.613,
33,0.259,1.069,0.578,0.985,0.578,0.542,0.579,
34,0.239,1.004,0.619,0.986,0.619,0.559,0.618,
35,0.241,0.921,0.637,0.985,0.637,0.578,0.637,
36,0.236,0.989,0.611,0.985,0.611,0.565,0.608,
37,0.226,0.916,0.645,0.987,0.645,0.585,0.646,
38,0.219,0.968,0.623,0.986,0.623,0.576,0.624,
39,0.192,0.966,0.631,0.983,0.631,0.567,0.622,
40,0.21,1.082,0.594,0.984,0.594,0.557,0.596,
41,0.2,0.933,0.637,0.985,0.637,0.584,0.636,
42,0.189,0.946,0.641,0.986,0.641,0.575,0.64,
43,0.206,0.928,0.645,0.986,0.645,0.584,0.643,
44,0.174,0.96,0.629,0.985,0.629,0.57,0.627,
