epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,1.849,2.542,0.169,0.796,0.169,0.123,0.15,
1,1.424,2.691,0.208,0.881,0.208,0.145,0.158,
2,1.193,2.074,0.256,0.891,0.256,0.222,0.249,
3,1.082,4.891,0.211,0.809,0.211,0.183,0.191,
4,1.071,2.475,0.261,0.895,0.261,0.212,0.248,
5,0.984,2.43,0.27,0.881,0.27,0.264,0.264,
6,0.921,2.031,0.348,0.914,0.348,0.249,0.354,
7,0.881,2.428,0.344,0.944,0.344,0.269,0.357,
8,0.847,2.107,0.309,0.953,0.309,0.284,0.31,
9,0.79,2.073,0.377,0.956,0.377,0.294,0.375,
10,0.767,1.777,0.378,0.951,0.378,0.299,0.368,
11,0.727,1.688,0.4,0.964,0.4,0.356,0.404,
12,0.622,1.529,0.466,0.967,0.466,0.369,0.46,
13,0.573,1.427,0.489,0.971,0.489,0.391,0.494,
14,0.566,1.547,0.455,0.97,0.455,0.387,0.48,
15,0.515,1.462,0.478,0.972,0.478,0.422,0.472,
16,0.49,1.545,0.463,0.971,0.463,0.403,0.467,
17,0.493,1.458,0.482,0.97,0.482,0.409,0.469,
18,0.414,1.606,0.434,0.974,0.434,0.384,0.419,
19,0.448,1.369,0.525,0.97,0.525,0.406,0.509,
20,0.412,1.401,0.478,0.964,0.478,0.387,0.466,
21,0.371,1.556,0.484,0.968,0.484,0.425,0.467,
22,0.373,1.476,0.508,0.971,0.508,0.411,0.492,
23,0.402,1.624,0.501,0.961,0.501,0.372,0.488,
24,0.385,1.517,0.49,0.966,0.49,0.364,0.451,
25,0.37,1.838,0.428,0.965,0.428,0.361,0.416,
26,0.357,1.629,0.48,0.972,0.48,0.385,0.475,
27,0.325,1.346,0.56,0.97,0.56,0.416,0.548,
28,0.337,1.402,0.525,0.973,0.525,0.395,0.516,
29,0.306,1.901,0.492,0.961,0.492,0.384,0.478,
30,0.291,1.503,0.542,0.962,0.542,0.405,0.537,
31,0.254,1.578,0.513,0.966,0.513,0.412,0.493,
32,0.218,1.694,0.521,0.963,0.521,0.397,0.514,
33,0.2,1.555,0.511,0.96,0.511,0.388,0.51,
34,0.172,1.711,0.498,0.97,0.498,0.379,0.473,
35,0.157,1.581,0.548,0.971,0.548,0.406,0.535,
36,0.138,1.943,0.51,0.96,0.51,0.373,0.485,
37,0.129,1.801,0.499,0.957,0.499,0.379,0.483,
38,0.091,1.736,0.546,0.963,0.546,0.399,0.527,
39,0.116,1.67,0.528,0.968,0.528,0.401,0.521,
40,0.073,1.563,0.569,0.966,0.569,0.416,0.555,
41,0.049,1.595,0.559,0.97,0.559,0.44,0.554,
42,0.076,1.742,0.538,0.964,0.538,0.392,0.521,
43,0.064,1.723,0.538,0.962,0.538,0.437,0.526,
44,0.042,1.818,0.542,0.963,0.542,0.416,0.523,
45,0.05,1.968,0.552,0.963,0.552,0.428,0.536,
46,0.047,1.677,0.555,0.972,0.555,0.441,0.537,
47,0.048,1.869,0.552,0.968,0.552,0.422,0.534,
48,0.034,1.869,0.559,0.963,0.559,0.419,0.544,
49,0.035,1.679,0.568,0.962,0.568,0.447,0.557,
50,0.021,1.913,0.546,0.958,0.546,0.407,0.528,
51,0.03,2.295,0.52,0.953,0.52,0.386,0.507,
52,0.043,1.888,0.534,0.963,0.534,0.44,0.525,
53,0.031,1.765,0.558,0.959,0.558,0.427,0.545,
54,0.022,1.875,0.572,0.966,0.572,0.433,0.554,
55,0.016,1.821,0.568,0.963,0.568,0.444,0.557,
56,0.014,1.733,0.555,0.964,0.555,0.448,0.547,
57,0.014,1.787,0.57,0.962,0.57,0.442,0.557,
58,0.012,1.775,0.578,0.964,0.578,0.458,0.565,
59,0.009,1.811,0.566,0.965,0.566,0.457,0.554,
60,0.006,1.826,0.579,0.964,0.579,0.463,0.568,
61,0.004,1.817,0.588,0.965,0.588,0.461,0.576,
62,0.008,1.757,0.579,0.96,0.579,0.448,0.569,
63,0.006,1.784,0.581,0.966,0.581,0.455,0.57,
64,0.006,1.815,0.586,0.964,0.586,0.456,0.571,
65,0.004,1.816,0.587,0.965,0.587,0.46,0.572,
66,0.004,1.848,0.581,0.965,0.581,0.452,0.566,
67,0.003,1.818,0.58,0.965,0.58,0.454,0.568,
68,0.004,1.793,0.589,0.965,0.589,0.435,0.577,
69,0.002,1.823,0.587,0.963,0.587,0.456,0.575,
70,0.002,1.8,0.59,0.965,0.59,0.466,0.579,
71,0.002,1.804,0.586,0.966,0.586,0.467,0.575,
72,0.002,1.829,0.583,0.966,0.583,0.455,0.57,
73,0.002,1.867,0.587,0.965,0.587,0.462,0.576,
74,0.004,1.851,0.589,0.965,0.589,0.456,0.577,
75,0.007,1.864,0.584,0.963,0.584,0.449,0.571,
76,0.006,1.899,0.583,0.967,0.583,0.448,0.569,
77,0.004,1.847,0.582,0.967,0.582,0.454,0.568,
78,0.002,1.886,0.584,0.967,0.584,0.446,0.572,
79,0.002,1.86,0.59,0.966,0.59,0.465,0.579,
80,0.002,1.858,0.588,0.965,0.588,0.46,0.576,
81,0.002,1.849,0.592,0.965,0.592,0.474,0.58,
82,0.001,1.85,0.589,0.965,0.589,0.468,0.576,
83,0.001,1.874,0.585,0.966,0.585,0.465,0.574,
84,0.002,1.845,0.586,0.966,0.586,0.469,0.576,
85,0.001,1.909,0.58,0.965,0.58,0.452,0.568,
86,0.003,1.878,0.579,0.966,0.579,0.449,0.567,
87,0.016,2.011,0.58,0.959,0.58,0.419,0.565,
88,0.004,1.935,0.58,0.961,0.58,0.437,0.569,
89,0.002,1.904,0.579,0.963,0.579,0.452,0.569,
90,0.002,1.86,0.581,0.963,0.581,0.46,0.571,
91,0.002,1.872,0.586,0.963,0.586,0.457,0.575,
