epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,1.521,1.183,0.121,0.061,0.121,0.091,0.112,
1,1.623,1.155,0.098,0.071,0.098,0.045,0.084,
2,0.389,2.481,0.114,0.06,0.114,0.071,0.13,
3,0.671,0.527,0.045,0.006,0.045,0.025,0.044,
4,0.54,1.229,0.055,0.014,0.055,0.045,0.078,
5,0.48,3.08,0.081,0.09,0.081,0.057,0.113,
6,0.241,0.862,0.024,0.005,0.024,0.012,0.024,
7,0.201,0.368,0.014,0.006,0.014,0.029,0.017,
8,0.108,1.115,0.06,0.027,0.06,0.052,0.077,
9,0.188,0.587,0.017,0.007,0.017,0.006,0.014,
10,0.077,0.542,0.032,0.002,0.032,0.027,0.033,
11,0.14,0.449,0.027,0.006,0.027,0.004,0.021,
12,0.174,1.05,0.053,0.014,0.053,0.004,0.067,
13,0.257,0.528,0.053,0.007,0.053,0.028,0.062,
14,0.097,0.578,0.081,0.004,0.081,0.032,0.082,
15,0.178,0.748,0.046,0.005,0.046,0.018,0.034,
16,0.267,0.368,0.036,0.004,0.036,0.002,0.028,
17,0.044,0.266,0.012,0.009,0.012,0.022,0.012,
18,0.274,0.221,0.029,0.002,0.029,0.06,0.041,
19,0.297,0.191,0.019,0.002,0.019,0.021,0.017,
20,0.179,0.411,0.011,0.005,0.011,0.01,0.011,
21,0.202,0.515,0.021,0.008,0.021,0.041,0.01,
22,0.178,0.223,0.011,0.002,0.011,0.017,0.011,
23,0.2,0.262,0.025,0.006,0.025,0.024,0.023,
24,0.143,0.179,0.022,0.001,0.022,0.027,0.018,
25,0.211,0.08,0.02,0.006,0.02,0.02,0.021,
26,0.043,0.163,0.017,0.002,0.017,0.023,0.023,
27,0.036,0.342,0.023,0.005,0.023,0.057,0.021,
28,0.073,0.352,0.003,0.002,0.003,0.03,0.005,
29,0.104,0.339,0.017,0.004,0.017,0.033,0.013,
30,0.111,0.414,0.013,0.006,0.013,0.021,0.013,
31,0.19,0.155,0.029,0.006,0.029,0.038,0.034,
32,0.018,0.106,0.025,0.007,0.025,0.016,0.022,
33,0.085,0.692,0.034,0.002,0.034,0.033,0.036,
34,0.21,0.392,0.013,0.003,0.013,0.012,0.011,
35,0.147,0.894,0.028,0.005,0.028,0.022,0.025,
36,0.179,1.883,0.057,0.012,0.057,0.042,0.085,
37,0.585,0.598,0.016,0.007,0.016,0.006,0.014,
38,0.173,1.089,0.06,0.015,0.06,0.027,0.041,
39,0.235,1.081,0.037,0.002,0.037,0.011,0.036,
40,0.166,1.07,0.024,0.003,0.024,0.009,0.028,
41,0.146,0.201,0.016,0.008,0.016,0.028,0.027,
42,0.126,0.392,0.014,0.004,0.014,0.014,0.012,
43,0.12,0.936,0.059,0.003,0.059,0.026,0.061,
44,0.072,0.599,0.021,0.007,0.021,0.011,0.023,
45,0.029,0.474,0.01,0.005,0.01,0.008,0.007,
46,0.049,0.592,0.019,0.004,0.019,0.02,0.02,
47,0.162,0.551,0.021,0.007,0.021,0.026,0.017,
48,0.101,0.221,0.03,0.004,0.03,0.026,0.034,
49,0.031,0.71,0.024,0.004,0.024,0.018,0.027,
50,0.04,0.524,0.017,0.002,0.017,0.001,0.016,
51,0.027,0.295,0.004,0.004,0.004,0.014,0.007,
52,0.184,0.724,0.018,0.001,0.018,0.014,0.017,
53,0.186,1.465,0.054,0.01,0.054,0.024,0.06,
54,0.202,1.003,0.005,0.002,0.005,0.019,0.01,
55,0.169,0.233,0.034,0.003,0.034,0.048,0.046,
56,0.146,1.26,0.034,0.01,0.034,0.048,0.07,
57,0.192,1.279,0.027,0.01,0.027,0.054,0.064,
58,0.158,1.03,0.04,0.007,0.04,0.019,0.045,
59,0.206,0.498,0.008,0.002,0.008,0.005,0.011,
60,0.107,0.827,0.027,0.013,0.027,0.015,0.03,
61,0.077,0.63,0.011,0.006,0.011,0.02,0.014,
62,0.071,0.134,0.026,0.006,0.026,0.021,0.022,
63,0.047,0.296,0.029,0.004,0.029,0.022,0.027,
64,0.056,0.296,0.008,0.005,0.008,0.011,0.009,
65,0.029,0.782,0.053,0.002,0.053,0.021,0.05,
66,0.005,0.316,0.011,0.001,0.011,0.025,0.017,
67,0.009,0.537,0.013,0.006,0.013,0.014,0.017,
68,0.139,0.117,0.007,0.004,0.007,0.019,0.007,
69,0.027,0.398,0.008,0.003,0.008,0.011,0.007,
70,0.018,0.331,0.029,0.006,0.029,0.029,0.023,
71,0.077,0.44,0.017,0.006,0.017,0.02,0.015,
72,0.063,0.426,0.014,0.004,0.014,0.023,0.008,
73,0.038,0.35,0.02,0.004,0.02,0.027,0.018,
74,0.038,0.322,0.009,0.001,0.009,0.005,0.009,
75,0.045,0.346,0.01,0.001,0.01,0.004,0.01,
76,0.086,0.469,0.018,0.002,0.018,0.011,0.01,
77,0.081,0.786,0.021,0.009,0.021,0.019,0.029,
78,0.08,0.74,0.023,0.002,0.023,0.014,0.021,
79,0.208,0.643,0.03,0.008,0.03,0.014,0.019,
80,0.376,1.622,0.016,0.004,0.016,0.039,0.035,
81,0.544,1.088,0.022,0.013,0.022,0.009,0.028,
82,0.277,0.359,0.021,0.011,0.021,0.027,0.016,
83,0.032,0.565,0.005,0.001,0.005,0.009,0.004,
84,0.031,0.752,0.02,0.004,0.02,0.018,0.019,
85,0.058,0.695,0.009,0.006,0.009,0.019,0.011,
86,0.009,0.459,0.026,0.002,0.026,0.027,0.024,
87,0.046,0.658,0.021,0.006,0.021,0.008,0.019,
88,0.043,0.214,0.024,0.005,0.024,0.011,0.031,
89,0.068,0.18,0.014,0.002,0.014,0.02,0.017,
90,0.082,0.071,0.014,0.005,0.014,0.012,0.025,
91,0.151,0.727,0.037,0.01,0.037,0.035,0.062,
92,0.146,1.017,0.044,0.023,0.044,0.043,0.066,
93,0.188,0.429,0.021,0.007,0.021,0.028,0.025,
94,0.121,1.223,0.037,0.016,0.037,0.012,0.04,
95,0.039,0.22,0.008,0.005,0.008,0.007,0.006,
96,0.086,0.645,0.013,0.003,0.013,0.021,0.017,
97,0.034,0.513,0.01,0.005,0.01,0.018,0.012,
98,0.069,0.932,0.013,0.004,0.013,0.012,0.024,
99,0.052,0.578,0.003,0.011,0.003,0.013,0.005,"[0.036, 0.011, 0.066, 0.021, 0.064, 0.057, 0.016, 0.025, 0.021, 0.075]"
