epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.053,0.052,0.04,0.195,0.04,0.051,0.039,
1,0.112,0.155,0.093,0.066,0.093,0.009,0.042,
2,0.14,0.221,0.076,0.04,0.076,0.009,0.045,
3,0.074,0.1,0.026,0.054,0.026,0.015,0.067,
4,0.097,0.462,0.073,0.057,0.073,0.069,0.146,
5,0.076,0.597,0.147,0.054,0.147,0.09,0.151,
6,0.125,0.184,0.112,0.019,0.112,0.031,0.119,
7,0.28,0.131,0.055,0.015,0.055,0.049,0.089,
8,0.274,0.317,0.127,0.024,0.127,0.048,0.105,
9,0.23,0.146,0.043,0.03,0.043,0.021,0.055,
10,0.127,0.209,0.05,0.009,0.05,0.015,0.054,
11,0.067,0.48,0.097,0.009,0.097,0.037,0.075,
12,0.209,0.325,0.016,0.09,0.016,0.019,0.017,
13,0.091,0.637,0.174,0.029,0.174,0.097,0.167,
14,0.147,0.801,0.109,0.089,0.109,0.079,0.14,
15,0.125,1.17,0.081,0.015,0.081,0.048,0.083,
16,0.073,1.183,0.056,0.145,0.056,0.05,0.082,
17,0.338,0.312,0.125,0.019,0.125,0.047,0.097,
18,0.081,0.755,0.047,0.076,0.047,0.024,0.055,
19,0.182,1.103,0.08,0.039,0.08,0.054,0.106,
20,0.459,0.227,0.044,0.019,0.044,0.038,0.074,
21,0.415,0.713,0.041,0.085,0.041,0.042,0.058,
22,0.048,0.348,0.079,0.05,0.079,0.057,0.093,
23,0.522,0.4,0.052,0.068,0.052,0.046,0.079,
24,0.126,1.434,0.033,0.126,0.033,0.032,0.06,
25,0.317,0.971,0.093,0.042,0.093,0.07,0.089,
26,0.44,0.279,0.045,0.031,0.045,0.025,0.039,
27,0.459,0.703,0.014,0.04,0.014,0.02,0.021,
28,0.644,1.305,0.079,0.07,0.079,0.029,0.092,
29,0.356,1.042,0.027,0.026,0.027,0.043,0.032,
30,0.569,1.416,0.063,0.051,0.063,0.035,0.071,
31,0.594,1.159,0.021,0.11,0.021,0.049,0.058,
32,0.679,1.236,0.094,0.073,0.094,0.054,0.101,
33,0.616,0.861,0.029,0.039,0.029,0.023,0.029,
34,0.534,1.482,0.08,0.033,0.08,0.052,0.095,
35,0.643,1.157,0.124,0.029,0.124,0.068,0.115,
36,0.358,0.972,0.088,0.015,0.088,0.102,0.102,
37,0.412,1.312,0.03,0.017,0.03,0.03,0.049,
38,0.351,1.046,0.088,0.023,0.088,0.038,0.095,
39,0.372,0.739,0.078,0.057,0.078,0.057,0.07,
40,0.761,1.398,0.049,0.008,0.049,0.034,0.073,
41,0.451,0.22,0.073,0.014,0.073,0.034,0.104,
42,0.309,0.488,0.069,0.026,0.069,0.077,0.102,
43,0.172,0.069,0.063,0.003,0.063,0.008,0.058,
44,0.024,1.064,0.116,0.077,0.116,0.054,0.172,
45,0.259,0.827,0.127,0.064,0.127,0.045,0.149,
46,0.103,1.019,0.105,0.088,0.105,0.048,0.133,
47,0.162,0.453,0.06,0.027,0.06,0.014,0.069,
48,0.322,0.197,0.06,0.01,0.06,0.027,0.078,
49,0.123,0.294,0.067,0.016,0.067,0.042,0.089,
50,0.154,0.195,0.023,0.005,0.023,0.036,0.039,
51,0.363,0.317,0.013,0.006,0.013,0.007,0.01,
52,0.069,0.161,0.023,0.008,0.023,0.012,0.023,
53,0.058,0.133,0.037,0.004,0.037,0.014,0.01,
54,0.071,0.367,0.037,0.01,0.037,0.025,0.048,
55,0.137,0.31,0.039,0.016,0.039,0.018,0.034,
56,0.163,0.111,0.014,0.008,0.014,0.004,0.025,
57,0.194,0.595,0.055,0.012,0.055,0.036,0.08,
58,0.071,0.062,0.062,0.022,0.062,0.033,0.063,
59,0.038,0.431,0.065,0.005,0.065,0.016,0.059,
60,0.039,0.195,0.091,0.018,0.091,0.041,0.09,
61,0.024,0.319,0.054,0.003,0.054,0.024,0.047,
62,0.111,0.392,0.03,0.048,0.03,0.01,0.051,
63,0.094,0.152,0.026,0.007,0.026,0.016,0.031,
64,0.064,0.385,0.061,0.013,0.061,0.053,0.091,
65,0.073,0.149,0.055,0.011,0.055,0.033,0.06,
66,0.13,0.199,0.049,0.004,0.049,0.035,0.065,
67,0.064,0.652,0.098,0.033,0.098,0.043,0.116,
68,0.275,0.211,0.013,0.001,0.013,0.034,0.019,
69,0.118,0.958,0.05,0.065,0.05,0.056,0.08,
70,0.188,0.467,0.043,0.015,0.043,0.042,0.075,
71,0.128,0.517,0.032,0.082,0.032,0.007,0.047,
72,0.161,0.192,0.014,0.016,0.014,0.012,0.044,
73,0.179,0.431,0.032,0.008,0.032,0.042,0.048,
74,0.135,0.487,0.061,0.008,0.061,0.031,0.084,
75,0.093,0.321,0.049,0.021,0.049,0.02,0.065,
76,0.186,0.284,0.042,0.013,0.042,0.014,0.063,
77,0.107,0.234,0.052,0.024,0.052,0.038,0.06,
78,0.161,0.716,0.073,0.028,0.073,0.049,0.097,
79,0.204,0.296,0.071,0.019,0.071,0.034,0.056,
80,0.433,0.221,0.044,0.02,0.044,0.021,0.063,
81,0.223,0.998,0.095,0.064,0.095,0.063,0.126,
82,0.174,0.718,0.029,0.03,0.029,0.027,0.065,
83,0.194,0.831,0.1,0.056,0.1,0.094,0.127,
84,0.21,0.334,0.042,0.018,0.042,0.02,0.081,
85,0.332,0.743,0.045,0.038,0.045,0.036,0.047,
86,0.457,0.874,0.067,0.038,0.067,0.067,0.071,
87,0.44,0.789,0.054,0.016,0.054,0.04,0.069,
88,0.27,0.226,0.013,0.006,0.013,0.02,0.004,
89,0.219,0.506,0.059,0.031,0.059,0.054,0.067,
90,0.147,0.469,0.046,0.01,0.046,0.03,0.048,
91,0.3,0.595,0.038,0.02,0.038,0.047,0.047,
92,0.259,0.568,0.038,0.051,0.038,0.033,0.033,
93,0.371,0.431,0.042,0.04,0.042,0.052,0.063,
94,0.173,0.096,0.021,0.022,0.021,0.02,0.029,
95,0.158,0.694,0.098,0.016,0.098,0.062,0.106,
96,0.157,0.17,0.03,0.016,0.03,0.036,0.036,
97,0.07,0.187,0.026,0.019,0.026,0.034,0.041,
98,0.118,0.293,0.028,0.005,0.028,0.014,0.027,
99,0.062,0.365,0.03,0.058,0.03,0.014,0.057,"[0.067, 0.02, 0.089, 0.192, 0.104, 0.042, 0.071, 0.056, 0.009, 0.103]"
