epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,1.106+-0.061,1.171+-0.135,0.564+-0.046,0.985+-0.005,0.564+-0.046,0.515+-0.011,0.563+-0.04
1,0.368+-0.039,1.01+-0.113,0.611+-0.034,0.986+-0.003,0.611+-0.034,0.587+-0.015,0.608+-0.029
2,0.239+-0.025,1.173+-0.229,0.641+-0.03,0.986+-0.003,0.641+-0.03,0.565+-0.011,0.624+-0.038
3,0.152+-0.015,1.035+-0.195,0.663+-0.038,0.987+-0.002,0.663+-0.038,0.61+-0.033,0.661+-0.035
4,0.118+-0.022,0.962+-0.05,0.691+-0.01,0.988+-0.002,0.691+-0.01,0.599+-0.015,0.687+-0.012
5,0.088+-0.017,1.057+-0.14,0.683+-0.033,0.988+-0.001,0.683+-0.033,0.6+-0.027,0.675+-0.033
6,0.066+-0.016,1.09+-0.133,0.68+-0.03,0.987+-0.001,0.68+-0.03,0.596+-0.027,0.673+-0.029
7,0.061+-0.023,1.165+-0.151,0.661+-0.025,0.986+-0.002,0.661+-0.025,0.584+-0.025,0.656+-0.023
8,0.054+-0.015,1.08+-0.116,0.699+-0.009,0.985+-0.001,0.699+-0.009,0.601+-0.011,0.689+-0.008
9,0.036+-0.011,1.161+-0.191,0.686+-0.025,0.985+-0.003,0.686+-0.025,0.599+-0.026,0.678+-0.027
10,0.013+-0.005,1.028+-0.061,0.718+-0.012,0.987+-0.002,0.718+-0.012,0.63+-0.019,0.712+-0.012
11,0.016+-0.006,1.087+-0.079,0.7+-0.022,0.987+-0.002,0.7+-0.022,0.621+-0.024,0.695+-0.02
12,0.016+-0.001,1.181+-0.197,0.708+-0.003,0.986+-0.004,0.708+-0.003,0.616+-0.01,0.699+-0.009
13,0.013+-0.005,1.142+-0.029,0.72+-0.008,0.986+-0.001,0.72+-0.008,0.621+-0.021,0.713+-0.007
14,0.008+-0.004,1.14+-0.095,0.723+-0.006,0.987+-0.001,0.723+-0.006,0.618+-0.022,0.716+-0.008
15,0.01+-0.007,1.124+-0.025,0.714+-0.014,0.986+-0.002,0.714+-0.014,0.616+-0.009,0.71+-0.01
16,0.007+-0.007,1.174+-0.098,0.72+-0.014,0.987+-0.003,0.72+-0.014,0.611+-0.027,0.71+-0.019
17,0.003+-0.003,1.132+-0.064,0.727+-0.004,0.988+-0.002,0.727+-0.004,0.63+-0.021,0.721+-0.004
