epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,2.027,1.998,0.186,0.803,0.186,0.138,0.154,
1,1.765,1.798,0.342,0.885,0.342,0.244,0.315,
2,1.617,1.893,0.246,0.864,0.246,0.229,0.211,
3,1.502,1.79,0.335,0.893,0.335,0.288,0.305,
4,1.44,1.743,0.346,0.896,0.346,0.309,0.359,
5,1.406,1.82,0.314,0.88,0.314,0.272,0.274,
6,1.339,1.716,0.352,0.908,0.352,0.306,0.349,
7,1.326,1.811,0.343,0.859,0.343,0.263,0.298,
8,1.315,1.691,0.338,0.91,0.338,0.322,0.29,
9,1.24,1.715,0.328,0.898,0.328,0.294,0.319,
10,1.231,1.633,0.395,0.917,0.395,0.349,0.405,
11,1.226,1.649,0.391,0.898,0.391,0.329,0.37,
12,1.216,1.599,0.416,0.923,0.416,0.359,0.44,
13,1.173,1.594,0.402,0.935,0.402,0.345,0.383,
14,1.175,1.577,0.396,0.922,0.396,0.35,0.397,
15,1.15,1.542,0.413,0.942,0.413,0.333,0.374,
16,1.09,1.654,0.392,0.904,0.392,0.328,0.376,
17,1.124,1.498,0.446,0.94,0.446,0.387,0.448,
18,1.083,1.488,0.46,0.943,0.46,0.383,0.455,
19,1.096,1.487,0.432,0.94,0.432,0.367,0.423,
20,1.039,1.481,0.449,0.944,0.449,0.396,0.459,
21,1.076,1.473,0.446,0.933,0.446,0.391,0.422,
22,1.071,1.604,0.42,0.922,0.42,0.38,0.422,
23,1.038,1.481,0.448,0.937,0.448,0.395,0.448,
24,1.027,1.468,0.47,0.94,0.47,0.382,0.482,
25,1.013,1.412,0.471,0.95,0.471,0.405,0.457,
26,0.999,1.505,0.449,0.933,0.449,0.402,0.438,
27,1.006,1.423,0.485,0.946,0.485,0.421,0.5,
28,0.994,1.47,0.455,0.94,0.455,0.39,0.45,
29,0.975,1.491,0.449,0.939,0.449,0.387,0.432,
30,0.955,1.433,0.46,0.948,0.46,0.417,0.464,
31,0.963,1.492,0.453,0.936,0.453,0.387,0.475,
32,0.985,1.51,0.432,0.937,0.432,0.383,0.41,
33,0.943,1.481,0.449,0.944,0.449,0.404,0.46,
34,0.949,1.529,0.427,0.927,0.427,0.395,0.426,
35,0.919,1.457,0.466,0.94,0.466,0.393,0.472,
36,0.945,1.457,0.447,0.939,0.447,0.387,0.434,
37,0.93,1.609,0.399,0.932,0.399,0.367,0.391,
38,0.901,1.488,0.427,0.947,0.427,0.391,0.431,
39,0.923,1.479,0.44,0.94,0.44,0.398,0.432,
40,0.897,1.397,0.488,0.952,0.488,0.419,0.478,
41,0.887,1.402,0.473,0.956,0.473,0.414,0.478,
42,0.848,1.45,0.457,0.952,0.457,0.401,0.46,
43,0.893,1.432,0.46,0.952,0.46,0.411,0.463,
44,0.901,1.451,0.464,0.949,0.464,0.405,0.454,
45,0.895,1.493,0.436,0.942,0.436,0.388,0.426,
46,0.879,1.384,0.485,0.951,0.485,0.429,0.482,
47,0.862,1.42,0.465,0.949,0.465,0.406,0.474,
48,0.857,1.436,0.462,0.946,0.462,0.409,0.462,
49,0.84,1.422,0.47,0.952,0.47,0.424,0.469,
50,0.855,1.398,0.476,0.953,0.476,0.408,0.472,
51,0.857,1.416,0.469,0.953,0.469,0.416,0.469,
52,0.84,1.368,0.487,0.957,0.487,0.414,0.488,
53,0.849,1.367,0.492,0.957,0.492,0.427,0.497,
54,0.816,1.412,0.483,0.951,0.483,0.419,0.484,
55,0.823,1.44,0.454,0.95,0.454,0.401,0.453,
56,0.826,1.378,0.485,0.957,0.485,0.423,0.478,
57,0.816,1.41,0.473,0.95,0.473,0.416,0.482,
58,0.813,1.411,0.476,0.954,0.476,0.409,0.484,
59,0.809,1.474,0.438,0.949,0.438,0.388,0.428,
60,0.829,1.431,0.471,0.944,0.471,0.412,0.467,
61,0.797,1.358,0.498,0.95,0.498,0.426,0.479,
62,0.803,1.424,0.471,0.95,0.471,0.41,0.455,
63,0.795,1.364,0.496,0.957,0.496,0.424,0.501,
64,0.771,1.512,0.441,0.935,0.441,0.395,0.431,
65,0.809,1.447,0.463,0.948,0.463,0.396,0.443,
66,0.792,1.352,0.496,0.962,0.496,0.436,0.506,
67,0.793,1.483,0.446,0.949,0.446,0.386,0.43,
68,0.811,1.396,0.471,0.956,0.471,0.408,0.443,
69,0.795,1.401,0.476,0.957,0.476,0.419,0.481,
70,0.789,1.404,0.479,0.951,0.479,0.416,0.478,
71,0.799,1.34,0.507,0.957,0.507,0.435,0.511,
72,0.785,1.411,0.474,0.955,0.474,0.422,0.479,
73,0.771,1.307,0.523,0.961,0.523,0.45,0.529,
74,0.767,1.433,0.462,0.949,0.462,0.41,0.45,
75,0.776,1.349,0.491,0.962,0.491,0.426,0.5,
76,0.752,1.405,0.475,0.955,0.475,0.416,0.476,
77,0.776,1.378,0.477,0.962,0.477,0.421,0.483,
78,0.749,1.348,0.483,0.963,0.483,0.427,0.476,
79,0.748,1.398,0.482,0.948,0.482,0.422,0.48,
80,0.751,1.383,0.484,0.955,0.484,0.43,0.488,
81,0.736,1.392,0.47,0.96,0.47,0.408,0.469,
82,0.755,1.396,0.482,0.954,0.482,0.425,0.466,
83,0.756,1.411,0.476,0.951,0.476,0.419,0.481,
84,0.74,1.356,0.485,0.962,0.485,0.432,0.489,
85,0.743,1.416,0.466,0.953,0.466,0.417,0.446,
86,0.781,1.354,0.487,0.959,0.487,0.428,0.473,
87,0.742,1.371,0.497,0.956,0.497,0.43,0.505,
88,0.728,1.498,0.435,0.949,0.435,0.394,0.418,
89,0.729,1.439,0.452,0.948,0.452,0.407,0.438,
90,0.726,1.369,0.496,0.96,0.496,0.424,0.493,
91,0.756,1.352,0.49,0.96,0.49,0.437,0.487,
92,0.713,1.363,0.479,0.963,0.479,0.423,0.47,
