epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.023,0.512,0.122,0.017,0.122,0.071,0.098,
1,0.038,0.366,0.094,0.015,0.094,0.095,0.112,
2,0.056,0.266,0.036,0.015,0.036,0.027,0.027,
3,0.052,0.587,0.11,0.005,0.11,0.074,0.134,
4,0.05,0.12,0.04,0.011,0.04,0.068,0.039,
5,0.014,0.346,0.07,0.025,0.07,0.068,0.048,
6,0.062,0.25,0.052,0.01,0.052,0.058,0.071,
7,0.023,0.477,0.091,0.007,0.091,0.026,0.092,
8,0.008,0.794,0.126,0.009,0.126,0.112,0.161,
9,0.054,0.108,0.014,0.018,0.014,0.068,0.001,
10,0.045,0.198,0.052,0.012,0.052,0.093,0.067,
11,0.054,0.349,0.069,0.022,0.069,0.071,0.072,
12,0.084,0.784,0.139,0.018,0.139,0.072,0.149,
13,0.046,0.416,0.075,0.001,0.075,0.045,0.092,
14,0.046,0.334,0.047,0.01,0.047,0.048,0.073,
15,0.019,0.137,0.018,0.002,0.018,0.013,0.03,
16,0.024,0.122,0.011,0.017,0.011,0.05,0.018,
17,0.023,0.038,0.062,0.005,0.062,0.042,0.052,
18,0.016,0.338,0.048,0.007,0.048,0.054,0.038,
19,0.017,0.129,0.037,0.004,0.037,0.029,0.039,
20,0.024,0.13,0.063,0.003,0.063,0.026,0.066,
21,0.033,0.191,0.029,0.006,0.029,0.035,0.033,
22,0.031,0.284,0.037,0.007,0.037,0.016,0.032,
23,0.016,0.149,0.032,0.006,0.032,0.027,0.024,
24,0.017,0.128,0.006,0.003,0.006,0.039,0.011,
25,0.028,0.807,0.082,0.019,0.082,0.053,0.099,
26,0.052,0.623,0.119,0.026,0.119,0.1,0.135,
27,0.045,0.574,0.1,0.006,0.1,0.087,0.085,
28,0.046,0.161,0.039,0.008,0.039,0.054,0.037,
29,0.024,0.233,0.05,0.007,0.05,0.038,0.055,
30,0.022,0.274,0.015,0.005,0.015,0.007,0.028,
31,0.01,0.187,0.005,0.002,0.005,0.047,0.016,
32,0.005,0.278,0.032,0.007,0.032,0.011,0.033,
33,0.008,0.058,0.022,0.002,0.022,0.02,0.022,
34,0.029,0.725,0.079,0.011,0.079,0.058,0.077,
35,0.053,0.17,0.018,0.008,0.018,0.012,0.024,
36,0.032,0.336,0.047,0.009,0.047,0.028,0.056,
37,0.014,0.979,0.054,0.015,0.054,0.049,0.063,
38,0.019,0.404,0.031,0.012,0.031,0.056,0.038,
39,0.027,0.123,0.048,0.002,0.048,0.039,0.04,
40,0.01,0.105,0.033,0.003,0.033,0.046,0.037,
41,0.009,0.293,0.027,0.007,0.027,0.027,0.035,
42,0.006,0.213,0.037,0.003,0.037,0.019,0.031,
43,0.004,0.149,0.041,0.007,0.041,0.028,0.04,
44,0.009,0.582,0.067,0.013,0.067,0.037,0.052,
45,0.007,0.25,0.027,0.005,0.027,0.008,0.027,
46,0.01,0.315,0.062,0.009,0.062,0.027,0.06,
47,0.008,0.369,0.068,0.009,0.068,0.034,0.072,
48,0.017,0.292,0.052,0.007,0.052,0.046,0.051,
49,0.007,0.386,0.048,0.005,0.048,0.036,0.044,
50,0.003,0.186,0.01,0.005,0.01,0.012,0.012,
51,0.002,0.504,0.071,0.008,0.071,0.042,0.06,
52,0.002,0.09,0.009,0.003,0.009,0.009,0.008,
53,0.002,0.071,0.014,0.001,0.014,0.023,0.017,
54,0.001,0.068,0.011,0.002,0.011,0.019,0.012,
55,0.0,0.06,0.012,0.002,0.012,0.032,0.017,
56,0.001,0.053,0.006,0.002,0.006,0.012,0.006,
57,0.0,0.085,0.002,0.003,0.002,0.002,0.002,
58,0.001,0.078,0.005,0.003,0.005,0.011,0.006,
59,0.001,0.045,0.003,0.003,0.003,0.012,0.004,
60,0.001,0.054,0.005,0.003,0.005,0.019,0.006,
61,0.0,0.058,0.004,0.003,0.004,0.018,0.004,
62,0.001,0.054,0.006,0.002,0.006,0.019,0.006,
63,0.0,0.086,0.006,0.003,0.006,0.012,0.005,
64,0.0,0.073,0.004,0.003,0.004,0.015,0.005,
65,0.0,0.091,0.003,0.003,0.003,0.009,0.003,
66,0.0,0.081,0.005,0.003,0.005,0.009,0.005,
67,0.0,0.084,0.006,0.003,0.006,0.012,0.006,
68,0.0,0.089,0.005,0.003,0.005,0.01,0.005,
69,0.0,0.068,0.007,0.003,0.007,0.011,0.006,
70,0.001,0.088,0.006,0.004,0.006,0.014,0.006,
71,0.0,0.084,0.006,0.002,0.006,0.014,0.007,
72,0.0,0.071,0.007,0.003,0.007,0.018,0.007,
73,0.0,0.072,0.005,0.003,0.005,0.014,0.005,
74,0.0,0.101,0.005,0.002,0.005,0.018,0.006,
75,0.0,0.091,0.005,0.003,0.005,0.009,0.005,
76,0.0,0.095,0.006,0.004,0.006,0.013,0.006,
77,0.0,0.071,0.007,0.003,0.007,0.016,0.007,
78,0.0,0.072,0.006,0.002,0.006,0.015,0.007,
79,0.0,0.091,0.007,0.003,0.007,0.01,0.007,
80,0.0,0.089,0.006,0.003,0.006,0.011,0.006,
81,0.0,0.121,0.006,0.003,0.006,0.012,0.006,
82,0.0,0.099,0.005,0.003,0.005,0.014,0.006,
83,0.0,0.08,0.003,0.004,0.003,0.017,0.005,
84,0.0,0.087,0.004,0.003,0.004,0.011,0.004,
85,0.0,0.086,0.003,0.003,0.003,0.011,0.004,
86,0.0,0.078,0.004,0.004,0.004,0.012,0.005,
87,0.0,0.085,0.007,0.004,0.007,0.012,0.007,
88,0.0,0.079,0.006,0.003,0.006,0.009,0.005,
89,0.0,0.093,0.004,0.004,0.004,0.015,0.004,
90,0.0,0.081,0.005,0.003,0.005,0.012,0.005,
91,0.0,0.084,0.005,0.003,0.005,0.016,0.006,
92,0.0,0.067,0.004,0.003,0.004,0.012,0.005,
93,0.0,0.054,0.006,0.003,0.006,0.013,0.006,
94,0.0,0.06,0.003,0.003,0.003,0.011,0.004,
95,0.0,0.083,0.006,0.003,0.006,0.009,0.006,
96,0.0,0.078,0.008,0.002,0.008,0.011,0.008,
97,0.0,0.066,0.006,0.003,0.006,0.006,0.006,
98,0.0,0.077,0.006,0.003,0.006,0.014,0.006,
99,0.0,0.079,0.005,0.002,0.005,0.003,0.004,"[0.005, 0.012, 0.03, 0.008, 0.068, 0.013, 0.006, 0.017, 0.03, 0.055]"
