epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.097,0.1,0.014,0.015,0.014,0.043,0.036,
1,0.185,0.213,0.043,0.022,0.043,0.03,0.057,
2,0.091,0.182,0.028,0.008,0.028,0.009,0.054,
3,0.117,0.129,0.058,0.006,0.058,0.026,0.046,
4,0.137,0.178,0.015,0.009,0.015,0.014,0.014,
5,0.169,0.173,0.03,0.009,0.03,0.023,0.024,
6,0.134,0.682,0.028,0.024,0.028,0.011,0.043,
7,0.215,0.433,0.073,0.005,0.073,0.042,0.099,
8,0.131,0.19,0.028,0.004,0.028,0.014,0.039,
9,0.016,0.405,0.065,0.002,0.065,0.034,0.071,
10,0.026,0.527,0.057,0.006,0.057,0.039,0.06,
11,0.043,0.249,0.01,0.002,0.01,0.019,0.027,
12,0.176,0.582,0.06,0.014,0.06,0.015,0.082,
13,0.169,0.351,0.042,0.009,0.042,0.013,0.035,
14,0.032,0.376,0.013,0.015,0.013,0.024,0.018,
15,0.185,0.148,0.004,0.005,0.004,0.016,0.012,
16,0.27,0.938,0.071,0.005,0.071,0.054,0.104,
17,0.234,0.437,0.051,0.008,0.051,0.05,0.036,
18,0.225,0.228,0.008,0.005,0.008,0.031,0.01,
19,0.151,0.107,0.04,0.001,0.04,0.009,0.063,
20,0.237,0.295,0.008,0.004,0.008,0.035,0.023,
21,0.17,0.155,0.027,0.007,0.027,0.009,0.042,
22,0.152,0.241,0.046,0.003,0.046,0.017,0.033,
23,0.093,0.509,0.052,0.006,0.052,0.046,0.038,
24,0.081,0.382,0.044,0.006,0.044,0.026,0.019,
25,0.066,0.152,0.002,0.004,0.002,0.01,0.006,
26,0.172,0.341,0.021,0.005,0.021,0.051,0.022,
27,0.067,0.361,0.067,0.005,0.067,0.037,0.059,
28,0.096,0.046,0.035,0.004,0.035,0.014,0.026,
29,0.229,0.07,0.048,0.014,0.048,0.019,0.057,
30,0.201,0.089,0.06,0.006,0.06,0.025,0.062,
31,0.101,0.587,0.08,0.01,0.08,0.034,0.079,
32,0.098,0.092,0.017,0.009,0.017,0.004,0.021,
