epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,2.082+-0.165,2.334+-0.638,0.287+-0.099,0.813+-0.113,0.287+-0.099,0.249+-0.063,0.247+-0.083
1,2.029+-0.335,1.778+-0.29,0.462+-0.089,0.917+-0.031,0.462+-0.089,0.34+-0.02,0.455+-0.071
2,1.968+-0.366,2.578+-0.545,0.348+-0.052,0.873+-0.056,0.348+-0.052,0.32+-0.029,0.314+-0.072
3,1.987+-0.495,2.982+-0.807,0.294+-0.084,0.866+-0.045,0.294+-0.084,0.274+-0.029,0.253+-0.082
4,2.166+-0.37,2.942+-0.436,0.326+-0.012,0.898+-0.008,0.326+-0.012,0.28+-0.021,0.297+-0.06
5,2.259+-0.445,2.691+-0.356,0.379+-0.092,0.899+-0.031,0.379+-0.092,0.327+-0.046,0.34+-0.141
6,1.931+-0.288,2.325+-0.292,0.394+-0.086,0.902+-0.049,0.394+-0.086,0.341+-0.057,0.423+-0.087
7,1.869+-0.251,2.746+-0.41,0.35+-0.066,0.905+-0.022,0.35+-0.066,0.323+-0.021,0.335+-0.05
8,1.828+-0.169,2.353+-0.611,0.439+-0.062,0.929+-0.046,0.439+-0.062,0.364+-0.034,0.409+-0.096
9,1.905+-0.088,2.8+-0.965,0.431+-0.029,0.886+-0.086,0.431+-0.029,0.365+-0.015,0.412+-0.047
10,2.074+-0.071,2.496+-0.47,0.406+-0.048,0.916+-0.058,0.406+-0.048,0.341+-0.013,0.417+-0.053
11,1.725+-0.055,2.644+-0.304,0.379+-0.034,0.918+-0.018,0.379+-0.034,0.345+-0.028,0.391+-0.042
12,1.591+-0.136,2.059+-0.018,0.431+-0.007,0.948+-0.015,0.431+-0.007,0.396+-0.012,0.453+-0.04
13,1.489+-0.317,2.593+-0.155,0.38+-0.056,0.939+-0.014,0.38+-0.056,0.318+-0.008,0.345+-0.078
14,1.596+-0.398,2.251+-0.28,0.399+-0.068,0.929+-0.015,0.399+-0.068,0.374+-0.036,0.387+-0.11
15,1.368+-0.371,2.245+-0.652,0.396+-0.064,0.928+-0.051,0.396+-0.064,0.358+-0.051,0.377+-0.104
16,1.087+-0.225,1.979+-0.316,0.415+-0.065,0.95+-0.014,0.415+-0.065,0.379+-0.043,0.434+-0.056
17,1.23+-0.159,2.729+-0.648,0.357+-0.063,0.884+-0.055,0.357+-0.063,0.35+-0.038,0.329+-0.044
18,1.317+-0.269,2.401+-0.638,0.403+-0.139,0.941+-0.016,0.403+-0.139,0.355+-0.087,0.409+-0.128
19,1.44+-0.126,2.614+-0.84,0.38+-0.11,0.898+-0.069,0.38+-0.11,0.339+-0.065,0.375+-0.108
20,1.4+-0.113,2.444+-0.561,0.432+-0.047,0.91+-0.052,0.432+-0.047,0.365+-0.033,0.407+-0.061
21,1.361+-0.137,2.58+-0.734,0.415+-0.052,0.916+-0.06,0.415+-0.052,0.373+-0.034,0.403+-0.076
22,1.334+-0.194,2.32+-0.559,0.396+-0.091,0.934+-0.035,0.396+-0.091,0.353+-0.038,0.379+-0.085
23,1.193+-0.203,2.411+-0.652,0.425+-0.057,0.921+-0.04,0.425+-0.057,0.381+-0.046,0.413+-0.067
24,1.3+-0.257,2.182+-0.696,0.487+-0.083,0.943+-0.03,0.487+-0.083,0.39+-0.077,0.457+-0.118
25,1.287+-0.209,2.186+-0.439,0.456+-0.044,0.937+-0.018,0.456+-0.044,0.375+-0.027,0.452+-0.079
26,1.396+-0.216,2.932+-0.747,0.344+-0.065,0.918+-0.045,0.344+-0.065,0.324+-0.051,0.335+-0.066
27,1.506+-0.304,2.465+-0.451,0.443+-0.059,0.94+-0.02,0.443+-0.059,0.344+-0.04,0.417+-0.055
28,1.673+-0.193,2.727+-0.703,0.417+-0.123,0.917+-0.068,0.417+-0.123,0.353+-0.086,0.405+-0.129
29,1.469+-0.325,3.025+-0.741,0.333+-0.094,0.913+-0.034,0.333+-0.094,0.34+-0.033,0.347+-0.081
30,1.398+-0.326,2.218+-0.335,0.454+-0.032,0.952+-0.008,0.454+-0.032,0.385+-0.01,0.462+-0.017
31,1.285+-0.302,2.269+-0.437,0.446+-0.057,0.95+-0.012,0.446+-0.057,0.372+-0.03,0.398+-0.078
32,1.405+-0.379,2.442+-0.489,0.411+-0.049,0.954+-0.017,0.411+-0.049,0.373+-0.043,0.437+-0.041
