epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,2.773,2.37,0.474,0.941,0.474,0.412,0.467,
1,2.064,2.716,0.482,0.907,0.482,0.399,0.466,
2,1.795,2.503,0.487,0.925,0.487,0.431,0.462,
3,1.883,2.798,0.444,0.93,0.444,0.424,0.43,
4,1.551,2.313,0.493,0.967,0.493,0.464,0.471,
5,1.676,3.124,0.425,0.928,0.425,0.412,0.39,
6,1.722,1.992,0.541,0.973,0.541,0.48,0.555,
7,1.52,2.25,0.463,0.97,0.463,0.455,0.459,
8,1.482,2.039,0.557,0.971,0.557,0.51,0.548,
9,1.375,2.146,0.515,0.974,0.515,0.488,0.501,
10,1.354,2.82,0.474,0.949,0.474,0.424,0.462,
11,1.33,2.92,0.472,0.94,0.472,0.449,0.436,
12,1.253,2.501,0.465,0.958,0.465,0.459,0.468,
13,1.263,2.441,0.512,0.957,0.512,0.446,0.497,
14,1.427,3.252,0.485,0.943,0.485,0.442,0.447,
15,1.487,2.432,0.5,0.962,0.5,0.473,0.512,
16,1.202,2.242,0.523,0.974,0.523,0.491,0.502,
17,1.261,2.091,0.562,0.972,0.562,0.518,0.555,
18,1.189,2.697,0.485,0.956,0.485,0.465,0.471,
19,1.651,3.076,0.464,0.936,0.464,0.446,0.451,
20,1.44,2.171,0.544,0.965,0.544,0.499,0.558,
21,1.367,2.544,0.524,0.948,0.524,0.459,0.519,
22,1.147,2.585,0.477,0.959,0.477,0.454,0.489,
23,1.201,1.749,0.596,0.98,0.596,0.53,0.595,
24,1.145,2.794,0.552,0.94,0.552,0.469,0.527,
25,1.11,2.253,0.546,0.966,0.546,0.498,0.525,
26,1.304,2.458,0.517,0.965,0.517,0.486,0.508,
27,1.079,2.651,0.525,0.961,0.525,0.474,0.516,
28,0.984,2.077,0.545,0.971,0.545,0.505,0.541,
29,1.057,2.108,0.546,0.972,0.546,0.509,0.553,
30,1.004,3.168,0.457,0.957,0.457,0.441,0.43,
31,1.069,2.246,0.58,0.98,0.58,0.519,0.539,
32,1.009,2.242,0.581,0.971,0.581,0.517,0.552,
33,0.946,2.4,0.509,0.967,0.509,0.49,0.519,
34,0.864,2.704,0.519,0.952,0.519,0.51,0.482,
35,0.915,1.954,0.563,0.976,0.563,0.523,0.563,
36,0.957,2.398,0.551,0.965,0.551,0.501,0.548,
37,1.075,2.245,0.563,0.971,0.563,0.516,0.558,
38,1.033,2.405,0.527,0.968,0.527,0.494,0.506,
39,1.068,2.587,0.524,0.948,0.524,0.478,0.521,
40,1.014,2.51,0.526,0.956,0.526,0.489,0.508,
41,0.972,2.662,0.497,0.957,0.497,0.478,0.489,
42,0.987,2.17,0.558,0.972,0.558,0.501,0.535,
43,0.961,2.198,0.548,0.971,0.548,0.505,0.53,
44,1.05,2.705,0.515,0.96,0.515,0.469,0.514,
45,1.028,2.582,0.561,0.958,0.561,0.485,0.558,
46,1.007,2.351,0.538,0.963,0.538,0.497,0.527,
47,1.013,2.583,0.523,0.965,0.523,0.481,0.508,
48,1.002,2.149,0.56,0.976,0.56,0.516,0.555,
49,0.923,2.013,0.593,0.976,0.593,0.525,0.59,
50,0.901,2.592,0.495,0.968,0.495,0.474,0.484,
51,0.911,1.969,0.57,0.981,0.57,0.537,0.562,
52,0.947,2.666,0.561,0.937,0.561,0.519,0.532,
53,1.029,1.991,0.565,0.977,0.565,0.53,0.567,
54,0.877,2.849,0.503,0.961,0.503,0.474,0.503,
55,0.924,2.387,0.509,0.97,0.509,0.5,0.495,
56,0.893,2.519,0.509,0.966,0.509,0.494,0.493,
57,0.937,2.29,0.514,0.975,0.514,0.504,0.499,
58,0.894,2.126,0.545,0.976,0.545,0.509,0.55,
59,0.852,2.224,0.568,0.977,0.568,0.523,0.556,
60,0.751,3.254,0.449,0.953,0.449,0.444,0.394,
61,1.016,2.578,0.547,0.968,0.547,0.502,0.52,
62,0.937,2.218,0.549,0.975,0.549,0.52,0.545,
63,0.783,2.323,0.527,0.971,0.527,0.502,0.521,
64,1.023,2.39,0.568,0.971,0.568,0.514,0.556,
65,1.032,2.516,0.526,0.973,0.526,0.49,0.517,
66,0.991,2.311,0.566,0.971,0.566,0.51,0.56,
67,0.936,2.207,0.578,0.98,0.578,0.513,0.564,
68,0.956,2.315,0.564,0.97,0.564,0.497,0.565,
