epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,2.034,1.982,0.29,0.808,0.29,0.273,0.303,
1,1.152,1.196,0.571,0.975,0.571,0.541,0.578,
2,0.727,1.088,0.598,0.981,0.598,0.562,0.606,
3,0.559,0.95,0.648,0.988,0.648,0.614,0.652,
4,0.46,0.867,0.667,0.991,0.667,0.627,0.672,
5,0.365,0.795,0.693,0.992,0.693,0.653,0.695,
6,0.303,0.773,0.704,0.992,0.704,0.666,0.705,
7,0.257,0.754,0.712,0.993,0.712,0.66,0.714,
8,0.222,0.722,0.727,0.993,0.727,0.675,0.727,
9,0.193,0.709,0.727,0.993,0.727,0.669,0.727,
10,0.16,0.714,0.731,0.992,0.731,0.674,0.73,
11,0.132,0.723,0.731,0.992,0.731,0.669,0.73,
12,0.114,0.723,0.739,0.993,0.739,0.669,0.737,
13,0.099,0.717,0.741,0.992,0.741,0.672,0.74,
14,0.087,0.726,0.744,0.993,0.744,0.674,0.742,
15,0.074,0.733,0.746,0.992,0.746,0.675,0.743,
16,0.062,0.745,0.744,0.992,0.744,0.669,0.742,
17,0.052,0.761,0.745,0.992,0.745,0.674,0.743,
18,0.046,0.762,0.749,0.992,0.749,0.678,0.746,
19,0.038,0.77,0.749,0.992,0.749,0.677,0.746,
20,0.033,0.79,0.75,0.992,0.75,0.673,0.746,
21,0.028,0.792,0.749,0.992,0.749,0.678,0.747,
22,0.026,0.801,0.752,0.992,0.752,0.676,0.748,
23,0.023,0.817,0.753,0.991,0.753,0.679,0.749,
24,0.021,0.814,0.753,0.992,0.753,0.681,0.75,
25,0.017,0.831,0.752,0.992,0.752,0.673,0.749,
26,0.017,0.85,0.752,0.992,0.752,0.674,0.748,
27,0.016,0.848,0.752,0.991,0.752,0.673,0.748,
28,0.014,0.855,0.754,0.991,0.754,0.673,0.749,
29,0.012,0.859,0.753,0.991,0.753,0.672,0.75,
30,0.01,0.87,0.755,0.992,0.755,0.676,0.751,
31,0.01,0.87,0.755,0.991,0.755,0.672,0.751,
32,0.009,0.881,0.751,0.991,0.751,0.673,0.748,
33,0.009,0.879,0.751,0.991,0.751,0.674,0.748,
34,0.008,0.88,0.754,0.991,0.754,0.675,0.75,
35,0.008,0.886,0.753,0.991,0.753,0.671,0.749,
36,0.008,0.9,0.751,0.991,0.751,0.671,0.748,
37,0.007,0.903,0.753,0.991,0.753,0.675,0.75,
38,0.007,0.906,0.755,0.991,0.755,0.673,0.751,
39,0.006,0.915,0.755,0.99,0.755,0.669,0.75,
40,0.007,0.919,0.754,0.991,0.754,0.676,0.749,
41,0.005,0.916,0.754,0.991,0.754,0.677,0.751,
42,0.005,0.92,0.754,0.991,0.754,0.671,0.75,
43,0.005,0.939,0.752,0.99,0.752,0.67,0.747,
44,0.005,0.946,0.752,0.99,0.752,0.669,0.747,
45,0.004,0.943,0.751,0.99,0.751,0.672,0.747,
46,0.004,0.938,0.753,0.99,0.753,0.672,0.749,
47,0.004,0.945,0.753,0.991,0.753,0.669,0.749,
48,0.004,0.944,0.755,0.991,0.755,0.674,0.751,
49,0.004,0.948,0.756,0.991,0.756,0.674,0.752,
50,0.004,0.959,0.753,0.99,0.753,0.669,0.749,
51,0.003,0.958,0.754,0.991,0.754,0.672,0.75,
52,0.003,0.965,0.754,0.991,0.754,0.674,0.75,
53,0.003,0.967,0.752,0.99,0.752,0.674,0.749,
54,0.003,0.973,0.753,0.99,0.753,0.673,0.75,
