epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,1.229,1.203,0.552,0.97,0.552,0.498,0.562,
1,0.733,1.069,0.606,0.977,0.606,0.531,0.615,
2,0.644,1.201,0.557,0.973,0.557,0.516,0.56,
3,0.59,1.163,0.574,0.975,0.574,0.506,0.585,
4,0.553,1.071,0.609,0.979,0.609,0.538,0.619,
5,0.533,1.09,0.604,0.978,0.604,0.536,0.606,
6,0.51,1.154,0.592,0.98,0.592,0.533,0.593,
7,0.508,1.237,0.561,0.974,0.561,0.511,0.562,
8,0.492,1.051,0.628,0.982,0.628,0.553,0.632,
9,0.479,1.087,0.626,0.982,0.626,0.56,0.62,
10,0.454,1.057,0.625,0.983,0.625,0.549,0.628,
11,0.429,1.131,0.607,0.98,0.607,0.533,0.615,
12,0.415,1.144,0.599,0.982,0.599,0.534,0.605,
13,0.426,0.989,0.655,0.986,0.655,0.573,0.657,
14,0.432,1.115,0.609,0.982,0.609,0.548,0.616,
15,0.426,1.147,0.598,0.981,0.598,0.535,0.607,
16,0.4,1.101,0.622,0.981,0.622,0.55,0.631,
17,0.404,1.113,0.613,0.98,0.613,0.546,0.614,
18,0.398,1.057,0.643,0.984,0.643,0.563,0.65,
19,0.391,1.087,0.627,0.983,0.627,0.551,0.626,
20,0.371,1.111,0.62,0.98,0.62,0.551,0.624,
21,0.369,1.168,0.604,0.982,0.604,0.541,0.611,
22,0.378,1.028,0.651,0.984,0.651,0.567,0.655,
23,0.375,1.184,0.605,0.98,0.605,0.534,0.613,
24,0.371,1.066,0.641,0.983,0.641,0.556,0.643,
25,0.361,1.091,0.638,0.982,0.638,0.56,0.639,
26,0.369,1.203,0.61,0.981,0.61,0.541,0.614,
27,0.372,1.071,0.647,0.983,0.647,0.563,0.651,
28,0.378,1.101,0.627,0.984,0.627,0.552,0.629,
29,0.359,1.155,0.609,0.984,0.609,0.542,0.616,
30,0.361,1.127,0.622,0.983,0.622,0.548,0.622,
31,0.363,1.136,0.621,0.981,0.621,0.545,0.624,
32,0.357,1.2,0.599,0.981,0.599,0.537,0.606,
33,0.369,1.169,0.618,0.982,0.618,0.544,0.619,
34,0.364,1.162,0.626,0.983,0.626,0.551,0.63,
35,0.358,1.179,0.613,0.983,0.613,0.542,0.616,
36,0.368,1.187,0.614,0.982,0.614,0.545,0.618,
37,0.367,1.078,0.643,0.984,0.643,0.56,0.647,
38,0.355,1.159,0.617,0.982,0.617,0.544,0.624,
39,0.336,1.157,0.614,0.983,0.614,0.546,0.617,
40,0.367,1.133,0.628,0.983,0.628,0.551,0.634,
41,0.336,1.091,0.637,0.983,0.637,0.558,0.641,
42,0.329,1.142,0.629,0.982,0.629,0.551,0.633,
43,0.319,1.153,0.621,0.983,0.621,0.547,0.624,
44,0.318,1.123,0.639,0.983,0.639,0.554,0.639,
45,0.337,1.124,0.637,0.984,0.637,0.554,0.642,
46,0.33,1.15,0.622,0.983,0.622,0.544,0.627,
47,0.328,1.108,0.635,0.984,0.635,0.557,0.64,
48,0.34,1.141,0.633,0.983,0.633,0.552,0.639,
49,0.338,1.235,0.6,0.982,0.6,0.537,0.603,
50,0.343,1.176,0.625,0.983,0.625,0.547,0.624,
51,0.319,1.111,0.645,0.984,0.645,0.566,0.646,
