epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,1.328+-0.018,1.193+-0.047,0.55+-0.025,0.973+-0.003,0.55+-0.025,0.514+-0.029,0.552+-0.023
1,0.861+-0.012,1.14+-0.013,0.556+-0.012,0.98+-0.001,0.556+-0.012,0.537+-0.012,0.562+-0.014
2,0.735+-0.013,1.018+-0.033,0.607+-0.011,0.985+-0.004,0.607+-0.011,0.56+-0.018,0.616+-0.009
3,0.638+-0.005,0.981+-0.014,0.614+-0.014,0.988+-0.002,0.614+-0.014,0.573+-0.018,0.623+-0.01
4,0.576+-0.011,0.901+-0.05,0.646+-0.02,0.99+-0.0,0.646+-0.02,0.593+-0.022,0.655+-0.016
5,0.533+-0.026,0.914+-0.081,0.636+-0.039,0.991+-0.002,0.636+-0.039,0.6+-0.021,0.642+-0.042
6,0.476+-0.018,0.882+-0.039,0.645+-0.018,0.993+-0.001,0.645+-0.018,0.618+-0.008,0.648+-0.018
7,0.442+-0.018,0.859+-0.043,0.668+-0.009,0.991+-0.002,0.668+-0.009,0.631+-0.005,0.668+-0.013
8,0.402+-0.019,0.849+-0.115,0.658+-0.043,0.993+-0.002,0.658+-0.043,0.619+-0.026,0.663+-0.042
9,0.381+-0.014,0.831+-0.062,0.665+-0.026,0.993+-0.001,0.665+-0.026,0.634+-0.015,0.668+-0.027
10,0.358+-0.015,0.845+-0.082,0.671+-0.026,0.992+-0.001,0.671+-0.026,0.635+-0.015,0.672+-0.027
11,0.333+-0.012,0.915+-0.125,0.645+-0.04,0.991+-0.004,0.645+-0.04,0.605+-0.055,0.634+-0.06
12,0.313+-0.006,0.771+-0.071,0.705+-0.028,0.993+-0.002,0.705+-0.028,0.651+-0.024,0.704+-0.026
13,0.291+-0.023,0.829+-0.072,0.684+-0.027,0.992+-0.002,0.684+-0.027,0.62+-0.041,0.69+-0.024
14,0.273+-0.002,0.78+-0.028,0.696+-0.017,0.993+-0.001,0.696+-0.017,0.649+-0.01,0.697+-0.017
15,0.242+-0.008,0.875+-0.166,0.675+-0.039,0.99+-0.004,0.675+-0.039,0.629+-0.022,0.676+-0.042
16,0.241+-0.003,0.786+-0.032,0.703+-0.004,0.992+-0.001,0.703+-0.004,0.653+-0.021,0.705+-0.004
17,0.22+-0.007,0.857+-0.041,0.7+-0.012,0.992+-0.002,0.7+-0.012,0.659+-0.012,0.7+-0.011
18,0.209+-0.009,0.842+-0.055,0.689+-0.017,0.992+-0.002,0.689+-0.017,0.642+-0.001,0.692+-0.011
19,0.198+-0.016,0.846+-0.063,0.693+-0.015,0.991+-0.002,0.693+-0.015,0.647+-0.018,0.694+-0.017
20,0.178+-0.001,0.848+-0.128,0.695+-0.039,0.99+-0.001,0.695+-0.039,0.649+-0.021,0.696+-0.038
21,0.172+-0.001,0.844+-0.038,0.703+-0.009,0.992+-0.003,0.703+-0.009,0.653+-0.006,0.703+-0.006
22,0.15+-0.014,0.879+-0.104,0.695+-0.036,0.99+-0.004,0.695+-0.036,0.645+-0.034,0.692+-0.043
23,0.142+-0.007,0.855+-0.076,0.711+-0.019,0.991+-0.002,0.711+-0.019,0.656+-0.008,0.713+-0.017
24,0.136+-0.004,0.954+-0.105,0.688+-0.017,0.991+-0.002,0.688+-0.017,0.641+-0.007,0.685+-0.022
25,0.126+-0.013,0.978+-0.058,0.677+-0.03,0.991+-0.002,0.677+-0.03,0.632+-0.004,0.674+-0.027
26,0.111+-0.005,0.838+-0.018,0.728+-0.003,0.991+-0.001,0.728+-0.003,0.668+-0.006,0.726+-0.003
27,0.108+-0.009,1.239+-0.331,0.637+-0.039,0.987+-0.004,0.637+-0.039,0.602+-0.021,0.639+-0.04
28,0.1+-0.009,0.98+-0.084,0.694+-0.019,0.991+-0.002,0.694+-0.019,0.649+-0.01,0.695+-0.022
29,0.085+-0.008,0.997+-0.085,0.695+-0.029,0.988+-0.004,0.695+-0.029,0.638+-0.034,0.689+-0.032
30,0.08+-0.005,0.949+-0.08,0.704+-0.017,0.991+-0.002,0.704+-0.017,0.642+-0.017,0.702+-0.018
31,0.071+-0.004,0.902+-0.038,0.719+-0.009,0.99+-0.003,0.719+-0.009,0.657+-0.003,0.717+-0.007
32,0.06+-0.004,1.21+-0.462,0.674+-0.079,0.983+-0.015,0.674+-0.079,0.627+-0.038,0.657+-0.103
33,0.056+-0.004,0.961+-0.015,0.719+-0.006,0.988+-0.001,0.719+-0.006,0.647+-0.007,0.718+-0.005
34,0.056+-0.003,0.964+-0.025,0.719+-0.011,0.99+-0.001,0.719+-0.011,0.644+-0.006,0.714+-0.008
35,0.044+-0.005,1.002+-0.115,0.725+-0.009,0.989+-0.004,0.725+-0.009,0.652+-0.016,0.72+-0.014
36,0.04+-0.001,1.101+-0.178,0.698+-0.031,0.99+-0.002,0.698+-0.031,0.644+-0.013,0.695+-0.035
37,0.042+-0.002,1.12+-0.144,0.709+-0.014,0.99+-0.003,0.709+-0.014,0.649+-0.01,0.707+-0.015
38,0.039+-0.004,1.069+-0.009,0.716+-0.005,0.987+-0.002,0.716+-0.005,0.639+-0.014,0.71+-0.003
39,0.032+-0.006,1.131+-0.164,0.701+-0.024,0.991+-0.001,0.701+-0.024,0.65+-0.019,0.699+-0.025
40,0.029+-0.006,1.067+-0.065,0.719+-0.005,0.989+-0.003,0.719+-0.005,0.649+-0.006,0.715+-0.004
41,0.022+-0.0,1.135+-0.219,0.702+-0.046,0.987+-0.006,0.702+-0.046,0.652+-0.028,0.697+-0.05
42,0.024+-0.005,1.071+-0.023,0.721+-0.01,0.988+-0.002,0.721+-0.01,0.659+-0.007,0.719+-0.009
43,0.023+-0.004,1.131+-0.111,0.716+-0.01,0.99+-0.002,0.716+-0.01,0.662+-0.003,0.717+-0.007
44,0.018+-0.002,1.092+-0.033,0.713+-0.004,0.99+-0.003,0.713+-0.004,0.647+-0.004,0.71+-0.003
45,0.015+-0.003,1.053+-0.031,0.728+-0.005,0.99+-0.002,0.728+-0.005,0.659+-0.006,0.726+-0.005
46,0.013+-0.002,1.068+-0.047,0.732+-0.003,0.989+-0.003,0.732+-0.003,0.662+-0.006,0.729+-0.004
47,0.014+-0.003,1.287+-0.315,0.709+-0.019,0.988+-0.002,0.709+-0.019,0.648+-0.006,0.705+-0.021
48,0.012+-0.002,1.135+-0.087,0.728+-0.014,0.989+-0.002,0.728+-0.014,0.651+-0.01,0.723+-0.014
49,0.018+-0.01,1.208+-0.12,0.706+-0.034,0.989+-0.003,0.706+-0.034,0.64+-0.031,0.7+-0.037
50,0.012+-0.001,1.102+-0.055,0.727+-0.008,0.989+-0.003,0.727+-0.008,0.657+-0.004,0.725+-0.008
51,0.01+-0.001,1.173+-0.034,0.724+-0.006,0.988+-0.003,0.724+-0.006,0.651+-0.006,0.719+-0.006
52,0.008+-0.001,1.124+-0.074,0.731+-0.006,0.99+-0.003,0.731+-0.006,0.659+-0.005,0.729+-0.006
53,0.008+-0.002,1.158+-0.083,0.724+-0.015,0.99+-0.001,0.724+-0.015,0.655+-0.01,0.721+-0.012
54,0.01+-0.003,1.175+-0.107,0.718+-0.022,0.988+-0.002,0.718+-0.022,0.654+-0.013,0.714+-0.021
55,0.01+-0.003,1.377+-0.386,0.703+-0.036,0.988+-0.003,0.703+-0.036,0.648+-0.022,0.697+-0.043
56,0.014+-0.003,1.324+-0.169,0.689+-0.032,0.984+-0.008,0.689+-0.032,0.631+-0.025,0.685+-0.034
57,0.012+-0.004,1.26+-0.072,0.711+-0.01,0.988+-0.002,0.711+-0.01,0.649+-0.006,0.709+-0.009
58,0.01+-0.005,1.168+-0.072,0.724+-0.012,0.988+-0.003,0.724+-0.012,0.66+-0.011,0.721+-0.013
59,0.01+-0.004,1.337+-0.169,0.711+-0.008,0.987+-0.002,0.711+-0.008,0.649+-0.019,0.707+-0.01
60,0.007+-0.0,1.262+-0.106,0.709+-0.02,0.988+-0.004,0.709+-0.02,0.656+-0.006,0.708+-0.02
61,0.005+-0.0,1.158+-0.048,0.725+-0.009,0.989+-0.002,0.725+-0.009,0.653+-0.021,0.723+-0.009
62,0.006+-0.002,1.225+-0.186,0.714+-0.027,0.987+-0.004,0.714+-0.027,0.657+-0.02,0.713+-0.026
63,0.005+-0.001,1.175+-0.025,0.73+-0.001,0.988+-0.003,0.73+-0.001,0.659+-0.002,0.727+-0.001
64,0.004+-0.001,1.153+-0.064,0.734+-0.007,0.989+-0.001,0.734+-0.007,0.668+-0.005,0.732+-0.006
65,0.004+-0.001,1.152+-0.071,0.731+-0.008,0.988+-0.001,0.731+-0.008,0.659+-0.008,0.729+-0.007
66,0.003+-0.0,1.171+-0.027,0.732+-0.006,0.988+-0.003,0.732+-0.006,0.655+-0.006,0.729+-0.006
67,0.003+-0.001,1.19+-0.068,0.731+-0.011,0.989+-0.001,0.731+-0.011,0.662+-0.004,0.729+-0.01
68,0.003+-0.001,1.183+-0.005,0.734+-0.008,0.989+-0.001,0.734+-0.008,0.664+-0.01,0.732+-0.009
69,0.004+-0.001,1.181+-0.033,0.731+-0.008,0.988+-0.002,0.731+-0.008,0.659+-0.007,0.728+-0.007
70,0.003+-0.001,1.178+-0.059,0.733+-0.006,0.988+-0.002,0.733+-0.006,0.658+-0.007,0.731+-0.007
71,0.003+-0.002,1.203+-0.051,0.733+-0.01,0.988+-0.002,0.733+-0.01,0.664+-0.01,0.73+-0.01
72,0.003+-0.0,1.239+-0.03,0.726+-0.005,0.988+-0.001,0.726+-0.005,0.649+-0.004,0.721+-0.005
