epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,1.589+-0.011,2.403+-0.734,0.284+-0.058,0.883+-0.06,0.284+-0.058,0.285+-0.062,0.305+-0.066
1,1.178+-0.006,1.794+-0.19,0.378+-0.018,0.951+-0.002,0.378+-0.018,0.361+-0.038,0.375+-0.018
2,1.059+-0.023,1.357+-0.078,0.475+-0.035,0.969+-0.006,0.475+-0.035,0.434+-0.057,0.471+-0.046
3,0.975+-0.008,1.308+-0.081,0.509+-0.027,0.975+-0.001,0.509+-0.027,0.442+-0.019,0.524+-0.026
4,0.887+-0.058,1.286+-0.186,0.532+-0.045,0.971+-0.01,0.532+-0.045,0.475+-0.056,0.546+-0.038
5,0.815+-0.058,1.303+-0.056,0.512+-0.043,0.972+-0.007,0.512+-0.043,0.488+-0.01,0.513+-0.066
6,0.761+-0.05,1.145+-0.012,0.548+-0.009,0.984+-0.001,0.548+-0.009,0.531+-0.015,0.55+-0.011
7,0.701+-0.048,1.212+-0.104,0.534+-0.033,0.983+-0.005,0.534+-0.033,0.502+-0.028,0.543+-0.023
8,0.648+-0.024,1.177+-0.021,0.543+-0.003,0.986+-0.003,0.543+-0.003,0.523+-0.009,0.546+-0.013
9,0.577+-0.025,1.073+-0.083,0.582+-0.027,0.986+-0.001,0.582+-0.027,0.536+-0.017,0.584+-0.026
10,0.54+-0.036,1.03+-0.027,0.606+-0.025,0.985+-0.003,0.606+-0.025,0.57+-0.004,0.605+-0.025
11,0.479+-0.041,1.173+-0.13,0.576+-0.042,0.983+-0.005,0.576+-0.042,0.534+-0.041,0.578+-0.043
12,0.452+-0.027,1.026+-0.085,0.608+-0.024,0.986+-0.005,0.608+-0.024,0.557+-0.036,0.6+-0.028
13,0.402+-0.009,0.973+-0.075,0.639+-0.027,0.982+-0.004,0.639+-0.027,0.582+-0.011,0.637+-0.024
14,0.372+-0.015,1.055+-0.081,0.618+-0.036,0.981+-0.004,0.618+-0.036,0.555+-0.021,0.617+-0.036
15,0.331+-0.019,1.111+-0.084,0.626+-0.02,0.979+-0.004,0.626+-0.02,0.568+-0.015,0.625+-0.018
16,0.308+-0.049,1.12+-0.046,0.611+-0.014,0.981+-0.003,0.611+-0.014,0.562+-0.002,0.608+-0.015
17,0.283+-0.044,1.064+-0.05,0.636+-0.018,0.98+-0.004,0.636+-0.018,0.56+-0.018,0.634+-0.017
18,0.236+-0.029,1.145+-0.084,0.638+-0.025,0.979+-0.001,0.638+-0.025,0.552+-0.008,0.631+-0.026
19,0.207+-0.039,1.168+-0.042,0.648+-0.001,0.98+-0.001,0.648+-0.001,0.559+-0.009,0.641+-0.003
20,0.173+-0.031,1.209+-0.11,0.637+-0.016,0.981+-0.002,0.637+-0.016,0.552+-0.015,0.634+-0.015
21,0.158+-0.017,1.224+-0.1,0.645+-0.022,0.981+-0.003,0.645+-0.022,0.557+-0.006,0.64+-0.019
22,0.152+-0.015,1.289+-0.023,0.643+-0.005,0.978+-0.004,0.643+-0.005,0.557+-0.01,0.638+-0.003
23,0.131+-0.015,1.373+-0.072,0.618+-0.015,0.981+-0.002,0.618+-0.015,0.538+-0.003,0.611+-0.018
24,0.122+-0.022,1.439+-0.058,0.641+-0.009,0.978+-0.001,0.641+-0.009,0.564+-0.002,0.637+-0.011
25,0.106+-0.031,1.446+-0.006,0.622+-0.012,0.978+-0.002,0.622+-0.012,0.554+-0.01,0.619+-0.013
26,0.099+-0.022,1.466+-0.036,0.641+-0.016,0.98+-0.002,0.641+-0.016,0.555+-0.009,0.635+-0.014
27,0.084+-0.015,1.526+-0.136,0.626+-0.011,0.977+-0.002,0.626+-0.011,0.555+-0.008,0.621+-0.012
28,0.081+-0.017,1.647+-0.207,0.607+-0.023,0.976+-0.001,0.607+-0.023,0.544+-0.026,0.6+-0.028
29,0.078+-0.022,1.613+-0.116,0.63+-0.006,0.974+-0.004,0.63+-0.006,0.54+-0.009,0.624+-0.006
30,0.069+-0.012,1.675+-0.213,0.62+-0.012,0.974+-0.007,0.62+-0.012,0.523+-0.032,0.612+-0.022
31,0.055+-0.018,1.571+-0.092,0.637+-0.007,0.976+-0.006,0.637+-0.007,0.562+-0.003,0.633+-0.008
