epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.012,0.03,0.01,0.001,0.01,0.008,0.009,
1,0.008,0.007,0.005,0.002,0.005,0.006,0.005,
2,0.002,0.019,0.005,0.0,0.005,0.004,0.006,
3,0.005,0.009,0.006,0.0,0.006,0.008,0.006,
4,0.002,0.028,0.009,0.001,0.009,0.01,0.008,
5,0.006,0.012,0.007,0.001,0.007,0.009,0.006,
6,0.003,0.019,0.013,0.001,0.013,0.005,0.012,
7,0.003,0.019,0.005,0.001,0.005,0.007,0.005,
8,0.003,0.018,0.002,0.001,0.002,0.002,0.002,
9,0.003,0.019,0.006,0.001,0.006,0.003,0.006,
10,0.004,0.006,0.008,0.002,0.008,0.002,0.008,
11,0.004,0.008,0.001,0.001,0.001,0.006,0.002,
12,0.004,0.012,0.003,0.001,0.003,0.005,0.002,
13,0.001,0.013,0.002,0.001,0.002,0.002,0.001,
14,0.003,0.014,0.003,0.001,0.003,0.005,0.003,
15,0.003,0.014,0.006,0.001,0.006,0.001,0.006,
16,0.004,0.01,0.006,0.001,0.006,0.002,0.005,
17,0.0,0.006,0.003,0.001,0.003,0.005,0.003,
18,0.002,0.01,0.004,0.001,0.004,0.002,0.004,
19,0.001,0.018,0.006,0.001,0.006,0.003,0.006,
20,0.001,0.006,0.002,0.001,0.002,0.002,0.002,
21,0.001,0.014,0.002,0.001,0.002,0.006,0.002,
22,0.001,0.009,0.002,0.001,0.002,0.006,0.002,
23,0.001,0.016,0.006,0.001,0.006,0.002,0.006,
24,0.001,0.005,0.002,0.001,0.002,0.004,0.003,
25,0.001,0.02,0.004,0.001,0.004,0.004,0.004,
26,0.001,0.005,0.004,0.001,0.004,0.001,0.005,
27,0.001,0.015,0.003,0.001,0.003,0.006,0.003,
28,0.001,0.007,0.006,0.001,0.006,0.004,0.006,
29,0.0,0.015,0.003,0.001,0.003,0.004,0.003,
30,0.001,0.02,0.002,0.002,0.002,0.002,0.002,
31,0.001,0.028,0.003,0.002,0.003,0.003,0.002,
32,0.001,0.03,0.003,0.001,0.003,0.003,0.003,
33,0.0,0.027,0.002,0.001,0.002,0.004,0.002,
34,0.001,0.017,0.003,0.001,0.003,0.001,0.003,
35,0.001,0.014,0.003,0.001,0.003,0.0,0.003,
