epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.067,2.288,0.157,0.572,0.157,0.036,0.053,"[0.0, 0.292, 0.0, 0.006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.065]"
01,1.919,2.270,0.156,0.573,0.156,0.038,0.056,"[0.0, 0.297, 0.0, 0.014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.065]"
02,1.831,2.249,0.155,0.589,0.155,0.041,0.059,"[0.021, 0.31, 0.0, 0.017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.063]"
03,1.730,2.235,0.160,0.588,0.160,0.075,0.070,"[0.133, 0.331, 0.167, 0.014, 0.0, 0.0, 0.007, 0.04, 0.0, 0.063]"
04,1.631,2.224,0.173,0.584,0.173,0.088,0.087,"[0.104, 0.376, 0.122, 0.016, 0.0, 0.0, 0.013, 0.168, 0.0, 0.076]"
05,1.570,2.214,0.188,0.567,0.188,0.111,0.105,"[0.119, 0.431, 0.1, 0.01, 0.017, 0.004, 0.025, 0.247, 0.012, 0.149]"
06,1.470,2.188,0.180,0.605,0.180,0.139,0.128,"[0.102, 0.47, 0.111, 0.02, 0.016, 0.042, 0.046, 0.254, 0.059, 0.271]"
07,1.359,2.153,0.169,0.677,0.169,0.164,0.137,"[0.126, 0.458, 0.143, 0.025, 0.013, 0.111, 0.045, 0.245, 0.06, 0.412]"
08,1.213,2.119,0.156,0.724,0.156,0.165,0.131,"[0.157, 0.407, 0.2, 0.025, 0.015, 0.146, 0.042, 0.235, 0.049, 0.374]"
09,1.140,2.081,0.157,0.761,0.157,0.179,0.136,"[0.186, 0.373, 0.28, 0.044, 0.014, 0.207, 0.037, 0.231, 0.055, 0.366]"
10,1.110,2.028,0.174,0.806,0.174,0.204,0.162,"[0.241, 0.374, 0.359, 0.111, 0.013, 0.261, 0.034, 0.221, 0.084, 0.347]"
11,1.016,1.958,0.202,0.849,0.202,0.239,0.204,"[0.299, 0.402, 0.444, 0.193, 0.011, 0.314, 0.053, 0.225, 0.092, 0.359]"
12,1.027,1.891,0.232,0.883,0.232,0.262,0.246,"[0.332, 0.433, 0.436, 0.273, 0.01, 0.354, 0.081, 0.237, 0.093, 0.373]"
13,0.879,1.818,0.269,0.903,0.269,0.289,0.292,"[0.388, 0.456, 0.478, 0.349, 0.009, 0.388, 0.132, 0.251, 0.104, 0.333]"
14,0.801,1.747,0.308,0.924,0.308,0.306,0.333,"[0.428, 0.48, 0.5, 0.419, 0.003, 0.426, 0.171, 0.266, 0.125, 0.242]"
15,0.784,1.687,0.354,0.934,0.354,0.333,0.374,"[0.447, 0.494, 0.513, 0.496, 0.005, 0.456, 0.207, 0.284, 0.129, 0.294]"
16,0.841,1.622,0.384,0.941,0.384,0.346,0.397,"[0.441, 0.485, 0.541, 0.531, 0.006, 0.474, 0.244, 0.308, 0.138, 0.29]"
17,0.698,1.570,0.411,0.946,0.411,0.335,0.422,"[0.469, 0.503, 0.276, 0.546, 0.007, 0.499, 0.292, 0.333, 0.146, 0.282]"
18,0.686,1.522,0.436,0.951,0.436,0.354,0.447,"[0.467, 0.534, 0.276, 0.551, 0.009, 0.518, 0.341, 0.351, 0.17, 0.329]"
19,0.651,1.483,0.451,0.953,0.451,0.360,0.460,"[0.462, 0.556, 0.276, 0.548, 0.01, 0.523, 0.366, 0.375, 0.181, 0.306]"
20,0.638,1.465,0.457,0.955,0.457,0.357,0.464,"[0.454, 0.565, 0.214, 0.548, 0.01, 0.523, 0.373, 0.395, 0.183, 0.306]"
21,0.532,1.445,0.467,0.956,0.467,0.355,0.471,"[0.449, 0.573, 0.154, 0.555, 0.011, 0.534, 0.377, 0.418, 0.175, 0.306]"
22,0.625,1.431,0.470,0.957,0.470,0.366,0.476,"[0.447, 0.576, 0.222, 0.554, 0.012, 0.527, 0.392, 0.432, 0.166, 0.329]"
23,0.616,1.416,0.479,0.958,0.479,0.370,0.487,"[0.456, 0.583, 0.154, 0.551, 0.013, 0.537, 0.423, 0.442, 0.165, 0.373]"
24,0.628,1.394,0.489,0.960,0.489,0.372,0.500,"[0.468, 0.586, 0.154, 0.545, 0.015, 0.545, 0.466, 0.451, 0.158, 0.329]"
25,0.416,1.383,0.490,0.960,0.490,0.362,0.501,"[0.465, 0.595, 0.08, 0.534, 0.0, 0.527, 0.483, 0.451, 0.154, 0.333]"
26,0.494,1.382,0.481,0.959,0.481,0.354,0.491,"[0.467, 0.589, 0.08, 0.523, 0.0, 0.517, 0.471, 0.441, 0.154, 0.294]"
27,0.454,1.382,0.476,0.959,0.476,0.346,0.486,"[0.465, 0.589, 0.08, 0.519, 0.0, 0.518, 0.463, 0.434, 0.15, 0.242]"
28,0.458,1.382,0.475,0.959,0.475,0.350,0.484,"[0.467, 0.591, 0.08, 0.525, 0.0, 0.528, 0.448, 0.403, 0.163, 0.294]"
