epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.562,6.438,0.300,0.480,0.300,0.098,0.149,"[0.336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.468, 0.0, 0.019, 0.159]"
01,3.778,7.382,0.250,0.406,0.250,0.158,0.135,"[0.315, 0.364, 0.077, 0.0, 0.0, 0.344, 0.0, 0.426, 0.054, 0.0]"
02,2.072,4.543,0.292,0.889,0.292,0.152,0.146,"[0.18, 0.0, 0.435, 0.442, 0.267, 0.052, 0.0, 0.147, 0.0, 0.0]"
03,1.893,3.733,0.375,0.764,0.375,0.271,0.358,"[0.216, 0.005, 0.489, 0.51, 0.211, 0.0, 0.596, 0.367, 0.153, 0.164]"
04,1.877,4.734,0.358,0.853,0.358,0.285,0.332,"[0.121, 0.544, 0.471, 0.182, 0.053, 0.446, 0.343, 0.396, 0.13, 0.164]"
05,1.330,4.883,0.424,0.950,0.424,0.271,0.416,"[0.0, 0.599, 0.435, 0.407, 0.0, 0.351, 0.464, 0.219, 0.136, 0.102]"
06,0.952,5.434,0.501,0.956,0.501,0.264,0.457,"[0.0, 0.213, 0.364, 0.606, 0.0, 0.444, 0.628, 0.084, 0.167, 0.133]"
07,1.161,6.968,0.503,0.942,0.503,0.238,0.431,"[0.0, 0.137, 0.305, 0.623, 0.0, 0.228, 0.633, 0.204, 0.114, 0.133]"
08,1.036,5.605,0.514,0.941,0.514,0.311,0.499,"[0.022, 0.518, 0.316, 0.505, 0.0, 0.38, 0.649, 0.416, 0.137, 0.164]"
09,0.388,7.743,0.427,0.929,0.427,0.299,0.438,"[0.198, 0.606, 0.333, 0.377, 0.0, 0.363, 0.534, 0.29, 0.124, 0.164]"
10,1.166,10.017,0.401,0.947,0.401,0.295,0.395,"[0.309, 0.607, 0.351, 0.482, 0.0, 0.343, 0.278, 0.362, 0.083, 0.133]"
11,1.538,9.603,0.458,0.959,0.458,0.333,0.433,"[0.444, 0.617, 0.353, 0.577, 0.0, 0.387, 0.265, 0.48, 0.069, 0.133]"
12,1.226,7.512,0.545,0.969,0.545,0.373,0.530,"[0.517, 0.574, 0.255, 0.601, 0.0, 0.492, 0.54, 0.527, 0.064, 0.161]"
13,0.432,7.761,0.591,0.970,0.591,0.375,0.566,"[0.545, 0.586, 0.261, 0.617, 0.0, 0.418, 0.681, 0.474, 0.0, 0.161]"
14,0.740,10.058,0.559,0.971,0.559,0.339,0.521,"[0.508, 0.59, 0.28, 0.557, 0.0, 0.292, 0.654, 0.38, 0.0, 0.131]"
15,0.874,10.296,0.565,0.971,0.565,0.365,0.527,"[0.531, 0.61, 0.421, 0.541, 0.0, 0.316, 0.662, 0.385, 0.026, 0.161]"
16,0.587,9.724,0.576,0.967,0.576,0.385,0.545,"[0.548, 0.611, 0.464, 0.537, 0.0, 0.399, 0.683, 0.401, 0.071, 0.131]"
17,0.579,9.879,0.548,0.963,0.548,0.391,0.534,"[0.534, 0.583, 0.462, 0.492, 0.0, 0.492, 0.656, 0.452, 0.105, 0.131]"
18,0.240,11.795,0.494,0.959,0.494,0.372,0.486,"[0.525, 0.565, 0.372, 0.454, 0.0, 0.491, 0.533, 0.478, 0.168, 0.131]"
19,0.478,14.561,0.448,0.952,0.448,0.347,0.431,"[0.53, 0.556, 0.3, 0.419, 0.0, 0.472, 0.39, 0.481, 0.189, 0.131]"
20,0.706,17.367,0.416,0.945,0.416,0.338,0.394,"[0.513, 0.532, 0.381, 0.311, 0.0, 0.45, 0.388, 0.485, 0.191, 0.133]"
21,1.249,16.970,0.423,0.947,0.423,0.353,0.409,"[0.556, 0.55, 0.419, 0.305, 0.0, 0.441, 0.431, 0.509, 0.188, 0.133]"
22,0.363,15.498,0.444,0.954,0.444,0.366,0.455,"[0.472, 0.564, 0.458, 0.361, 0.0, 0.442, 0.524, 0.529, 0.179, 0.133]"
23,0.130,15.396,0.447,0.963,0.447,0.363,0.474,"[0.471, 0.493, 0.364, 0.432, 0.0, 0.447, 0.563, 0.536, 0.162, 0.161]"
24,0.971,15.369,0.485,0.964,0.485,0.372,0.496,"[0.498, 0.387, 0.383, 0.511, 0.0, 0.457, 0.62, 0.524, 0.157, 0.185]"
25,0.527,16.313,0.506,0.962,0.506,0.368,0.495,"[0.469, 0.359, 0.423, 0.529, 0.0, 0.389, 0.644, 0.506, 0.175, 0.185]"
26,1.206,15.450,0.521,0.967,0.521,0.374,0.507,"[0.47, 0.469, 0.407, 0.503, 0.0, 0.379, 0.648, 0.519, 0.185, 0.156]"
27,0.646,15.820,0.526,0.964,0.526,0.373,0.503,"[0.462, 0.558, 0.414, 0.432, 0.0, 0.361, 0.658, 0.535, 0.151, 0.164]"
28,0.687,17.189,0.513,0.961,0.513,0.363,0.484,"[0.5, 0.548, 0.4, 0.372, 0.0, 0.375, 0.652, 0.532, 0.116, 0.131]"
29,0.893,17.449,0.505,0.962,0.505,0.369,0.487,"[0.519, 0.528, 0.444, 0.405, 0.0, 0.408, 0.631, 0.535, 0.087, 0.131]"
30,0.266,17.045,0.509,0.961,0.509,0.382,0.501,"[0.527, 0.537, 0.468, 0.491, 0.0, 0.453, 0.571, 0.534, 0.103, 0.131]"
31,0.330,18.478,0.489,0.957,0.489,0.351,0.475,"[0.53, 0.535, 0.286, 0.518, 0.0, 0.442, 0.471, 0.539, 0.059, 0.131]"
32,0.292,20.575,0.484,0.954,0.484,0.352,0.461,"[0.562, 0.536, 0.293, 0.53, 0.0, 0.475, 0.4, 0.551, 0.037, 0.131]"
33,0.487,21.074,0.489,0.951,0.489,0.343,0.464,"[0.547, 0.529, 0.261, 0.557, 0.0, 0.466, 0.4, 0.534, 0.0, 0.131]"
34,0.232,20.210,0.507,0.952,0.507,0.350,0.491,"[0.512, 0.53, 0.28, 0.573, 0.0, 0.454, 0.481, 0.535, 0.0, 0.133]"
35,0.111,19.352,0.525,0.955,0.525,0.362,0.516,"[0.512, 0.554, 0.32, 0.576, 0.0, 0.438, 0.556, 0.529, 0.0, 0.133]"
36,0.338,19.250,0.540,0.954,0.540,0.364,0.530,"[0.507, 0.557, 0.328, 0.57, 0.0, 0.422, 0.617, 0.513, 0.0, 0.131]"
37,0.228,20.718,0.543,0.952,0.543,0.362,0.524,"[0.505, 0.562, 0.339, 0.532, 0.0, 0.381, 0.644, 0.52, 0.0, 0.133]"
38,0.589,23.925,0.532,0.947,0.532,0.345,0.503,"[0.486, 0.565, 0.351, 0.501, 0.0, 0.314, 0.633, 0.495, 0.0, 0.102]"
