epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.890,1.928,0.278,0.854,0.278,0.217,0.240,"[0.32, 0.057, 0.22, 0.537, 0.052, 0.016, 0.132, 0.389, 0.131, 0.317]"
01,1.211,1.692,0.419,0.927,0.419,0.348,0.391,"[0.366, 0.318, 0.309, 0.597, 0.256, 0.457, 0.241, 0.388, 0.246, 0.298]"
02,1.193,1.709,0.521,0.950,0.521,0.439,0.525,"[0.54, 0.549, 0.507, 0.552, 0.169, 0.352, 0.603, 0.456, 0.345, 0.312]"
03,1.296,2.496,0.390,0.924,0.390,0.353,0.404,"[0.418, 0.426, 0.337, 0.52, 0.185, 0.419, 0.315, 0.354, 0.189, 0.37]"
04,1.190,1.933,0.501,0.966,0.501,0.450,0.507,"[0.482, 0.576, 0.558, 0.517, 0.168, 0.38, 0.541, 0.48, 0.318, 0.481]"
05,1.247,2.811,0.399,0.955,0.399,0.378,0.415,"[0.448, 0.416, 0.531, 0.537, 0.303, 0.366, 0.354, 0.36, 0.28, 0.191]"
06,1.187,2.076,0.455,0.968,0.455,0.410,0.450,"[0.382, 0.587, 0.509, 0.522, 0.255, 0.351, 0.377, 0.417, 0.234, 0.467]"
07,1.203,2.614,0.386,0.961,0.386,0.376,0.380,"[0.566, 0.53, 0.316, 0.178, 0.296, 0.367, 0.485, 0.456, 0.177, 0.392]"
08,1.197,2.440,0.414,0.970,0.414,0.386,0.416,"[0.517, 0.458, 0.462, 0.486, 0.345, 0.338, 0.386, 0.374, 0.204, 0.288]"
09,1.109,2.088,0.471,0.971,0.471,0.420,0.464,"[0.415, 0.486, 0.537, 0.586, 0.278, 0.386, 0.395, 0.506, 0.211, 0.4]"
10,1.077,2.445,0.399,0.956,0.399,0.397,0.385,"[0.401, 0.599, 0.578, 0.295, 0.273, 0.374, 0.363, 0.365, 0.244, 0.475]"
11,0.976,2.018,0.526,0.967,0.526,0.449,0.524,"[0.576, 0.6, 0.336, 0.616, 0.364, 0.435, 0.484, 0.455, 0.209, 0.409]"
12,0.890,2.321,0.475,0.963,0.475,0.412,0.497,"[0.53, 0.623, 0.288, 0.494, 0.283, 0.402, 0.523, 0.412, 0.207, 0.356]"
13,0.863,2.205,0.499,0.964,0.499,0.439,0.492,"[0.376, 0.611, 0.45, 0.624, 0.289, 0.449, 0.361, 0.445, 0.279, 0.504]"
14,0.866,1.905,0.551,0.973,0.551,0.491,0.545,"[0.51, 0.642, 0.667, 0.637, 0.299, 0.334, 0.532, 0.466, 0.305, 0.516]"
15,0.889,2.242,0.448,0.972,0.448,0.439,0.468,"[0.544, 0.616, 0.667, 0.513, 0.242, 0.388, 0.405, 0.448, 0.211, 0.361]"
16,0.894,2.616,0.435,0.965,0.435,0.400,0.434,"[0.546, 0.584, 0.667, 0.568, 0.219, 0.221, 0.349, 0.312, 0.209, 0.329]"
17,0.946,2.323,0.478,0.978,0.478,0.407,0.426,"[0.491, 0.553, 0.579, 0.145, 0.146, 0.405, 0.645, 0.418, 0.234, 0.455]"
18,0.894,3.120,0.385,0.964,0.385,0.355,0.343,"[0.489, 0.418, 0.489, 0.57, 0.222, 0.318, 0.098, 0.367, 0.174, 0.409]"
19,0.858,2.158,0.495,0.975,0.495,0.452,0.447,"[0.583, 0.595, 0.654, 0.174, 0.228, 0.463, 0.611, 0.537, 0.185, 0.49]"
20,0.797,1.986,0.534,0.973,0.534,0.476,0.532,"[0.567, 0.567, 0.531, 0.653, 0.389, 0.456, 0.485, 0.427, 0.23, 0.458]"
21,0.745,2.224,0.487,0.970,0.487,0.449,0.490,"[0.57, 0.626, 0.464, 0.46, 0.257, 0.459, 0.487, 0.46, 0.23, 0.478]"
22,0.559,2.243,0.537,0.964,0.537,0.464,0.531,"[0.433, 0.585, 0.509, 0.627, 0.381, 0.431, 0.514, 0.445, 0.183, 0.531]"
23,0.726,2.123,0.506,0.969,0.506,0.478,0.505,"[0.545, 0.61, 0.627, 0.514, 0.294, 0.43, 0.503, 0.415, 0.29, 0.556]"
24,0.757,2.175,0.521,0.972,0.521,0.462,0.537,"[0.542, 0.513, 0.588, 0.609, 0.226, 0.421, 0.584, 0.497, 0.218, 0.424]"
25,0.694,2.231,0.480,0.970,0.480,0.452,0.475,"[0.573, 0.667, 0.642, 0.561, 0.23, 0.376, 0.362, 0.417, 0.167, 0.523]"
26,0.780,1.917,0.553,0.976,0.553,0.483,0.549,"[0.537, 0.649, 0.533, 0.472, 0.211, 0.495, 0.627, 0.534, 0.279, 0.495]"
27,0.901,3.063,0.405,0.969,0.405,0.391,0.396,"[0.471, 0.623, 0.471, 0.429, 0.259, 0.388, 0.258, 0.373, 0.18, 0.455]"
28,0.732,2.033,0.575,0.977,0.575,0.473,0.566,"[0.541, 0.548, 0.627, 0.619, 0.0, 0.522, 0.604, 0.54, 0.224, 0.508]"
