epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.176,1.294,0.538,0.979,0.538,0.521,0.534,"[0.384, 0.679, 0.585, 0.661, 0.6, 0.557, 0.368, 0.441, 0.343, 0.591]"
01,0.377,1.116,0.589,0.986,0.589,0.584,0.592,"[0.61, 0.764, 0.632, 0.69, 0.531, 0.521, 0.459, 0.456, 0.504, 0.673]"
02,0.241,1.297,0.629,0.983,0.629,0.564,0.615,"[0.535, 0.72, 0.667, 0.601, 0.409, 0.47, 0.683, 0.465, 0.408, 0.686]"
03,0.168,0.953,0.692,0.989,0.692,0.646,0.690,"[0.645, 0.724, 0.809, 0.733, 0.509, 0.606, 0.71, 0.599, 0.479, 0.646]"
04,0.110,0.907,0.697,0.990,0.697,0.615,0.696,"[0.683, 0.76, 0.667, 0.739, 0.333, 0.624, 0.709, 0.567, 0.471, 0.596]"
05,0.086,1.009,0.700,0.987,0.700,0.630,0.694,"[0.643, 0.761, 0.732, 0.726, 0.522, 0.581, 0.724, 0.617, 0.429, 0.568]"
06,0.052,0.937,0.711,0.988,0.711,0.627,0.705,"[0.664, 0.743, 0.667, 0.743, 0.444, 0.617, 0.748, 0.557, 0.498, 0.591]"
07,0.036,1.224,0.667,0.986,0.667,0.612,0.655,"[0.636, 0.669, 0.818, 0.71, 0.468, 0.526, 0.698, 0.538, 0.431, 0.622]"
08,0.038,1.213,0.698,0.986,0.698,0.606,0.685,"[0.674, 0.765, 0.766, 0.732, 0.409, 0.605, 0.72, 0.4, 0.458, 0.535]"
09,0.024,1.006,0.702,0.988,0.702,0.629,0.698,"[0.677, 0.767, 0.711, 0.747, 0.35, 0.621, 0.702, 0.582, 0.462, 0.667]"
10,0.009,1.062,0.723,0.989,0.723,0.642,0.716,"[0.688, 0.764, 0.756, 0.764, 0.465, 0.632, 0.743, 0.604, 0.415, 0.593]"
11,0.009,1.084,0.719,0.989,0.719,0.636,0.713,"[0.697, 0.78, 0.711, 0.768, 0.419, 0.645, 0.729, 0.496, 0.454, 0.667]"
12,0.016,1.401,0.708,0.981,0.708,0.611,0.690,"[0.724, 0.717, 0.76, 0.766, 0.5, 0.604, 0.75, 0.283, 0.428, 0.578]"
13,0.017,1.170,0.713,0.986,0.713,0.637,0.707,"[0.678, 0.759, 0.714, 0.762, 0.531, 0.628, 0.735, 0.506, 0.45, 0.607]"
14,0.012,1.243,0.716,0.986,0.716,0.639,0.707,"[0.706, 0.721, 0.756, 0.76, 0.468, 0.604, 0.759, 0.52, 0.472, 0.62]"
15,0.008,1.150,0.712,0.985,0.712,0.622,0.708,"[0.681, 0.78, 0.681, 0.772, 0.431, 0.604, 0.725, 0.543, 0.423, 0.575]"
16,0.005,1.183,0.725,0.989,0.725,0.641,0.718,"[0.716, 0.786, 0.711, 0.769, 0.48, 0.61, 0.749, 0.538, 0.458, 0.591]"
17,0.003,1.197,0.725,0.990,0.725,0.645,0.717,"[0.702, 0.778, 0.766, 0.772, 0.48, 0.611, 0.751, 0.52, 0.423, 0.645]"
18,0.002,1.175,0.720,0.989,0.720,0.648,0.713,"[0.727, 0.784, 0.75, 0.773, 0.491, 0.605, 0.73, 0.512, 0.453, 0.653]"
19,0.002,1.163,0.727,0.990,0.727,0.644,0.719,"[0.707, 0.785, 0.8, 0.781, 0.458, 0.617, 0.745, 0.515, 0.446, 0.591]"
20,0.001,1.166,0.728,0.989,0.728,0.646,0.721,"[0.711, 0.784, 0.735, 0.778, 0.478, 0.622, 0.747, 0.522, 0.432, 0.653]"
21,0.001,1.168,0.725,0.990,0.725,0.641,0.717,"[0.705, 0.785, 0.735, 0.782, 0.5, 0.611, 0.739, 0.506, 0.457, 0.591]"
22,0.001,1.162,0.729,0.989,0.729,0.650,0.722,"[0.711, 0.784, 0.75, 0.782, 0.5, 0.613, 0.748, 0.531, 0.456, 0.629]"
23,0.001,1.162,0.726,0.989,0.726,0.647,0.718,"[0.751, 0.782, 0.75, 0.775, 0.468, 0.619, 0.741, 0.534, 0.438, 0.614]"
24,0.001,1.173,0.727,0.990,0.727,0.651,0.720,"[0.69, 0.785, 0.75, 0.779, 0.531, 0.615, 0.742, 0.539, 0.446, 0.629]"
25,0.001,1.182,0.732,0.990,0.732,0.651,0.724,"[0.705, 0.789, 0.75, 0.781, 0.49, 0.615, 0.753, 0.538, 0.449, 0.645]"
26,0.001,1.189,0.730,0.990,0.730,0.652,0.723,"[0.709, 0.787, 0.75, 0.784, 0.51, 0.616, 0.75, 0.52, 0.44, 0.652]"
27,0.001,1.234,0.724,0.988,0.724,0.650,0.716,"[0.704, 0.784, 0.766, 0.774, 0.52, 0.608, 0.738, 0.522, 0.44, 0.644]"
28,0.001,1.207,0.728,0.990,0.728,0.653,0.722,"[0.722, 0.781, 0.75, 0.779, 0.48, 0.619, 0.745, 0.53, 0.482, 0.644]"
29,0.000,1.234,0.729,0.990,0.729,0.649,0.721,"[0.719, 0.783, 0.735, 0.781, 0.52, 0.619, 0.748, 0.501, 0.442, 0.644]"
30,0.000,1.214,0.730,0.990,0.730,0.656,0.723,"[0.726, 0.789, 0.75, 0.781, 0.52, 0.615, 0.747, 0.524, 0.456, 0.652]"
31,0.000,1.204,0.732,0.989,0.732,0.656,0.725,"[0.731, 0.785, 0.766, 0.781, 0.458, 0.615, 0.753, 0.533, 0.464, 0.674]"
32,0.001,1.210,0.728,0.990,0.728,0.650,0.720,"[0.718, 0.778, 0.75, 0.78, 0.49, 0.608, 0.747, 0.537, 0.454, 0.637]"
33,0.000,1.202,0.730,0.990,0.730,0.649,0.724,"[0.714, 0.78, 0.75, 0.781, 0.426, 0.619, 0.751, 0.539, 0.469, 0.66]"
34,0.000,1.200,0.728,0.990,0.728,0.648,0.721,"[0.736, 0.78, 0.75, 0.781, 0.426, 0.61, 0.747, 0.534, 0.469, 0.645]"
35,0.000,1.209,0.729,0.990,0.729,0.652,0.723,"[0.734, 0.787, 0.75, 0.782, 0.426, 0.625, 0.743, 0.542, 0.454, 0.674]"
36,0.000,1.205,0.728,0.989,0.728,0.653,0.722,"[0.715, 0.78, 0.773, 0.779, 0.458, 0.612, 0.747, 0.548, 0.474, 0.645]"
37,0.000,1.204,0.730,0.989,0.730,0.654,0.722,"[0.741, 0.783, 0.766, 0.785, 0.49, 0.609, 0.747, 0.542, 0.426, 0.652]"
38,0.000,1.206,0.732,0.988,0.732,0.656,0.725,"[0.735, 0.785, 0.766, 0.785, 0.51, 0.612, 0.75, 0.541, 0.472, 0.607]"
39,0.000,1.239,0.727,0.989,0.727,0.653,0.720,"[0.725, 0.781, 0.75, 0.781, 0.5, 0.62, 0.741, 0.534, 0.435, 0.659]"
40,0.000,1.220,0.732,0.989,0.732,0.661,0.725,"[0.729, 0.781, 0.75, 0.781, 0.51, 0.62, 0.749, 0.553, 0.471, 0.667]"
41,0.000,1.200,0.731,0.989,0.731,0.660,0.725,"[0.728, 0.781, 0.75, 0.782, 0.49, 0.62, 0.746, 0.568, 0.474, 0.66]"
42,0.000,1.226,0.727,0.989,0.727,0.652,0.720,"[0.708, 0.78, 0.75, 0.78, 0.5, 0.623, 0.74, 0.541, 0.458, 0.645]"
43,0.000,1.212,0.728,0.987,0.728,0.651,0.720,"[0.711, 0.783, 0.75, 0.781, 0.5, 0.622, 0.74, 0.537, 0.444, 0.645]"
44,0.000,1.226,0.728,0.989,0.728,0.650,0.721,"[0.719, 0.782, 0.735, 0.779, 0.458, 0.621, 0.743, 0.54, 0.464, 0.66]"
45,0.000,1.228,0.730,0.990,0.730,0.657,0.723,"[0.724, 0.782, 0.75, 0.782, 0.51, 0.622, 0.744, 0.535, 0.472, 0.645]"
46,0.000,1.228,0.728,0.989,0.728,0.647,0.721,"[0.731, 0.781, 0.75, 0.779, 0.426, 0.619, 0.743, 0.544, 0.45, 0.645]"
47,0.000,1.230,0.731,0.989,0.731,0.650,0.724,"[0.706, 0.781, 0.75, 0.784, 0.435, 0.622, 0.749, 0.546, 0.464, 0.66]"
48,0.000,1.244,0.730,0.989,0.730,0.644,0.722,"[0.726, 0.78, 0.75, 0.782, 0.4, 0.622, 0.748, 0.528, 0.458, 0.645]"
49,0.000,1.223,0.729,0.988,0.729,0.648,0.722,"[0.728, 0.78, 0.735, 0.783, 0.435, 0.62, 0.744, 0.545, 0.45, 0.66]"
50,0.000,1.206,0.732,0.989,0.732,0.655,0.726,"[0.743, 0.783, 0.75, 0.784, 0.44, 0.625, 0.748, 0.552, 0.462, 0.66]"
51,0.000,1.236,0.731,0.989,0.731,0.650,0.725,"[0.731, 0.782, 0.75, 0.784, 0.417, 0.621, 0.748, 0.545, 0.464, 0.66]"
52,0.000,1.214,0.732,0.989,0.732,0.657,0.726,"[0.725, 0.782, 0.75, 0.785, 0.458, 0.619, 0.748, 0.563, 0.477, 0.66]"
53,0.000,1.221,0.734,0.989,0.734,0.660,0.728,"[0.721, 0.786, 0.75, 0.788, 0.51, 0.624, 0.75, 0.541, 0.48, 0.653]"
54,0.000,1.242,0.729,0.989,0.729,0.652,0.722,"[0.725, 0.783, 0.75, 0.783, 0.471, 0.625, 0.741, 0.543, 0.441, 0.66]"
55,0.000,1.254,0.731,0.989,0.731,0.653,0.724,"[0.731, 0.782, 0.8, 0.783, 0.426, 0.615, 0.751, 0.543, 0.453, 0.645]"
56,0.000,1.228,0.733,0.988,0.733,0.665,0.727,"[0.729, 0.786, 0.75, 0.784, 0.538, 0.622, 0.747, 0.56, 0.474, 0.66]"
57,0.000,1.228,0.733,0.990,0.733,0.657,0.726,"[0.729, 0.786, 0.75, 0.786, 0.471, 0.627, 0.747, 0.546, 0.464, 0.66]"
58,0.000,1.233,0.733,0.989,0.733,0.661,0.726,"[0.746, 0.784, 0.75, 0.783, 0.51, 0.626, 0.747, 0.545, 0.477, 0.645]"
59,0.000,1.257,0.731,0.989,0.731,0.648,0.724,"[0.734, 0.785, 0.766, 0.785, 0.417, 0.622, 0.748, 0.53, 0.436, 0.66]"
60,0.000,1.241,0.735,0.989,0.735,0.663,0.728,"[0.726, 0.788, 0.766, 0.786, 0.51, 0.621, 0.752, 0.55, 0.477, 0.652]"
61,0.000,1.230,0.731,0.990,0.731,0.651,0.725,"[0.743, 0.783, 0.75, 0.785, 0.408, 0.628, 0.743, 0.562, 0.448, 0.66]"
62,0.000,1.243,0.734,0.990,0.734,0.656,0.728,"[0.718, 0.788, 0.766, 0.789, 0.44, 0.622, 0.752, 0.539, 0.477, 0.667]"
63,0.000,1.245,0.733,0.990,0.733,0.654,0.727,"[0.74, 0.785, 0.75, 0.787, 0.417, 0.629, 0.746, 0.555, 0.477, 0.66]"
64,0.000,1.231,0.733,0.989,0.733,0.657,0.727,"[0.722, 0.785, 0.735, 0.785, 0.458, 0.63, 0.747, 0.558, 0.477, 0.674]"
65,0.000,1.288,0.733,0.989,0.733,0.659,0.725,"[0.729, 0.785, 0.766, 0.786, 0.51, 0.62, 0.75, 0.523, 0.456, 0.667]"
66,0.000,1.246,0.733,0.989,0.733,0.660,0.726,"[0.739, 0.784, 0.75, 0.787, 0.5, 0.626, 0.748, 0.529, 0.462, 0.674]"
67,0.000,1.274,0.735,0.990,0.735,0.655,0.727,"[0.733, 0.785, 0.75, 0.789, 0.48, 0.628, 0.75, 0.529, 0.48, 0.63]"
68,0.000,1.260,0.731,0.989,0.731,0.650,0.724,"[0.733, 0.779, 0.735, 0.782, 0.426, 0.628, 0.747, 0.546, 0.466, 0.66]"
69,0.000,1.234,0.734,0.990,0.734,0.648,0.728,"[0.722, 0.787, 0.75, 0.789, 0.356, 0.629, 0.748, 0.549, 0.48, 0.674]"
70,0.000,1.275,0.731,0.990,0.731,0.651,0.725,"[0.731, 0.784, 0.75, 0.786, 0.449, 0.628, 0.746, 0.532, 0.456, 0.645]"
71,0.000,1.253,0.736,0.989,0.736,0.660,0.730,"[0.736, 0.788, 0.766, 0.789, 0.449, 0.627, 0.752, 0.548, 0.482, 0.66]"
72,0.000,1.265,0.733,0.988,0.733,0.651,0.726,"[0.719, 0.783, 0.75, 0.785, 0.44, 0.618, 0.751, 0.555, 0.453, 0.66]"
73,0.000,1.252,0.733,0.988,0.733,0.653,0.727,"[0.743, 0.783, 0.75, 0.786, 0.417, 0.626, 0.748, 0.56, 0.453, 0.66]"
74,0.000,1.249,0.734,0.990,0.734,0.653,0.728,"[0.718, 0.784, 0.75, 0.785, 0.417, 0.63, 0.751, 0.553, 0.48, 0.66]"
75,0.000,1.254,0.732,0.988,0.732,0.650,0.726,"[0.739, 0.784, 0.75, 0.787, 0.417, 0.63, 0.745, 0.536, 0.487, 0.63]"
76,0.000,1.237,0.735,0.990,0.735,0.655,0.730,"[0.728, 0.785, 0.75, 0.789, 0.426, 0.626, 0.753, 0.557, 0.48, 0.653]"
77,0.000,1.267,0.733,0.989,0.733,0.649,0.725,"[0.728, 0.785, 0.75, 0.785, 0.408, 0.623, 0.749, 0.539, 0.458, 0.66]"
78,0.000,1.239,0.736,0.989,0.736,0.656,0.730,"[0.727, 0.787, 0.75, 0.789, 0.471, 0.625, 0.755, 0.555, 0.472, 0.63]"
79,0.000,1.267,0.735,0.989,0.735,0.651,0.728,"[0.731, 0.788, 0.766, 0.79, 0.417, 0.623, 0.753, 0.53, 0.456, 0.653]"
80,0.000,1.278,0.733,0.989,0.733,0.649,0.726,"[0.737, 0.788, 0.75, 0.786, 0.408, 0.626, 0.75, 0.529, 0.458, 0.66]"
81,0.000,1.276,0.735,0.990,0.735,0.656,0.728,"[0.725, 0.79, 0.75, 0.788, 0.44, 0.631, 0.749, 0.533, 0.48, 0.674]"
82,0.000,1.286,0.730,0.988,0.730,0.652,0.723,"[0.739, 0.78, 0.783, 0.782, 0.417, 0.626, 0.748, 0.538, 0.453, 0.66]"
83,0.000,1.239,0.736,0.989,0.736,0.663,0.730,"[0.734, 0.789, 0.75, 0.788, 0.5, 0.624, 0.753, 0.558, 0.472, 0.66]"
84,0.000,1.269,0.733,0.988,0.733,0.664,0.727,"[0.72, 0.783, 0.735, 0.783, 0.538, 0.627, 0.746, 0.563, 0.488, 0.66]"
85,0.000,1.280,0.733,0.989,0.733,0.651,0.726,"[0.703, 0.786, 0.75, 0.786, 0.449, 0.619, 0.752, 0.531, 0.474, 0.66]"
86,0.000,1.251,0.734,0.988,0.734,0.658,0.728,"[0.729, 0.784, 0.75, 0.787, 0.48, 0.616, 0.752, 0.558, 0.467, 0.66]"
87,0.000,1.261,0.732,0.989,0.732,0.655,0.726,"[0.725, 0.782, 0.75, 0.782, 0.449, 0.622, 0.75, 0.561, 0.474, 0.66]"
88,0.000,1.274,0.735,0.990,0.735,0.650,0.728,"[0.729, 0.786, 0.75, 0.789, 0.426, 0.621, 0.753, 0.544, 0.472, 0.63]"
89,0.000,1.280,0.732,0.988,0.732,0.655,0.725,"[0.725, 0.782, 0.75, 0.785, 0.538, 0.632, 0.747, 0.543, 0.448, 0.598]"
90,0.000,1.250,0.736,0.990,0.736,0.663,0.730,"[0.724, 0.788, 0.75, 0.789, 0.5, 0.631, 0.748, 0.557, 0.48, 0.66]"
91,0.000,1.271,0.734,0.988,0.734,0.658,0.728,"[0.707, 0.786, 0.75, 0.785, 0.48, 0.626, 0.751, 0.559, 0.474, 0.66]"
92,0.000,1.261,0.733,0.989,0.733,0.655,0.727,"[0.725, 0.787, 0.75, 0.786, 0.44, 0.624, 0.747, 0.556, 0.472, 0.66]"
93,0.000,1.263,0.734,0.989,0.734,0.656,0.729,"[0.714, 0.788, 0.735, 0.788, 0.449, 0.63, 0.747, 0.562, 0.477, 0.667]"
94,0.000,1.262,0.733,0.989,0.733,0.653,0.727,"[0.726, 0.785, 0.75, 0.786, 0.426, 0.625, 0.75, 0.547, 0.48, 0.66]"
95,0.000,1.278,0.734,0.988,0.734,0.653,0.727,"[0.722, 0.783, 0.766, 0.786, 0.417, 0.618, 0.755, 0.55, 0.472, 0.66]"
